# MacsTemp[K]    Westcott-g
  2.0000000e+01  9.9322223e-01
  4.0000000e+01  9.9456622e-01
  6.0000000e+01  9.9577992e-01
  8.0000000e+01  9.9698638e-01
  1.0000000e+02  9.9821679e-01
  1.2000000e+02  9.9947364e-01
  1.4000000e+02  1.0007518e+00
  1.6000000e+02  1.0020450e+00
  1.8000000e+02  1.0033478e+00
  2.0000000e+02  1.0046567e+00
  2.2000000e+02  1.0059691e+00
  2.4000000e+02  1.0072838e+00
  2.6000000e+02  1.0086002e+00
  2.8000000e+02  1.0099182e+00
  2.9300000e+02  1.0107757e+00
  3.0000000e+02  1.0112377e+00
  3.2000000e+02  1.0125592e+00
  3.4000000e+02  1.0138827e+00
  3.6000000e+02  1.0152087e+00
  3.8000000e+02  1.0165375e+00
  4.0000000e+02  1.0178693e+00
  4.2000000e+02  1.0192043e+00
  4.4000000e+02  1.0205428e+00
  4.6000000e+02  1.0218851e+00
  4.8000000e+02  1.0232312e+00
  5.0000000e+02  1.0245814e+00
  5.2000000e+02  1.0259357e+00
  5.4000000e+02  1.0272944e+00
  5.6000000e+02  1.0286576e+00
  5.8000000e+02  1.0300253e+00
  6.0000000e+02  1.0313976e+00
