# MacsTemp[K]    Westcott-g
  2.0000000e+01  1.3896271e+00
  4.0000000e+01  1.3189113e+00
  6.0000000e+01  1.2554959e+00
  8.0000000e+01  1.1985949e+00
  1.0000000e+02  1.1474115e+00
  1.2000000e+02  1.1012313e+00
  1.4000000e+02  1.0594407e+00
  1.6000000e+02  1.0215209e+00
  1.8000000e+02  9.8703705e-01
  2.0000000e+02  9.5562641e-01
  2.2000000e+02  9.2698828e-01
  2.4000000e+02  9.0087594e-01
  2.6000000e+02  8.7708978e-01
  2.8000000e+02  8.5547158e-01
  2.9300000e+02  8.4252312e-01
  3.0000000e+02  8.3589921e-01
  3.2000000e+02  8.1828182e-01
  3.4000000e+02  8.0255517e-01
  3.6000000e+02  7.8867716e-01
  3.8000000e+02  7.7662362e-01
  4.0000000e+02  7.6638413e-01
  4.2000000e+02  7.5795816e-01
  4.4000000e+02  7.5135135e-01
  4.6000000e+02  7.4657223e-01
  4.8000000e+02  7.4362909e-01
  5.0000000e+02  7.4252747e-01
  5.2000000e+02  7.4326797e-01
  5.4000000e+02  7.4584457e-01
  5.6000000e+02  7.5024339e-01
  5.8000000e+02  7.5644195e-01
  6.0000000e+02  7.6440877e-01
