# MacsTemp[K]    Westcott-g
  2.0000000e+01  8.0159943e-01
  4.0000000e+01  8.4042139e-01
  6.0000000e+01  8.7314689e-01
  8.0000000e+01  8.9755462e-01
  1.0000000e+02  9.1313735e-01
  1.2000000e+02  9.2047601e-01
  1.4000000e+02  9.2069540e-01
  1.6000000e+02  9.1508211e-01
  1.8000000e+02  9.0487110e-01
  2.0000000e+02  8.9115035e-01
  2.2000000e+02  8.7483278e-01
  2.4000000e+02  8.5666165e-01
  2.6000000e+02  8.3723009e-01
  2.8000000e+02  8.1700462e-01
  2.9300000e+02  8.0360785e-01
  3.0000000e+02  7.9634802e-01
  3.2000000e+02  7.7553947e-01
  3.4000000e+02  7.5479164e-01
  3.6000000e+02  7.3426460e-01
  3.8000000e+02  7.1407712e-01
  4.0000000e+02  6.9431563e-01
  4.2000000e+02  6.7504131e-01
  4.4000000e+02  6.5629577e-01
  4.6000000e+02  6.3810540e-01
  4.8000000e+02  6.2048492e-01
  5.0000000e+02  6.0344005e-01
  5.2000000e+02  5.8696969e-01
  5.4000000e+02  5.7106761e-01
  5.6000000e+02  5.5572374e-01
  5.8000000e+02  5.4092521e-01
  6.0000000e+02  5.2665719e-01
