# MacsTemp[K]    Westcott-g
  2.0000000e+01  9.7178316e-01
  4.0000000e+01  9.7644957e-01
  6.0000000e+01  9.8103524e-01
  8.0000000e+01  9.8566065e-01
  1.0000000e+02  9.9035705e-01
  1.2000000e+02  9.9512785e-01
  1.4000000e+02  9.9996911e-01
  1.6000000e+02  1.0048758e+00
  1.8000000e+02  1.0098440e+00
  2.0000000e+02  1.0148712e+00
  2.2000000e+02  1.0199564e+00
  2.4000000e+02  1.0250994e+00
  2.6000000e+02  1.0303011e+00
  2.8000000e+02  1.0355626e+00
  2.9300000e+02  1.0390153e+00
  3.0000000e+02  1.0408854e+00
  3.2000000e+02  1.0462711e+00
  3.4000000e+02  1.0517215e+00
  3.6000000e+02  1.0572385e+00
  3.8000000e+02  1.0628240e+00
  4.0000000e+02  1.0684800e+00
  4.2000000e+02  1.0742084e+00
  4.4000000e+02  1.0800114e+00
  4.6000000e+02  1.0858912e+00
  4.8000000e+02  1.0918498e+00
  5.0000000e+02  1.0978898e+00
  5.2000000e+02  1.1040135e+00
  5.4000000e+02  1.1102234e+00
  5.6000000e+02  1.1165221e+00
  5.8000000e+02  1.1229124e+00
  6.0000000e+02  1.1293972e+00
