# MacsTemp[K]    Westcott-g
  2.0000000e+01  1.0054792e+00
  4.0000000e+01  1.0048948e+00
  6.0000000e+01  1.0041751e+00
  8.0000000e+01  1.0034451e+00
  1.0000000e+02  1.0027364e+00
  1.2000000e+02  1.0020517e+00
  1.4000000e+02  1.0013855e+00
  1.6000000e+02  1.0007315e+00
  1.8000000e+02  1.0000842e+00
  2.0000000e+02  9.9943977e-01
  2.2000000e+02  9.9879571e-01
  2.4000000e+02  9.9815067e-01
  2.6000000e+02  9.9750403e-01
  2.8000000e+02  9.9685558e-01
  2.9300000e+02  9.9643316e-01
  3.0000000e+02  9.9620541e-01
  3.2000000e+02  9.9555370e-01
  3.4000000e+02  9.9490074e-01
  3.6000000e+02  9.9424679e-01
  3.8000000e+02  9.9359213e-01
  4.0000000e+02  9.9293702e-01
  4.2000000e+02  9.9228169e-01
  4.4000000e+02  9.9162633e-01
  4.6000000e+02  9.9097114e-01
  4.8000000e+02  9.9031627e-01
  5.0000000e+02  9.8966185e-01
  5.2000000e+02  9.8900800e-01
  5.4000000e+02  9.8835483e-01
  5.6000000e+02  9.8770242e-01
  5.8000000e+02  9.8705084e-01
  6.0000000e+02  9.8640017e-01
