# MacsTemp[K]    Westcott-g
  2.0000000e+01  7.2787482e-01
  4.0000000e+01  7.6528827e-01
  6.0000000e+01  8.0753238e-01
  8.0000000e+01  8.5610581e-01
  1.0000000e+02  9.1315112e-01
  1.2000000e+02  9.8171020e-01
  1.4000000e+02  1.0655049e+00
  1.6000000e+02  1.1680291e+00
  1.8000000e+02  1.2914747e+00
  2.0000000e+02  1.4361093e+00
  2.2000000e+02  1.6002741e+00
  2.4000000e+02  1.7808136e+00
  2.6000000e+02  1.9736695e+00
  2.8000000e+02  2.1744421e+00
  2.9300000e+02  2.3071368e+00
  3.0000000e+02  2.3788266e+00
  3.2000000e+02  2.5829028e+00
  3.4000000e+02  2.7832946e+00
  3.6000000e+02  2.9772327e+00
  3.8000000e+02  3.1625500e+00
  4.0000000e+02  3.3376370e+00
  4.2000000e+02  3.5013761e+00
  4.4000000e+02  3.6530683e+00
  4.6000000e+02  3.7923598e+00
  4.8000000e+02  3.9191746e+00
  5.0000000e+02  4.0336538e+00
  5.2000000e+02  4.1361039e+00
  5.4000000e+02  4.2269533e+00
  5.6000000e+02  4.3067164e+00
  5.8000000e+02  4.3759646e+00
  6.0000000e+02  4.4353035e+00
