# MacsTemp[K]    Westcott-g
  2.0000000e+01  6.4039026e-01
  4.0000000e+01  6.8705866e-01
  6.0000000e+01  7.4269533e-01
  8.0000000e+01  8.1071317e-01
  1.0000000e+02  8.9490355e-01
  1.2000000e+02  9.9762034e-01
  1.4000000e+02  1.1181884e+00
  1.6000000e+02  1.2529461e+00
  1.8000000e+02  1.3964678e+00
  2.0000000e+02  1.5429363e+00
  2.2000000e+02  1.6871064e+00
  2.4000000e+02  1.8247828e+00
  2.6000000e+02  1.9529358e+00
  2.8000000e+02  2.0696117e+00
  2.9300000e+02  2.1387635e+00
  3.0000000e+02  2.1737508e+00
  3.2000000e+02  2.2649861e+00
  3.4000000e+02  2.3434560e+00
  3.6000000e+02  2.4096478e+00
  3.8000000e+02  2.4642734e+00
  4.0000000e+02  2.5081759e+00
  4.2000000e+02  2.5422608e+00
  4.4000000e+02  2.5674479e+00
  4.6000000e+02  2.5846381e+00
  4.8000000e+02  2.5946925e+00
  5.0000000e+02  2.5984192e+00
  5.2000000e+02  2.5965669e+00
  5.4000000e+02  2.5898217e+00
  5.6000000e+02  2.5788078e+00
  5.8000000e+02  2.5640891e+00
  6.0000000e+02  2.5461727e+00
