energy [eV],cross section [b]
1e-05,7.2274433
1.09867509e-05,6.89525061
1.19735017e-05,6.60501948
1.30468017e-05,6.32750742
1.38777338e-05,6.13515328
1.47086659e-05,5.95933846
1.5955064e-05,5.72183616
1.70046422e-05,5.54243928
1.80542204e-05,5.37892294
1.91037986e-05,5.22907447
2.01533769e-05,5.09109006
2.21420131e-05,4.8570899
2.34677705e-05,4.71790049
2.4793528e-05,4.59003004
2.71310155e-05,4.38784894
2.96429286e-05,4.19782315
3.21548418e-05,4.03052393
3.42700963e-05,3.90415481
3.74429781e-05,3.73507649
4.06158599e-05,3.58621949
4.32877089e-05,3.47378065
4.59595579e-05,3.37129511
4.86314069e-05,3.27737605
5.13032558e-05,3.1908929
5.4678158e-05,3.09084875
5.97405112e-05,2.95699251
6.31154133e-05,2.8768484
6.69343405e-05,2.79357411
7.33287687e-05,2.66899337
7.9723197e-05,2.55971927
8.7239351e-05,2.44696906
9.5316368e-05,2.34099749
0.000103393385,2.24769983
0.000110194952,2.17722764
0.000120397304,2.08293784
0.000127198871,2.02648345
0.000134895299,1.96782413
0.000143486587,1.90800292
0.000152077875,1.85332537
0.000160669163,1.80309422
0.00017039078,1.75090121
0.000186668696,1.67281895
0.000197520641,1.6262168
0.000208372585,1.58330432
0.000228933768,1.5105314
0.000249494951,1.44695093
0.000271859579,1.38615681
0.000289173926,1.3440181
0.000306488273,1.30550263
0.000332459793,1.25347338
0.000354330126,1.2141732
0.000387135625,1.16159066
0.000409005957,1.13010777
0.000433753699,1.09739527
0.00046137885,1.06403481
0.000489004001,1.03354281
0.000516629152,1.00553044
0.000547888856,0.97642399
0.000600230239,0.932879903
0.000652571623,0.89468587
0.000714094856,0.855276849
0.000780209014,0.818237133
0.000846323172,0.785627267
0.00090199718,0.760995471
0.000957671188,0.738544128
0.0010411822,0.708306602
0.00110418106,0.687803702
0.00117450477,0.666894692
0.00124482848,0.647783518
0.00131515218,0.630226474
0.00139472816,0.611983709
0.00148355639,0.593379602
0.00157238463,0.576375145
0.00166121286,0.560753501
0.00181782891,0.536053491
0.0019861318,0.512838467
0.00215443469,0.492399897
0.00236702372,0.469767869
0.00257961275,0.449994649
0.00281084821,0.431087968
0.00298986711,0.417983031
0.003168886,0.406004904
0.00334790489,0.395000846
0.00355047672,0.383567004
0.00377660149,0.371906688
0.00400272627,0.361248969
0.00422885104,0.351457942
0.00448472632,0.341284508
0.00477035211,0.330909565
0.00519879079,0.316981091
0.00566480834,0.303663017
0.00620598362,0.290121013
0.0067471589,0.27824285
0.00738326843,0.265986832
0.0078389862,0.258139523
0.00852256286,0.247570748
0.00932605417,0.236665771
0.00990168658,0.229683509
0.010477319,0.223284875
0.0110529514,0.217392845
0.011780052,0.210576914
0.0125071527,0.204364342
0.0132342533,0.198671061
0.0139613539,0.193428538
0.0153389917,0.184538033
0.0167166295,0.17677055
0.0182151016,0.169343468
0.0199552421,0.161791509
0.0216953827,0.155167425
0.0237877148,0.148186224
0.0253,0.143689133
0.027427632,0.138003474
0.0290623111,0.134066138
0.0309132481,0.129990572
0.032764185,0.126265439
0.0346151219,0.122843238
0.0367095806,0.119287378
0.0402165515,0.113967711
0.042554532,0.110792756
0.0448925126,0.107869175
0.0493222851,0.10291124
0.0537520577,0.0985795825
0.0585703709,0.0944377622
0.0641657653,0.0902263102
0.0697611597,0.0865323086
0.0739822013,0.0840275545
0.0786940216,0.0814731938
0.0857617521,0.0780439483
0.0904735724,0.0759845883
0.0964252308,0.0736023183
0.102376889,0.0714309405
0.108328548,0.0694410709
0.114280206,0.0676087556
0.121797945,0.0654891361
0.133074555,0.0626531696
0.144351164,0.0601564057
0.158595027,0.0573917292
0.172838891,0.0549763204
0.188332101,0.0526668103
0.200326702,0.0510660335
0.218318604,0.0489170239
0.237888598,0.0468622586
0.253039381,0.0454380691
0.268190165,0.0441363763
0.283340949,0.0429405764
0.300485072,0.0416981176
0.319622536,0.0404311039
0.338759999,0.0392730893
0.357897462,0.0382093004
0.391639366,0.0365274288
0.427899125,0.0349468469
0.464158883,0.0335554722
0.509959801,0.0320150128
0.555760719,0.0306693937
0.60557889,0.0293830221
0.644147341,0.0284915824
0.682715792,0.0276769565
0.740568469,0.0265768014
0.789285574,0.0257460685
0.83800268,0.0249891113
0.886719785,0.0242956574
0.94442492,0.0235450195
1.00371412,0.0228425445
1.06300333,0.0222000064
1.12229253,0.0216093887
1.18158173,0.021064101
1.29817441,0.0201037212
1.41476709,0.0192657036
1.54158625,0.0184655561
1.68885838,0.0176533868
1.83613051,0.0169424853
1.94722934,0.0164614081
2.07124558,0.0159717488
2.25726995,0.0153161663
2.45961074,0.014691654
2.61625982,0.0142604166
2.7729089,0.0138676535
2.92955798,0.013508193
3.10681687,0.0131362941
3.30468559,0.0127589824
3.60148865,0.0122561434
3.79935737,0.0119566018
4.04424668,0.0116193944
4.41662595,0.0111667859
4.79909581,0.0107644042
5.294385,0.0103190496
5.78967419,0.00994251374
