energy [eV],cross section [b]
1e-05,39466.3918
1.08724036e-05,37849.6257
1.17448073e-05,36416.5145
1.26848632e-05,35040.8912
1.37602236e-05,33643.528
1.48355841e-05,32400.9835
1.60777265e-05,31123.889
1.69614154e-05,30302.0522
1.82869488e-05,29182.8586
1.98180644e-05,28032.5423
2.09073355e-05,27292.2885
2.30858778e-05,25972.1851
2.50998982e-05,24907.9892
2.77852587e-05,23673.2587
2.92841201e-05,23059.1843
3.09391628e-05,22433.6516
3.34217269e-05,21583.9605
3.60968062e-05,20768.343
3.91569164e-05,19939.8235
4.22170265e-05,19203.0869
4.44944022e-05,18704.8499
4.70090803e-05,18197.3128
5.07810974e-05,17507.8949
5.48456231e-05,16846.1166
5.79453183e-05,16388.9374
6.41447087e-05,15576.0713
6.7604962e-05,15171.7958
7.14257733e-05,14759.97
7.71569903e-05,14200.5552
8.09778016e-05,13861.0667
8.56874901e-05,13474.2473
9.2752023e-05,12950.213
9.98165558e-05,12482.8198
0.000108524588,11970.7011
0.000117232621,11516.7278
0.000126615935,11080.9372
0.000133771854,10779.867
0.000144505732,10370.8869
0.000156071989,9978.28099
0.000164892668,9707.04133
0.000182534024,9224.74441
0.000192380728,8984.85927
0.000203253458,8740.48125
0.000219562552,8408.50124
0.000230435281,8207.02078
0.000243837453,7977.43644
0.000263940711,7666.38667
0.000284043968,7388.92955
0.000308824067,7084.8885
0.000333604166,6815.33502
0.000360305887,6556.54518
0.000380669198,6377.73706
0.000411214163,6134.81051
0.000431577473,5987.3641
0.000456678123,5819.33783
0.000481778774,5664.59077
0.000519429749,5453.80558
0.00054745012,5311.22453
0.00057839021,5165.95292
0.00064027039,4907.58116
0.000693505326,4713.4894
0.000731270217,4588.80661
0.000769035109,4473.39294
0.00083179777,4299.20312
0.000902313503,4125.52319
0.000972829237,3971.00987
0.00105428154,3812.11708
0.00111222859,3709.8173
0.00119914917,3570.43567
0.00126383666,3476.12841
0.00133526457,3380.01863
0.00144240644,3249.39308
0.00151383436,3170.07732
0.00160187933,3079.65989
0.0016899243,2996.35692
0.00177796927,2919.27797
0.00192027817,2806.01055
0.00208306993,2690.84674
0.00230012561,2556.59804
0.0025007894,2448.24436
0.0027014532,2352.09121
0.00291767787,2259.69105
0.00316502428,2165.71695
0.00341237069,2082.05021
0.00359644927,2025.40951
0.00379970882,1967.65973
0.00410459814,1889.1262
0.00430785769,1841.41528
0.00455840374,1787.00255
0.00480894979,1736.84869
0.00505949583,1690.42283
0.00546445854,1622.16693
0.00592770853,1552.7292
0.00654537517,1471.73847
0.00711639608,1406.33899
0.00768741699,1348.28574
0.00830271885,1292.4888
0.00877196136,1253.90286
0.00924120387,1218.26625
0.00994506764,1169.57686
0.0105234752,1133.25054
0.0111018827,1099.78309
0.0116802903,1068.8204
0.0122586978,1040.06719
0.0127518984,1017.10718
0.0137382995,974.950733
0.0151105731,923.329396
0.016428825,879.993427
0.0173076596,853.920328
0.0181864942,829.783848
0.0197695654,790.503002
0.0213643135,755.522946
0.0229590616,724.348871
0.0247147654,693.693292
0.02588905,675.020847
0.0276562,649.295764
0.0291232556,629.833425
0.0307692067,609.772911
0.0324151578,591.359945
0.034061109,574.395647
0.0357450423,558.3654
0.037405194,543.728339
0.0390035819,530.615273
0.0414011638,512.542655
0.0436386138,497.200555
0.0455558,485.085098
0.0492794046,463.911392
0.0530030092,445.394421
0.05674305,429.035598
0.06121795,411.942263
0.0653336806,398.242871
0.0706373202,383.000352
0.0744371428,373.519826
0.0785010285,364.543454
0.08359245,354.803892
0.08806735,347.47954
0.09254225,341.197659
0.09701715,335.871944
0.10150228,331.424594
0.10597036,327.826852
0.1126793,323.898689
0.1171542,322.222018
0.12423305,321.068303
0.1305789,321.584973
0.1350538,322.841943
0.1395287,324.856952
0.145709834,328.938494
0.151890968,334.619618
0.1574283,341.180258
0.16414065,351.192072
0.16861555,359.256773
0.1753279,373.716214
0.1798028,385.131959
0.185917434,403.384147
0.19099005,421.203796
0.19546495,439.264923
0.19993985,459.856289
0.20441475,483.36882
0.20888965,510.277933
0.2111271,525.183105
0.21336455,541.165293
0.215602,558.318469
0.218958175,586.475995
0.221195625,607.04134
0.223433075,629.200515
0.225670525,653.108299
0.2290267,692.634881
0.23126415,721.723642
0.2335016,753.272496
0.23573905,787.547173
0.236857775,805.799351
0.239095225,844.740575
0.241332675,887.240449
0.243570125,933.71589
0.245807575,984.643254
0.2469263,1011.94382
0.24916375,1070.59595
0.2514012,1135.21688
0.252519925,1170.00177
0.254757375,1245.0537
0.2558761,1285.5575
0.25811355,1373.17809
0.259232275,1420.58648
0.260910362,1496.64731
0.262029087,1550.90969
0.263707175,1638.11336
0.265385262,1732.91496
0.26706335,1836.08076
0.268741438,1948.44634
0.270419525,2070.91552
0.272097612,2204.45512
0.2737757,2350.08352
0.275453787,2508.85037
0.276572512,2622.51302
0.277691237,2742.78212
0.278809963,2869.93922
0.279928687,3004.2356
0.280986949,3138.03229
0.281984748,3270.31847
0.28406797,3565.85094
0.28630542,3911.63254
0.28899036,4360.53758
0.29480773,5384.28481
0.29659769,5677.19421
0.29794016,5876.31875
0.29883514,5995.85431
0.29973012,6102.68527
0.3006251,6195.06352
0.30152008,6271.38075
0.30241506,6330.23124
0.30331004,6370.47112
0.304697259,6394.23308
0.30554749,6385.06948
0.30644247,6355.99385
0.30733745,6307.45396
0.30823243,6240.27446
0.30912741,6155.60112
0.31002239,6054.8512
0.31091737,5939.65463
0.31181235,5811.79062
0.31315482,5600.33017
0.31494478,5291.50974
0.32031466,4304.81834
0.3229996,3835.84163
0.32478956,3544.78915
0.32657952,3273.68388
0.3274745,3145.89497
0.328593225,2993.46658
0.330271312,2779.82354
0.3319494,2583.56858
0.333627487,2403.76858
0.335305575,2239.33551
0.3364243,2137.681
0.337543025,2041.99719
0.33866175,1951.9429
0.340339837,1826.69243
0.341458562,1749.28274
0.342577287,1676.39305
0.343696012,1607.73811
0.344814737,1543.0482
0.345933463,1482.06919
0.347052187,1424.56235
0.348200917,1368.89146
0.350408362,1270.709
0.351527087,1224.99459
0.352645812,1181.77144
0.3543239,1121.2645
0.35656135,1047.92003
0.3587988,982.025451
0.36103625,922.69536
0.3632737,869.163086
0.36551115,820.764175
0.3677486,776.922008
0.368867325,756.550436
0.371104775,718.62426
0.373342225,684.120407
0.375579675,652.682997
0.3766984,638.015331
0.37893585,610.605909
0.3811733,585.554716
0.384529475,551.91487
0.38788565,522.430995
0.391241825,496.563406
0.393479275,481.10216
0.395716725,466.932383
0.3990729,447.880018
0.402429075,431.210608
0.40578525,416.675083
0.409141425,404.064429
0.413616325,389.946011
0.4169725,381.195004
0.4214474,371.760757
0.4259223,364.687375
0.429206716,360.904962
0.43263465,358.173732
0.43681105,356.475324
0.440274,356.400636
0.4439747,357.652187
0.4483281,360.905631
0.4505048,363.270386
0.4548582,369.530491
0.4570349,373.455496
0.4613883,382.990953
0.463565,388.649006
0.4679184,401.89125
0.4700951,409.545556
0.4744485,427.130347
0.4766252,437.160615
0.47989025,453.917577
0.48206695,466.32936
0.485332,487.004316
0.4875087,502.291358
0.49077375,527.739443
0.4940388,556.577696
0.49730385,589.295373
0.49948055,613.547405
0.5027456,654.092071
0.50383395,668.8345
0.50601065,700.358974
0.507099,717.214957
0.5092757,753.318378
0.51036405,772.655877
0.51254075,814.151429
0.5136291,836.419648
0.5158058,884.302165
0.51689415,910.051755
0.51907085,965.543052
0.5201592,995.451454
0.5223359,1060.05693
0.52342425,1094.95982
0.52560095,1170.538
0.52777765,1254.67538
0.529057782,1308.61867
0.5310427,1399.53555
0.53213105,1453.47885
0.5332194,1510.56922
0.53430775,1571.01689
0.5353961,1635.04518
0.53648445,1702.89065
0.5375728,1774.80294
0.539205325,1890.87376
0.540293675,1974.12616
0.541382025,2062.41174
0.542470375,2156.02621
0.543558725,2255.26852
0.544647075,2360.43606
0.545735425,2471.81824
0.546823775,2589.68825
0.5484563,2779.1867
0.550088825,2984.47464
0.55193902,3236.59517
0.55324504,3426.85672
0.5549864,3695.43963
0.5571631,4051.67884
0.56238718,4941.78641
0.56412854,5219.35547
0.56543456,5408.97646
0.56674058,5576.27413
0.56761126,5672.56187
0.56848194,5754.7799
0.56935262,5821.48921
0.5702233,5871.46361
0.57109398,5903.74242
0.57196466,5917.67394
0.572661204,5915.38752
0.57327068,5903.58446
0.57414136,5871.05932
0.57501204,5820.64049
0.57588272,5753.21655
0.5767534,5669.95725
0.57762408,5572.2632
0.57849476,5461.70892
0.57936544,5339.98321
0.58067146,5140.26672
0.58197748,4925.18793
0.58720156,4012.51064
0.58894292,3718.19805
0.59068428,3438.3834
0.59242564,3175.8634
0.59373166,2991.1961
0.59525535,2789.28625
0.596887875,2588.97106
0.597976225,2464.37316
0.599064575,2346.66303
0.600152925,2235.56773
0.601241275,2130.79087
0.602329625,2032.02284
0.603417975,1938.94867
0.604506325,1851.25421
0.60613885,1729.12622
0.6072272,1653.54953
0.60831555,1582.31446
0.609948075,1483.01564
0.611036425,1421.48389
0.612124775,1363.40991
0.6137573,1282.30259
0.615389825,1207.79251
0.61702235,1139.25633
0.618654875,1076.13157
0.6202874,1017.91171
0.6224641,947.134532
0.62355245,914.410857
0.62572915,853.758086
0.6268175,825.636705
0.6289942,773.371727
0.63008255,749.072707
0.63225925,703.791755
0.63443595,662.520502
0.6355243,643.248799
