energy [eV],cross section [b]
1e-05,25.1168246
1.09381659e-05,24.0155468
1.15636099e-05,23.3570514
1.21890538e-05,22.7499127
1.28927338e-05,22.1203617
1.36746498e-05,21.4786324
1.48475238e-05,20.6128345
1.61182068e-05,19.7836477
1.75845076e-05,18.940857
1.90508084e-05,18.1973449
2.01506208e-05,17.6937756
2.13727117e-05,17.1804651
2.32058481e-05,16.4879252
2.4427939e-05,16.0702013
2.59557697e-05,15.5900595
2.74836004e-05,15.1505332
2.9011431e-05,14.7462011
3.05392617e-05,14.372604
3.24493214e-05,13.9431827
3.4359381e-05,13.5500863
3.62694407e-05,13.1884664
3.93734572e-05,12.6579376
4.29553279e-05,12.1187048
4.65371985e-05,11.6429922
5.07164716e-05,11.1529616
5.5194446e-05,10.690968
5.96724204e-05,10.2820069
6.34045959e-05,9.9748035
6.71367713e-05,9.69358653
7.27350345e-05,9.31307051
7.69340633e-05,9.05535289
8.15999453e-05,8.79264986
8.62658274e-05,8.55155938
9.09317095e-05,8.32927177
9.90978317e-05,7.97870912
0.000104931013,7.75376749
0.000110764194,7.54683768
0.000120243631,7.24325309
0.0001311824,6.93468779
0.000142121168,6.66247069
0.00015488436,6.3820604
0.000164001295,6.20213265
0.000177676699,5.95867156
0.00018793406,5.79377913
0.000199331849,5.62569694
0.000216428531,5.39892655
0.000227826319,5.26214396
0.000242075579,5.1049228
0.000256324838,4.96100104
0.000270574098,4.82860356
0.000293730409,4.6343646
0.000320451566,4.43693888
0.000338265671,4.31852739
0.000356079776,4.20911685
0.000389485967,4.0245629
0.000422892159,3.86233377
0.000459084177,3.70696465
0.000486926624,3.59942259
0.000514769072,3.500728
0.000556532744,3.36681473
0.000591340748,3.26622175
0.000626148752,3.17413797
0.000660956755,3.08942764
0.000695764759,3.01115649
0.000739280946,2.92118978
0.000782797132,2.83883338
0.000826313318,2.76307153
0.000869829504,2.69306865
0.000951433945,2.57498764
0.00103303839,2.47119045
0.00112144803,2.37178242
0.00122346807,2.27074346
0.00132548811,2.18160663
0.00144452357,2.08978696
0.00152955235,2.03087004
0.00165709552,1.95114929
0.00175276045,1.89715564
0.00185906152,1.84211752
0.0019653626,1.79160737
0.00207166367,1.74503656
0.00219126182,1.69674659
0.00239060465,1.62446435
0.00252349987,1.58111109
0.00265639509,1.54105329
0.00290560902,1.47348369
0.00315482296,1.41408773
0.00342481948,1.35720338
0.00373638115,1.29938575
0.00404794283,1.24837889
0.00428163253,1.21383272
0.00454130415,1.17861827
0.00493081157,1.1311082
0.005352801,1.08560713
0.00567743663,1.05411258
0.00600207227,1.02520908
0.0063267079,0.998559779
0.00669195181,0.970926727
0.007097804,0.942759123
0.00770658228,0.904756401
0.00811243447,0.881834041
0.00861982178,0.855486528
0.00938090275,0.820048971
0.0101419837,0.78867929
0.0110934701,0.754098222
0.0117277943,0.733420891
0.0126792807,0.705364945
0.0134722986,0.684289865
0.0146618255,0.655943753
0.0158513524,0.630851485
0.0168427657,0.612002659
0.0178341789,0.594748252
0.0188255922,0.578875452
0.0198170055,0.564209201
0.0210564481,0.547351452
0.022915612,0.524677668
0.025037388,0.501953175
0.0274273261,0.47958469
0.0302637608,0.456556786
0.0329100489,0.437815612
0.0348472283,0.425471863
0.0377529974,0.408769451
0.0411434053,0.391564294
0.0435652235,0.380524433
0.0471979509,0.365586315
0.0499227115,0.355468937
0.0529504144,0.345155826
0.0559781172,0.335691154
0.0590058201,0.326964624
0.0624122547,0.317915939
0.0680900041,0.304371487
0.0718751704,0.296247805
0.0756603366,0.288741621
0.0827585316,0.276080127
0.0898567267,0.264950198
0.0975468581,0.254290858
0.103462861,0.246912735
0.112336865,0.236958392
0.121950895,0.227424921
0.129346949,0.220826089
0.136743003,0.214770113
0.147837085,0.206553044
0.157083466,0.200380504
0.166329847,0.194730069
0.175576228,0.189532051
0.184822609,0.184729128
0.202162036,0.176627478
0.213721655,0.171783151
0.225281273,0.167316605
0.245512658,0.160272487
0.267190021,0.153631308
0.288867385,0.147752391
0.306934421,0.143336208
0.334034975,0.137396334
0.361135528,0.132138209
0.383722532,0.128188346
0.406309535,0.124572551
0.44019004,0.119679914
0.465602424,0.116366143
0.493840189,0.11298821
0.522077954,0.109888123
0.550315719,0.107029763
0.599736823,0.102521824
0.635039044,0.0996291856
0.670341265,0.0969681097
0.727710508,0.0930639576
0.793911576,0.0890955955
0.860112644,0.0855945473
0.93735506,0.0819879588
0.992530454,0.0796736606
1.07529354,0.076542035
1.13737076,0.0744209343
1.2063498,0.0722587115
1.30981836,0.0693413589
1.3787974,0.0675815823
1.46503345,0.0655587531
1.5512695,0.0637069338
1.63750555,0.0620033018
1.77764679,0.0595037416
1.93936236,0.0569629287
2.04717273,0.0554388744
2.15498311,0.0540305732
2.35715628,0.0516548156
2.55932945,0.0495661762
2.77836236,0.0475655896
2.94686394,0.0461806698
3.11536552,0.0449095515
3.36811789,0.0431846126
3.57877478,0.0418886825
3.89476013,0.0401453622
4.10541702,0.0390965427
4.34242474,0.0380088535
4.73746253,0.0363804394
5.00082106,0.0354035504
5.26417959,0.0345007703
5.75804699,0.0329776029
6.08729192,0.0320666088
6.41653685,0.0312264923
6.99277394,0.0299012037
7.61019588,0.0286512815
8.22761783,0.0275444183
8.74220921,0.0267126755
9.25680059,0.0259510511
10.0286877,0.0249200932
10.929314,0.0238575698
11.5726446,0.0231754735
12.2159752,0.022547753
12.8593058,0.0219675257
14.0657221,0.0209882656
14.8699996,0.0204023794
15.6742771,0.0198619324
16.5791607,0.0193012563
17.5846504,0.0187294185
19.0928849,0.0179573618
20.726895,0.0172172911
22.612456,0.0164643346
24.4980171,0.0157993769
25.9122995,0.0153486005
27.4838235,0.0148887315
29.8411097,0.0142676423
32.3949759,0.0136720437
34.35966,0.0132592997
36.3243442,0.01288013
38.2890284,0.0125301844
40.4994726,0.0121669432
42.9556767,0.0117962516
46.6399829,0.0112953934
49.096187,0.0109928469
52.1668783,0.010644651
56.7729153,0.0101755226
61.3789523,0.0097594107
67.1373165,0.00929970632
70.976226,0.00902429406
76.7345902,0.00864991027
81.5339087,0.00836812428
88.7328865,0.00798831805
93.5322051,0.00775938914
98.9318646,0.00752162096
104.931865,0.00727883146
110.931865,0.00705562944
116.931866,0.00684949869
123.682399,0.00663541129
134.933998,0.00631428811
146.185597,0.00603032742
159.313795,0.00573718638
173.380292,0.00546026739
187.446789,0.00521474479
199.170535,0.00503011674
216.756154,0.00478161223
228.4799,0.00463208926
241.670155,0.00447706932
256.32692,0.00431913803
270.983684,0.00417434734
285.640449,0.00404104433
302.13061,0.0039031021
329.615948,0.00369739179
347.939506,0.00357461582
366.263065,0.00346170448
400.624618,0.00327275288
434.98617,0.00310873448
472.21322,0.00295412315
500.851915,0.00284893869
529.490611,0.0027540562
572.448654,0.00262844944
608.252109,0.00253704782
644.055564,0.00245614441
679.859019,0.00238456002
715.662474,0.00232133905
748.994355,0.00226931516
798.992178,0.00220250925
832.324059,0.00216487396
871.84759,0.00212690473
922.45169,0.00208825347
950.1982,0.00207161957
1000.8023,0.00204937097
1026.10435,0.00204212928
1068.18989,0.00203584211
1101.75687,0.00203607302
1135.57748,0.00204116758
1177.91665,0.00205476445
1228.52075,0.00208238136
1253.8228,0.00210126701
1291.77587,0.00213665453
1329.72895,0.00218153526
1365.15182,0.00223332739
1395.51428,0.00228662157
1419.09579,0.0023346206
1456.2392,0.00242423914
1481.94608,0.00249841996
1503.35162,0.00256951552
1523.59326,0.00264612775
1537.20576,0.00270370063
1556.63773,0.00279592163
1573.64071,0.00288818041
1586.08932,0.00296396214
1597.93068,0.00304368988
1612.50466,0.00315394825
1620.3989,0.00322022076
1633.9102,0.0033463991
1644.03102,0.00345335831
1653.59519,0.00356619486
1663.6148,0.0036989983
1671.25602,0.00381215227
1678.89724,0.00393741613
1688.58793,0.00411696744
1695.6219,0.00426457061
1704.19929,0.00446839506
1712.70078,0.00470181747
1719.0769,0.00490189838
1725.3518,0.00512407823
1729.50134,0.00528711391
1733.54967,0.00546039866
1736.3835,0.00559103973
1741.64632,0.00585683989
1745.69465,0.00608469471
1748.21593,0.00623831983
1751.86835,0.00647881721
1755.81547,0.00676567452
1759.8638,0.00709347629
1761.88796,0.00727185996
1765.93629,0.00766173762
1767.96046,0.00787516327
1772.00878,0.00834465359
1775.04503,0.00873940905
1778.08128,0.00917672979
1780.10544,0.00949510828
1782.1296,0.00983754235
1785.16585,0.0104019765
1787.19001,0.0108164988
1789.21418,0.0112656721
1791.23834,0.0117535559
1793.26251,0.012284824
1795.28667,0.0128648791
1797.31083,0.013499994
1799.08198,0.0141066078
1801.35916,0.0149659277
1803.63635,0.0159278863
1805.91353,0.0170097359
1808.19072,0.0182325175
1808.94978,0.018675738
1810.4679,0.0196221057
1811.47998,0.0203013705
1812.49206,0.0210231134
1813.50415,0.0217909813
1815.02227,0.0230382429
1816.03435,0.0239401395
1817.55247,0.0254118426
1818.56456,0.0264811279
1820.08268,0.0282349493
1821.09476,0.0295160531
1822.61288,0.0316294724
1823.62497,0.0331826131
1824.13101,0.0340072291
1825.14309,0.0357616678
1826.15517,0.0376700959
1826.91423,0.0392135773
1827.67329,0.0408630096
1828.68538,0.0432444436
1829.19142,0.0445207519
1830.2035,0.0472634886
1831.21558,0.0502887667
1832.22766,0.0536368768
1833.23974,0.0573555583
1833.99881,0.0604215847
1834.50485,0.0626127591
1835.01089,0.064932424
1835.51693,0.0673908436
1836.02297,0.0699993282
1836.52901,0.0727703644
1837.03505,0.0757177654
1837.54109,0.0788568438
1838.04713,0.0822046108
1838.55318,0.0857800076
1839.05922,0.0896041746
1839.56526,0.0937007647
1840.0713,0.0980963101
1840.83036,0.10531648
1841.3364,0.110598492
1841.84244,0.116301966
1842.34848,0.122472997
1842.85452,0.129164162
1843.36056,0.136435639
1843.86661,0.144356569
1844.37265,0.153006701
1844.87869,0.162478413
1845.38473,0.172879182
1845.89077,0.184334652
1846.39681,0.196992442
1846.90285,0.211026922
1847.40889,0.22664525
1847.66191,0.235123906
1848.04144,0.24877731
1848.29446,0.258561313
1848.54749,0.268942522
1848.80051,0.279970544
1849.05353,0.291700241
1849.30655,0.304192417
1849.55957,0.3175146
1849.81259,0.331741962
1850.19212,0.354966367
1850.44514,0.371845746
1850.82467,0.399538647
1851.07769,0.419772001
1851.45722,0.45315679
1851.71024,0.477694356
1851.83675,0.490722899
