energy [eV],cross section [b]
1e-05,4917.15299
1.05989175e-05,4776.20612
1.14972936e-05,4585.81093
1.20962111e-05,4470.84252
1.2766869e-05,4351.83035
1.38804664e-05,4173.61422
1.53652631e-05,3966.83894
1.67456417e-05,3799.82756
1.76658941e-05,3699.53482
1.85861466e-05,3606.78619
2.01869873e-05,3460.82449
2.18980591e-05,3322.8657
2.36091309e-05,3200.19079
2.50231229e-05,3108.4604
2.6437115e-05,3024.1915
2.85581031e-05,2909.7252
3.1017837e-05,2791.97347
3.27705749e-05,2716.28472
3.62760507e-05,2581.71249
3.95350047e-05,2473.01923
4.17076407e-05,2407.7474
4.38802767e-05,2347.38541
4.63131586e-05,2284.90035
4.90062865e-05,2221.23237
5.30459782e-05,2134.9824
5.74082623e-05,2052.26775
6.24157309e-05,1968.22609
6.74231994e-05,1893.73031
7.32304174e-05,1817.09643
7.73684792e-05,1767.83755
8.35755719e-05,1700.92706
9.07740076e-05,1632.09621
9.59034124e-05,1587.853
0.000106162222,1509.19011
0.000112520463,1465.93328
0.000118878704,1426.19509
0.000131595185,1355.54202
0.000143417383,1298.4761
0.000155239581,1248.06011
0.000168005849,1199.71077
0.000182660255,1150.58592
0.000197314662,1107.04106
0.000214309543,1062.2466
0.000226419621,1033.45364
0.00024458474,994.343025
0.000258145406,967.878543
0.00027315666,940.913171
0.000288167914,916.083406
0.000303179168,893.121475
0.000319988522,869.352041
0.000338595977,845.132757
0.000357203432,822.831624
0.000375810887,802.208135
0.000396647207,780.859409
0.000431244987,748.890827
0.000465842767,720.553706
0.000505966204,691.403623
0.00054885247,663.852208
0.000591738735,639.35347
0.000627179001,621.034747
0.0006803394,596.28967
0.000733499799,574.286412
0.000777430382,557.83372
0.000821360966,542.719549
0.000865291549,528.771747
0.000909222133,515.847645
0.000963677034,501.071092
0.00101813193,487.496748
0.00107258684,474.969992
0.00116079198,456.582453
0.00126204273,437.900533
0.00139704372,416.225759
0.00152255081,398.719981
0.00164805789,383.254806
0.00178358742,368.424225
0.00188730371,358.17145
0.00199102,348.730983
0.00214659443,335.875305
0.00227515772,326.262946
0.00246800265,313.279048
0.00259656594,305.439304
0.00274052899,297.324218
0.0029795732,285.173037
0.00329829881,271.076062
0.00359461013,259.691292
0.003792151,252.855199
0.00398969187,246.533781
0.00433332746,236.58653
0.00470062517,227.185905
0.00506792289,218.827866
0.00537144964,212.578902
0.00567497639,206.838881
0.00613026652,199.043033
0.00665827163,191.02488
0.00703451337,185.871818
0.00778699684,176.711726
0.00825337368,171.675717
0.00871975051,167.050146
0.00965250418,158.82814
0.0105196622,152.189502
0.0110977675,148.20399
0.0116758728,144.51907
0.0126815258,138.721692
0.0137564262,133.244319
0.0148313266,128.375734
0.0157196006,124.736595
0.0166078747,121.394592
0.0179402857,116.856898
0.0194854979,112.191509
0.0205865731,109.194201
