energy [eV],cross section [b]
1e-05,75.4908846
1.08757868e-05,72.3875984
1.17515737e-05,69.6380329
1.26955385e-05,66.9990958
1.37758593e-05,64.318388
1.48561802e-05,61.9356812
1.56604946e-05,60.3242259
1.65489095e-05,58.6826613
1.78815319e-05,56.4536629
1.93178959e-05,54.3143481
2.0413794e-05,52.8363263
2.26055903e-05,50.2095748
2.38294582e-05,48.9032116
2.51812958e-05,47.5724396
2.72090523e-05,45.7654509
2.856089e-05,44.6692418
3.02284401e-05,43.4196757
3.27297652e-05,41.7275599
3.52310903e-05,40.2190107
3.83165828e-05,38.5656832
4.03735777e-05,37.5703974
4.34590702e-05,36.2121392
4.59964623e-05,35.1991497
4.98025504e-05,33.8273971
5.36086385e-05,32.604457
5.67386212e-05,31.6923878
5.98686038e-05,30.8528135
6.29985864e-05,30.0766128
6.6128569e-05,29.3561943
6.99895377e-05,28.534991
7.57809906e-05,27.4229482
8.39537793e-05,26.0539832
9.10977865e-05,25.0115333
9.82417936e-05,24.0849674
0.00010649809,23.132537
0.000115310531,22.2310337
0.000124122972,21.4273286
0.00013136999,20.8279249
0.000142240516,20.0162349
0.000153111043,19.2925997
0.000162050552,18.7529123
0.000170990061,18.2561214
0.00017992957,17.7968297
0.000188869078,17.3705454
0.000199896348,16.8846248
0.000216437254,16.2266093
0.000239779465,15.4165683
0.000260183386,14.7997321
0.000280587306,14.2514664
0.000304168023,13.6878961
0.000329337139,13.1544603
0.000354506255,12.6788934
0.000375204383,12.3242153
0.000406251574,11.8439234
0.000450064781,11.2526666
0.000475596814,10.9464527
0.000513894864,10.5306603
0.000539426897,10.2784198
0.000570921762,9.99089146
0.000602416626,9.72621698
0.000633911491,9.48152088
0.000684831493,9.12221443
0.000743106905,8.7572205
0.000820807454,8.33241734
0.00089269269,7.98988296
0.000964577925,7.68639138
0.00104205926,7.39511057
0.00110117496,7.19386875
0.00116029065,7.00820939
0.00124896419,6.75484145
0.00132188595,6.56587943
0.00143126859,6.30999393
0.00158562729,5.99498929
0.0017205555,5.75511691
0.00190045977,5.47593797
0.00206689953,5.25082556
0.0022333393,5.05137179
0.00241273602,4.85994275
0.00261804665,4.66548336
0.00282335728,4.49264076
0.00306063383,4.31497307
0.00322947352,4.20065795
0.00348273304,4.04503421
0.00377542391,3.885066
0.00398369495,3.78213905
0.00440023701,3.59866176
0.00465714832,3.49798646
0.00491405963,3.40531306
0.00542788224,3.24011362
0.00590324902,3.10690678
0.00653707139,2.95243219
0.0070864506,2.83566701
0.00767283603,2.72514485
0.00825922146,2.62661204
0.0089825532,2.51862229
0.00946477435,2.45361328
0.0101881061,2.3648956
0.0107829467,2.29872956
0.0116752076,2.20912945
0.0129343493,2.09882752
0.0136681109,2.04170135
0.0144018724,1.98899826
0.015955078,1.889683
0.0173127678,1.81405477
0.0191230209,1.72603276
0.0207977899,1.65505642
0.0224725589,1.5921693
0.0244445358,1.52657337
0.0262495344,1.47313122
0.0281486033,1.42254869
0.0299475966,1.37913969
0.0316465143,1.34159162
0.0341948908,1.2906061
0.0358938086,1.25967523
0.0379894969,1.22441666
0.0400851852,1.19196004
0.0421808735,1.16195284
0.0442765618,1.13410165
0.0468616838,1.10235356
0.0494468057,1.07312834
0.0520319277,1.04610856
0.0562114794,1.00643225
0.0609947687,0.966126474
0.0673724877,0.919213993
0.0732728814,0.8813849
0.0791732751,0.847866088
0.085533001,0.815694332
0.0903852612,0.793466333
0.0952375214,0.7729587
0.102515912,0.744970765
0.108501384,0.724096251
0.114486856,0.704880017
0.126457801,0.670622896
0.133841139,0.651824373
0.141224478,0.634519028
0.155991155,0.60366799
0.169652654,0.578788903
0.187867988,0.549934185
0.203656521,0.528120514
0.22050857,0.507470626
0.23736062,0.48905851
0.251219107,0.475325117
