energy [eV],cross section [b]
1e-05,0.07544891
1.090516e-05,0.07224987
1.176413e-05,0.06956219
1.257105e-05,0.06729264
1.332237e-05,0.06536761
1.474673e-05,0.06213061
1.591407e-05,0.05980851
1.684983e-05,0.05812407
1.835751e-05,0.05568611
2e-05,0.05335056
2.181024e-05,0.05108859
2.35281e-05,0.04918818
2.514186e-05,0.04758341
2.664444e-05,0.04622225
2.949314e-05,0.04393332
3.182781e-05,0.04229132
3.369931e-05,0.04110022
3.671479e-05,0.03937624
4e-05,0.03772463
4.362039e-05,0.0361252
4.705604e-05,0.03478143
5.028349e-05,0.03364671
5.328858e-05,0.03268423
5.898596e-05,0.0310657
6.365529e-05,0.02990462
6.739828e-05,0.02906238
7.342935e-05,0.02784332
8e-05,0.0266754
8.458977e-05,0.02594162
9.197275e-05,0.02487863
0.0001,0.02385922
0.0001090516,0.0228476
0.0001176413,0.02199769
0.0001257105,0.02127999
0.0001332237,0.02067125
0.0001474673,0.01964762
0.0001591407,0.01891331
0.0001684983,0.01838065
0.0001835751,0.0176097
0.0002,0.01687113
0.0002181024,0.01615584
0.000235281,0.01555487
0.0002514186,0.0150474
0.0002664444,0.01461696
0.0002949314,0.01389314
0.0003182781,0.01337389
0.0003369931,0.01299723
0.0003671479,0.01245206
0.0004,0.01192977
0.0004362039,0.01142399
0.0004705604,0.01099905
0.0005028349,0.01064022
0.0005328858,0.01033585
0.0005898596,0.009824027
0.0006365529,0.00945686
0.0006739828,0.009190519
0.0007342935,0.008805012
0.0008,0.008435682
0.0008458977,0.008203638
0.0009197275,0.00786749
0.001,0.00754512
0.001090509,0.007225249
0.001176399,0.006956506
0.001257084,0.006729568
0.00133221,0.006537079
0.001474644,0.00621338
0.001591377,0.005981168
0.001684952,0.005812722
0.00183573,0.005568909
0.002,0.005335323
0.002181016,0.005109136
0.002352796,0.004919102
0.002514165,0.00475863
0.002664417,0.004622517
0.002949285,0.004393622
0.003182751,0.00422942
0.003369901,0.004110308
0.003671458,0.003937901
0.004,0.003772726
0.004362032,0.003612785
0.00470559,0.003478408
0.005028328,0.003364935
0.005328831,0.003268686
0.005898567,0.003106829
0.006365499,0.002990718
0.006739798,0.002906491
0.007342914,0.002784578
0.008,0.002667779
0.008458971,0.002594399
0.009197267,0.002488097
0.01,0.002386151
0.01090508,0.002284999
0.01176397,0.002200015
0.01257082,0.002128251
0.01332207,0.00206738
0.01474641,0.001965016
0.01591374,0.001891583
0.01684949,0.001838314
0.01835728,0.001761211
0.02,0.001687342
0.02121058,0.001638489
0.02316523,0.001567849
0.0253,0.001500254
0.02758985,0.001436663
0.02976285,0.001383237
0.03180416,0.00133812
0.03370484,0.001299853
0.03730842,0.001235499
0.04026176,0.001189333
0.0426292,0.001155844
0.04644392,0.00110737
0.0506,0.00106093
0.05509748,0.001016718
0.0593595,0.0009795467
0.06335837,0.0009481384
0.06707775,0.0009214834
0.07411974,0.0008766276
0.07988227,0.0008444245
0.08449632,0.0008210509
0.09192188,0.0007871981
0.1,0.000754741
0.1090508,0.0007227623
0.1176397,0.0006958944
0.1257081,0.0006732055
0.1332207,0.0006539605
0.1474641,0.000621596
0.1591374,0.0005983781
0.1684949,0.0005815356
0.1835728,0.0005571566
0.2,0.0005337996
0.2181015,0.0005111823
0.2352794,0.0004921796
0.2514163,0.0004761327
0.2664414,0.0004625214
0.2949282,0.0004396312
0.3182748,0.0004232101
0.3369897,0.000411298
0.3671456,0.0003940557
0.4,0.0003775362
0.4362031,0.0003615398
0.4705588,0.0003480999
0.5028326,0.0003367505
0.5328828,0.0003271238
0.5898564,0.0003109344
0.6365496,0.0002993204
0.6739795,0.0002908955
0.7342912,0.0002787006
0.8,0.000267017
0.845897,0.0002596766
0.9197266,0.0002490426
1.0,0.0002388441
1.090508,0.0002287377
1.176397,0.000220246
1.257081,0.0002130748
1.332207,0.0002069918
1.474641,0.0001967614
1.591374,0.0001894218
1.684949,0.0001840974
1.835728,0.00017639
2.0,0.0001690053
2.181015,0.0001618541
2.352794,0.0001558454
2.514163,0.0001507711
2.664414,0.0001464667
2.949282,0.0001392278
3.182748,0.0001340343
3.369897,0.0001302667
3.671456,0.000124813
4.0,0.0001195876
4.362031,0.0001145274
4.705588,0.0001102757
5.028326,0.0001066851
5.328828,0.0001036394
5.898564,9.851712e-05
6.365496,9.484225e-05
6.739795,9.217633e-05
7.342912,8.83173e-05
8.0,8.461983e-05
8.45897,8.229674e-05
9.197266,7.893113e-05
10.0,7.570316e-05
10.90508,7.251339e-05
11.76397,6.983279e-05
12.57081,6.756867e-05
13.32207,6.564787e-05
14.74641,6.241693e-05
15.91374,6.00985e-05
16.84949,5.841638e-05
18.35728,5.598106e-05
20.0,5.364726e-05
21.81015,5.138682e-05
23.52794,4.94872e-05
25.14163,4.788273e-05
26.64414,4.652155e-05
29.49282,4.423193e-05
31.82748,4.258897e-05
33.69897,4.139693e-05
36.71456,3.967113e-05
40.0,3.801728e-05
43.62031,3.641541e-05
47.05588,3.506924e-05
50.28326,3.393223e-05
53.28828,3.296763e-05
58.98564,3.134508e-05
63.65496,3.01808e-05
67.39795,2.933605e-05
73.42912,2.811306e-05
80.0,2.694105e-05
84.5897,2.620458e-05
91.97266,2.513744e-05
100.0,2.411376e-05
109.0508,2.311139e-05
117.6397,2.226855e-05
125.7081,2.155633e-05
133.2207,2.095184e-05
147.4641,1.993449e-05
159.1374,1.920403e-05
168.4949,1.86738e-05
183.5728,1.790578e-05
200.0,1.716935e-05
218.1015,1.645565e-05
235.2794,1.585554e-05
251.4163,1.534842e-05
266.4414,1.491802e-05
294.9282,1.419365e-05
318.2748,1.367355e-05
336.9897,1.329602e-05
367.1456,1.274918e-05
400.0,1.222483e-05
436.2031,1.171666e-05
470.5588,1.128938e-05
502.8326,1.09283e-05
532.8828,1.062185e-05
589.8564,1.010609e-05
636.5496,9.735768e-06
673.9795,9.466961e-06
734.2912,9.077603e-06
800.0,8.704259e-06
845.897,8.46954e-06
919.7266,8.129275e-06
1000.0,7.802681e-06
1090.508,7.479279e-06
1176.397,7.207317e-06
1257.081,6.977474e-06
1332.207,6.782383e-06
1474.641,6.454007e-06
1591.374,6.218201e-06
1684.949,6.047018e-06
1835.728,5.799039e-06
2000.0,5.561229e-06
2181.015,5.357998e-06
2352.794,5.186273e-06
2514.163,5.040535e-06
2664.414,4.916377e-06
2949.282,4.706414e-06
3182.748,4.554848e-06
3369.897,4.444385e-06
3671.456,4.283694e-06
4000.0,4.128812e-06
4426.728,3.994346e-06
4776.392,3.896377e-06
5353.349,3.753912e-06
6000.0,3.616656e-06
6928.203,3.478418e-06
8000.0,3.345464e-06
8944.272,3.257143e-06
10000.0,3.171153e-06
11892.07,3.086692e-06
13542.56,3.024826e-06
16457.55,2.934344e-06
20000.0,2.846569e-06
30000.0,2.833205e-06
40000.0,2.915672e-06
50000.0,3.059657e-06
60000.0,3.286822e-06
70000.0,3.614989e-06
80000.0,4.018953e-06
90000.0,4.547154e-06
100000.0,5.302346e-06
115000.0,7.460702e-06
120000.0,8.813927e-06
125000.0,1.089651e-05
130000.0,1.438368e-05
135000.0,2.095568e-05
140000.0,3.579831e-05
142000.0,4.753899e-05
144000.0,6.697933e-05
146000.0,0.000102468
148000.0,0.0001768872
150000.0,0.0003671066
151000.0,0.0005786498
152000.0,0.0009473841
153000.0,0.001405942
153500.0,0.001507859
154000.0,0.001432663
155000.0,0.000984425
156000.0,0.0006016156
157000.0,0.0003799449
158000.0,0.0002552695
159000.0,0.0001815393
160000.0,0.0001352706
162000.0,8.347022e-05
164000.0,5.699978e-05
166000.0,4.179545e-05
168000.0,3.230171e-05
170000.0,2.599462e-05
180000.0,1.282553e-05
190000.0,8.938481e-06
200000.0,7.347165e-06
250000.0,5.80442e-06
350000.0,6.304085e-06
400000.0,6.618293e-06
450000.0,6.728483e-06
500000.0,6.668924e-06
600000.0,6.251e-06
700000.0,5.656069e-06
800000.0,5.026326e-06
900000.0,4.435441e-06
1000000.0,3.927715e-06
1200000.0,3.260461e-06
1400000.0,3.076483e-06
1600000.0,3.889216e-06
1800000.0,8.361785e-06
2000000.0,9.384615e-06
2200000.0,6.968592e-06
2400000.0,7.629888e-06
2600000.0,7.941707e-06
2800000.0,9.777214e-06
3000000.0,1.612541e-05
3200000.0,2.680202e-05
3400000.0,2.7554e-05
3600000.0,1.932281e-05
3800000.0,1.538662e-05
4000000.0,1.641309e-05
4200000.0,1.831241e-05
4400000.0,2.10893e-05
4600000.0,2.40355e-05
4800000.0,2.68334e-05
5000000.0,3.315967e-05
5200000.0,3.745373e-05
5400000.0,3.94625e-05
5600000.0,4.37537e-05
5800000.0,4.813838e-05
6000000.0,5.092469e-05
6200000.0,5.384854e-05
6400000.0,5.706067e-05
6600000.0,6.081282e-05
6800000.0,6.54297e-05
7000000.0,6.914026e-05
7200000.0,7.095413e-05
7400000.0,7.318211e-05
7600000.0,7.813264e-05
7800000.0,8.308316e-05
8000000.0,8.075316e-05
8200000.0,7.662823e-05
8400000.0,7.314504e-05
8600000.0,7.099352e-05
8800000.0,6.8842e-05
9000000.0,6.503204e-05
9200000.0,6.048267e-05
9400000.0,5.593331e-05
9600000.0,5.433817e-05
9800000.0,5.310199e-05
10000000.0,5.186582e-05
10200000.0,5.187813e-05
10400000.0,5.200682e-05
10600000.0,5.213551e-05
10800000.0,5.096168e-05
11000000.0,4.935298e-05
11500000.0,4.402495e-05
12000000.0,3.631169e-05
12500000.0,3.585325e-05
13000000.0,3.652077e-05
13500000.0,3.796251e-05
14000000.0,3.894411e-05
14500000.0,4.019548e-05
15000000.0,4.727722e-05
15500000.0,5.155171e-05
16000000.0,4.669543e-05
16500000.0,4.305769e-05
17000000.0,4.238842e-05
17500000.0,4.025057e-05
18000000.0,3.302666e-05
18500000.0,2.59185e-05
19000000.0,2.307084e-05
19500000.0,2.022317e-05
20000000.0,1.936631e-05
