energy [eV],cross section [b]
1e-05,20.6202708
1.09053035e-05,19.7458342
1.15088392e-05,19.2211162
1.21123749e-05,18.7361223
1.31633805e-05,17.9725892
1.42872372e-05,17.2512368
1.54110939e-05,16.6103059
1.68062656e-05,15.9059185
1.77363801e-05,15.4832409
1.91315519e-05,14.9079959
2.02862093e-05,14.4775113
2.20181954e-05,13.8964383
2.31728528e-05,13.5457986
2.44668856e-05,13.1827197
2.59002938e-05,12.8127402
2.7333702e-05,12.4722595
2.87671102e-05,12.1575551
3.03735409e-05,11.8316864
3.3042721e-05,11.3437452
3.66016277e-05,10.7781485
3.99151859e-05,10.3210834
4.32287442e-05,9.91763348
4.68089491e-05,9.53081233
5.09224476e-05,9.13775961
5.5035946e-05,8.78964116
5.81092974e-05,8.5540454
6.15136679e-05,8.31397189
6.66202235e-05,7.98897975
7.0024594e-05,7.79236099
7.42508281e-05,7.5673481
7.84770621e-05,7.36076571
8.27032962e-05,7.17022779
8.69295302e-05,6.99375954
9.21760375e-05,6.79180714
9.74225448e-05,6.60639638
0.000102669052,6.43538577
0.000111172104,6.18438403
0.000120941737,5.92933871
0.000130711371,5.7034505
0.000142053357,5.47102388
0.000150138799,5.32166942
0.000162266961,5.1189314
0.000171328373,4.98172459
0.000181365756,4.84191003
0.00019642183,4.65264036
0.000206459212,4.53813307
0.000218919762,4.40708955
0.000231380312,4.28677962
0.000243840862,4.17581371
0.000256301412,4.07304172
0.000271770117,3.95542821
0.000287238821,3.84744827
0.000302707526,3.74785472
0.000327777766,3.60167574
0.000356582372,3.45314186
0.000385386978,3.32158856
0.000418827479,3.18622741
0.000454585928,3.05834418
0.000490344376,2.94471828
0.000519938409,2.85968633
0.000549532441,2.78161924
0.00059392349,2.67564873
0.000627089733,2.60393118
0.000663828187,2.53085056
0.000700566641,2.46359673
0.000737305096,2.4014344
0.000778478143,2.33706683
0.000824085784,2.27147589
0.000892497246,2.18268416
0.000966413876,2.09755211
0.00105134084,2.01104861
0.00113626781,1.93443429
0.00123486316,1.85560235
0.00130514952,1.80494592
0.00141057907,1.73618343
0.00153297675,1.6654306
0.00162023124,1.6199657
0.00175111298,1.55825035
0.00184889972,1.51648331
0.0019572187,1.47392245
0.00206553767,1.434755
0.00217385665,1.39855276
0.0022952505,1.36106622
0.00249695358,1.30493555
0.00276589102,1.23987172
0.00301628811,1.1872929
0.0032666852,1.14088175
0.00353723209,1.09638349
0.0037444631,1.06561293
0.00405530962,1.02395824
0.0043911704,0.984020392
0.00464842993,0.956403357
0.00490568946,0.930988256
0.00529157876,0.89639946
0.00561094442,0.870514935
0.00593031008,0.846750575
0.00656904139,0.804531743
0.00716373901,0.770414218
0.00756020409,0.749941515
0.00795666918,0.731018713
0.00864707913,0.701228259
0.00938534525,0.673083554
0.0101236114,0.648076618
0.0110401055,0.620593824
0.0119565995,0.596334853
0.0129468452,0.573075747
0.0137053445,0.556992066
0.0144638437,0.542190752
0.0156015925,0.522046837
0.0165432043,0.506972138
0.0174848161,0.493132185
0.0193680396,0.468544667
0.021121435,0.448675207
0.0228748305,0.431136501
0.0253,0.409952375
0.0275741338,0.392683511
0.0298482677,0.37742788
0.0325504418,0.361422366
0.035252616,0.347294351
0.038172238,0.333748639
0.040408583,0.324381772
0.042644928,0.315761734
0.0459994456,0.304030252
0.0487756763,0.295250997
0.0515519069,0.287190837
0.0571043682,0.272871469
0.0622740467,0.261299818
0.065720499,0.254356084
0.0691669514,0.24793803
0.0751686527,0.237833986
0.0815863653,0.228288129
0.088004078,0.219806508
0.0959711181,0.210485144
0.103938158,0.202257204
0.112546317,0.194368385
0.119139916,0.188913262
0.125733514,0.183893078
0.135623911,0.177060834
0.143809298,0.171947921
0.151994685,0.167253798
0.168365458,0.158914395
0.183607642,0.152175222
0.193769099,0.148131282
