energy [eV],cross section [b]
1e-05,49.6020228
1.09561112e-05,47.3883039
1.19122223e-05,45.4467653
1.29495911e-05,43.5884409
1.41494752e-05,41.6993406
1.53493593e-05,40.036326
1.62512574e-05,38.9095181
1.72551308e-05,37.7607142
1.87609409e-05,36.2136256
2.03947263e-05,34.7328452
2.16545503e-05,33.7073575
2.29143742e-05,32.7676488
2.41741982e-05,31.9023908
2.55946264e-05,31.0045092
2.71756588e-05,30.0891005
2.95472075e-05,28.856324
3.21203085e-05,27.6763842
3.50965142e-05,26.4769032
3.80727199e-05,25.420975
4.15548072e-05,24.3325985
4.40448259e-05,23.6347851
4.77798539e-05,22.6922033
5.21497444e-05,21.7206565
5.52746257e-05,21.0977484
5.99619475e-05,20.2563461
6.34851933e-05,19.6862376
6.74068035e-05,19.1050002
7.13284138e-05,18.5723815
7.5250024e-05,18.0819609
7.9671567e-05,17.5730495
8.70537805e-05,16.8114407
9.4435994e-05,16.1409804
0.000103073002,15.4499172
0.000112337406,14.7991354
0.000121601811,14.2242194
0.000129352801,13.7914676
0.000140979285,13.2105425
0.00015260577,12.6973394
0.000162332975,12.3110403
0.000172060181,11.957981
0.000181787386,11.6336527
0.000191514591,11.3343587
0.000203721874,10.9895258
0.000215929156,10.6743648
0.000228136439,10.3848506
0.000248003565,9.96020911
0.000270983096,9.52853488
0.000286302784,9.2700978
0.000301622471,9.031609
0.000330460932,8.62852724
0.000359299393,8.27500483
0.000390588767,7.9366342
0.000414716234,7.70230161
0.000438843702,7.48757016
0.000475034902,7.19668974
0.00050531398,6.97773758
0.000535593058,6.77762552
0.000565872136,6.59379793
0.000596151214,6.4241596
0.000653149897,6.13744531
0.000691149018,5.96633871
0.00072914814,5.80878834
0.000795835192,5.56008353
0.000867366428,5.32587526
0.000938897664,5.11896987
0.000998743699,4.96322749
0.00108851275,4.75415902
0.00117828181,4.5694627
0.00125338636,4.43043754
0.00132849092,4.30337492
0.00144114776,4.13174293
0.00152582676,4.0154501
0.0016200802,3.89688698
0.00171433364,3.78824112
0.00180858708,3.68820282
0.00191485609,3.58439249
0.00203314067,3.4785555
0.00221056753,3.33602494
0.00240307349,3.19960277
0.00262573764,3.06092073
0.00284840179,2.93883553
0.00310891335,2.81299813
0.00329520352,2.73231703
0.00357463878,2.62333539
0.00390157114,2.51100414
0.00413535841,2.43898249
0.00436914568,2.37282147
0.00460293295,2.31176704
0.00489632732,2.24142259
0.00518972169,2.17713071
0.00548311606,2.11807041
0.00577651043,2.06356857
0.00632880904,1.97145161
0.00688110764,1.89065972
0.00748034481,1.81332973
0.00817345911,1.7347181
0.00886657342,1.66551373
0.00967750004,1.59418173
0.0102573886,1.54844655
0.0111272213,1.48666824
0.0117810349,1.44480853
0.0125087735,1.40213114
0.0136003815,1.34465672
0.0143281201,1.3100454
0.0152414051,1.2701672
0.0161546902,1.23371978
0.0170679752,1.20023777
0.0185543297,1.15112733
0.020273538,1.10120204
0.0219927464,1.05725033
0.0239329079,1.0134534
0.0260548158,0.971269982
0.0283192634,0.931588822
0.0301243543,0.903215631
0.0319294452,0.877282984
0.0346370815,0.842252593
0.0378049492,0.806143728
0.0400702715,0.7829913
0.0423355938,0.76172204
0.044600916,0.742093677
0.0488652593,0.708916788
0.0517081549,0.689116013
0.0545510504,0.670883023
0.0595402269,0.642098825
0.0648918199,0.61498979
0.0702434129,0.591038603
0.0769594639,0.564588628
0.0814368313,0.548802028
0.0881528823,0.527414887
0.0937718126,0.51131444
0.102200208,0.4896984
0.110628603,0.470599249
0.117680153,0.4562208
0.124731702,0.443077834
0.131783252,0.431002806
0.138834801,0.419858356
0.147684235,0.407016324
0.160958385,0.389773665
0.174232535,0.374537309
0.190891102,0.357708593
0.207549669,0.342944407
0.225624009,0.32880845
0.239561265,0.319015923
0.26046715,0.305824143
0.283149777,0.293192676
0.300640518,0.284441722
0.318131259,0.276420176
0.344367371,0.265549663
0.366317603,0.257363564
0.388267835,0.249878852
0.410218067,0.243000472
0.4321683,0.236650487
0.473488393,0.225911974
0.514808486,0.216486741
0.559640277,0.207458493
0.611495464,0.198272807
0.663350651,0.190178989
0.72401994,0.181828174
0.767404167,0.176469113
0.832480507,0.169223472
0.881395419,0.164309161
0.935841017,0.159294459
1.01750941,0.15253336
1.07195501,0.148457122
1.14028222,0.143755816
1.20860943,0.13945412
1.27693664,0.135497993
1.38813791,0.129686873
1.51676009,0.123767997
1.60250821,0.120218294
1.68825632,0.116938118
1.84967239,0.111383475
2.01108846,0.106499603
2.18622291,0.101813115
2.32127037,0.0985600257
2.45631783,0.0955731429
2.65888902,0.0915172645
2.82836859,0.0884562629
2.99784815,0.0856520891
3.16732771,0.0830701863
3.33680728,0.0806822028
3.65584314,0.0766334942
3.86853372,0.0742091138
4.0812243,0.0719709881
4.45448838,0.0684257506
4.85486658,0.0650723955
5.25524478,0.0620970033
5.7577046,0.0587962608
6.09267781,0.0568182474
6.59513762,0.0541284026
7.0155166,0.0520954171
7.43589558,0.0502308525
7.85627455,0.0485123409
8.27665353,0.0469215074
8.80421358,0.0450825531
9.33177363,0.0433960338
10.1231137,0.041109006
