energy [eV],cross section [b]
1e-05,253.301108
1.09847504e-05,241.680646
1.16412507e-05,234.767011
1.2297751e-05,228.414655
1.34548984e-05,218.371753
1.46982444e-05,208.931436
1.59415904e-05,200.618302
1.75114391e-05,191.41469
1.8558005e-05,185.938967
2.01278538e-05,178.540659
2.14492479e-05,172.953627
2.34313391e-05,165.476724
2.47527333e-05,160.999204
2.62476266e-05,156.347201
2.87502152e-05,149.387506
3.04186076e-05,145.232884
3.2087e-05,141.406661
3.52467686e-05,134.919397
3.84065373e-05,129.250159
4.18428911e-05,123.829012
4.58324153e-05,118.316795
4.98219396e-05,113.480691
5.28308389e-05,110.201669
5.61889547e-05,106.857754
6.12261285e-05,102.367598
6.6704223e-05,98.0739317
7.09441804e-05,95.0979931
7.51841378e-05,92.3774813
7.94240952e-05,89.8778302
8.42207593e-05,87.2807688
8.957413e-05,84.6323099
9.7604186e-05,81.0759981
0.00010633714,77.6753082
0.00011647589,74.2174848
0.000126614639,71.1837834
0.000138528347,68.0537821
0.000147062471,66.049515
0.000159863657,63.3496394
0.000174905906,60.5640583
0.000185681092,58.7803362
0.000196456278,57.1454493
0.000207231465,55.6397872
0.000220836216,53.8984803
0.000234440967,52.3110306
0.000248045719,50.8560377
0.00026165047,49.5160495
0.000287416511,47.2441223
0.000313182551,45.2586668
0.000341203981,43.3600838
0.000373736187,41.4295924
0.000406268393,39.7358764
0.000444495906,37.9883843
0.00047187935,36.8693871
0.000512954517,35.3620166
0.000543933409,34.3399652
0.000578507749,33.2976789
0.00061308209,32.3448446
0.00064765643,31.4693574
0.000686770382,30.5597447
0.000752250731,29.1988871
0.000795904296,28.3865047
0.000839557862,27.638328
0.000922233357,26.369792
0.00100490885,25.2611906
0.00109482121,24.2010781
0.0011992073,23.1231289
0.00130359339,22.1773717
0.00142625401,21.2015654
0.00151411927,20.5767004
0.00160198453,20.0039624
0.00168984979,19.4764835
0.00180078847,18.8664364
0.00191172716,18.3102765
0.00202266584,17.8005088
0.00213360453,17.3310213
0.00234371132,16.5349824
0.00248378252,16.0613533
0.00262385371,15.6261586
0.00287074322,14.9380914
0.00313602408,14.2912635
0.00340130494,13.7216258
0.00373624858,13.0909185
0.00395954434,12.7156478
0.00429448799,12.208577
0.00457642124,11.8256163
0.0048583545,11.4764671
0.00514028775,11.1564273
0.00542222101,10.861662
0.00577818996,10.5207357
0.00613415892,10.2099033
0.00649012788,9.92498005
0.00684609684,9.66255281
0.00752026651,9.21755204
0.00819443618,8.82859304
0.00892761819,8.45658383
0.00977882488,8.0782438
0.0106300316,7.74623295
0.0116302563,7.40359764
0.0123467454,7.18414325
0.013421479,6.88845341
0.0142320432,6.68791541
0.0151366824,6.48336136
0.0160413217,6.29631864
0.0169459609,6.1244188
0.0179693793,5.94577382
0.0196826757,5.67841179
0.0208248733,5.51874697
0.0219670709,5.37165768
0.0244667677,5.08634466
0.0265178131,4.88291199
0.0286460485,4.6952623
0.0313773154,4.48287378
0.0341085823,4.2964017
0.0361685039,4.16988795
0.0384675025,4.04079686
0.0419160005,3.86732617
0.0442149991,3.76305439
0.047117715,3.6423828
0.0500204309,3.53229137
0.0529231468,3.43131104
0.0558258627,3.33824359
0.0594908321,3.23052118
0.0649882862,3.08619461
0.0704857404,2.95892511
0.0774268266,2.8178057
0.0843679127,2.69426999
0.0919165756,2.57593195
0.0977591197,2.49377883
0.106522936,2.38327418
0.116053878,2.27737789
0.123430675,2.20383631
0.130807472,2.13649307
0.138184269,2.07451347
0.14652964,2.0100053
0.155843584,1.94409217
0.165157529,1.88371395
0.174471473,1.82812634
0.190888233,1.74000719
0.20264802,1.68341524
0.214407808,1.63142173
0.233591549,1.55495697
0.248439458,1.5017837
0.270711321,1.43013594
0.294932716,1.36133373
0.313679687,1.31346586
0.332426658,1.26956698
0.35117363,1.22910722
0.372382079,1.18693677
0.396052007,1.14378299
0.419721936,1.10419427
0.443391864,1.06769646
0.485112481,1.00974012
0.529940962,0.95495992
0.574769442,0.90646415
0.631369887,0.852479219
0.669103517,0.820208574
0.725703961,0.776422537
0.773346446,0.743213905
0.820988931,0.712832734
0.868631416,0.68489811
0.916273901,0.659098295
0.946350605,0.64379172
1.00650401,0.615202175
1.06665742,0.589001153
1.12681082,0.564877444
1.19486238,0.539769779
1.23283723,0.526656712
1.30878692,0.502142663
1.34676177,0.490663777
1.46068632,0.458945755
1.57133816,0.431512468
1.68199,0.40686432
1.76312635,0.390314475
1.84426271,0.374899316
1.96533861,0.353759099
2.0864145,0.33456867
2.2074904,0.317066485
2.3285663,0.301037547
2.40500152,0.291595112
2.55787196,0.274104948
2.63430718,0.265990864
2.78717762,0.250882057
2.86361284,0.243838052
3.03655518,0.229018089
3.22956942,0.21409926
3.42258365,0.200655592
3.61559789,0.188487166
3.79356688,0.178254287
4.0379525,0.165543834
4.20087625,0.157828832
4.3638,0.150651889
4.5253521,0.144016678
4.68690419,0.137817084
4.89785542,0.1303143
5.10880665,0.123414298
5.2494408,0.119117013
5.5307091,0.111173799
5.67134325,0.107498493
5.86483157,0.102733738
6.01480981,0.0992557398
6.20905792,0.0950081628
6.5004301,0.0891310732
6.79180227,0.0837832582
7.08317444,0.0789027323
7.37454662,0.0744364699
7.59429952,0.0713141147
7.96218606,0.0665097866
8.20744375,0.0635717234
8.45270145,0.0608242682
8.69795914,0.0582513803
8.94321683,0.0558386825
9.18847452,0.0535732553
9.43373222,0.0514434617
9.65399805,0.0496376287
9.94699319,0.0473801049
10.1665664,0.0457884604
10.6057128,0.0428386819
11.0448592,0.0401679675
11.4840055,0.037742681
11.8576531,0.0358507622
12.3020111,0.0337838294
12.6929909,0.0321127935
13.0839706,0.030565918
13.4749504,0.0291314304
13.8659302,0.0277989137
14.2569099,0.0265591227
14.6478897,0.0254038302
15.0388695,0.0243256955
15.4530843,0.0232603678
15.8151287,0.0223886201
