energy [eV],cross section [b]
1e-05,1163.91657
1.09847504e-05,1110.5209
1.19695008e-05,1063.85832
1.30404498e-05,1019.23777
1.42837957e-05,973.867689
1.55271417e-05,934.062617
1.64648733e-05,907.073618
1.75114391e-05,879.550528
1.90812879e-05,842.592991
2.01278538e-05,820.394861
2.14492479e-05,794.722679
2.27706421e-05,771.318909
2.40920362e-05,749.868031
2.54134304e-05,730.112733
2.70818228e-05,707.265692
2.95844114e-05,676.690416
3.2087e-05,649.765861
3.52467686e-05,619.957238
3.84065373e-05,593.907424
4.18428911e-05,568.997589
4.45025739e-05,551.732611
4.84920982e-05,528.549491
5.28308389e-05,506.380897
5.61889547e-05,491.01587
5.95470706e-05,476.969649
6.29051864e-05,464.063762
6.6704223e-05,450.654954
7.09441804e-05,436.980793
7.51841378e-05,424.480308
7.94240952e-05,412.994668
8.68974446e-05,394.836182
9.49275007e-05,377.767226
0.000102957557,362.736318
0.000113096306,346.095346
0.000123235056,331.552763
0.000134261285,317.646582
0.000142795409,308.008221
0.000151329533,299.197134
0.00016413072,287.292379
0.000174905906,278.302181
0.000185681092,270.106361
0.000196456278,262.594424
0.000207231465,255.676265
0.000227638592,243.9467
0.000241243343,236.96815
0.000254848094,230.556147
0.00027882783,220.418939
0.000304593871,210.889968
0.000330359912,202.498759
0.000362892118,193.208702
0.000384580255,187.681545
0.000417112461,180.213738
0.000444495906,174.574217
0.000485571073,167.027063
0.000512954517,162.50747
0.000543933409,157.81175
0.000578507749,153.0231
0.00061308209,148.645462
0.00064765643,144.623215
0.000686770382,140.444222
0.000752250731,134.192172
0.000817731079,128.706974
0.000894674859,123.047659
0.000977350354,117.727894
0.00106002585,113.043301
0.00112961657,109.505596
0.0011992073,106.280476
0.00130359339,101.936033
0.00138232138,98.9903641
0.00147018664,95.986394
0.0015580519,93.2402512
0.00164591716,90.7170452
0.00174531913,88.0955056
0.00185625781,85.4220782
0.0019671965,82.9781065
0.00207813518,80.7325394
0.00227367572,77.1823419
0.00248378252,73.8451395
0.00269388931,70.9063836
0.00295917017,67.6528152
0.00322445103,64.8094936
0.00351295282,62.0905792
0.00373624858,60.20609
0.00395954434,58.4833397
0.00418284011,56.9004415
0.00443545462,55.255851
0.00471738787,53.5787052
0.00499932112,52.0455022
0.00528125438,50.6367636
0.00560020549,49.1731204
0.00595617444,47.6805038
0.00649012788,45.6762293
0.00707082006,43.75965
0.00774498973,41.8108619
0.0084191594,40.1010985
0.00921135375,38.3370591
0.00977882488,37.207474
0.0106300316,35.6858552
0.0116302563,34.1159451
0.0123467454,33.110677
0.0130632345,32.189299
0.0137797236,31.3407596
0.0146843628,30.3594355
0.0155890021,29.4648387
0.0164936413,28.6449083
0.0173982805,27.8898086
0.0190234253,26.6712278
0.0206485701,25.5995702
0.0228003032,24.3611066
0.0253,23.1258993
0.0271267196,22.3334863
0.0295564708,21.3957297
0.0313773154,20.765699
0.0341085823,19.9171882
0.0361685039,19.3420149
0.0384675025,18.7556029
0.0407665012,18.2196739
0.0430654998,17.7274033
0.045666357,17.2161276
0.0500204309,16.4516358
0.0529231468,15.9955519
0.0558258627,15.5757434
0.0613233168,14.8645615
0.0668207709,14.2438117
0.0727994358,13.6510609
0.0797405219,13.0494097
0.0866816081,12.5226614
0.093288,12.077957
0.09805737,11.7858463
0.10759611,11.2624739
0.11236548,11.0268712
0.119742277,10.6915027
0.127119074,10.3868664
0.134495871,10.1087276
0.147615501,9.66914873
0.153358334,9.49575434
0.164844,9.17837573
0.179128445,8.83034448
0.196768127,8.45883499
0.214407808,8.13934663
0.2364,7.79928058
0.248689808,7.63259915
0.273269423,7.34069312
0.296757615,7.10496828
0.321103779,6.89725523
0.347399337,6.70786159
0.370029558,6.56958811
0.397401,6.42861522
0.41529,6.35024019
0.455226828,6.20957548
0.472076121,6.16302672
0.505774707,6.09032235
0.548696721,6.03357233
0.584474721,6.01429089
0.629958,6.0240048
0.665736,6.0574608
0.710711971,6.13116668
0.755181,6.23894928
0.790959,6.35161545
0.844626,6.5664766
0.8893485,6.79094466
0.934116951,7.06147424
0.969849,7.31398743
0.987738,7.45378763
1.023516,7.76274978
1.059294,8.11493495
1.077183,8.30900294
1.112961,8.73728009
1.13085,8.97343201
1.15688753,9.34633478
1.1755725,9.63720931
1.1934615,9.93563288
1.2113505,10.2552094
1.2292395,10.5977492
1.2471285,10.9652737
1.2650175,11.3600447
1.2829065,11.7845996
1.3007955,12.2417912
1.3186845,12.7348361
1.345518,13.5497143
1.363407,14.149389
1.381296,14.7999547
1.399185,15.507138
1.4081295,15.8839776
1.4260185,16.6887123
1.4439075,17.568419
1.45676916,18.2524533
1.46767224,18.8694159
1.48863,20.1614512
1.506519,21.3887663
1.5154635,22.0507341
1.5279858,23.0372473
1.5387192,23.9431626
1.5494526,24.9100174
1.560186,25.9433774
1.5744972,27.4354976
1.5816528,28.2352361
1.595964,29.9538944
1.6031196,30.8781408
