energy [eV],cross section [b]
1e-05,502.696121
1.09473267e-05,480.453646
1.15788778e-05,467.167149
1.2210429e-05,454.925279
1.33172984e-05,435.609621
1.45039392e-05,417.409704
1.569058e-05,401.315586
1.71769905e-05,383.55883
1.81679309e-05,372.951868
1.96543414e-05,358.571915
2.08956135e-05,347.758659
2.27575218e-05,333.229184
2.39987939e-05,324.497087
2.53968514e-05,315.439132
2.77291158e-05,301.882192
2.92839586e-05,293.758614
3.08388015e-05,286.257421
3.37602435e-05,273.591569
3.57078715e-05,266.025648
3.76554995e-05,259.054584
4.10689522e-05,248.055392
4.47284102e-05,237.691552
4.83878682e-05,228.526847
5.14438095e-05,221.635287
5.44997507e-05,215.331816
5.90836627e-05,206.810102
6.44395679e-05,198.029156
6.82675024e-05,192.397061
7.2095437e-05,187.2197
7.59233715e-05,182.439001
8.31157952e-05,174.366734
8.79107443e-05,169.544783
9.27056934e-05,165.101948
0.000101109419,158.091886
0.000110118796,151.486749
0.000119128173,145.645851
0.000130413503,139.201547
0.000137937056,135.352055
0.000149222386,130.133263
0.000158646543,126.208903
0.000172782778,120.935846
0.000182206935,117.766782
0.000192821459,114.479457
0.00020462635,111.128242
0.000216431241,108.05509
0.000228236133,105.223559
0.000241532103,102.286363
0.000263712675,97.8902932
0.000278499724,95.2560841
0.000293286772,92.823694
0.000321070611,88.7165745
0.00034885445,85.1104457
0.000378977878,81.6578652
0.000402179614,79.2674503
0.000436982219,76.0454052
0.00047471544,72.9605541
0.00050377841,70.8247387
0.00053284138,68.8661397
0.00056190435,67.0615318
0.00059463827,65.1895807
0.00063104314,63.2812478
0.00066744801,61.5312561
0.00070385288,59.9188541
0.000744856058,58.2462815
0.000790457543,56.541202
0.000858859771,54.2429217
0.000933021932,52.0425015
0.00101870396,49.8058044
0.00110438599,47.8347358
0.00120449804,45.8037061
0.00127604942,44.5010042
0.00138337648,42.7398701
0.00150877888,40.9251612
0.0015984056,39.7612073
0.00168803231,38.6912305
0.00177765903,37.7032293
0.00188992729,36.5662193
0.00200219554,35.5262353
0.0021144638,34.5702191
0.00222673206,33.6874475
0.00243767633,32.1968764
0.0026486206,30.8881258
0.00287732782,29.6351008
0.00314156093,28.3614172
0.00340579404,27.2389946
0.00371452761,26.0824265
0.00393518347,25.3406035
0.00426616727,24.3377259
0.00451469423,23.6583461
0.00479109228,22.9657619
0.00520568935,22.0322252
0.0054820874,21.4696064
0.00582830925,20.8221338
0.0061745311,20.2299123
0.00652075295,19.6855061
0.00708381708,18.8869104
0.00773434394,18.0751473
0.00838487079,17.3597872
0.00914495524,16.6226638
0.00995981848,15.9281173
0.0107746817,15.3139307
0.011455158,14.8520811
0.0121356342,14.4296423
0.0131563486,13.8585421
0.0143489651,13.2700667
