energy [eV],cross section [b]
1e-05,6974.91591
1.09867509e-05,6654.31514
1.16445848e-05,6463.61309
1.23024187e-05,6288.41877
1.34622677e-05,6011.41142
1.47086659e-05,5751.0573
1.5955064e-05,5521.84018
1.70046422e-05,5348.70105
1.80542204e-05,5190.88814
1.96285878e-05,4978.34469
2.14791343e-05,4759.03919
2.28048918e-05,4618.62131
2.41306493e-05,4489.94017
2.54564067e-05,4371.44684
2.79683199e-05,4170.49966
2.96429286e-05,4050.97047
3.13175374e-05,3941.16104
3.42700963e-05,3767.53603
3.74429781e-05,3604.34839
4.06158599e-05,3460.67652
4.46236334e-05,3301.58456
4.72954824e-05,3206.95179
5.13032558e-05,3079.11461
5.4678158e-05,2982.55224
5.97405112e-05,2853.35331
6.31154133e-05,2775.99694
6.69343405e-05,2695.61862
7.11972927e-05,2613.64747
7.54602448e-05,2538.72379
7.9723197e-05,2469.89228
8.45470121e-05,2398.37169
9.2624029e-05,2291.37329
0.000100701046,2197.51955
0.000110194952,2100.67833
0.000120397304,2009.65726
0.000130599655,1929.52022
0.000139190943,1868.98758
0.000152077875,1787.99467
0.000164964807,1716.68623
0.000175816752,1662.82209
0.000186668696,1613.72491
0.000197520641,1568.73052
0.000208372585,1527.29749
0.00022208004,1479.36622
0.000235787496,1435.67657
0.000249494951,1395.63757
0.000271859579,1336.93179
0.0002978311,1277.23569
0.00032380262,1224.87111
0.000354330126,1170.83733
0.000387135625,1120.04851
0.000419941123,1075.33061
0.000447566275,1041.55073
0.000475191426,1010.75921
0.000516629152,969.28592
0.000547888856,941.162184
0.000582783111,912.479273
0.000617677367,886.260582
0.000652571623,862.172133
0.000714094856,824.080865
0.000758170961,799.688822
0.000802247067,777.333449
0.000874160176,744.552787
0.000957671188,711.215219
0.0010411822,681.968266
0.00113934291,651.784896
0.00120966662,632.455411
0.00131515218,606.417408
0.00139472816,588.758432
0.00148355639,570.746358
0.00157238463,554.279827
0.00166121286,539.149428
0.00176172795,523.424844
0.00187392987,507.385094
0.0019861318,492.720931
0.00209833373,479.245995
0.0022252977,465.241163
0.00243788673,444.281946
0.00265047576,425.88951
0.00290035766,406.902665
0.003168886,389.047531
0.00343741434,373.318923
0.00366353911,361.432174
0.00400272627,345.518751
0.00422885104,335.98525
0.00448472632,326.074502
