energy [eV],cross section [b]
1e-05,6557714.09
1.09433894e-05,6263188.44
1.18867787e-05,6009494.97
1.29092777e-05,5766572.16
1.4089996e-05,5519653.28
1.52707143e-05,5301956.8
1.61568711e-05,5154496.59
1.71420392e-05,5004176.45
1.86197914e-05,4801478.62
2.02214632e-05,4607386.6
2.14544705e-05,4473021.53
2.26874779e-05,4349764.88
2.39204852e-05,4236165.84
2.53085867e-05,4118347.53
2.68517823e-05,3998244.28
2.91665757e-05,3836292.34
3.16754804e-05,3681216.53
3.45726075e-05,3523590.16
3.74697347e-05,3384618.99
4.08527496e-05,3241440.33
4.32700555e-05,3149590.1
4.68960144e-05,3025370.48
5.11300961e-05,2897390.15
5.41555248e-05,2815289.88
5.86936679e-05,2704256.38
6.2099651e-05,2629046.45
6.58861884e-05,2552378.21
6.96727257e-05,2482048.69
7.34592631e-05,2417230.04
7.7722091e-05,2350004.23
8.48307686e-05,2249384.77
9.19394463e-05,2160674.36
0.000100240346,2069278.87
0.000109137358,1983142.44
0.000118034369,1906939.72
0.00012545786,1849664.35
0.000136593097,1772673.46
0.000147728333,1704561.83
0.000157019356,1653368.06
0.000166310378,1606527.28
0.000175601401,1563455.7
0.000184892423,1523673.58
0.000196520793,1477916.26
0.000208149163,1436049.85
0.000219777532,1397552.51
0.000238682764,1341078.93
0.000260513351,1283678.28
0.000275067075,1249270.04
0.000289620799,1217489.92
0.000316943317,1163854.07
0.000344265835,1116739.65
0.000373879533,1071627.65
0.000396676905,1040399.09
0.000419474276,1011753.37
0.000453670333,972906.054
0.000482202851,943708.879
0.000510735369,916995.227
0.000539267886,892432.004
0.000567800404,869745.477
0.000603510861,843652.459
0.000639221318,819779.224
0.000674931776,797828.04
0.000710642233,777554.24
0.000777683465,743339.611
0.000844724697,713287.123
0.000917387794,684513.976
0.00100129462,655271.436
0.00108520145,629493.42
0.0011831806,602939.007
0.00125319081,585906.572
0.00135820612,562875.03
0.00143702257,547276.737
0.00152464528,531378.206
0.00161226799,516796.266
0.0016998907,503358.908
0.00179853506,489424.701
0.00196303405,468573.406
0.00207270005,456076.941
0.00218236605,444536.89
0.00238824814,425065.203
0.00259413023,407966.413
0.00281727694,391599.718
0.00307495289,374970.806
0.00333262884,360316.555
0.00352602069,350394.234
0.00374102044,340283.119
0.00406352005,326655.325
0.00441306346,313613.891
0.0046821508,304590.626
0.00495123814,296317.318
0.00522032547,288695.923
0.00552326003,280795.499
0.0058600418,272746.476
0.00636521445,261901.032
0.00702299811,249586.178
0.00760500518,240061.252
0.00838802073,228860.022
0.00917933768,219043.667
0.00970688232,213184.639
0.0104981993,205248.365
0.0111584586,199291.389
0.0121488475,191296.159
0.0131392365,184236.218
0.0139655975,178939.045
0.0147919586,174099.96
0.0156183196,169657.359
0.0164446807,165560.634
0.0174789298,160857.141
0.0190303035,154550.69
0.0200645526,150769.084
0.0211714675,147040.987
0.0229408386,141667.831
0.0253,135427.168
0.0273794974,130632.034
0.0289995749,127273.023
0.0314296911,122750.39
0.0342673711,118118.353
0.0362950123,115163.59
0.0383226535,112459.494
0.0407636473,109491.644
0.0435080596,106477.084
0.0458391192,104147.109
0.0481701787,102001.266
0.052089316,98750.3775
0.0552654714,96396.4504
0.0584416268,94256.2627
0.0632058599,91386.7623
0.0661568949,89785.7932
0.072058965,86923.6869
0.0791065893,83997.9743
0.0865694208,81366.2767
0.0940322522,79119.0678
0.101466355,77191.5466
0.108843,75532.9669
0.120146874,73392.8982
0.128605124,72053.6482
0.137985708,70785.1337
0.148882074,69552.9725
0.160443361,68484.125
0.176509,67336.484
0.185306375,66849.4597
0.202222875,66151.1883
0.226638263,65609.4344
0.242934527,65506.0658
0.2610915,65601.3864
0.291028843,66186.5465
0.311841,66876.7546
0.3287575,67596.9273
0.3625905,69445.7469
0.380539616,70642.5442
0.405139904,72524.8632
0.43871475,75552.7291
0.461722578,77943.5731
0.481006,80153.8194
0.4979225,82253.999
0.52329725,85699.974
0.54021375,88203.8327
0.5655885,92287.0679
0.582505,95238.5016
0.606213089,99700.6395
0.62479625,103476.667
0.650171,109047.759
0.6670875,113038.48
0.69246225,119453.858
0.717837,126395.009
0.746046377,134729.002
0.7787364,145164.966
0.8058028,154366.286
0.887002,183557.391
0.9140684,192998.366
0.9411348,201696.56
0.9682012,209197.846
0.988501,213751.417
1.0020342,216168.255
1.0155674,218029.185
1.0291006,219289.67
1.0426338,219914.077
1.056167,219877.367
1.0697002,219166.396
1.08594004,217423.485
1.0967666,215732.778
1.1102998,213047.543
1.1305996,207907.367
1.1508994,201581.238
1.1779658,191649.302
1.2117988,177561.743
1.292998,141490.952
1.3200644,130010.763
1.3471308,119166.404
1.360664,114016.912
1.3877304,104299.179
1.4080302,97529.2877
1.42833,91200.9162
1.45370475,83893.6117
1.47096468,79290.3419
1.495996,73112.948
1.5129125,69253.2964
1.53828725,63906.4202
1.55520375,60616.9953
1.57212025,57532.1049
1.58903675,54638.8546
1.60595325,51924.8784
1.62286975,49378.4007
1.63978625,46988.2715
1.65670275,44743.9817
1.67361925,42635.6625
1.69053575,40654.0747
1.70745225,38790.5888
1.72436875,37037.161
1.7497435,34597.1457
1.76666,33087.2529
1.7835765,31663.4525
1.80801304,29747.105
1.834326,27852.8906
1.85970075,26176.3123
1.87661725,25133.3049
1.89353375,24145.5737
1.9189085,22759.9521
1.94428325,21479.9205
1.969658,20295.7466
2.003491,18851.0328
2.0204075,18181.0246
2.0542405,16935.5088
2.0880735,15803.99
2.10499,15276.9286
2.138823,14293.0285
2.172656,13394.2705
2.206489,12571.5941
2.240322,11817.0616
2.28262318,10958.9942
2.3249045,10185.1415
2.3587375,9619.42321
2.3925705,9096.35427
2.4264035,8611.93533
2.4602365,8162.60957
2.4940695,7745.20695
2.5279025,7356.89627
2.5617355,6995.14378
2.5955685,6657.67751
2.6294015,6342.4562
2.6632345,6047.64254
2.6970675,5771.57971
2.747817,5389.40874
2.7985665,5041.62592
2.8323995,4826.94741
2.85838918,4670.60591
2.916982,4343.13721
2.9677315,4084.84796
3.018481,3847.51591
3.0692305,3629.01147
3.11998,3427.4626
3.153813,3301.69328
3.221479,3068.82168
3.255312,2960.93794
3.322978,2760.53847
3.3737275,2622.4804
3.424477,2493.89008
3.492143,2335.76347
3.55740364,2196.23373
3.62506964,2063.57265
3.695141,1937.72
3.762807,1826.15127
3.830473,1723.37029
3.898139,1628.50742
3.965805,1540.79582
4.033471,1459.55742
4.101137,1384.19103
4.168803,1314.16225
4.270302,1218.09954
4.337968,1159.44105
4.405634,1104.66259
4.4733,1053.44039
4.5209145,1019.36997
4.57939283,979.600932
4.642465,939.101106
4.743964,878.697293
4.845463,823.59691
4.946962,773.215989
5.048461,727.047258
5.14996,684.648511
5.251459,645.632981
5.319125,621.332865
5.420624,587.222228
5.48829,565.92288
5.55496916,545.977631
5.65646816,517.460122
5.758954,490.73769
5.82662,474.142844
5.9112025,454.484151
5.995785,435.948207
6.0803675,418.453882
6.16495,401.927099
6.29182375,378.804465
6.37640625,364.412514
6.46098875,350.774785
6.5878625,331.623923
6.7570275,308.294398
6.84161,297.485536
6.98731939,280.074251
7.10791459,266.724772
7.2645225,250.682793
7.349105,242.57644
7.51827,227.430298
7.6028525,220.350783
7.7720175,207.089448
7.8566,200.875393
8.025765,189.207671
8.19493,178.467323
8.2795125,173.415502
8.4486775,163.895974
8.66958566,152.532001
8.83875066,144.562552
9.040755,135.789678
9.20992,129.006172
9.379085,122.68785
9.560228,116.398145
9.8019975,109.688594
10.04726,103.60444
10.22491,98.9827813
10.394075,94.8698143
10.53429,91.6622413
10.732405,86.5800867
10.8731,83.1651214
11.02132,81.2089081
11.2399,77.5907887
11.4936475,73.7541166
11.6628125,71.3942564
11.8514,68.9376711
11.99538,67.6998926
12.25489,64.5184897
12.424055,62.601836
12.762385,59.0832619
12.8297,58.4406209
12.96944,57.5899132
13.100715,56.4463063
13.4008681,54.0324984
13.6628442,52.1180742
13.94351,50.2473257
14.115705,48.8196115
14.454035,46.1865693
14.7863,43.8032079
14.91757,43.2956327
15.29986,41.3670697
15.63819,39.8328913
15.89163,38.7816515
16.31485,36.6991791
16.7429,34.7845422
16.86569,34.4964008
17.32984,33.1250979
17.83976,31.8099519
18.34483,30.348699
18.81382,29.1267235
19.35982,27.5673497
19.78788,26.4423704
20.205645,25.24706
20.6561,24.0328649
20.76194,23.8705577
21.220635,23.0030842
21.6070548,22.3212321
22.06646,21.5626657
22.573955,20.7843996
22.71007,20.6273462
23.41978,19.6530698
24.09644,18.8115828
24.5693,18.2701208
25.44976,17.4063049
26.12642,16.7913532
26.60632,16.3877926
27.3211642,15.6825256
27.8779881,15.1664673
28.4826,14.6350043
29.17139,14.1990003
30.50256,13.4233573
31.5397,12.7761214
32.3958,12.2805079
33.56968,11.8250345
34.39881,11.5300157
35.430495,11.1296156
36.34693,10.7987736
40.2222,9.3429035
42.0236426,8.83193323
44.1355,8.28312819
45.74956,7.93270945
48.0487,7.47032763
49.80952,7.21207012
55.89946,6.36697262
63.7016,5.50678331
79.3545,4.38672032
80.25922,4.34011885
87.1809,3.99881266
95.0074,3.65559724
110.66,3.17985549
126.313,2.82589916
157.619,2.289386
173.272,2.12207404
188.925,1.96903885
220.231,1.71155206
251.536,1.54781138
314.148,1.28988772
345.454,1.21129822
376.759,1.1378799
439.371,1.00478337
510.0,1.19305
600.0,1.06984
650.0,1.01637
700.0,0.970177
1000.0,0.789927
1500.0,0.628004
2150.0,0.457952
3000.0,0.345181
4650.0,0.243149
7000.0,0.179695
10000.0,0.140245
15000.0,0.107179
21500.0,0.0850204
24900.0,0.0774913
27900.0,0.0721707
30000.0,0.0631013
46500.0,0.0444744
70000.0,0.0326655
86500.0,0.0278236
100000.0,0.0247902
112000.0,0.0226034
120000.0,0.0213654
140000.0,0.0190198
150000.0,0.0179921
200000.0,0.014387
300000.0,0.0107991
340700.0,0.00994488
346100.0,0.00984611
380000.0,0.00866439
390000.0,0.00841312
400000.0,0.0081828
432600.0,0.00753888
500000.0,0.00644501
600000.0,0.00554515
800000.0,0.00475018
861000.0,0.00462485
1000000.0,0.00439089
1025100.0,0.00436519
1051100.0,0.00432158
1159100.0,0.00386133
1200000.0,0.00373008
1211000.0,0.00370196
1500000.0,0.00241327
1800000.0,0.00189614
2000000.0,0.00167648
2200000.0,0.00151005
2500000.0,0.0013323
3000000.0,0.00115075
4000000.0,0.000959285
5000000.0,0.00083303
6500000.0,0.000686264
8000000.0,0.000506159
8600000.0,0.000455266
9000000.0,0.000424634
10000000.0,0.000358832
10500000.0,0.000331218
11000000.0,0.000310261
12000000.0,0.000292311
13000000.0,0.000317128
14000000.0,0.0007521
14500000.0,0.0008577
15000000.0,0.0009484
16000000.0,0.001042
17000000.0,0.001032
18000000.0,0.0009764
19000000.0,0.0009142
20000000.0,0.0008637
