energy [eV],cross section [b]
1e-05,437.993444
1.08948675e-05,419.620358
1.14914458e-05,408.58285
1.20880241e-05,398.372871
1.27557835e-05,387.805336
1.34947241e-05,377.038133
1.4603135e-05,362.446681
1.57997131e-05,348.451602
1.71726255e-05,334.23243
1.8545538e-05,321.622994
2.01368637e-05,308.653171
2.12705519e-05,300.315102
2.29710843e-05,288.985229
2.49421501e-05,277.33154
2.63463719e-05,269.839589
2.91548154e-05,256.513758
3.08941285e-05,249.188316
3.26334415e-05,242.45662
3.61120677e-05,230.483044
3.93436191e-05,220.814558
4.14979868e-05,215.006277
4.36523544e-05,209.633466
4.73980055e-05,201.179658
5.14007064e-05,193.18757
5.54034072e-05,186.078035
5.87086544e-05,180.764013
6.3666525e-05,173.582924
6.86243957e-05,167.194829
7.27183783e-05,162.420047
7.6812361e-05,158.032271
8.09063436e-05,153.981898
8.50003262e-05,150.227789
9.00712614e-05,145.937524
9.51421965e-05,141.994994
0.000100213132,138.355627
0.000105284067,134.982461
0.000111565086,131.127544
0.000120986614,125.918207
0.000130408143,121.284124
0.000142077944,116.196189
0.000153747744,111.699118
0.000166345805,107.385838
0.000175982192,104.404129
0.000190436772,100.363378
0.000206041124,96.4877675
0.000217977055,93.8086105
0.000229912986,91.3408867
0.000241848917,89.0581729
0.000255208991,86.6955119
0.000269993209,84.2882027
0.000292169535,81.0258635
0.000306953753,79.0502544
0.000325265948,76.7924861
0.000352734241,73.7414445
0.000380202534,71.0273106
0.000414225622,68.0473478
0.00044824871,65.4134366
0.000484978123,62.8871583
0.000513072831,61.1407695
0.000555214894,58.7740884
0.000583309602,57.3408673
0.000618108588,55.7029463
0.000652907574,54.1977726
0.000705106053,52.152505
0.000744057103,50.7686491
0.000787160217,49.3586337
0.000830263331,48.0598849
0.000873366445,46.8584977
0.000948306869,44.9681617
0.00100169574,43.7528816
0.0010550846,42.6310396
0.00114153803,40.9841814
0.00124073172,39.3109203
0.0013399254,37.8270558
0.00145489957,36.3007467
0.00153680917,35.3194891
0.00165967358,33.9861149
0.00175135628,33.0839237
0.00185281208,32.1646671
0.00200499578,30.9188793
0.00210645158,30.1644368
0.00223211792,29.3022258
0.00235778425,28.5098782
0.00248345058,27.7784396
0.00268694404,26.70467
0.00292042543,25.6136561
0.00323173394,24.3471228
0.0035209313,23.3243503
0.00381012866,22.4202989
0.00412232987,21.5531415
0.00448053877,20.672036
0.00483874768,19.8906194
0.00510604691,19.3618718
0.00540183942,18.8231014
0.00584552819,18.0929155
0.00614132071,17.6506957
0.00650769858,17.1452834
0.00687407646,16.6807999
0.00724045433,16.2520001
0.00783373577,15.6224694
0.00851444644,14.9827718
0.00942206066,14.2400795
0.0102652102,13.6402545
0.0111083598,13.1099936
0.0120185766,12.6013104
0.0130629281,12.0843752
0.0141072795,11.62586
0.0148865855,11.3155652
0.0157489631,10.9993527
0.0170425296,10.5707323
0.0179049072,10.3111097
0.0189730751,10.0143483
0.020041243,9.74157901
0.021109411,9.4897282
0.0229581842,9.09599644
0.0253,8.66044097
0.0274698439,8.30748434
0.0299280309,7.95479658
0.0323862179,7.64290835
0.0350399383,7.34360961
0.0380847257,7.03934049
0.0411295131,6.76934878
0.0434015653,6.5865708
0.0459158113,6.40024873
0.0496871803,6.14758975
0.0522014264,5.99448724
0.0553156503,5.81942029
0.0584298742,5.65844269
0.061544098,5.50975142
0.0665870096,5.29130135
0.0723730725,5.069117
0.080087823,4.81086478
0.0872546218,4.60202871
0.0944214205,4.41719152
0.102158293,4.2396584
0.111035315,4.05900192
0.119912336,3.89853334
0.126536462,3.78980403
0.1338667,3.67888022
0.144862057,3.52831339
0.152192295,3.43698428
0.161271757,3.33246228
0.17035122,3.23626119
0.179430682,3.14731989
0.194133197,3.01649715
0.211002357,2.88323387
0.222248463,2.80276711
0.23349457,2.72805294
0.254389239,2.60231994
0.275283909,2.49083577
0.294662266,2.39795255
0.311008,2.32626896
0.334618567,2.23189082
0.358229134,2.14673303
0.379600307,2.07639997
0.411657067,1.9810379
0.433028241,1.92324669
0.456949329,1.86327379
0.496655836,1.77314649
0.523126841,1.71865726
0.549597846,1.66801778
0.598779569,1.58270267
0.647961293,1.506961
0.701055116,1.43400766
0.761973139,1.35956846
0.822891162,1.29328367
0.868348827,1.24828893
0.918652142,1.20232394
0.994107114,1.13984446
1.04441043,1.10190678
1.10671769,1.05846299
1.16902495,1.01846412
1.23133221,0.981483178
1.33222734,0.927113078
1.44799092,0.87180244
1.56375451,0.822731808
1.69793465,0.772284429
1.79352692,0.739893576
1.93691532,0.695972309
2.09013359,0.654277324
2.19555573,0.628261531
2.30097786,0.60414344
2.43236289,0.57643695
2.53165498,0.557041622
2.67831336,0.530544154
2.82497175,0.506318373
2.89830094,0.494968961
3.04495933,0.473645762
3.13578716,0.461284586
3.31744283,0.438297506
