energy [eV],cross section [b]
1e-05,107.905136
1.09819633e-05,102.967964
1.16366055e-05,100.029699
1.22912477e-05,97.3294191
1.34446336e-05,93.060982
1.46837308e-05,89.0479466
1.59228279e-05,85.5129747
1.74863912e-05,81.6003495
1.85287667e-05,79.271825
2.009233e-05,76.1249397
2.14076588e-05,73.749236
2.33806518e-05,70.5689741
2.46959806e-05,68.66398
2.61835232e-05,66.6849865
2.86731582e-05,63.7241929
3.03329148e-05,61.9562374
3.19926714e-05,60.3277119
3.51342343e-05,57.5674322
3.82757973e-05,55.1543766
4.16915735e-05,52.8467104
4.56557764e-05,50.500332
4.96199792e-05,48.441079
5.2608799e-05,47.0449382
5.59436368e-05,45.6212044
6.09458934e-05,43.7088991
6.63847752e-05,41.880113
7.05928631e-05,40.6126836
7.48009511e-05,39.4537714
7.90090391e-05,38.3887253
8.37680855e-05,37.2823076
8.90780902e-05,36.1540228
9.70430974e-05,34.6385535
0.000105703335,33.1892717
0.000115754034,31.7156776
0.000125804733,30.4224066
0.000137609996,29.0882143
0.000146065025,28.2337737
0.000158747569,27.0824843
0.00017364412,25.8947661
0.000184313157,25.1341301
0.000194982194,24.4368119
0.000205651231,23.7944878
0.000219114028,23.0519102
0.000232576826,22.3747805
0.000246039624,21.7540173
0.000259502421,21.1822106
0.000284984607,20.2130232
0.000301972731,19.6362297
0.000318960854,19.1061536
0.000348891497,18.2682418
0.000381046369,17.4804663
0.00041320124,16.7865366
0.000440251137,16.2626627
0.000480825983,15.561373
0.000521400829,14.9436262
0.000555533928,14.4772657
0.000589667027,14.0520083
0.000623800126,13.6621508
0.000657933225,13.3030394
0.000701004311,12.8878781
0.000765610939,12.3321178
0.000808682025,11.9992144
0.000857392341,11.6533794
0.00093891666,11.1359717
0.00102044098,10.681879
0.0011161971,10.213418
0.00121906913,9.77298731
0.00132194115,9.38502401
0.001408481,9.0921357
0.00153829077,8.70005749
0.00162483061,8.46520049
0.00172270099,8.22122045
0.00183190189,7.97241843
0.00194110279,7.74491878
0.00205030369,7.53584544
0.0021738021,7.31865061
0.00238049596,6.99370303
0.00251829187,6.79966959
0.00265608778,6.6209386
0.00291690586,6.31799727
0.00317772393,6.0531638
0.00346130768,5.79989675
0.00368071773,5.62437148
0.00390012779,5.46387461
0.00422924287,5.24697099
0.00450610696,5.08322213
0.0049214031,4.86401782
0.00519826719,4.7327132
0.00551138066,4.59630801
0.00586074352,4.45720689
0.00621010637,4.33001554
0.00655946923,4.21312601
0.00695457362,4.09169585
0.00761584251,3.91002278
0.0082771114,3.75058084
0.00905381882,3.58609374
0.00988824552,3.43144858
0.0107226722,3.2952258
0.0114246236,3.19238595
0.0124775507,3.0547181
0.0135304777,2.93345014
0.0144162399,2.84190024
0.0153020021,2.75841912
0.0161877643,2.68188715
0.0170735265,2.61139082
0.0181912316,2.52989137
0.0193089367,2.45557487
0.0204266418,2.38744464
0.0224832602,2.27562719
0.0243610867,2.18615767
0.0257714706,2.12549211
0.0271858824,2.06945824
0.0298554363,1.97476457
0.0325249903,1.89198245
0.0354275579,1.81281556
0.0376732878,1.75794925
0.0399190178,1.70778045
0.0432876128,1.63997959
0.0461214027,1.58879396
0.0489551925,1.54211948
0.0517889823,1.49933019
0.0546227722,1.45991536
0.059986528,1.39310862
0.0635623652,1.35334964
0.0671382024,1.3168108
0.0734383158,1.25905211
0.0802066081,1.20474899
0.0869749003,1.1569145
0.0955155164,1.10396922
0.10120926,1.07245958
0.109749877,1.02987551
0.116934567,0.997726884
0.127711602,0.954690325
0.134896292,0.928910923
0.143021662,0.902129884
0.152087713,0.87481928
0.161153764,0.849846744
0.170219815,0.826896618
0.180472869,0.803054729
0.197632957,0.767384059
0.214793045,0.736077771
0.234948791,0.703780204
0.256602365,0.673414425
0.27825594,0.646665379
0.296471749,0.626471037
0.323795461,0.599436951
0.351119173,0.575622619
0.374104917,0.557643747
0.39709066,0.541249028
0.431569274,0.519157748
0.457564505,0.504179684
0.486569223,0.488905113
0.515573941,0.47493788
0.544578659,0.462101493
0.595680821,0.44180959
0.650580526,0.422730685
0.705480231,0.405923539
0.774755801,0.387319503
0.844031372,0.371054426
0.919353704,0.355498426
0.977630941,0.344716599
1.03590818,0.33485725
1.12332403,0.32153172
1.19686157,0.311470835
1.30716786,0.298001309
1.3807054,0.289932133
1.46387108,0.281548757
1.60306185,0.269004715
1.69585569,0.261513388
1.78864953,0.254612132
1.96428835,0.242913029
2.0813809,0.235949358
2.19847345,0.229548855
2.40477376,0.219429486
2.62640481,0.209913297
2.84803587,0.201528639
3.01587678,0.195802598
3.28624169,0.187516641
3.49128967,0.181883689
3.71144677,0.176361856
3.94671298,0.170978122
4.18197919,0.166054044
4.4172454,0.161527598
4.68331465,0.156824008
4.98018694,0.152025954
5.42549537,0.14557875
5.90967283,0.139409953
6.47158834,0.133134061
7.03350385,0.127622747
7.69351365,0.121933261
8.16621829,0.118287355
8.87527524,0.113371675
9.70811316,0.108296263
10.3045988,0.105043382
10.9010844,0.102059393
11.49757,0.0993090055
12.2502494,0.0961270952
13.0029289,0.0932233484
13.7556083,0.0905592433
14.5082878,0.0881033431
15.9329484,0.0839361301
17.357609,0.0802878875
18.9066221,0.0767938294
20.7043399,0.0732353519
22.5020577,0.0701069161
24.4237434,0.0671472706
26.4074129,0.064432756
28.3910824,0.0620035874
30.104689,0.0600983131
32.0130058,0.0581562358
33.9213226,0.0563775525
35.8296393,0.0547403374
37.987809,0.0530367214
41.599843,0.0504821979
44.0078657,0.0489533349
46.4158883,0.0475425851
48.211528,0.0465586795
51.8028074,0.0447433938
56.0843276,0.0428065826
60.4873347,0.0410288881
66.2387143,0.0389740803
71.9900938,0.037166203
76.3565161,0.0359301681
82.4194425,0.0343776775
86.0330732,0.0335309023
89.646704,0.032735792
95.9485451,0.0314589345
101.324966,0.0304668252
106.533913,0.0295806909
111.575386,0.0287861889
117.681195,0.0278991115
124.179068,0.0270373645
129.220541,0.026422851
139.303487,0.0253268378
149.386433,0.024404643
156.343666,0.0238756014
160.578503,0.0236018703
168.140712,0.0232218497
174.871079,0.0230346562
180.870431,0.0230389586
184.676744,0.0231610397
187.381742,0.0233246509
189.718216,0.0235318176
192.037294,0.0238130537
194.154713,0.0241520483
196.246924,0.0245839997
197.784573,0.0249776314
199.649918,0.0255629644
201.313604,0.0262086251
202.851253,0.0269353246
204.338488,0.027786555
205.85093,0.0288402824
206.859224,0.0296730234
207.363372,0.0301355418
208.371666,0.0311674649
209.379961,0.0323656108
209.884108,0.0330376098
210.388256,0.0337649824
211.144476,0.0349730231
211.900697,0.0363426828
212.404845,0.0373595272
212.908992,0.038470955
213.413139,0.039688627
213.917287,0.0410260579
214.610489,0.0430899177
215.177655,0.0450035346
215.744821,0.0471549248
216.311986,0.0495842405
216.690097,0.0513819492
217.068207,0.0533419051
217.446318,0.0554839069
217.950465,0.0586632134
218.328575,0.0613256191
218.706686,0.0642622192
218.95876,0.0663910396
219.210833,0.068671795
219.588944,0.0724103758
219.841017,0.0751391687
220.093091,0.0780797688
220.471201,0.0829374529
220.723275,0.0865119744
220.975349,0.0903907675
221.353459,0.0968581321
221.605533,0.101663896
221.857606,0.106922781
221.983643,0.10974007
222.235717,0.115791319
222.487791,0.12246086
222.739864,0.129835516
222.991938,0.138017888
223.117975,0.142449204
223.370048,0.152079067
223.559104,0.160052246
223.748159,0.168756153
223.937214,0.178282619
224.126269,0.188738359
224.315325,0.200247959
224.50438,0.212957593
224.693435,0.227039667
224.88249,0.24269868
225.071545,0.260178656
225.260601,0.279772685
225.323619,0.286833032
225.449656,0.301835246
225.575693,0.318124551
225.70173,0.335852244
225.764748,0.345308914
225.890785,0.365529082
225.953803,0.376346698
226.07984,0.399548575
226.142858,0.412000873
226.268895,0.438799785
226.331914,0.453232878
226.457951,0.48441132
226.520969,0.501267919
226.647006,0.537833112
226.741533,0.568041477
226.804552,0.589662492
226.86757,0.61257971
226.962098,0.649619828
227.025116,0.676263811
227.088135,0.704624587
227.182662,0.750718545
227.245681,0.784067304
227.308699,0.81973855
227.403227,0.878089553
227.466245,0.920591153
227.529264,0.966312875
227.623791,1.04167397
227.68681,1.09700237
227.749828,1.15692661
227.812846,1.22196928
227.875865,1.29272935
227.938883,1.36989589
228.001902,1.45426486
228.06492,1.54675955
228.127938,1.64845585
228.190957,1.76061349
228.222466,1.82106862
228.285484,1.95178056
228.310692,2.00806143
228.354805,2.11262139
228.392616,2.2089224
228.424125,2.29432086
228.461936,2.40353242
228.487143,2.48074984
228.512351,2.5617644
228.562765,2.73621593
228.587973,2.83022377
228.638388,3.03342165
228.676199,3.20056838
228.71401,3.3819475
228.751821,3.57921602
228.777028,3.72048481
228.802235,3.87029048
228.840046,4.11255485
228.865254,4.28692354
228.890461,4.47261547
228.928272,4.77459678
228.95348,4.99320988
228.978687,5.22716102
229.016498,5.61009131
229.041705,5.88917639
229.066913,6.18954918
229.09212,6.51341728
229.117328,6.86328011
229.142535,7.24197615
229.167742,7.65273925
229.19295,8.09926602
229.218157,8.58579697
229.243364,9.11721451
229.255968,9.40148582
229.281175,10.0110913
229.306383,10.6814455
229.318986,11.0419306
229.344194,11.8193256
229.369401,12.6808918
229.382005,13.1470399
229.40091,13.8953801
229.413514,14.4298909
229.43242,15.290593
229.451325,16.2295205
229.470231,17.2562828
229.482834,17.9950011
229.50174,19.1936887
229.520645,20.5139246
229.539551,21.9723403
229.558456,23.5884364
229.577362,25.3851793
229.596267,27.3897407
