energy [eV],cross section [b]
1e-05,30961.3117
1.06565003e-05,29992.4435
1.16412507e-05,28695.8456
1.2297751e-05,27919.3818
1.30404498e-05,27112.6603
1.42837957e-05,25905.753
1.51126931e-05,25185.2839
1.59415904e-05,24521.7638
1.75114391e-05,23396.782
1.90812879e-05,22413.6572
2.07885508e-05,21473.5545
2.27706421e-05,20517.6588
2.47527333e-05,19679.0104
2.62476266e-05,19110.3817
2.7916019e-05,18530.4996
3.04186076e-05,17751.8428
3.2087e-05,17284.1507
3.41935124e-05,16743.2632
3.63000248e-05,16250.1681
3.84065373e-05,15798.218
4.05130497e-05,15381.9916
4.31727325e-05,14900.6242
4.71622568e-05,14256.4282
5.1151781e-05,13689.1483
5.61889547e-05,13061.1015
6.12261285e-05,12512.2483
6.6704223e-05,11987.4119
7.09441804e-05,11623.6472
7.73041165e-05,11135.1885
8.42207593e-05,10668.1033
8.957413e-05,10344.3658
9.49275007e-05,10048.4141
0.000100280871,9776.48817
0.00010633714,9493.96464
0.000113096306,9205.84891
0.000119855473,8942.46143
0.000126614639,8700.45584
0.000138528347,8317.84921
0.000151329533,7958.19646
0.00016413072,7641.48386
0.000180293499,7290.84264
0.000191068685,7082.22547
0.000207231465,6800.35808
0.000220836216,6587.4962
0.000241243343,6302.62841
0.000254848094,6132.03428
0.00027023915,5954.79062
0.000287416511,5774.03743
0.000304593871,5608.79664
0.000321771232,5456.96906
0.000341203981,5299.22303
0.000373736187,5063.22081
0.000395424324,4922.3356
0.000417112461,4792.5847
0.000458187628,4572.59074
0.000499262795,4380.33216
0.000543933409,4196.4817
0.00059579492,4009.53673
0.00064765643,3845.51624
0.000708597165,3676.28315
0.000752250731,3567.9127
0.000795904296,3468.58207
0.000839557862,3377.10028
0.000894674859,3271.29782
0.000949791855,3174.84048
0.00100490885,3086.42854
0.00106002585,3005.00201
0.00116441194,2866.93799
0.00126879803,2746.27492
0.00138232138,2630.88363
0.00151411927,2513.54416
0.00164591716,2410.58802
0.00180078847,2304.35363
0.00191172716,2236.32138
0.00207813518,2144.66923
0.00220364012,2082.52016
0.00234371132,2019.13547
0.00248378252,1961.18565
0.00262385371,1907.93536
0.00278231626,1852.60438
0.00295917017,1796.17199
0.00313602408,1744.57708
0.00331287798,1697.16517
0.0036246007,1622.19591
0.00395954434,1551.70944
0.00429448799,1489.62502
0.00471738787,1420.87278
0.00514028775,1360.77288
0.00560020549,1303.28595
0.00595617444,1263.43082
0.0063121434,1226.98782
0.00666811236,1193.49542
0.00707082006,1158.68906
0.00752026651,1123.18381
0.00796971295,1090.7163
0.0084191594,1060.87572
0.00892761819,1029.86246
0.00949508932,998.224201
0.010346296,955.721113
0.0112720117,915.054273
0.0123467454,873.677264
0.013421479,837.350006
0.0146843628,799.841354
0.0155890021,775.806185
0.0169459609,743.406015
0.0185404781,709.946042
0.0196826757,688.501599
0.0213959721,659.588838
0.0228003032,638.341764
0.0253,604.956603
0.0277356261,576.828201
0.0304668931,549.346588
0.03319816,525.290992
0.0361685039,502.249345
0.0396170018,478.7769
0.0430654998,458.142734
0.047117715,436.8087
0.0500204309,423.121153
0.0543745047,404.646994
0.0580755938,390.575561
0.0603253249,382.64992
0.0648247872,368.029686
0.0690705021,355.537704
0.0727994358,345.460139
0.0797405219,328.577239
0.0843679127,318.471071
0.0889953035,309.143879
0.0977591197,293.282993
0.106522936,279.369717
0.116053878,266.015295
0.123430675,256.728452
0.130807472,248.215156
0.141872667,236.674933
0.15019247,228.825394
0.162672175,218.165045
0.175151879,208.629667
0.185008339,201.769387
0.20264802,190.726974
0.214407808,184.112119
0.226167595,178.004807
0.248409361,167.629874
0.270651127,158.528661
0.294932716,149.766363
0.313679687,143.695795
0.341800144,135.530436
0.360547115,130.620545
0.386991327,124.308312
0.410661255,119.184249
0.440371637,113.352104
0.46795341,108.451409
0.493406574,104.308237
0.523292228,99.8489539
0.540451299,97.4652385
0.585192144,91.7795436
0.630115712,86.7362145
0.657426641,83.9499178
0.684737569,81.350861
0.72678734,77.6769318
0.781950886,73.3845381
0.837114433,69.605759
0.896484034,66.0293892
0.947441525,63.3122912
1.00260507,60.6940408
1.05776862,58.3760841
1.11293216,56.329044
1.15688753,54.8761058
1.19567748,53.7167981
1.25084103,52.2558738
1.30600457,51.0050848
1.36116812,49.9565647
1.41633167,49.1062127
1.46068632,48.5658921
1.49907699,48.2027641
1.55424053,47.8557361
1.60940408,47.725038
1.66456762,47.8276512
1.71973117,48.1880128
1.74731294,48.4750423
1.80247649,49.2897674
1.83005826,49.8311254
1.86474226,50.6556482
1.91280358,52.1003791
1.95141806,53.5589889
1.97899984,54.7915116
2.01761432,56.8302675
2.05071245,58.9200567
2.07277787,60.5196026
2.09484328,62.3092784
2.12794141,65.4082762
2.15000683,67.7977217
2.16103954,69.1039882
2.18310496,71.9687603
2.19413767,73.5407538
2.21620309,77.0031993
2.22723579,78.9119723
2.24930121,83.1384485
2.26585028,86.7168493
2.28239934,90.7028391
2.2989484,95.159029
2.30998111,98.4276318
2.32203188,102.305366
2.33756289,107.838898
2.35411195,114.504108
2.37066101,122.107332
2.38169372,127.786013
2.38721008,130.831916
2.39824279,137.382754
2.40375914,140.908378
2.41479185,148.518537
2.42030821,152.62959
2.43134091,161.539072
2.43961545,168.89115
2.44788998,176.892212
2.45616451,185.62038
2.46443904,195.165753
2.47271357,205.632623
2.48098811,217.142194
2.48926264,229.835893
2.49753717,243.879449
2.5058117,259.467925
2.51408623,276.831961
2.52236077,296.245555
2.5306353,318.035793
2.53339348,325.893015
2.53890983,342.595083
2.54442618,360.736074
2.54994254,380.479975
2.55270072,391.010402
2.55821707,413.516994
2.56373343,438.144308
2.56924978,465.153362
2.57476613,494.843544
2.58028249,527.558807
2.58579884,563.694796
2.5913152,603.706982
2.59683155,648.119822
2.60234791,697.536815
2.60510609,724.334701
2.60786426,752.651189
2.61062244,782.588709
2.61475971,830.775523
2.61751788,865.259595
2.62027606,901.778943
2.62303424,940.468443
2.6271715,1002.88457
2.62992968,1047.63631
2.63406695,1119.87072
2.63751467,1185.09965
2.64096239,1255.25171
2.64509966,1346.38533
2.64923692,1445.59585
2.65406373,1572.14412
2.65861472,1702.5203
2.66302781,1839.26418
2.66854416,2023.81995
2.67406052,2221.36471
2.68729977,2716.14867
2.69171285,2871.01935
2.69502267,2977.1121
2.69722921,3041.27911
2.69943575,3099.0875
2.70164229,3149.62297
2.70384883,3192.03895
2.70605537,3225.58918
2.70826192,3249.65857
2.71046846,3263.79026
2.71234402,3267.77587
2.71488154,3261.3218
2.71708808,3244.74727
2.71929463,3218.28544
2.72150117,3182.41642
2.72370771,3137.77625
2.72591425,3085.12941
2.72812079,3025.33757
2.73032733,2959.3268
2.73363715,2850.74786
2.73805023,2693.10347
2.75018621,2234.45934
2.7545993,2073.1206
2.75901238,1919.60265
2.76121892,1846.30062
2.765632,1707.20684
2.76921763,1601.80698
2.7733549,1488.70044
2.77611308,1418.25934
2.77887126,1351.66167
2.78162943,1288.7696
2.7857667,1201.03846
2.78990396,1120.73485
2.79404123,1047.28124
2.79679941,1001.83506
2.79955759,959.015146
2.80369485,899.365383
2.80783212,844.765667
2.81196938,794.748762
2.81610665,748.886091
2.82024391,706.78714
2.82438118,668.097785
2.82713936,644.039743
2.83127662,610.337583
2.8340348,589.343239
2.83955116,550.566177
2.84230933,532.652307
2.84782569,499.47912
2.85058387,484.113877
2.85610022,455.587913
2.86161657,429.720545
2.86437475,417.689037
2.86989111,395.262475
2.87540746,374.819245
2.87816564,365.274097
2.88368199,347.417065
2.88919835,331.062194
2.89195652,323.399707
2.89747288,309.018203
2.90298923,295.791473
2.90850559,283.608414
2.91402194,272.370732
2.9195383,261.991275
2.92505465,252.39261
2.93057101,243.505791
2.93884554,231.377526
2.94436189,224.015269
2.94987825,217.176427
2.9553946,210.819113
2.96642731,199.402062
2.97746002,189.504892
2.98849273,180.915831
2.99952544,173.460891
3.01055815,166.996411
3.02159086,161.403266
3.03262357,156.582331
3.04365628,152.450915
3.05468899,148.939941
3.07123805,144.713214
3.08227076,142.521372
3.09330347,140.786771
3.10433618,139.479507
3.12088524,138.268224
3.13191795,137.934052
3.14846701,138.111078
3.15949972,138.669875
3.17604879,140.160895
3.1870815,141.591497
3.1998615,143.692688
3.21292264,146.346386
3.22448667,149.140031
3.23605071,152.371185
3.24761474,156.064418
3.25917877,160.249646
3.27652482,167.530231
3.28808885,173.11723
3.29965289,179.353113
3.31121692,186.301724
3.32278095,194.037903
3.33434499,202.649415
3.34590902,212.239314
3.35747305,222.928879
3.36325507,228.729796
3.3748191,241.345294
3.38638314,255.469556
3.39216515,263.164727
3.40083818,275.586239
3.41240221,293.978162
