energy [eV],cross section [b]
1e-05,18616.5078
1.09853642e-05,17761.9404
1.16422736e-05,17253.5455
1.22991831e-05,16786.4451
1.34571593e-05,16047.9474
1.47014415e-05,15353.7866
1.59457237e-05,14742.5501
1.75169582e-05,14065.8008
1.85644478e-05,13663.1922
2.01356823e-05,13119.2528
2.14584143e-05,12708.453
2.34425124e-05,12158.7314
2.47652444e-05,11829.5509
2.62617594e-05,11487.5332
2.79320575e-05,11138.7447
2.96023556e-05,10819.9088
3.12726536e-05,10526.9702
3.31623986e-05,10222.6075
3.63261865e-05,9767.26342
3.94899744e-05,9367.79827
4.32079815e-05,8955.64343
4.72030982e-05,8568.23159
5.11982149e-05,8227.09866
5.45614741e-05,7969.46382
5.79247332e-05,7734.60546
6.29696219e-05,7418.25398
6.88982533e-05,7091.85216
7.31452552e-05,6882.84867
7.7392257e-05,6691.29328
8.16392588e-05,6514.88594
8.9683699e-05,6215.76938
9.50466591e-05,6037.81903
0.000100409619,5874.32177
0.000109863251,5615.82613
0.000120021479,5372.8469
0.000130179706,5158.89138
0.000143007148,4922.00074
0.000151558776,4781.06906
0.000164386218,4590.66267
0.000175184904,4446.85992
0.000191382933,4254.42375
0.00020218162,4139.18863
0.000214399057,4019.45803
0.000228035247,3897.35528
0.000241671437,3785.73648
0.000255307626,3683.1822
0.000270735365,3576.6267
0.000296564294,3417.20971
0.000313783581,3322.04817
0.000331002867,3234.41041
0.000363618704,3085.808
0.000396234541,2955.94841
0.000431707131,2831.76852
0.00045916453,2745.69447
0.000500350627,2630.11765
0.00054514413,2519.59453
0.000579816338,2442.98568
0.000614488546,2372.95265
0.000649160754,2308.60517
0.000688388263,2241.74515
0.000732171072,2173.55788
0.00077595388,2111.2228
0.000819736689,2053.94763
0.000896915439,1963.38701
0.000979846456,1878.25443
0.00106277747,1803.28365
0.00116749976,1720.26731
0.00127222205,1647.71467
0.00138611674,1578.32842
0.00147427641,1530.2296
0.00160651592,1465.63801
0.00169467559,1426.83825
0.00180600044,1381.95677
0.00191732528,1341.03727
0.00202865012,1303.52854
0.00213997496,1268.98112
0.00228055194,1229.01716
0.00242112892,1192.57971
0.0025617059,1159.17818
0.00279104063,1110.19372
0.00305731391,1060.37013
0.00332358718,1016.64582
0.00363650511,971.515834
0.00386066527,942.608031
0.00419690552,903.655786
0.00445051627,877.234563
0.00473357761,850.281071
0.00515816962,814.07436
0.00544123095,792.318519
0.00579867056,767.145612
0.00615611017,744.187852
0.00651354977,723.137281
0.00687098938,703.742762
0.00732235117,681.299823
0.00799939385,651.246335
0.00867643653,624.760836
0.00953138151,595.409105
0.0103863265,569.733722
0.0113161543,545.155904
0.0120358834,528.103781
0.0131154769,505.183536
0.0138352059,491.402768
0.014767803,475.051594
0.0157004,460.163739
0.0165854985,447.198378
0.017470597,435.21914
0.018618257,420.960724
0.019765917,407.946219
0.0209135771,396.003132
0.0228709278,377.717536
0.0253,358.000286
0.0272185984,344.298938
0.0296881582,328.622675
0.0324331986,313.304599
0.0351782391,299.780375
0.0374891309,289.541933
0.0398000227,280.188749
0.0421109144,271.598577
0.0444218062,263.671665
0.0473399167,254.482963
0.0502580271,246.086281
0.0531761376,238.372498
0.056094248,231.252555
0.0597791322,222.997211
0.0653064585,211.91368
0.0708337848,202.11735
0.0778134922,191.228078
0.0824666305,184.727344
0.0894463379,175.916744
0.0935269534,171.215599
0.101688184,162.652686
0.109359198,155.470153
0.116659479,149.285959
0.124079245,143.554229
0.13149901,138.30318
0.138918776,133.469441
0.147313365,128.438575
0.161367482,120.897942
0.175421599,114.272126
0.187971752,108.991009
0.20373583,103.06215
0.219533089,97.7783534
0.234740954,93.2122668
0.249359424,89.2327375
0.263977894,85.5997502
0.278596365,82.2690355
0.298129353,78.2276807
0.309066168,76.1451084
