energy [eV],cross section [b]
1e-05,7.58400851
1.09847504e-05,7.23608592
1.19695008e-05,6.93203572
1.30404498e-05,6.64129125
1.38693471e-05,6.43977663
1.46982444e-05,6.25555835
1.59415904e-05,6.00665915
1.69881562e-05,5.81869628
1.80347221e-05,5.64734194
1.90812879e-05,5.49028601
2.01278538e-05,5.34564455
2.2109945e-05,5.10040873
2.34313391e-05,4.95450483
2.47527333e-05,4.82044609
2.70818228e-05,4.60850291
2.95844114e-05,4.40927662
3.2087e-05,4.23383818
3.52467686e-05,4.03960739
3.84065373e-05,3.86986874
4.18428911e-05,3.70755813
4.45025739e-05,3.59506085
4.71622568e-05,3.49221941
4.98219396e-05,3.39772712
5.28308389e-05,3.29955261
5.61889547e-05,3.19943532
5.95470706e-05,3.10791127
6.29051864e-05,3.02381756
6.6704223e-05,2.93644686
7.09441804e-05,2.84734717
7.73041165e-05,2.72770563
8.42207593e-05,2.6132998
9.22508153e-05,2.49697218
0.000100280871,2.39491311
0.00010633714,2.32571409
0.000113096306,2.25514567
0.000123235056,2.16038761
0.000129994222,2.10347224
0.000138528347,2.03764951
0.000147062471,1.97764293
0.000155596595,1.92264351
0.00016413072,1.87199151
0.000174905906,1.81341237
0.000185681092,1.76000933
0.000196456278,1.71106243
0.00021403384,1.63929679
0.000234440967,1.56632564
0.000254848094,1.50230501
0.00027882783,1.43625234
0.000296005191,1.39395626
0.000321771232,1.3369809
0.000341203981,1.29834995
0.000362892118,1.25895452
0.000395424324,1.20605502
0.000417112461,1.17428152
0.000444495906,1.13753542
0.00047187935,1.10403622
0.000499262795,1.07333232
0.000543933409,1.02831446
0.00059579492,0.982540388
0.00063036926,0.955215357
0.0006649436,0.930050228
0.000730423948,0.887383413
0.000795904296,0.850096805
0.00086711636,0.814441918
0.000922233357,0.789729561
0.000977350354,0.767138308
0.00106002585,0.736615036
0.00112961657,0.713564571
0.0011992073,0.692550863
0.00126879803,0.673290612
0.00133838875,0.655552785
0.00142625401,0.635038954
0.00151411927,0.616337741
0.00160198453,0.599197022
0.00168984979,0.583411189
0.00185625781,0.556646723
0.00202266584,0.533257207
0.00220364012,0.510891253
0.00241374692,0.488149598
0.00262385371,0.468197394
0.00287074322,0.447611903
0.00304759712,0.434430214
0.00322445103,0.422348451
0.00340130494,0.41122169
0.0036246007,0.398353569
0.00384789646,0.386622485
0.00407119223,0.375870284
0.00429448799,0.365967989
0.00471738787,0.349178907
0.00499932112,0.339190184
0.00528125438,0.330012392
0.00577818996,0.315502556
0.0063121434,0.301863331
0.00684609684,0.289852645
0.00752026651,0.276555417
0.00796971295,0.268644185
0.00864388262,0.257955238
0.00921135375,0.249883194
0.0100625604,0.239080704
0.0106300316,0.23261167
0.0112720117,0.225890548
0.0119885008,0.219036421
0.0127049899,0.212770595
0.013421479,0.207013458
0.0142320432,0.201031976
0.0155890021,0.1920833
0.0169459609,0.184232253
