energy [eV],cross section [b]
1e-05,458.453706
1.09867509e-05,437.38194
1.19735017e-05,418.971895
1.30468017e-05,401.36865
1.38777338e-05,389.167173
1.47086659e-05,378.014825
1.5955064e-05,362.949493
1.70046422e-05,351.569926
1.80542204e-05,341.197699
1.91037986e-05,331.692456
2.01533769e-05,322.939779
2.21420131e-05,308.096596
2.34677705e-05,299.267483
2.4793528e-05,291.156358
2.71310155e-05,278.331533
2.96429286e-05,266.277748
3.21548418e-05,255.665562
3.42700963e-05,247.64967
3.74429781e-05,236.924632
4.06158599e-05,227.482279
4.32877089e-05,220.350017
4.59595579e-05,213.849116
4.86314069e-05,207.891607
5.13032558e-05,202.405776
5.4678158e-05,196.059738
5.97405112e-05,187.568918
6.31154133e-05,182.485186
6.69343405e-05,177.2029
7.33287687e-05,169.300447
7.9723197e-05,162.36893
8.7239351e-05,155.216915
9.5316368e-05,148.494885
0.000103393385,142.576791
0.000110194952,138.106571
0.000120397304,132.125542
0.000127198871,128.544504
0.000134895299,124.823603
0.000143486587,121.028999
0.000152077875,117.56067
0.000160669163,114.374387
0.00017039078,111.063658
0.000186668696,106.11071
0.000197520641,103.154623
0.000208372585,100.432579
0.000228933768,95.8164151
0.000249494951,91.7833502
0.000271859579,87.9270294
0.000289173926,85.2540669
0.000306488273,82.8109353
0.000332459793,79.5105908
0.000354330126,77.017682
0.000387135625,73.6822398
0.000409005957,71.6852011
0.000433753699,69.6101641
0.00046137885,67.4940257
0.000489004001,65.5598404
0.000516629152,63.7829439
0.000547888856,61.9366471
0.000600230239,59.174533
0.000652571623,56.751786
0.000714094856,54.2519681
0.000780209014,51.9024406
0.000846323172,49.8339093
0.00090199718,48.2714479
0.000957671188,46.847298
0.0010411822,44.9292486
0.00110418106,43.6286926
0.00117450477,42.3023755
0.00124482848,41.0900996
0.00131515218,39.9764062
0.00139472816,38.819215
0.00148355639,37.6391023
0.00157238463,36.5604595
0.00166121286,35.5695321
0.00181782891,34.0027359
0.0019861318,32.5301356
0.00215443469,31.2336531
0.00236702372,29.7980313
0.00257961275,28.5437515
0.00281084821,27.3444378
0.00298986711,26.5131471
0.003168886,25.7533333
0.00334790489,25.0553075
0.00355047672,24.3300183
0.00377660149,23.5903624
0.00400272627,22.9143042
0.00422885104,22.293223
0.00448472632,21.6478836
0.00477035211,20.9897612
0.00519879079,20.1062235
0.00566480834,19.2614048
0.00620598362,18.40238
0.0067471589,17.6488985
0.00738326843,16.8714472
0.0078389862,16.3736585
0.00852256286,15.7032351
0.00932605417,15.0114843
0.00990168658,14.5685687
0.010477319,14.162675
0.0110529514,13.7889176
0.011780052,13.3565534
0.0125071527,12.9624631
0.0132342533,12.6013143
0.0139613539,12.2687595
0.0153389917,11.7047999
0.0167166295,11.2120804
0.0182151016,10.740957
0.0199552421,10.2619167
0.0216953827,9.84173874
0.0237877148,9.39891509
0.0253,9.11366545
0.027427632,8.75303208
0.0290623111,8.50329793
0.0309132481,8.24480205
0.032764185,8.00853888
0.0346151219,7.79149505
0.0367095806,7.5659817
0.0402165515,7.22862463
0.042554532,7.02729056
0.0448925126,6.84190652
0.0493222851,6.52754955
0.0537520577,6.25293392
0.0585703709,5.99038941
0.0641657653,5.72347676
0.0697611597,5.48940692
0.0739822013,5.33072495
0.0786940216,5.16893158
0.0857617521,4.95178259
0.0904735724,4.82141762
0.0972867862,4.64998913
0.1041,4.49574146
0.109190103,4.39009354
0.114280206,4.29161921
0.121797945,4.1576923
0.133074555,3.97863164
0.144351164,3.8211366
0.158595027,3.64694568
0.172838891,3.4949804
0.188332101,3.34991853
0.200326702,3.2495414
0.218318604,3.11505264
0.237888598,2.98680971
0.253039381,2.89816628
0.268190165,2.81735539
0.290916341,2.70857055
0.30915,2.63043025
0.323729049,2.57296476
0.338308097,2.51943298
0.367466194,2.42260296
0.403725953,2.31805811
0.439985711,2.22769566
0.464158883,2.1739668
0.489179442,2.12304929
0.532223666,2.04502921
0.586294665,1.96123599
0.636152915,1.89534067
0.686011166,1.83837199
0.740568469,1.78455878
0.786501352,1.74512184
0.832434235,1.71032289
0.901333559,1.66564733
0.983915167,1.6222334
1.03239344,1.60118911
1.08087172,1.58306349
1.15546587,1.56033548
1.25799087,1.53821559
1.37392389,1.52446824
1.45297166,1.52132349
1.51597277,1.52222042
1.5907125,1.52706683
1.6932375,1.54024917
1.7957625,1.56094622
1.91738561,1.59542012
2.0008125,1.6255387
2.052075,1.64678195
2.1546,1.69587503
2.257125,1.75443206
2.3083875,1.78755804
2.38128619,1.83945032
2.462175,1.90414988
2.5134375,1.94937058
2.6159625,2.05070329
2.667225,2.10736359
2.7184875,2.16844034
2.76975,2.23429665
2.84664375,2.34294765
2.89790625,2.42264781
2.94916875,2.50879078
3.00788252,2.61617166
3.05996438,2.72003241
3.10295625,2.81248947
3.15421875,2.93148226
3.20548125,3.06097804
3.25674375,3.20216568
3.282375,3.27756367
3.3336375,3.43891969
3.3849,3.61579957
3.4361625,3.81018259
3.487425,4.02438098
3.5386875,4.26110929
3.58995,4.52357133
3.6412125,4.81556984
3.692475,5.14164605
3.73092187,5.41180981
3.75655312,5.60558462
3.78218437,5.81133805
3.81108365,6.05895059
3.83453622,6.27312638
3.85907812,6.51105426
3.88470937,6.77590559
3.91034062,7.05898467
3.93597187,7.36200174
3.96160312,7.68687344
3.98723437,8.03575351
4.01286562,8.4110689
4.03849687,8.81556246
4.06412812,9.25234364
4.08975937,9.72494893
4.11539062,10.2374143
4.12820625,10.5100134
4.1538375,11.0911477
4.17946875,11.725035
4.2051,12.4182767
4.23073125,13.1785428
4.24354687,13.5865507
4.26917812,14.4646111
4.29480937,15.435082
4.31275125,16.1765151
4.32813,16.8573128
4.34350875,17.5838757
4.3588875,18.3604096
4.36914,18.9081594
4.389645,20.0827593
4.3998975,20.7130468
4.4204025,22.0692788
4.4409075,23.5679387
4.4614125,25.2297243
4.47679125,26.5977396
4.48704375,27.5742644
4.49729625,28.6070318
4.512675,30.2713948
4.5229275,31.4650212
4.53318,32.7323532
4.54855875,34.7852811
4.55881125,36.2654568
4.56906375,37.8441179
4.57931625,39.5301913
4.58956875,41.3336358
4.59982125,43.2655874
4.61007375,45.3385298
4.62032625,47.566494
4.63057875,49.9652929
4.64083125,52.5527983
4.6459575,53.9235435
4.65621,56.8329454
4.6664625,59.9870524
4.67927812,64.3170048
4.69209375,69.13769
4.70234625,73.3985488
4.71259875,78.0683585
4.717725,80.5730579
4.7279775,85.9596622
4.73823,91.9068333
4.74335625,95.1150362
4.75360875,102.057113
4.758735,105.816624
4.76642437,111.857139
4.77411375,118.428714
4.78180312,125.594612
4.78692937,130.737568
4.79461875,139.061291
4.80230812,148.199609
4.8099975,158.260378
4.81768687,169.369492
4.82537625,181.674529
4.83306562,195.349243
4.83819187,205.326635
4.84331812,216.073439
4.84588125,221.759631
4.8510075,233.811426
4.85613375,246.848895
4.86126,260.978705
4.86382312,268.490393
4.86894937,284.490341
4.87407562,301.916268
4.87920187,320.934924
4.88432812,341.736701
4.88945437,364.539429
4.89458062,389.592805
4.89970687,417.183556
4.90483312,447.641403
4.90739625,464.061949
4.9125225,499.549808
4.91508562,518.73428
4.91893031,549.493206
4.92149344,571.424249
4.92533812,606.652194
4.92790125,631.81483
4.93174594,672.304254
4.93430906,701.272712
4.93815375,747.957869
4.94199844,798.872448
4.94584312,854.44135
4.94968781,915.120994
4.9535325,981.39465
4.95737719,1053.76377
4.95994031,1105.64617
4.96250344,1160.60892
4.96634812,1249.12928
4.96891125,1312.37132
4.97147437,1379.11026
4.976088,1508.22799
4.97916375,1600.71811
4.9822395,1698.16452
4.98531525,1800.22356
4.988391,1906.32911
5.0027445,2421.51923
5.0068455,2557.64078
5.00992125,2649.72451
5.01197175,2704.75083
5.01402225,2753.70485
5.01607275,2795.79267
5.01812325,2830.29487
5.02017375,2856.59524
5.02222425,2874.20697
5.0253,2883.64458
5.02837575,2872.39619
5.03042625,2853.59693
5.03247675,2826.13788
5.03452725,2790.51607
5.03657775,2747.3568
5.03862825,2697.38715
5.04067875,2641.40718
5.0437545,2548.01879
5.0478555,2410.40481
5.0601585,1964.95661
5.06631,1751.11017
5.070411,1617.82743
5.0724615,1554.43081
5.0765625,1434.48037
5.07912562,1364.20942
5.08168875,1297.53011
5.08553344,1204.08771
5.08809656,1146.02404
5.09065969,1091.19652
5.09450437,1014.71044
5.09834906,944.679903
5.10219375,880.591921
5.10603844,821.944264
5.10860156,785.630291
5.11244625,734.998921
5.11500937,703.619517
5.11885406,659.816814
5.12141719,632.632373
5.12526187,594.627745
5.127825,571.00279
5.13038812,548.645705
5.13295125,527.476105
5.13551437,507.418993
5.1380775,488.404446
5.14320375,453.246842
5.14833,421.533688
5.15345625,392.857549
5.1585825,366.864836
5.16370875,343.248421
5.168835,321.741186
5.17396125,302.110429
5.1790875,284.153056
5.18165062,275.745491
5.18677687,259.972159
5.18934,252.569977
5.19446625,238.6519
5.19702937,232.105952
5.20215562,219.771834
5.20471875,213.958737
5.209845,202.983589
5.21240812,197.800758
5.2200975,183.358759
5.22778687,170.403668
5.23547625,158.742523
5.24316562,148.212015
5.250855,138.673303
5.25598125,132.805889
5.26367062,124.665189
5.26879687,119.63865
5.27648625,112.639542
5.2816125,108.302813
5.28930187,102.244289
5.29442812,98.4783308
5.3021175,93.2012149
5.30724375,89.9113016
5.31749625,83.8250217
5.32774875,78.3269677
5.33800125,73.3445258
5.34825375,68.8158458
5.35850625,64.6879991
5.36875875,60.9154905
5.37901125,57.4590496
5.38926375,54.2846435
5.39951625,51.3626666
5.4046425,49.9881307
5.414895,47.3973534
5.4251475,45.0002454
5.44052625,41.7274551
5.45077875,39.7374897
5.46103125,37.884733
5.47641,35.3364634
5.49178875,33.0338115
5.5071675,30.9464095
5.52254625,29.0484198
5.537925,27.3177506
5.55330375,25.7354253
5.5686825,24.2850714
5.58406125,22.9525051
5.59431375,22.123406
5.6096925,20.9605227
5.619945,20.234856
5.64045,18.8908753
5.6507025,18.2679499
5.6712075,17.1100424
5.68658625,16.3115281
5.69940187,15.6875377
5.72247,14.6501373
5.742975,13.8110618
5.76860625,12.8587526
5.7942375,12.000598
5.81986875,11.2246613
5.83268437,10.8643034
5.85831562,10.1932182
5.87113125,9.88050528
5.8967625,9.29631398
5.90957812,9.02325555
5.93520937,8.51167459
5.948025,8.27188232
5.97365625,7.82143756
5.98647187,7.60975547
6.01210312,7.21114565
6.02491875,7.02337605
6.0562245,6.59413994
6.09183412,6.15167613
6.12744375,5.75196669
6.153075,5.48772126
6.19152187,5.12401469
6.21715312,4.90114792
6.2556,4.59301268
6.28123125,4.40338033
6.31967812,4.14013312
6.34530937,3.97749377
6.37094062,3.82422964
6.39657187,3.67964081
6.43501875,3.47764814
6.46065,3.35208786
6.5119125,3.12056285
6.563175,2.91228111
6.6144375,2.72426489
6.6657,2.55399675
6.7169625,2.39933689
6.768225,2.25845738
6.8194875,2.12978925
6.87075,2.01197986
6.89638125,1.95677494
6.94764375,1.8531067
6.99890625,1.75764922
7.05016875,1.66957188
7.0758,1.62806952
7.15269375,1.51273098
7.2295875,1.40965826
7.30648125,1.31720627
7.383375,1.23399629
7.46026875,1.15886606
7.5371625,1.09083041
7.62270654,1.0224586
7.67396904,0.984783506
7.7422125,0.938077535
7.81910625,0.88973062
7.896,0.845453251
7.9472625,0.81798539
8.0497875,0.767474841
8.10105,0.744237256
8.203575,0.701369589
8.2548375,0.68158896
8.3573625,0.645001699
8.48551875,0.604254648
8.613675,0.568336307
8.7162,0.542647149
8.7674625,0.530720783
8.8699875,0.508551123
9.023775,0.479106118
9.1263,0.4617472
9.2800875,0.438729808
9.3826125,0.425210565
9.4851375,0.413023583
9.60409932,0.400429999
9.74145,0.387803636
9.843975,0.379625921
9.9465,0.372453717
10.0647,0.365375195
10.206625,0.358488334
