energy [eV],cross section [b]
1e-05,26.0984184
1.09561112e-05,24.9336566
1.15935186e-05,24.2385456
1.2230926e-05,23.5985065
1.33495525e-05,22.5881589
1.45494366e-05,21.6367038
1.57493207e-05,20.7961659
1.72551308e-05,19.8680415
1.82590042e-05,19.3141518
1.97648143e-05,18.56384
2.10246383e-05,17.9990639
2.29143742e-05,17.2409099
2.41741982e-05,16.7856492
2.55946264e-05,16.3132235
2.7966175e-05,15.6062171
2.95472075e-05,15.1829429
3.11282399e-05,14.7923406
3.41044456e-05,14.1321644
3.70806514e-05,13.553158
4.03097979e-05,12.9989677
4.40448259e-05,12.4355995
4.77798539e-05,11.9396546
5.05873038e-05,11.6036175
5.37121851e-05,11.2610208
5.83995069e-05,10.7996474
6.34851933e-05,10.3580485
6.74068035e-05,10.0522272
7.13284138e-05,9.77198695
7.5250024e-05,9.51394942
7.9671567e-05,9.24618286
8.45930427e-05,8.97318935
9.19752562e-05,8.60555033
9.99848667e-05,8.25366832
0.000109249271,7.89595873
0.000118513676,7.5810595
0.000129352801,7.25648358
0.000137103791,7.04838146
0.000148730275,6.7672845
0.000162332975,6.47754957
0.000172060181,6.29178578
0.000181787386,6.12113895
0.000191514591,5.96366408
0.000203721874,5.78222876
0.000215929156,5.61640544
0.000228136439,5.46407637
0.000240343721,5.32350533
0.000263323252,5.08591934
0.00027864294,4.94413186
0.000293962627,4.81357784
0.000320848112,4.60748896
0.000349686573,4.41341286
0.000378525034,4.24196145
0.000402652501,4.11290624
0.000438843702,3.93966286
0.000475034902,3.78661558
0.00050531398,3.67141355
0.000535593058,3.56612432
0.000565872136,3.46940325
0.000596151214,3.38014791
0.000634150336,3.27731202
0.000672149457,3.18332486
0.000710148579,3.09698611
0.000748147701,3.01731172
0.000795835192,2.92551454
0.000867366428,2.80228623
0.000938897664,2.69342344
0.00102866672,2.57321681
0.00111843577,2.46778977
0.00121583408,2.36688132
0.00129093864,2.29699899
0.00140359548,2.20288879
0.00147870004,2.14621624
0.00157295348,2.08092073
0.00166720692,2.0212437
0.00176146036,1.96642303
0.0018557138,1.91583387
0.00197399838,1.85754737
0.00209228295,1.80427624
0.00221056753,1.75534017
0.00240307349,1.68356376
0.00262573764,1.61059865
0.00284840179,1.54636591
0.00310891335,1.48015932
0.00338834861,1.41781186
0.00366778387,1.36273262
0.00390157114,1.32127326
0.00413535841,1.28338136
0.00448603932,1.23219831
0.00474963014,1.19751822
0.00504302451,1.16216115
0.00533641888,1.12976158
0.00562981325,1.09992894
0.00596060997,1.06897148
0.00632880904,1.03740971
0.00688110764,0.994905601
0.00748034481,0.954223196
0.00817345911,0.912867014
0.00886657342,0.876460278
0.00967750004,0.83893475
0.0102573886,0.814875211
0.0111272213,0.782376414
0.0121449042,0.748878912
0.0128726429,0.727401942
0.0139642508,0.698391585
0.0147847626,0.678735032
0.0156980477,0.658694755
0.0166113327,0.64033077
0.0175246177,0.623421702
0.0185543297,0.605875077
0.020273538,0.579615732
0.0219927464,0.556499041
0.0239329079,0.533464511
0.0260548158,0.5112794
0.0283192634,0.490411097
0.0301243543,0.475490198
0.0328319906,0.455460374
0.035539627,0.437765505
0.0378049492,0.424446157
0.0400702715,0.412272872
0.0434682549,0.395829582
0.0460223638,0.384688076
0.0488652593,0.373329048
0.0517081549,0.362920139
0.0545510504,0.353335874
0.0595402269,0.338206362
0.0631079555,0.328506019
0.0666756842,0.31959503
0.0724820965,0.306524882
0.0791981476,0.29323819
0.0859141987,0.281541555
0.0937718126,0.269485396
0.0993907429,0.261755525
0.107819138,0.251314213
0.114154378,0.244239444
0.121205928,0.23702652
0.131783252,0.227312822
0.138834801,0.221463242
0.147684235,0.214723569
0.156533668,0.208563769
0.165383102,0.202905184
0.179785391,0.194605422
0.196443958,0.18616807
0.207549669,0.181116678
0.218655381,0.17645514
0.239561265,0.168576316
0.26046715,0.161666054
0.283149777,0.155051815
0.300640518,0.150471147
0.318131259,0.146273561
0.344367371,0.140587283
0.366317603,0.136306989
0.399242951,0.13056097
0.421193184,0.127110467
0.445941664,0.123529779
0.487261757,0.118170936
0.514808486,0.114962559
0.542355215,0.112001746
0.594210402,0.106997326
0.628780527,0.104010633
0.663350651,0.101260468
0.72401994,0.0969189216
0.78909628,0.0928301725
0.85417262,0.0892178294
0.908618218,0.0864985697
0.963063816,0.0840131532
1.04473221,0.0806557037
1.14028222,0.0771947623
1.20860943,0.0749755861
1.27693664,0.0729368553
1.34526385,0.0710553569
1.47388603,0.0678750218
1.55963415,0.0659768358
1.64538226,0.0642288826
1.79586704,0.0614692775
1.95728311,0.0588701076
2.11869918,0.0565735551
2.32127037,0.054037219
2.45631783,0.0525233082
2.65888902,0.0504721739
2.82836859,0.048927943
3.08258793,0.0468545221
3.33680728,0.0450223338
3.54949785,0.043642874
3.76218843,0.0423818377
3.97487901,0.0412231688
4.18756958,0.0401537032
4.45448838,0.0389212133
4.85486658,0.0372661638
5.25524478,0.0358034587
5.7577046,0.0341875998
6.26016441,0.0327696937
6.80532711,0.0314118444
7.22570609,0.030471033
7.85627455,0.0292033862
8.54043356,0.027989278
9.06799361,0.0271479621
9.59555366,0.0263766184
10.3868937,0.0253310656
11.0489621,0.024543494
11.7110304,0.0238232269
12.3730987,0.0231611488
13.0351671,0.0225497855
14.2814739,0.0215155556
15.5277808,0.0206074096
16.8800083,0.0197371231
18.4440773,0.0188512221
20.0081463,0.0180702172
21.8380684,0.0172639683
23.1466341,0.016746304
25.1094828,0.0160460478
26.5848664,0.0155708523
28.227068,0.0150857235
30.6903704,0.0144312573
32.332572,0.014036451
34.3934742,0.0135808715
36.4543763,0.0131637859
38.5152785,0.0127800003
41.8693587,0.0122158811
45.7488926,0.0116408049
49.6284265,0.0111330608
54.1673854,0.0106080949
59.0360568,0.0101120718
63.9047282,0.00967240423
67.9780631,0.00934047026
72.051398,0.00903630394
78.1614003,0.00862415878
82.75401,0.00834400583
87.8658945,0.00805759254
92.977779,0.00779439911
98.0896634,0.00755140438
103.853219,0.00729855674
110.268444,0.00704001937
119.891283,0.00669059424
130.331944,0.00635474276
142.40825,0.00601187474
154.484556,0.00570880376
163.146243,0.00551185656
172.418745,0.00531722102
186.327498,0.00505225261
198.924171,0.00483608473
211.603745,0.00463786673
224.28332,0.00445638918
236.962895,0.00428945474
258.595852,0.00403321457
267.549235,0.0039363139
285.456,0.00375636017
299.374028,0.00362783237
313.292056,0.00350804899
333.261524,0.00334967976
363.215727,0.00313767325
393.16993,0.00295123641
418.230874,0.00281164799
443.291818,0.00268480081
