energy [eV],cross section [b]
1e-05,2047.37239
1.06015931e-05,1988.43419
1.15039827e-05,1908.85349
1.24063723e-05,1838.12151
1.31527311e-05,1785.20702
1.38990899e-05,1736.61404
1.46454486e-05,1691.78465
1.53918074e-05,1650.25685
1.63177679e-05,1602.7504
1.72437284e-05,1559.12379
1.81696888e-05,1518.87613
1.96700399e-05,1459.79996
2.13932114e-05,1399.77366
2.3116383e-05,1346.59102
2.51159941e-05,1291.87439
2.72538249e-05,1240.17094
2.93916557e-05,1194.21648
3.11598373e-05,1159.838
3.2928019e-05,1128.2672
3.55802915e-05,1085.3999
3.75612183e-05,1056.39056
3.97548903e-05,1026.83076
4.19485623e-05,999.621089
4.41422343e-05,974.465788
4.65998459e-05,948.42128
4.93213971e-05,921.88256
5.20429482e-05,897.453782
5.47644994e-05,874.869409
5.95017327e-05,839.319972
6.45664192e-05,805.728184
6.96311058e-05,775.871505
7.38200649e-05,753.535745
8.01035036e-05,723.377083
8.63869423e-05,696.571791
9.1583921e-05,676.518766
9.67808996e-05,658.10345
0.000104576368,633.098835
0.00011039864,616.177597
0.000116846205,598.935254
0.00012329377,583.06374
0.000129741335,568.390533
0.000136964663,553.198634
0.000144963752,537.718443
0.000156962386,516.756279
0.000164961476,504.070835
0.000174885444,489.559078
0.000189771396,469.96468
0.000204657349,452.548969
0.000223125415,433.414127
0.00023543746,421.928334
0.000253905526,406.292428
0.000269180307,394.595187
0.000292092478,378.801047
0.000307367259,369.267576
0.00032447988,359.397082
0.000343430342,349.339256
0.000362380804,340.08104
0.000381331265,331.521802
0.00040256182,322.659973
0.000437827793,309.390189
0.000484849089,294.002257
0.000528601368,281.569667
0.000572353646,270.591302
0.000619615401,260.064272
0.000655802538,252.785397
0.000691989675,246.085178
0.00074627038,236.963941
0.00079116549,230.140285
0.000858508154,220.926609
0.000925850819,212.737306
0.000981549363,206.610822
0.00103724791,200.984622
0.00109294645,195.794121
0.001148645,190.985832
0.00121774668,185.485239
0.00132139922,178.057987
0.0013905009,173.574775
0.00146791681,168.93302
0.001596512,161.982306
0.00172510719,155.823887
0.00187433224,149.487656
0.00198069223,145.415444
0.00214023221,139.885984
0.00232536637,134.196834
0.00245732053,130.540468
0.00265525177,125.575633
0.00280308247,122.215692
0.00296678971,118.791886
0.00313049696,115.640182
0.0032942042,112.726339
0.00347760847,109.709389
0.00378226043,105.191582
0.00418846303,99.9522975
0.00456642559,95.7189454
0.00494438814,91.9805072
0.00535266799,88.3955058
0.00582158241,84.7525214
0.00629049682,81.5245674
0.00683463675,78.2031652
0.00722247188,76.0683956
0.00780422457,73.1694897
0.00823872348,71.2075273
0.00871988617,69.2081503
0.00920104887,67.3675533
0.00968221156,65.6657584
0.0102212671,63.903626
0.0111166896,61.2646279
0.0123105863,58.2037714
0.0134214809,55.7302175
0.0145323754,53.5455242
0.0157323774,51.4501815
0.0171105946,49.320593
0.0184888117,47.433283
0.020088129,45.4909644
0.0212280407,44.2423546
0.0223679523,43.0901928
0.023955898,41.6240033
0.0253,40.4920868
0.0272323656,39.0135857
0.0300419963,37.1231308
0.0326737913,35.5775312
0.0361828514,33.7841884
0.0394479544,32.3343472
0.0427130573,31.0533168
0.0462400621,29.8241853
0.0489406009,28.9738224
0.0529914092,27.8216164
0.057372974,26.7145558
0.0615638761,25.7675294
0.0640737521,25.2450929
0.0690935043,24.2863341
0.0732501217,23.5676303
0.0774067391,22.907151
0.0857199739,21.7321533
0.0908768282,21.0850357
0.0960336825,20.4902659
0.101190537,19.941105
0.106347391,19.431971
0.115944069,18.5755962
0.125540747,17.8182897
0.135907198,17.0910511
0.143844529,16.5875432
0.155750525,15.904792
0.16861153,15.249023
0.178458878,14.7949257
0.188306226,14.3764155
0.203077249,13.8058486
0.215294235,13.3783413
0.227511222,12.9852207
0.239728209,12.6220826
0.251945196,12.2852774
0.275889721,11.6902904
0.290562869,11.3620553
0.305236016,11.0574249
0.331376741,10.5650023
0.359582967,10.094295
0.387789193,9.67528975
0.405581895,9.43351742
0.441167298,8.99421747
0.475569283,8.61698441
0.510048697,8.27773754
0.538991684,8.01846874
0.56793467,7.77935521
0.596877657,7.5579863
0.630458828,7.32073238
0.66404,7.10202763
0.702274322,6.87283098
0.740508644,6.66217626
0.772661483,6.49774406
0.836967161,6.19918181
0.881515648,6.01298138
0.918702594,5.8688354
0.996451297,5.59640061
1.09059416,5.31093266
1.17465248,5.09010629
1.24440416,4.92751105
1.31297233,4.7835962
1.41404934,4.59663911
1.48436,4.48224297
1.5869,4.33569113
1.68944,4.21063639
1.75432226,4.14156739
1.85947056,4.04482895
1.94579,3.97853129
2.0996,3.88764028
2.24057875,3.83331292
2.35595,3.8088115
2.50976,3.8040509
2.6251175,3.82196098
2.75879952,3.86704485
2.894285,3.94156682
3.0096425,4.03033913
3.0865475,4.10386933
3.150635,4.17475575
3.22754,4.2723883
3.27881,4.34573705
3.33008,4.42624366
3.39130613,4.5325133
3.458255,4.66250544
3.509525,4.77273724
3.58643,4.95739465
3.6377,5.0947463
3.714605,5.32489619
3.765875,5.49629296
3.817145,5.68380426
3.868415,5.8891669
3.919685,6.11437421
3.970955,6.36172226
4.022225,6.63386599
4.04786,6.78018065
4.09913,7.09545416
4.1504,7.44422287
4.17889756,7.6542144
4.227305,8.04039563
4.25294,8.26134911
4.278575,8.49475044
4.329845,9.00262999
4.381115,9.57242613
4.4195675,10.0464221
4.45802,10.5659548
4.4964725,11.1369033
4.534925,11.7661371
4.56056,12.2219339
4.586195,12.7099281
4.6246475,13.5090961
4.6502825,14.0918323
4.6759175,14.7192671
4.71437,15.754577
4.740005,16.5155125
4.76564,17.3404008
4.7784575,17.7790809
4.8040925,18.7139956
4.81691,19.2124884
4.842545,20.2778362
4.8553625,20.8474995
4.8809975,22.068667
4.9066325,23.410955
4.9322675,24.89092
4.945085,25.6884916
4.97072,27.4126126
4.996355,29.3301162
5.02199,31.471071
5.04121625,33.2449104
5.05403375,34.5172839
5.06685125,35.8684436
5.07966875,37.3050414
5.09248625,38.8344469
5.10530375,40.4648434
5.11812125,42.2053375
5.13093875,44.0660873
5.14375625,46.0584518
5.15624357,48.1381971
5.16602179,49.8708889
5.1758,51.702689
5.1886175,54.2669552
5.201435,57.0342724
5.2142525,60.0266956
5.22707,63.2693592
5.2398875,66.7910083
5.252705,70.6246387
5.2655225,74.8082737
5.27834,79.385912
5.28474875,81.8381467
5.29436188,85.7407227
5.30717938,91.4050593
5.31358812,94.4550419
5.32320125,99.3309804
5.32961,102.798954
5.3373005,107.210686
5.34370925,111.112101
5.35139975,116.086995
5.360372,122.333179
5.3680625,128.104413
5.375753,134.300863
5.3834435,140.96534
5.391134,148.146178
5.3988245,155.898101
5.406515,164.283266
5.416769,176.572385
5.4244595,186.728391
5.43215,197.796431
5.4398405,209.888877
5.4449675,218.583071
5.4500945,227.833631
5.457785,242.859954
5.462912,253.725046
5.468039,265.340921
5.473166,277.778153
5.478293,291.115766
5.48342,305.442478
5.488547,320.858149
5.493674,337.475501
5.498801,355.422136
5.503928,374.842949
5.509055,395.902993
5.514182,418.790914
5.519309,443.723087
5.524436,470.948605
5.5269995,485.509624
5.53084475,508.648358
5.53597175,542.157652
5.53853525,560.163877
5.5423805,588.89606
5.544944,609.291103
5.54878925,641.918287
5.55135275,665.139
5.555198,702.389278
5.5577615,728.97564
5.56160675,771.752836
5.565452,818.372255
5.56929725,869.300875
5.57186075,905.910023
5.575706,965.259432
5.57955125,1030.55212
5.5833965,1102.59212
5.58724175,1182.32072
5.591087,1270.84471
5.59493225,1369.47136
5.59749575,1441.58952
5.60005925,1519.41184
5.601341,1560.64604
5.6039045,1648.16963
5.606468,1743.04107
5.6090315,1846.0743
5.61031325,1900.9357
5.61287675,2017.98403
5.61544025,2145.75089
5.61800375,2285.51911
5.62056725,2438.75658
5.62313075,2607.14623
5.62569425,2792.6208
5.62825775,2997.40319
5.63082125,3224.05279
5.632103,3346.48242
5.63402563,3542.64907
5.63530738,3682.42667
5.63658913,3829.96823
5.63787088,3985.79649
5.6397935,4236.31177
5.64107525,4415.39237
5.64299788,4703.77248
5.64427963,4910.24274
5.64620225,5243.20347
5.647484,5481.88894
5.64940663,5867.1925
5.65132925,6288.04125
5.65325188,6747.75214
5.6551745,7249.73965
5.65645625,7609.56911
5.657738,7990.67331
5.65966063,8604.17137
5.66094237,9042.17857
5.66222412,9504.06052
5.6633777,9940.42395
5.6649158,10552.6744
5.6669666,11421.6563
5.667992,11877.395
5.6700428,12826.1378
5.6772206,16305.178
5.6792714,17225.5047
5.6808095,17848.5747
5.6818349,18221.189
5.6828603,18552.9615
5.6838857,18838.5299
5.6849111,19073.032
5.6859365,19252.2995
5.6869619,19373.0351
5.6885,19439.7101
5.6900381,19366.9282
5.6910635,19242.195
5.6920889,19059.0375
5.6931143,18820.791
5.6941397,18531.6567
5.6951651,18196.5244
5.6961905,17820.7776
5.6977286,17193.467
5.6997794,16268.3755
5.7059318,13270.6326
5.709008,11830.3162
5.7110588,10932.3049
5.7120842,10505.0805
5.714135,9696.60419
5.71541675,9222.88655
5.7166985,8773.32217
5.71862113,8143.21758
5.72054375,7564.04865
5.72246637,7032.82238
5.724389,6546.21098
5.72631163,6100.7716
5.72823425,5693.09467
5.729516,5440.66181
5.73143863,5088.72203
5.73272037,4870.62578
5.73400212,4664.79147
5.73528388,4470.44549
5.7372065,4198.88621
5.73848825,4030.17156
5.73977,3870.58729
5.74105175,3719.55368
5.7423335,3576.52929
5.74361525,3441.00895
5.74617875,3190.62812
5.74874225,2965.0147
5.75130575,2761.22083
5.75386925,2576.68836
5.75643275,2409.19602
5.75899625,2256.81294
5.76155975,2117.85823
5.76412325,1990.86606
5.765405,1931.44918
5.7679685,1820.05006
5.76925025,1767.8056
5.77181375,1669.63194
5.7730955,1623.48667
5.775659,1536.58779
5.77694075,1495.65524
5.77950425,1418.41585
5.780786,1381.96007
5.78463125,1280.44278
5.7884765,1189.46406
5.79232175,1107.64499
5.79488525,1057.60454
5.7987305,988.549995
5.801294,946.133943
5.80513925,887.362721
5.80770275,851.120714
5.811548,800.717253
5.8141115,769.523116
5.81795675,725.991882
5.82052025,698.961643
5.8243655,661.122759
5.826929,637.555529
5.832056,594.003471
5.837183,554.714112
5.84231,519.154279
5.847437,486.870863
5.852564,457.476939
5.857691,430.640595
5.862818,406.075876
5.867945,383.535416
5.873072,362.804392
5.8756355,353.057943
5.8807625,334.697452
5.8858895,317.721167
5.89358,294.5616
5.898707,280.490185
5.903834,267.396069
5.9115245,249.397646
5.919215,233.145081
5.9269055,218.4208
5.934596,205.039959
5.9422865,192.844726
5.949977,181.699702
5.9576675,171.488209
5.965358,162.109276
5.970485,156.275388
5.980739,145.509424
5.985866,140.536801
5.99612,131.323237
6.006374,122.98284
6.011501,119.106139
6.021755,111.88077
6.03329075,104.508084
6.0448265,97.8381595
6.05379875,93.0806154
6.06661625,86.8619016
6.07943375,81.2443337
6.09225125,76.1531209
6.10506875,71.5247268
6.1114775,69.3668161
6.124295,65.3333902
6.13070375,63.4470961
6.14352125,59.9111993
6.14993,58.2529298
6.1627475,55.1362444
6.16915625,53.6707968
6.18197375,50.9098005
6.1883825,49.608499
6.20760875,45.9905352
6.22042625,43.7941875
6.2396525,40.783623
6.25247,38.9460714
6.27169625,36.4146051
6.28451375,34.862002
6.30374,32.7134429
6.3165575,31.389972
6.33578375,29.5510685
6.34860125,28.4139146
6.36141875,27.3415254
6.37423625,26.329093
6.38883637,25.2433449
6.40165387,24.3449865
6.4190975,23.1980497
6.431915,22.4066132
6.45755,20.941668
6.483185,19.617248
6.50882,18.4160026
