energy [eV],cross section [b]
1e-05,3214.52246
1.06565003e-05,3113.93195
1.13130005e-05,3022.22967
1.19695008e-05,2938.17935
1.26260011e-05,2860.77277
1.38693471e-05,2729.53191
1.46982444e-05,2651.4497
1.55271417e-05,2579.70655
1.69881562e-05,2466.28259
1.8558005e-05,2359.66419
2.01278538e-05,2265.77614
2.2109945e-05,2161.83109
2.34313391e-05,2099.98861
2.54134304e-05,2016.43258
2.70818228e-05,1953.33299
2.95844114e-05,1868.88933
3.12528038e-05,1818.32052
3.31402562e-05,1765.7811
3.52467686e-05,1712.20196
3.7353281e-05,1663.22159
3.94597935e-05,1618.21766
4.18428911e-05,1571.45999
4.58324153e-05,1501.50752
4.98219396e-05,1440.13525
5.45098968e-05,1376.81497
5.95470706e-05,1317.29395
6.45842443e-05,1264.87977
6.88242017e-05,1225.29776
7.51841378e-05,1172.32672
8.1544074e-05,1125.68044
8.68974446e-05,1090.45421
9.22508153e-05,1058.34058
9.7604186e-05,1028.90659
0.000102957557,1001.79918
0.000109716723,970.449386
0.00011647589,941.869649
0.000123235056,915.674676
0.000134261285,877.267721
0.000147062471,838.215534
0.000159863657,803.953348
0.000174905906,768.603593
0.000185681092,745.967726
0.000201843871,715.475791
0.000220836216,684.015946
0.000234440967,663.870933
0.000248045719,645.406851
0.00026165047,628.402222
0.00027882783,608.736287
0.000296005191,590.808001
0.000313182551,574.375668
0.000330359912,559.242185
0.000362892118,533.583661
0.000384580255,518.317967
0.000406268393,504.291564
0.000444495906,482.116104
0.000485571073,461.271074
0.000526646239,442.914846
0.000561220579,429.052568
0.00061308209,410.501117
0.0006649436,394.1646
0.000708597165,381.827551
0.000752250731,370.580539
0.000795904296,360.271948
0.000839557862,350.778136
0.000894674859,339.798442
0.000977350354,325.104611
0.00103246735,316.30517
0.00109482121,307.16275
0.0011992073,293.484947
0.00130359339,281.484659
0.00142625401,269.103278
0.0015580519,257.46459
0.00168984979,247.215387
0.00180078847,239.475299
0.0019671965,229.11686
0.00207813518,222.91363
0.00220364012,216.468572
0.00234371132,209.89586
0.00248378252,203.88719
0.00262385371,198.366236
0.00278231626,192.630037
0.00304759712,184.04811
0.00322445103,178.924961
0.00340130494,174.206678
0.00373624858,166.206736
0.00407119223,159.215334
0.00443545462,152.529661
0.00471738787,147.895693
0.00499932112,143.659365
0.00542222101,137.935458
0.00577818996,133.612771
0.0063121434,127.827722
0.00666811236,124.363273
0.00707082006,120.763747
0.00752026651,117.092919
0.00796971295,113.737105
0.0084191594,110.653688
0.00892761819,107.450081
0.00977882488,102.657237
0.0106300316,98.4522718
0.0116302563,94.1138949
0.0127049899,90.035954
0.0137797236,86.4451077
0.0150857018,82.6095162
0.01639168,79.2423593
0.0173982805,76.9104044
0.0185404781,74.4981922
0.0196826757,72.2994887
0.0208248733,70.2846301
0.0219670709,68.4294234
0.0236335355,65.9686067
0.0259089065,63.0014719
0.0286460485,59.9139142
0.0313773154,57.2473096
0.0341085823,54.9100842
0.0373180032,52.5015905
0.0407665012,50.2410834
0.0442149991,48.2540481
0.0483195595,46.1767094
0.05242412,44.3532655
0.054975427,43.3267315
0.0594908321,41.6790386
0.0631558015,40.4778977
0.0668207709,39.3806858
0.0704857404,38.3738544
0.0772247977,36.7223892
0.0817175026,35.743351
0.0862102075,34.8470523
0.0948378477,33.321944
0.103601664,31.9903905
0.11236548,30.8358414
0.11842724,30.1238922
0.124489,29.4731206
0.137526751,28.2499561
0.146534861,27.5239171
0.155859247,26.858508
0.169824943,26.0013728
0.179128445,25.5102679
0.192197521,24.9130024
0.203957309,24.4568158
0.218764166,23.977957
0.229376957,23.6931521
0.24159443,23.4197299
0.25060254,23.2526475
0.26861876,22.9992829
0.28555923,22.8517879
0.3046512,22.7829449
0.32266742,22.8072778
0.34068364,22.9150183
0.360547115,23.1286697
0.37671608,23.3760045
0.3947323,23.7304783
0.42175663,24.4240996
0.43977285,25.0007629
0.461012004,25.8074541
0.4848134,26.8900798
0.50282962,27.8488208
0.52084584,28.9415032
0.53886206,30.1835402
0.55687828,31.5934784
0.574769442,33.1818179
0.58390261,34.0732585
0.60191883,36.0109353
0.61993505,38.2171122
0.62894316,39.4341807
0.63795127,40.7354642
0.64695938,42.1279692
0.660471545,44.4050127
0.669479655,46.0615243
0.678487765,47.840529
0.687495875,49.7533803
0.70100804,52.9018225
0.71001615,55.2082897
0.722364111,58.6751217
0.732536425,61.8286191
0.741544535,64.8735826
0.750552645,68.1826375
