energy [eV],cross section [b]
1e-05,72.5708158
1.06500415e-05,70.3212133
1.16251037e-05,67.3075196
1.22751451e-05,65.5011139
1.30096974e-05,63.6250894
1.42382919e-05,60.818129
1.50573549e-05,59.1408629
1.5876418e-05,57.5951268
1.74244674e-05,54.9771525
1.89725169e-05,52.6865211
2.06547393e-05,50.4954373
2.26053073e-05,48.2677202
2.45558754e-05,46.3110132
2.60253141e-05,44.9846144
2.76638128e-05,43.6320856
3.01215609e-05,41.814148
3.27923273e-05,40.0752155
3.48568629e-05,38.8702949
3.69213985e-05,37.7679065
3.8985934e-05,36.7542876
4.13188763e-05,35.701604
4.39202254e-05,34.6281825
4.78222489e-05,33.1853938
5.0423598e-05,32.3180431
5.37013409e-05,31.316225
5.86179553e-05,29.9741332
6.35345698e-05,28.791011
6.97295855e-05,27.4823214
7.38595959e-05,26.7029037
8.00546116e-05,25.6489015
8.52584933e-05,24.8538182
9.30643158e-05,23.7886799
9.82681975e-05,23.1502368
0.000104148627,22.4871882
0.000110705604,21.8110774
0.000117262581,21.1925
0.000123819559,20.6237334
0.000131228997,20.0330466
0.000143621847,19.1492444
0.000156014698,18.37296
0.000170555779,17.5723019
0.000186170975,16.8192209
0.000201786172,16.1553417
0.00021490311,15.6545464
0.000228020048,15.1976106
0.000247695454,14.5815199
0.000270781483,13.9460852
0.000287309042,13.539017
0.000303836601,13.1656323
0.00032036416,12.8215282
0.000341189159,12.4240767
0.000362014158,12.0614339
0.000382839157,11.7287986
0.000403664155,11.4222482
0.000443023921,10.9030516
0.000482383687,10.4487735
0.00052515485,10.0142377
0.000574748807,9.57243681
0.000624342765,9.18438257
0.000661703821,8.92133106
0.000703363293,8.65309742
0.000765852503,8.29256387
0.000807511975,8.07582452
0.000860003602,7.82548353
0.000912495228,7.59706729
0.000964986855,7.3875517
0.00101747848,7.19446613
0.0010836188,6.97144603
0.00114975912,6.76795793
0.00121589944,6.58130775
0.00132370871,6.30760847
0.00144871556,6.0293331
0.00157372241,5.7849109
0.0017203985,5.53281429
0.00182540564,5.37131772
0.00198291634,5.15357039
0.00210157528,5.00596532
0.00223388601,4.8554524
0.00243235211,4.65314753
0.00256466284,4.53152936
0.00273137656,4.39105638
0.00289809028,4.26288594
0.003064804,4.14532113
0.00323151772,4.03697563
0.00344157977,3.91183302
0.00375667285,3.74418489
0.00407176592,3.59639444
0.00446878842,3.43291856
0.00486581092,3.28988307
0.00529724424,3.15306359
0.00563074753,3.05826018
0.00613100247,2.93083459
0.0066746156,2.80894661
0.00709483527,2.72448936
0.00751505495,2.64721889
0.00793527463,2.57617056
0.00841012635,2.50238397
0.00893961011,2.42714372
0.00946909388,2.35830593
0.00999857764,2.29501123
0.0109304778,2.19499532
0.0119312153,2.10092245
0.0129319528,2.01799227
0.0141928987,1.92626034
0.0154538445,1.84599809
0.0168240793,1.76922372
0.0178832877,1.71602602
0.0189424961,1.66735506
0.0205313088,1.60153743
0.0217234816,1.55696816
0.0229156544,1.51592373
0.0241078272,1.47796273
0.0258697896,1.42673937
0.028392255,1.36188084
0.0300738986,1.32325282
0.0317555422,1.28773521
0.0347152628,1.23161144
0.037893611,1.17882239
0.0410719592,1.13228589
0.0450767307,1.08081002
0.0477465783,1.05015228
0.0517513498,1.00869375
0.0551154021,0.977419416
0.0601614806,0.935522237
0.065207559,0.898587396
0.0694463207,0.870725467
0.0736850824,0.845303476
0.0779238441,0.821984885
0.0821626058,0.800494749
0.0875035159,0.775672727
0.095514881,0.742419344
0.103526246,0.713104359
0.113620699,0.680677568
0.123715152,0.652304783
0.134684513,0.625164509
0.143163965,0.606358451
0.155883143,0.581080685
0.16970472,0.55690086
0.18038897,0.540146079
0.191073221,0.524816734
0.207099596,0.504086439
0.220561928,0.488448174
0.234024261,0.474179146
0.247486593,0.461090505
0.260948926,0.449027964
0.286393069,0.428597215
0.311837212,0.410720217
0.339486655,0.393619289
0.371546697,0.376231489
0.40360674,0.360958073
0.441224211,0.345204093
0.468155001,0.335111273
0.508551186,0.321502193
0.538983202,0.31227636
0.572916445,0.302868222
0.623816308,0.290221737
0.65774955,0.282618545
0.700505998,0.273835995
0.743262446,0.265821987
0.786018894,0.258470535
0.855712259,0.247689444
0.936523009,0.236726594
1.01733376,0.227095992
1.1121526,0.217161422
1.21397549,0.207815516
1.31579837,0.199575098
1.40133072,0.193357903
1.48686307,0.187684328
1.6151616,0.180033127
1.76569995,0.172139714
1.87347213,0.167081902
1.98124431,0.16244171
2.08901649,0.158164572
2.29270859,0.150918497
2.42850332,0.146601629
2.56429806,0.142631418
2.80329904,0.136355787
3.05995446,0.130450493
3.31660989,0.125242331
3.63999998,0.119478512
3.85559338,0.116044129
4.17898347,0.111397687
4.45063472,0.107890861
4.8581116,0.10319022
5.26558848,0.0990435035
5.60787356,0.0959134635
5.95015865,0.0930559205
6.29244373,0.0904333429
6.63472881,0.0880150647
7.0660137,0.0852201165
7.71294102,0.0814726048
8.35986834,0.0781655628
9.1750075,0.0745033398
9.99014666,0.0712949717
10.9251796,0.0680621606
11.7083932,0.0656547831
12.6862382,0.0629645278
13.7038594,0.0604729106
14.5666254,0.0585657933
15.4293914,0.0568188748
16.2921574,0.0552107413
17.2670901,0.0535385868
18.3541896,0.0518311988
19.441289,0.0502669335
20.5283885,0.0488266838
22.4417016,0.0465467754
24.4963466,0.0443974067
26.5509917,0.0424983132
29.1398785,0.0403925673
31.7287653,0.0385453992
34.5420366,0.0367741094
36.7167302,0.0355441191
38.8914237,0.0344168243
41.0661173,0.0333786027
43.523539,0.0322986122
46.263689,0.0311954865
49.0038389,0.0301845868
51.7439889,0.0292537208
54.840381,0.0282856281
58.2930154,0.0272971116
63.471967,0.0259664795
69.0997896,0.0246919007
75.6253545,0.0233947782
82.1509194,0.0222550613
90.0,0.0210524747
94.0630736,0.0204904747
102.189221,0.0194703023
108.970757,0.0187097374
117.126147,0.0178867961
122.563074,0.0173862413
130.939826,0.0166799859
139.05974,0.0160609084
144.239826,0.0156955574
149.419913,0.0153509499
158.122646,0.0148141426
165.167937,0.0144143124
173.10426,0.0139970367
181.931614,0.0135697915
190.758969,0.013177199
206.138233,0.0125653177
219.914699,0.0120842207
227.276466,0.0118497826
242.0,0.0114226857
261.365165,0.0109351733
274.86011,0.0106385845
290.925,0.010325759
308.975,0.0100204194
322.86448,0.00981507635
337.457919,0.00962435153
356.0,0.00941565384
375.0,0.00923727826
394.0,0.00909162227
409.601288,0.00899465958
428.601288,0.00890236634
451.0,0.00882786875
470.0,0.00879236939
489.0,0.00878138975
521.881149,0.00881895691
540.881149,0.00887314595
555.5,0.00893118725
584.0,0.00908621931
603.0,0.00922148373
622.0,0.00938364394
650.5,0.00968079443
675.06938,0.00999356394
692.267345,0.010246821
707.5,0.0104968913
726.5,0.0108457593
736.0,0.0110368119
750.25,0.0113458903
764.5,0.0116840666
778.75,0.0120540065
793.0,0.0124587569
807.25,0.0129018067
828.625,0.0136471165
842.875,0.0142047898
859.799308,0.0149393667
873.75,0.0156114062
888.0,0.016368199
902.25,0.0172053371
916.5,0.0181337968
930.75,0.0191665696
940.25,0.0199205553
949.75,0.0207330222
959.25,0.0216099745
968.75,0.0225582236
978.25,0.0235855218
987.75,0.0247007228
997.25,0.0259139746
1006.75,0.0272369534
1016.25,0.0286831485
1025.75,0.0302682114
1035.25,0.0320103855
1044.75,0.0339310397
1054.25,0.0360553341
1059.0,0.0372029475
1068.5,0.0396902873
1078.0,0.0424668242
1082.75,0.0439777723
1089.875,0.0464162063
1094.625,0.0481675615
1099.375,0.0500294034
1104.125,0.0520112506
1111.25,0.0552324766
1116.0,0.0575632413
1120.75,0.0600566055
1125.5,0.062728109
1130.25,0.0655952
1135.0,0.0686775233
1139.75,0.0719972615
1144.5,0.0755795389
1149.25,0.0794529032
1154.0,0.0836499011
1158.75,0.0882077712
1163.5,0.0931692796
1165.875,0.0958165197
1170.625,0.101478318
1175.375,0.107682087
1177.75,0.111009175
1182.5,0.11816415
1187.25,0.126064286
1189.625,0.130326674
1194.375,0.139552432
1199.125,0.149831609
1201.5,0.155417252
1205.0625,0.164420003
1207.4375,0.17087746
1211.0,0.181323548
1213.375,0.188844786
1216.9375,0.201061123
1219.3125,0.209894061
1222.875,0.224305731
1225.25,0.234775014
1228.8125,0.251942891
1231.1875,0.264480242
1234.75,0.285156558
1235.9375,0.292600839
1238.3125,0.308408849
1239.5,0.316806675
1241.875,0.334684379
1243.0625,0.344206131
1245.4375,0.364531883
1246.625,0.375387763
1249.0,0.398630478
1250.1875,0.411082207
1252.5625,0.43782865
1253.75,0.452205386
1255.53125,0.4751538
1257.3125,0.499917822
1259.45,0.532310235
1261.1125,0.559758061
1263.07188,0.594953957
1265.03125,0.633613407
1267.10938,0.678925649
1269.1875,0.729325564
1270.25996,0.757579318
1271.325,0.787307112
1272.39375,0.818946204
1273.4625,0.852545404
1274.53125,0.888269819
1275.6,0.926302267
1276.66875,0.966845604
1277.7375,1.01012541
1278.80625,1.05639309
1279.99375,1.11164865
1281.0625,1.16518755
1282.25,1.22935821
1283.4375,1.29899821
1284.625,1.37474509
1285.8125,1.45733164
1287.2375,1.56666353
1288.425,1.66746416
1289.1375,1.73268765
1289.85,1.8018141
1291.0375,1.92657103
1291.75,2.0077403
1292.4625,2.09414111
1293.175,2.18622984
1293.8875,2.28451337
1294.6,2.38955581
1295.3125,2.50198644
1296.025,2.6225088
1296.7375,2.75191138
1297.45,2.89108007
1298.4,3.09357314
1299.1125,3.2596366
1300.0625,3.50251434
1300.775,3.70277552
1301.25,3.84588499
1301.725,3.99736673
1302.4375,4.24174059
1302.9125,4.41716778
1303.3875,4.6035637
1303.8625,4.80184615
1304.3375,5.01302905
1304.8125,5.23823444
1305.2875,5.47870634
1305.7625,5.73582655
1306.2375,6.01113286
1306.7125,6.30634006
1307.1875,6.62336415
1307.6625,6.96435039
1308.1375,7.33170579
1308.6125,7.72813686
1308.85,7.93819413
1309.325,8.38407851
1309.8,8.86742172
1310.0375,9.12441675
1310.5125,9.67190549
1311.10625,10.4257173
1311.34375,10.7511469
1311.7,11.2674156
1311.9375,11.6316397
1312.29375,12.2104611
1312.65,12.8314528
1313.00625,13.4985592
1313.24375,13.9710591
1313.6,14.7249916
1313.95625,15.5378228
1314.3125,16.4153561
1314.66875,17.3640453
1315.025,18.3910664
1315.38125,19.5043947
1315.61875,20.2988958
1315.85625,21.1385282
1316.2125,22.4893416
1316.45,23.4556366
1316.6875,24.4786968
1317.04375,26.1281497
1317.28125,27.3103564
1317.51875,28.5637159
1317.875,30.5873123
1318.1125,32.0391622
1318.35,33.5791128
1318.5875,35.2123167
1318.825,36.9439574
1319.0625,38.7791571
1319.3,40.7228548
1319.5375,42.779649
1319.89375,46.0855698
1320.25,49.6649748
1320.63,53.7883352
1321.01,58.2189734
1321.39,62.9311164
1321.77,67.8747139
1322.815,81.8681935
1323.195,86.6489664
1323.48,89.927648
1323.67,91.9127938
1323.86,93.7032755
1324.05,95.2709435
1324.24,96.5897277
1324.43,97.6366392
1324.62,98.3927196
1324.81,98.8438698
1324.9905,98.9821232
1325.19,98.8028926
