energy [eV],cross section [b]
1e-05,150118.508
1.06381802e-05,145546.745
1.15954506e-05,139410.426
1.2552721e-05,133990.199
1.33538108e-05,129909.762
1.41549007e-05,126180.84
1.49559905e-05,122755.7
1.57570803e-05,119595.218
1.67626661e-05,115953.322
1.77682518e-05,112625.167
1.87738375e-05,109568.15
2.04105651e-05,105084.416
2.23039907e-05,100526.44
2.35662744e-05,97797.9986
2.48285581e-05,95280.3898
2.72053224e-05,91024.7668
2.95820866e-05,87292.9866
3.21610914e-05,83721.3507
3.4150082e-05,81247.8365
3.61390726e-05,78981.476
3.91225585e-05,75911.7889
4.16192829e-05,73600.9083
4.41160072e-05,71489.1268
4.66127316e-05,69549.4082
4.9109456e-05,67759.5916
5.22435244e-05,65697.173
5.53775929e-05,63812.4553
5.85116613e-05,62081.3077
6.16457297e-05,60483.951
6.75468927e-05,57783.921
7.34480557e-05,55416.3087
7.98513528e-05,53150.3585
8.47897296e-05,51581.1268
9.21972948e-05,49468.1917
0.000100235175,47446.0059
0.000106434182,46045.6022
0.000112633188,44762.519
0.000121931698,43024.7032
0.000129713138,41716.5184
0.000137494578,40521.0883
0.000145276018,39423.1004
0.000153057458,38410.0035
0.000167709195,36697.6357
0.00017747702,35675.9393
0.000187244844,34735.3362
0.000204390034,33250.5768
0.00022278195,31852.6433
0.000241173867,30617.9991
0.000264260726,29254.7569
0.000279651966,28441.4103
0.000302738825,27339.8991
0.000322059019,26510.7845
0.000351039309,25398.1142
0.000370359503,24730.1624
0.000392145649,24037.0944
0.000416397749,23330.6065
0.000440649849,22683.3901
0.000464901949,22087.6066
0.000492249491,21469.4444
0.000537913967,20544.5906
0.000583578444,19730.8038
0.000637014165,18892.277
0.000694335508,18103.0028
0.000751656851,17406.1213
0.000823610733,16636.9017
0.000871579988,16178.1039
0.00094353387,15556.9428
0.00100374834,15089.5474
0.0010639628,14662.6034
0.00112417727,14270.6133
0.00118439174,13909.0711
0.00125997728,13492.6643
0.00133556282,13112.3414
0.00141114836,12763.1971
0.0014867339,12441.2113
0.00162905453,11897.3786
0.00177137516,11420.993
0.00192580595,10965.5556
0.00210445706,10503.1584
0.00228310818,10096.7157
0.00249216239,9678.39352
0.00264166623,9410.5769
0.00286592199,9049.38743
0.00303450791,8805.03199
0.00322217591,8556.25703
0.0034098439,8328.65682
0.0035975119,8119.42488
0.0038091331,7902.64596
0.0040447075,7682.03823
0.0042802819,7480.29784
0.00470240763,7158.3619
0.00513564585,6871.18709
0.00558953755,6607.90492
0.00618767987,6307.62461
0.00674447459,6066.07185
0.0073012693,5853.79894
0.00776722188,5694.7652
0.00823317446,5550.07931
0.00893210333,5355.76964
0.00945752825,5224.91766
0.0100424255,5092.26727
0.0106273228,4971.46903
0.0115046687,4809.12778
0.0126915393,4619.10037
0.0132849747,4534.67288
0.0144414896,4386.90306
0.0158239306,4234.43589
0.0176671852,4063.40091
0.019284892,3937.15577
0.0210202316,3821.31373
0.0227555712,3721.90434
0.02407406,3655.52249
0.0261161084,3565.75457
0.0285644335,3475.4767
0.0301911318,3424.20498
0.0328274066,3353.40825
0.0358561363,3287.75769
0.0383218382,3244.61039
0.0428983737,3184.55764
0.0473832287,3146.36468
0.04975725,3133.07762
0.054242105,3119.2607
0.05872696,3118.4749
0.063211815,3129.21318
0.0693090199,3160.45464
0.0744239525,3200.34693
0.0789088075,3245.10114
0.0833936625,3298.7939
0.090120945,3396.06961
0.0946058,3472.27865
0.101333083,3604.34913
0.105817938,3704.86309
0.111751372,3854.28652
0.117030075,4004.20715
0.123757358,4220.82942
0.128242213,4382.80466
0.134969495,4655.34625
0.140278379,4898.50883
0.146181633,5202.03034
0.151787701,5526.99509
0.15739377,5892.9389
