energy [eV],cross section [b]
1e-05,17.3770582
1.06565003e-05,16.833288
1.16412507e-05,16.1055824
1.2297751e-05,15.6697984
1.30404498e-05,15.2170326
1.42837957e-05,14.5396663
1.51126931e-05,14.1353096
1.59415904e-05,13.7629151
1.75114391e-05,13.1315301
1.90812879e-05,12.5797616
2.07885508e-05,12.0521394
2.27706421e-05,11.5156542
2.47527333e-05,11.0449734
2.62476266e-05,10.725838
2.7916019e-05,10.4003873
3.04186076e-05,9.96337757
3.2087e-05,9.7008926
3.41935124e-05,9.39732823
3.63000248e-05,9.12058703
3.84065373e-05,8.86693809
4.05130497e-05,8.6333388
4.31727325e-05,8.36318076
4.71622568e-05,8.00163917
5.1151781e-05,7.68326605
5.61889547e-05,7.33078993
6.12261285e-05,7.0227604
6.6704223e-05,6.72821074
7.09441804e-05,6.52405874
7.73041165e-05,6.24992692
8.42207593e-05,5.98779155
8.957413e-05,5.80610586
9.49275007e-05,5.64001456
0.000100280871,5.48740732
0.00010633714,5.32885324
0.000113096306,5.16716151
0.000119855473,5.01934805
0.000126614639,4.88353478
0.000138528347,4.66881773
0.000151329533,4.46698401
0.00016413072,4.28924947
0.000180293499,4.09247663
0.000191068685,3.97540595
0.000207231465,3.81723056
0.000220836216,3.69778018
0.000241243343,3.53792456
0.000254848094,3.44219557
0.00027023915,3.34273618
0.000287416511,3.24130857
0.000304593871,3.14858667
0.000321771232,3.06339236
0.000341203981,2.97487817
0.000373736187,2.84245536
0.000395424324,2.76340498
0.000417112461,2.69060312
0.000458187628,2.56716949
0.000499262795,2.4593006
0.000543933409,2.35615223
0.000578507749,2.28466023
0.00063036926,2.18866199
0.000686770382,2.09686478
0.000730423948,2.03324025
0.000774077514,1.97507673
0.000817731079,1.92163519
0.00086711636,1.86611112
0.000922233357,1.80948827
0.000977350354,1.75772547
0.00103246735,1.710165
0.00112961657,1.63497322
0.00123400266,1.56429305
0.00133838875,1.50205217
0.00147018664,1.43314427
0.00160198453,1.37292552
0.00174531913,1.31534204
0.00185625781,1.27543101
0.00202266584,1.22183915
0.00213360453,1.1896498
0.00227367572,1.15242276
0.00241374692,1.11848513
0.00255381811,1.08737937
0.00269388931,1.05873236
0.00287074322,1.02560204
0.00304759712,0.995399134
0.00322445103,0.967716467
0.00351295282,0.927128317
0.00384789646,0.885858371
0.00418284011,0.849650522
0.00457642124,0.812293426
0.0048583545,0.788372227
0.00528125438,0.756148939
0.00560020549,0.73430061
0.00595617444,0.712019921
0.00649012788,0.682101791
0.00684609684,0.664131802
0.00729554328,0.643349475
0.00774498973,0.62440349
0.00819443618,0.607038423
0.00864388262,0.591045976
0.00921135375,0.57255068
0.0100625604,0.547799171
0.0109137671,0.526003021
0.0119885008,0.501872144
0.0130632345,0.480784128
0.0142320432,0.460618958
0.0151366824,0.446642505
0.0164936413,0.427875166
0.0179693793,0.409929118
0.0191115769,0.397490738
0.0202537745,0.386119967
0.0219670709,0.370756806
0.0244667677,0.351307052
0.0271267196,0.333638764
0.0295564708,0.319630966
0.0322877377,0.305813277
0.0350190046,0.293645449
0.0384675025,0.280174265
0.0419160005,0.268401793
0.045666357,0.257144527
0.0485690729,0.249342146
0.0514717888,0.242209471
0.0558258627,0.232572467
0.0594908321,0.22529485
0.0649882862,0.215555548
0.0686532557,0.209723226
0.0727994358,0.203663653
0.0797405219,0.194598206
0.0843679127,0.189186586
0.0889953035,0.184202758
0.0977591197,0.175752887
0.106522936,0.16836863
0.116053878,0.16130763
0.127119074,0.15412816
0.138184269,0.147829457
0.14652964,0.143558846
0.155843584,0.139203817
0.169814501,0.133356135
0.179128445,0.129843906
0.190888233,0.125782136
0.20264802,0.122079406
0.214407808,0.118685782
0.226167595,0.115560539
0.241015504,0.111946375
0.263287367,0.107110054
0.28555923,0.102851622
0.313679687,0.0981376244
0.341800144,0.0940186779
0.372382079,0.0900806649
0.396052007,0.087351709
0.4315569,0.0836880598
0.470169654,0.0801857116
0.500055308,0.0777589181
0.529940962,0.0755409987
0.574769442,0.0725453845
0.606987933,0.0706013514
0.640906798,0.0687159182
0.691785096,0.0661534284
0.725703961,0.0645977432
0.797167689,0.0616533264
0.868631416,0.0590827868
0.946350605,0.0566275642
1.03658071,0.0541346327
1.12681082,0.0519511325
1.23283723,0.0497027991
1.30878692,0.0482660062
1.42271147,0.0463349212
1.50863337,0.045028967
1.60452747,0.0437005085
1.74836861,0.0419229976
1.84426271,0.0408594864
1.96533861,0.0396341273
2.0864145,0.0385220354
2.2074904,0.0375076194
2.40500152,0.0360303293
2.63430718,0.0345432038
2.78717762,0.0336642672
2.94004806,0.0328617439
3.23585188,0.0314924309
3.52160376,0.0303598952
3.8048715,0.029387306
4.09495455,0.0285198098
4.2922711,0.0279933517
4.68690419,0.0270718949
4.99459958,0.0264579412
5.45614266,0.0256805664
5.76383805,0.0252447049
6.14964781,0.0247787235
6.38160987,0.0245373812
