energy [eV],cross section [b]
1e-05,67382.1257
1.0945101e-05,64407.6371
1.1890202e-05,61795.2628
1.29146999e-05,59293.9524
1.37035612e-05,57562.2769
1.44924225e-05,55973.9969
1.56757144e-05,53820.3269
1.66633899e-05,52201.26
1.76510655e-05,50720.0724
1.8638741e-05,49358.2443
1.96264166e-05,48100.5616
2.14813111e-05,45977.4904
2.27179075e-05,44708.9867
2.39545039e-05,43540.0312
2.61210541e-05,41695.849
2.8443432e-05,39957.9718
3.076581e-05,38420.8107
3.36899057e-05,36716.2817
3.52998113e-05,35869.6173
3.85196227e-05,34338.444
4.09466182e-05,33305.7452
4.33736138e-05,32360.9991
4.70141072e-05,31083.5387
4.97469369e-05,30218.2115
5.27856007e-05,29336.1014
5.58242645e-05,28527.0479
5.88629283e-05,27781.4948
6.22845047e-05,27008.2081
6.60889936e-05,26219.9273
7.1795727e-05,25157.192
7.79818773e-05,24139.6699
8.51268612e-05,23105.4355
9.22718451e-05,22193.8254
0.000100617315,21254.6007
0.000106581123,20652.1504
0.000115526835,19837.5555
0.000125975588,18998.2951
0.000133442436,18459.9713
0.000140909285,17965.0478
0.000148376133,17507.9919
0.000157724828,16982.1861
0.000167073524,16501.183
0.000176422219,16058.9641
0.000185770914,15650.5851
0.000203328142,14961.2596
0.00022088537,14355.9157
0.000239917562,13776.3707
0.000261899684,13187.3582
0.000283881805,12668.2308
0.000309557318,12133.4321
0.000327905457,11790.4267
0.000355427666,11326.6818
0.000376087917,11012.5916
0.000399060281,10692.448
0.000422032645,10398.8558
0.000445005009,10128.341
0.000470872201,9847.80124
0.000514015228,9428.0013
0.000542777247,9176.45011
0.000571539265,8944.17726
0.000625555498,8552.18047
0.000679571731,8208.02198
0.000738125812,7878.61158
0.00080575559,7543.91179
0.000873385368,7249.0108
0.000952378163,6945.30494
0.0010088277,6750.57468
0.001093502,6487.38013
0.00115706494,6309.17979
0.00122774128,6127.59924
0.00129841762,5961.13086
0.00136909396,5807.79615
0.00144867647,5648.83265
0.00158140948,5411.07278
0.00166989816,5268.67522
0.00175838684,5137.24385
0.00192457216,4915.56122
0.00209075747,4721.0819
0.00227090385,4535.08671
0.00247897234,4346.27724
0.00268704083,4180.08355
0.00284323278,4067.64685
0.00301690434,3953.15835
0.0032774117,3799.03657
0.00355980401,3651.7484
0.00377724549,3549.96147
0.00399468697,3456.74868
0.00421212845,3370.98562
0.00445697049,3282.18054
0.00472921308,3191.82388
0.00513757696,3070.31149
0.00558024708,2954.33861
0.00609152966,2836.88778
0.00660281224,2733.77329
0.00719999948,2628.00022
0.00784013904,2528.82718
0.00848027861,2441.57791
0.0092132993,2353.5829
0.0096813786,2302.97096
0.0101494579,2256.10051
0.0109520254,2183.26945
0.0116210017,2128.80195
0.0126244662,2055.96294
0.0132934425,2012.42776
0.0141310189,1962.73258
0.0149685953,1917.67761
0.0158061717,1876.638
0.01745836,1805.54824
0.0191483904,1743.85747
0.0208384208,1691.02903
0.0230692104,1632.06574
0.0253,1582.83826
0.0272606425,1546.02245
0.0294389275,1510.92352
0.0315968916,1481.188
0.0337751766,1455.45871
0.037062925,1423.432
0.03924121,1406.03211
0.0422480663,1386.24489
0.045776065,1368.40014
0.04795435,1359.90364
0.051205839,1350.37773
0.054489205,1344.20418
0.058845775,1340.77281
0.0625675747,1341.72875
0.067558915,1348.14142
0.071915485,1358.22959
0.076272055,1372.30987
0.0802688105,1388.65577
0.084985195,1412.13937
0.089341765,1437.90827
0.093698335,1467.69482
0.098054905,1501.65645
0.102544236,1541.24707
0.10894633,1606.37099
0.1133029,1657.01451
0.11765947,1713.27395
0.123921567,1805.01955
0.128550895,1882.04856
0.132907465,1962.56408
0.137264035,2051.73856
0.141620605,2150.56722
0.14379889,2203.95408
0.14815546,2319.47011
0.15251203,2447.84448
0.154690315,2517.35355
0.157538911,2614.08797
0.16122517,2749.91752
0.163403455,2836.30767
0.167760025,3024.11241
0.172116595,3234.09939
0.17429488,3348.28393
0.177562307,3532.10753
0.179740592,3663.59828
0.18300802,3875.26814
0.185186305,4026.60804
0.188453732,4269.9812
0.19172116,4534.15075
0.194988588,4820.25995
0.19883863,5186.65201
0.201305614,5438.30268
0.203919556,5719.13066
0.207404812,6115.13089
0.212632696,6748.4276
0.22221715,7957.83002
0.225702406,8373.10669
0.228316348,8659.19248
0.231801604,8990.59824
0.233544232,9129.08833
0.23528686,9246.18752
0.237029488,9339.71399
0.238772116,9407.79563
0.240514744,9448.95175
0.242257372,9462.16228
0.244,9446.9188
0.245742628,9403.25306
0.247485256,9331.74027
0.249227884,9233.47665
0.250970512,9110.03303
0.25271314,8963.38832
0.254455768,8795.84797
0.256198396,8609.95385
0.258812338,8302.59133
0.262297594,7853.8365
0.271882048,6540.37221
0.275367304,6078.03959
0.27885256,5639.05389
0.280595188,5429.96066
0.284080444,5034.4639
0.286694386,4758.38148
0.289743985,4458.66752
0.29192227,4259.09329
0.294100555,4071.25197
0.29627884,3894.73535
0.299546268,3650.16775
0.301724552,3499.85752
0.303902838,3359.1266
0.307092205,3169.26555
0.30934855,3045.79481
0.311526835,2934.53649
0.314794262,2781.23814
0.31806169,2642.92458
0.321329118,2518.22093
0.323507402,2442.02343
0.325685687,2370.97564
0.328953115,2273.37109
0.333309685,2158.47452
0.33548797,2106.98057
0.33984454,2014.76737
0.34420111,1935.60333
0.346379395,1900.47716
0.350735965,1838.37909
0.35291425,1811.14034
0.35727082,1763.69705
0.36162739,1724.9636
0.36598396,1694.25697
0.368162245,1681.73407
0.372518815,1662.05037
0.376875385,1649.1907
0.381231955,1642.84423
0.38776681,1645.06208
0.39212338,1654.17532
0.39647995,1669.33907
0.399988947,1685.96976
0.403445992,1706.25657
0.40591409,1723.14935
0.410850287,1763.11708
0.415786484,1811.65066
0.418254583,1839.28008
0.42319078,1901.63755
0.425658878,1936.54158
0.429361026,1993.83857
0.433063174,2057.41426
0.436765321,2127.71365
0.440467469,2205.24311
0.444169617,2290.57604
0.447871765,2384.35922
0.451573912,2487.31958
0.454042011,2561.45658
0.457744159,2681.56842
0.461446306,2813.24323
0.465148454,2957.56372
0.468850602,3115.72452
0.47255275,3289.03537
0.476254897,3478.92047
0.478722996,3615.47098
0.481138089,3757.33591
0.483500177,3904.4245
0.486127291,4078.24162
0.48859539,4251.87469
0.491063488,4436.03407
0.493531587,4631.20391
0.495999685,4837.83632
0.498467784,5056.33237
0.500935882,5287.01844
0.503403981,5530.11704
0.505625269,5759.59106
0.508586988,6081.17622
0.511548706,6420.06201
0.514510424,6775.07564
0.517472142,7144.28705
0.531293494,8940.4415
0.535242451,9416.6674
0.539191409,9838.43755
0.541165888,10021.35
0.543140367,10181.6448
0.545114845,10316.5491
0.547089324,10423.5778
0.549063803,10500.6349
0.551038282,10546.1051
0.553012761,10558.9287
0.554691068,10543.8045
0.555974479,10516.1337
0.557948958,10446.7393
0.559923436,10345.8537
0.561897915,10215.1442
0.563872394,10056.7675
0.565846873,9873.27872
0.56979583,9442.5579
0.572757549,9075.90067
0.575719267,8683.45239
0.585591661,7306.48592
0.589540618,6767.75815
0.593489576,6252.8973
0.595464055,6006.47344
0.599413012,5538.11273
0.601387491,5316.71365
0.60336197,5103.99331
0.606833941,4750.93571
0.610766266,4382.70299
0.614468413,4065.3959
0.618170561,3774.85995
0.621872709,3509.21439
0.625574857,3266.51067
0.629277004,3044.81872
0.632979152,2842.28241
0.6366813,2657.15268
0.640383448,2487.80509
0.642851546,2382.93183
0.646553694,2236.63495
0.649021792,2145.89418
0.65272394,2019.09886
0.655192039,1940.31355
0.658894186,1830.02141
0.661362285,1761.36011
0.665064433,1665.05625
0.667532531,1604.98613
0.672468728,1493.85183
0.677404925,1393.52324
0.682341122,1302.7275
0.687277319,1220.36122
0.692213516,1145.46656
0.697149713,1077.21057
0.70208591,1014.86747
0.707022107,957.803583
0.709490206,931.075268
0.714426403,880.912128
0.7193626,834.766717
0.724298797,792.23784
0.726766895,772.217339
0.734171191,716.655097
0.741575486,667.113201
0.748979782,622.782612
0.753915979,595.783517
0.758078257,574.451469
0.766256471,535.984189
