energy [eV],cross section [b]
1e-05,30174.1098
1.05916256e-05,29319.2704
1.1479064e-05,28163.1503
1.20706895e-05,27464.2936
1.27323193e-05,26741.1891
1.38297702e-05,25658.2479
1.5293038e-05,24399.8749
1.66502009e-05,23384.3202
1.80073638e-05,22485.8559
1.94715843e-05,21623.8915
2.11499201e-05,20748.1862
2.28282559e-05,19970.9233
2.40795392e-05,19445.111
2.54632155e-05,18909.4064
2.75387298e-05,18182.8758
2.97779678e-05,17485.8603
3.14890914e-05,17004.1323
3.49113384e-05,16149.2107
3.68249309e-05,15724.02
3.89409922e-05,15290.83
4.21150842e-05,14703.3313
4.42311455e-05,14347.3103
4.68479732e-05,13940.848
5.07732148e-05,13391.1316
5.46984564e-05,12901.7045
5.95526073e-05,12364.7191
6.27887079e-05,12041.8686
6.76428589e-05,11601.7552
7.16447834e-05,11273.0752
7.76476703e-05,10828.5548
8.36505572e-05,10432.7865
8.85995382e-05,10137.2237
9.35485191e-05,9865.43679
9.84975001e-05,9614.40012
0.000103446481,9381.60093
0.00010956664,9115.8185
0.000115686798,8871.4164
0.000121806956,8645.67376
0.000131711363,8314.25438
0.000143064106,7977.5518
0.000154416849,7678.69961
0.000167560678,7371.38374
0.000181600051,7080.71558
0.000195639423,6821.92599
0.000207213952,6628.65996
0.000218788481,6450.94084
0.000236150274,6209.27837
0.00024909436,6045.79565
0.000263408004,5879.23726
0.000292035291,5583.64657
0.000308042598,5436.63614
0.000325743569,5286.85994
0.000361145511,5021.05257
0.000391885906,4820.10153
0.000424720771,4630.03631
0.000457555635,4460.81622
0.000498160878,4275.15286
0.000538766121,4110.896
0.000582574444,3953.31209
0.000616050766,3844.40123
0.000649527089,3744.02264
0.000699741572,3607.1855
0.000741140073,3504.99453
0.000803237826,3366.78731
0.000844636327,3283.24323
0.000890933311,3196.8005
0.000967726511,3067.3416
0.00107011744,2916.91102
0.00116508377,2795.50798
0.00129170554,2654.9607
0.00140165441,2548.7067
0.00151909454,2448.20872
0.00163653467,2358.73279
0.00173335625,2291.91156
0.00183017783,2230.46568
0.0019754102,2146.91166
0.00214355541,2060.99147
0.00226328984,2005.737
0.0025027587,1907.37297
0.00272486311,1827.98967
0.00302100232,1736.08844
0.00318659228,1690.38195
0.0033697026,1643.81565
0.00364436807,1580.66188
0.00394070009,1520.07389
0.00428036521,1458.52026
0.00462003033,1403.88635
0.00487326769,1366.92706
0.00515329899,1329.27253
0.00557334594,1278.20509
0.00602652762,1229.21247
0.0063728284,1195.35235
0.00706542994,1135.2612
0.00745270679,1105.37535
0.00788095972,1074.92737
0.00873746558,1020.89177
0.00921639159,994.017636
0.00974599068,966.638044
0.0105403893,929.505686
0.0113974528,893.882118
0.0123798461,857.691006
0.0133622393,825.568635
0.0144996216,792.536891
0.0153095395,771.294667
0.0165244164,742.409784
0.0179309605,712.707257
0.0189325456,693.606048
0.0209357159,659.602528
0.023117858,627.714355
0.024208929,613.412875
0.025890158,593.172149
0.02818775,568.496832
0.031251206,539.931173
0.0339112817,518.336091
0.0367525994,497.911416
0.039593917,479.727312
0.0431076332,459.776881
0.0454501106,447.782491
0.0489638267,431.432092
0.051860652,419.221891
0.0562058899,402.70892
0.0591027151,392.727457
0.0623423076,382.399997
0.0659246672,371.878607
0.0695070268,362.181836
0.0730893865,353.207338
0.0770956292,343.921817
0.083740818,330.016319
0.0926010698,313.859462
0.100818844,300.821408
0.109036618,289.287572
0.117902639,278.22326
0.128065151,266.98366
0.138227664,257.008594
0.145804326,250.261156
0.154182641,243.387333
0.166750115,234.065944
0.17512843,228.417843
0.185489476,221.970128
0.195850522,216.041713
0.206211568,210.566495
0.216572614,205.489581
0.229385604,199.694047
0.242198594,194.36542
0.255011584,189.444261
0.275686252,182.240607
0.299271287,174.954169
0.330718,166.481758
0.350800276,161.679207
0.380192708,155.350197
0.409585139,149.716993
0.433817243,145.511222
0.458049348,141.644728
0.494397505,136.388671
0.521496876,132.83414
0.551463514,129.213779
0.61139679,122.791619
0.644909234,119.599116
0.681967484,116.347708
0.756083983,110.580634
0.820441201,106.22376
0.866269295,103.423451
0.912097388,100.838128
0.986262142,97.0448031
1.04293546,94.4248473
1.12794545,90.8741201
1.23429933,86.963106
1.33366044,83.7437505
1.42415004,81.1124918
1.50829444,78.8832952
1.59496517,76.7759471
1.6816359,74.835344
1.86523267,71.1855423
1.97241405,69.2973083
2.07959542,67.5588081
2.28926661,64.5226254
2.51961074,61.6403362
2.77055097,58.9252042
3.0164203,56.6061187
3.26228962,54.5590958
3.488587,52.8732829
3.67569378,51.6010586
4.04990735,49.3320879
4.38911207,47.5370835
4.71583363,45.9990485
5.23970451,43.8477657
5.8152952,41.8368548
6.47968181,39.8670653
7.1727675,38.1200018
8.01310002,36.3231699
8.751702,34.9692693
9.54116925,33.7050416
10.383175,32.523585
11.3832595,31.298908
12.2544643,30.3593951
12.962194,29.6681868
14.014817,28.7397078
14.9621777,27.9894937
16.0148007,27.2346229
17.02487,26.5757345
19.0916806,25.3878554
21.169912,24.3617274
23.1758133,23.4917047
24.45133,22.9873139
26.883274,22.1097658
30.041077,21.0998074
33.99082,19.9901034
37.81933,19.0381395
41.10091,18.300849
45.257232,17.4577491
48.53838,16.8582698
51.819528,16.314424
55.100676,15.8247316
58.5117094,15.3717847
61.880039,14.979258
65.037848,14.6591165
67.695495,14.4242142
70.853298,14.1842272
74.011101,13.9843136
77.5039673,13.8064063
81.113207,13.6659048
84.606318,13.5672873
88.816726,13.4908121
93.358868,13.4520452
98.17161,13.4512285
102.670432,13.4807215
107.934052,13.545802
116.311992,13.7088809
124.135627,13.9265823
133.3512,14.2651694
