energy [eV],cross section [b]
1e-05,957.714913
1.05787344e-05,931.149387
1.1446836e-05,895.145103
1.23149376e-05,863.01832
1.30276454e-05,839.079516
1.37403532e-05,817.028293
1.48094149e-05,786.986052
1.56046164e-05,766.671631
1.64823116e-05,745.979397
1.8237702e-05,709.170626
1.97574258e-05,681.350429
2.08383019e-05,663.444335
2.19191781e-05,646.879608
2.36656004e-05,622.553579
2.56622388e-05,597.844333
2.76588771e-05,575.861448
2.99636551e-05,553.270808
3.16028869e-05,538.730647
3.40617346e-05,518.921357
3.58907023e-05,505.526406
3.79094061e-05,491.882332
4.09374617e-05,473.340965
4.41991759e-05,455.540801
4.6685197e-05,443.245804
5.1657239e-05,421.374608
5.44310093e-05,410.497589
5.74925287e-05,399.418274
6.20848078e-05,384.362237
6.70314482e-05,369.908073
7.26868112e-05,355.226201
7.83421743e-05,342.164287
8.48703248e-05,328.741246
8.95133544e-05,320.101683
9.64778987e-05,308.331271
0.000104517275,296.235436
0.000110235137,288.450111
0.00011881193,277.843497
0.000125191617,270.671349
0.000132233128,263.365806
0.000139274639,256.621545
0.000154172694,243.907181
0.00016718006,234.226141
0.000184523214,222.946748
0.000200541704,213.856974
0.000216560194,205.795356
0.000233814744,198.055994
0.000246965857,192.710224
0.000266692527,185.445674
0.000287941397,178.471514
0.000304136911,173.654285
0.000320332425,169.207157
0.000344625697,163.133824
0.000364570371,158.608355
0.000394487383,152.474965
0.000436685265,144.920063
0.000473527879,139.167549
0.000522651363,132.465265
0.000568022811,127.064044
0.000613394259,122.273745
0.000662266776,117.674916
0.000718141431,113.00361
0.000774016087,108.847697
0.000838513831,104.576855
0.000884386691,101.827966
0.00095319598,98.0828974
0.00103262455,94.2342544
0.00108911669,91.7571065
0.00120210097,87.3373948
0.00130645555,83.7756204
0.00144559498,79.6405056
0.00152321718,77.583996
0.00160889185,75.4892176
0.00173740386,72.6425193
0.00187583245,69.9095747
0.00203409419,67.1335258
0.00219235592,64.663731
0.00231007595,62.9936383
0.00244000818,61.2924586
0.00263490652,58.980625
0.00284484412,56.7611527
0.00300485485,55.228075
0.0033248763,52.5008495
0.00350340777,51.1444987
0.00370045999,49.7628898
0.00409456441,47.3050987
0.00431442481,46.0827388
0.00455709338,44.8376091
0.00492109624,43.145499
0.00531318722,41.5209557
0.00576145447,39.8707338
0.00620972171,38.4025113
0.00672716967,36.8936062
0.00709519522,35.9223659
0.00764723353,34.5990874
0.00828446747,33.2391239
0.00873768863,32.3637419
0.00964413095,30.801776
0.01020227,29.9452748
0.010760409,29.1562541
0.0118766871,27.7483578
0.0129077042,26.6136203
0.0142823936,25.2960478
0.0154725267,24.3000627
0.0167422179,23.3567296
0.018011909,22.5148569
0.0195755257,21.5926942
0.0206179368,21.0370075
0.0221815535,20.2780007
0.0237407768,19.5969497
0.0253,18.9797524
0.0268123335,18.4332093
0.028106893,18.0007754
0.0296877896,17.5114652
0.0312686862,17.0596619
0.0346134633,16.2076668
0.0375337598,15.5586906
0.0414274884,14.8022605
0.0450238153,14.1923998
0.0498189178,13.4840285
0.0539702628,12.9483541
0.0583991169,12.4408188
0.062827971,11.9877079
0.0664640418,11.6499198
0.0701001126,11.3386355
0.0755542188,10.9143259
