energy [eV],cross section [b]
1e-05,2861.85053
1.06125123e-05,2778.03606
1.15312807e-05,2665.06779
1.21437929e-05,2596.98767
1.28313394e-05,2526.45231
1.35939202e-05,2454.5664
1.4356501e-05,2388.487
1.51190818e-05,2327.47229
1.59750805e-05,2264.25713
1.73992057e-05,2169.61482
1.83486225e-05,2112.73812
1.92980393e-05,2060.11213
2.10710822e-05,1971.53336
2.28441251e-05,1893.47852
2.47619693e-05,1818.67527
2.62336007e-05,1766.92811
2.77052321e-05,1719.36078
2.99126791e-05,1654.70423
3.17448674e-05,1606.24347
3.44931498e-05,1540.92626
3.63253381e-05,1501.56297
3.8381974e-05,1460.7801
4.18035991e-05,1399.72218
4.40846825e-05,1363.02854
4.63657659e-05,1329.07722
5.06257059e-05,1271.9312
5.34656659e-05,1237.68985
5.63056259e-05,1206.07296
6.12613701e-05,1156.26237
6.65650163e-05,1109.24381
7.18686625e-05,1067.53112
7.62707062e-05,1036.26704
8.067275e-05,1007.59819
8.72758155e-05,968.733262
9.49574034e-05,928.725082
0.000100437969,903.031558
0.000105918535,879.358987
0.000111399101,857.45561
0.000118222433,832.344122
0.000125045765,809.317151
0.000131869096,788.101394
0.000138692428,768.471223
0.00015143505,735.430234
0.000164177672,706.314845
0.000177960962,678.412377
0.000193825589,650.057014
0.000209690215,624.983843
0.000228146116,599.173151
0.000241313809,582.597369
0.000261065347,560.126441
0.000275846113,544.914123
0.000292239955,529.410562
0.000308633796,515.159314
0.000325027637,502.000384
0.000343429764,488.366919
0.000374045384,467.955691
0.000394455796,455.689299
0.000414866209,444.339671
0.000452982805,425.236322
0.000491099401,408.402695
0.000532328915,392.270397
0.000579784264,375.87631
0.000627239613,361.379932
0.00067,349.659809
0.000735305221,333.774287
0.000767957832,326.602727
0.000825129629,315.087041
0.000874168,306.123642
0.000923206371,297.884304
0.000972244743,290.27652
0.00102729044,282.39442
0.00111886995,270.593872
0.00117992297,263.502226
0.00124097598,256.940629
0.00135499293,245.896428
0.00146900988,236.164515
0.0015923384,226.83815
0.00173429007,217.360547
0.00187624173,208.980131
0.00198246912,203.306854
0.00210028947,197.525032
0.00227701999,189.709038
0.00246818378,182.218816
0.00261487069,177.037364
0.0027615576,172.274529
0.0029082445,167.876825
0.00307290092,163.320612
0.00325552684,158.677264
0.00352946571,152.40035
0.00371209163,148.607653
0.0039394618,144.259565
0.00428051705,138.399263
0.00462157229,133.200499
0.00504618775,127.480128
0.00532926472,124.052693
0.00575388017,119.394117
0.00610631239,115.902641
0.00663496072,111.196969
0.00716360904,107.022599
0.00760238888,103.894064
0.00804116872,101.025392
0.00847994856,98.3825102
0.0089187284,95.9372863
0.00946501145,93.1340989
0.010284436,89.3561976
0.0108307191,87.0796604
0.0114439231,84.721204
0.0124641108,81.1906326
0.0134842984,78.0691545
0.01467112,74.8563296
0.015517879,72.7933167
0.0167880176,69.9969927
0.0182656163,67.1189509
0.0193198355,65.2709766
0.0203740547,63.568605
0.0214282739,61.9936928
0.0223962054,60.6469219
0.0243320685,58.1991274
0.025989153,56.3254072
0.0274953456,54.7717771
0.029946464,52.4993644
0.031580543,51.1341342
0.0332146219,49.8712388
0.0362662764,47.7462966
0.0393179309,45.8746757
0.0426188089,44.0818902
0.0451516921,42.8422447
0.0489510169,41.1672605
0.0530606261,39.5630628
0.0562140781,38.4539719
0.0593675301,37.4349958
0.0640977081,36.0508455
0.0680237714,35.0141768
0.0719498346,34.0642085
0.079801961,32.3808601
0.0884509805,30.7950621
0.0927754903,30.0875571
0.0982269165,29.263921
0.108482149,27.888394
0.117610465,26.8207364
0.127484275,25.7996239
0.135060808,25.0946091
0.146425606,24.1435923
0.158718548,23.2347625
0.168151368,22.6077641
0.177584188,22.0328197
0.191733418,21.2537902
0.204824761,20.6086333
0.216119523,20.1016357
0.238709046,19.2025647
0.264334523,18.3327371
0.293576966,17.4913772
0.324499172,16.7378179
0.351804411,16.1644131
0.38639,15.5371059
0.423525828,14.9627778
0.460661655,14.4712255
0.48282,14.2109816
0.52817301,13.7431579
0.573526021,13.3489781
0.6033575,13.1237126
0.627465,12.9590821
0.67568,12.6714566
0.714042709,12.4780301
0.77211,12.2376687
0.8444325,12.0160452
0.888986675,11.918035
0.96497,11.8128857
1.0372925,11.7813424
1.10679277,11.8120222
1.1819375,11.9126375
1.25426,12.0779803
1.3265825,12.3149939
1.37796243,12.5305333
1.44712,12.8888768
1.5194425,13.3576992
1.591765,13.9379302
1.63998,14.3964412
1.70188249,15.0830658
1.7605175,15.8518172
1.8087325,16.5854598
1.83284,16.9914959
1.8569475,17.4264808
1.89310875,18.1385488
1.91721625,18.6569834
1.94132375,19.2140107
1.96543125,19.8131429
2.0015925,20.7995347
2.0257,21.5222495
2.0498075,22.3031596
2.073915,23.1482708
2.11007625,24.5514885
2.13589305,25.6660241
2.16173201,26.8886998
2.1944525,28.6124611
2.21856,30.0257216
2.2426675,31.5779437
2.266775,33.2875357
2.2908825,35.1760858
2.30293625,36.1952505
2.324633,38.170039
2.34150825,39.8435677
2.35597275,41.3844337
2.3680265,42.7504322
2.382491,44.4967187
2.392134,45.730986
2.41142,48.384379
2.421063,49.8117732
2.440349,52.8913306
2.449992,54.5540854
2.469278,58.1556782
2.488564,62.1722794
2.5030285,65.4963414
2.517493,69.1235112
2.5319575,73.0916892
2.546422,77.444887
2.556065,80.5859271
2.565708,83.9380458
2.5801725,89.4048187
2.5898155,93.3740773
2.5994585,97.6325306
2.613923,104.626236
2.623566,109.741404
2.633209,115.26345
2.642852,121.236541
2.65102466,126.689173
2.66066766,133.633165
2.671781,142.402118
2.681424,150.76056
2.691067,159.907131
2.70071,169.943461
2.710353,180.987957
2.719996,193.179199
