energy [eV],cross section [b]
1e-05,1155.5177
1.06211724e-05,1121.21893
1.15529309e-05,1075.05486
1.21741033e-05,1047.26906
1.28724467e-05,1018.46536
1.40357183e-05,975.347955
1.48112327e-05,949.470233
1.55867471e-05,925.548687
1.70390556e-05,885.226406
1.80072613e-05,861.099543
1.89754669e-05,838.843661
2.06683444e-05,803.756581
2.24815065e-05,770.663544
2.42946685e-05,741.348076
2.58037862e-05,719.343042
2.73129039e-05,699.187954
2.95765804e-05,671.899104
3.22152258e-05,643.79507
3.40993124e-05,625.756781
3.59833989e-05,609.154451
3.78674855e-05,593.807144
4.13958208e-05,567.937653
4.37480444e-05,552.458631
4.61002679e-05,538.179973
4.87447187e-05,523.378246
5.16813968e-05,508.291148
5.60864139e-05,487.922848
6.08562677e-05,468.411648
6.63557947e-05,448.58146
7.18553218e-05,431.073854
7.59771604e-05,419.218004
8.05544862e-05,407.133582
8.7420475e-05,390.819042
9.19978008e-05,380.972748
9.771245e-05,369.664804
0.000103427099,359.307517
0.000109141748,349.77474
0.000114856397,340.962581
0.00012199096,330.842289
0.000129125522,321.57281
0.000136260084,313.041247
0.000147848285,300.52361
0.000161209204,287.801338
0.000174570123,276.56916
0.000190144224,265.001472
0.000206824916,254.091217
0.000223505608,244.426392
0.000237389159,237.171713
0.000251272709,230.526943
0.000272098035,221.530324
0.000287706402,215.437981
0.000305039584,209.228196
0.000322372766,203.526241
0.000339705948,198.266475
0.000370012478,189.974323
0.000391652417,184.652111
0.000413292357,179.753597
0.000448440693,172.566446
0.000488965881,165.261834
0.00052949107,158.812802
0.000576729092,152.171169
0.000610458719,147.908332
0.000661053158,142.13673
0.000698973167,138.228327
0.000741083558,134.244597
0.000804249145,128.866416
0.000846359536,125.620555
0.000898933051,121.892884
0.000951506567,118.478624
0.00100408008,115.336188
0.0010566536,112.431323
0.00112229,109.095271
0.0012207446,104.605211
0.0013191992,100.627756
0.00144211672,96.2458085
0.00156503423,92.3908932
0.00169813214,88.6982705
0.00180043794,86.1428732
0.00195389664,82.693038
0.00212006525,79.3884594
0.00224779086,77.1016109
0.00237551647,75.0018188
0.00256710489,72.15113
0.00272656636,70.0113848
0.00288602782,68.0515792
0.00304548928,66.2478348
0.00320495074,64.5804862
0.00350357477,61.7701036
0.00370265745,60.0885812
0.00390174014,58.5375096
0.00424983003,56.0923108
0.00462265285,53.7862179
0.00499547567,51.7434957
0.00530578082,50.2102598
0.00577123853,48.1467544
0.00623669625,46.3189444
0.00662410259,44.9470388
0.00701150892,43.6905521
0.00759261843,41.9894815
0.00802815399,40.8376469
0.00851181877,39.6636986
0.00899548355,38.5858425
0.00947914833,37.5916553
0.0103248212,36.0244687
0.0109286616,35.0187139
0.0115325021,34.0931213
0.0125132806,32.7352635
0.0136440947,31.3554614
0.0147749088,30.1375094
