energy [eV],cross section [b]
1e-05,667.63709
1.05943698e-05,648.638754
1.14859244e-05,622.956153
1.20802942e-05,607.437644
1.27453191e-05,591.377916
1.3848839e-05,567.327424
1.53201989e-05,539.39667
1.66860784e-05,516.848577
1.80519579e-05,496.910657
1.95260823e-05,477.785439
2.12166968e-05,458.354591
2.29073113e-05,441.116613
2.41683676e-05,429.454162
2.5563404e-05,417.571774
2.76559585e-05,401.463551
2.99143465e-05,386.011926
3.16410499e-05,375.331524
3.33677532e-05,365.491268
3.50944565e-05,356.386488
3.70264199e-05,346.964172
3.91636434e-05,337.364167
4.23694785e-05,324.350029
4.4506702e-05,316.466538
4.71520458e-05,307.461143
5.11200616e-05,295.287341
5.50880774e-05,284.453781
5.99994807e-05,272.562924
6.32737495e-05,265.417005
6.81851527e-05,255.679335
7.22378721e-05,248.403706
7.83169512e-05,238.568261
8.43960303e-05,229.815624
8.94122753e-05,223.275975
9.44285203e-05,217.264606
9.94447652e-05,211.71402
0.00010446101,206.568206
0.000110669857,200.690088
0.000116878704,195.286811
0.00012308755,190.297706
0.000133138891,182.973487
0.000144666371,175.532223
0.000156193852,168.930745
0.000169548422,162.141359
0.000183816537,155.721441
0.000198084652,150.008308
0.000209858205,145.739664
0.000221631758,141.815847
0.000239292088,136.482389
0.00025246521,132.874008
0.000267037901,129.197578
0.000281610591,125.810346
0.000296183282,122.67628
0.000312488286,119.432912
0.000330525603,116.128379
0.000348562921,113.083789
0.000366600238,110.266757
0.000397944549,105.835103
0.000431433027,101.644614
0.000464921505,97.9154667
0.000506371799,93.8223748
0.000547822093,90.2031007
0.000592557293,86.7313547
0.000626760636,84.3316306
0.000660963979,82.1206746
0.000712268994,79.107828
0.00075460411,76.85674
0.000796939226,74.7874978
0.000881609459,71.1055679
0.000960209761,68.1332001
0.00101260996,66.3469289
0.00106501016,64.6941668
0.00112363939,62.9837638
0.00118849763,61.2411057
0.00128578499,58.8786917
0.0013907823,56.6125743
0.00151119953,54.3102441
0.00163161676,52.2677445
0.00172143789,50.8858803
0.001820802,49.4779568
0.00196984817,47.569322
0.00213070615,45.7384873
0.00225369388,44.4729867
0.0023766816,43.3070338
0.00249966932,42.2282266
0.00263727709,41.1117957
0.00278950489,39.9743113
0.00301784658,38.4322944
0.00317007438,37.4981974
0.00335849402,36.431169
0.00364112348,34.9887246
0.00392375295,33.7050836
0.00427357697,32.2961676
0.00450679299,31.4494675
0.00485661701,30.2956791
0.00514527965,29.4336118
0.0055782736,28.2682411
0.00601126756,27.2311703
0.00636855913,26.4563101
0.00672585071,25.7440449
0.00708314229,25.086377
0.00744043386,24.4766698
0.00788267076,23.7801956
0.00832490766,23.1399843
0.00876714457,22.5488474
0.00920938147,22.0008194
0.00975675927,21.3748023
0.010577826,20.5285329
0.0113988927,19.7754335
0.0124151663,18.9488381
0.0134314399,18.2179322
0.0145282524,17.5168217
0.0153668461,17.032205
0.0166247366,16.3752422
0.0179823141,15.7450611
0.0190202817,15.309472
0.0200582492,14.9081487
0.0216152006,14.3612721
0.0234576003,13.7858484
0.0260270847,13.087791
0.0283443564,12.5414937
0.0299345433,12.2038993
0.0315247303,11.8921838
0.0340990426,11.4345754
0.0370514185,10.9696586
0.0400037944,10.5572143
0.0434241177,10.1330346
0.0458603158,9.86030014
0.0495146129,9.48958906
0.053748111,9.10833102
0.0567635101,8.86319451
0.0627943082,8.42701465
0.0665266121,8.18731968
0.070258916,7.96699037
0.0777235238,7.57495227
0.0846530008,7.25847346
0.0892726521,7.06828644
0.0938923035,6.8923171
0.101920093,6.61549448
0.110497039,6.35374363
0.119073984,6.12081644
0.129690081,5.86516523
0.136767479,5.71153402
0.147383575,5.50218871
0.15614361,5.34577882
0.169283661,5.13434654
0.178043695,5.0065951
0.18784507,4.87439249
0.198687784,4.73970154
0.209530498,4.61561035
0.220373212,4.50079823
0.232504842,4.38198669
0.252635663,4.20406848
0.279476756,3.99746198
0.304393637,3.83068656
0.329310517,3.68322985
0.356202043,3.54179643
0.38704286,3.39811721
0.417883677,3.27066661
0.440888335,3.1844473
0.466337106,3.09660944
0.504510263,2.97754617
0.529959034,2.90543004
0.561458197,2.82305919
0.59295736,2.74735069
0.624456524,2.67745309
0.655955687,2.61265988
0.69494371,2.53865503
0.733931734,2.47063769
0.772919758,2.40784262
0.836036453,2.31567324
0.90842247,2.22205328
0.980808487,2.13902009
1.06466759,2.05379249
1.15426323,1.97329173
1.24385887,1.90169861
1.31779008,1.84823832
1.39172129,1.79912311
1.50261811,1.73240865
1.58533782,1.68730579
1.67684602,1.64138313
1.85986243,1.5600117
1.96224857,1.51958855
2.07551266,1.47843954
2.30204084,1.40555176
2.49886527,1.35054636
2.63905765,1.31523238
2.77925004,1.28266669
3.00206865,1.2357595
3.24994731,1.18945832
3.5804522,1.1355224
3.82831129,1.09984877
4.04308882,1.07169574
4.36525511,1.03353727
4.60556409,1.00780051
5.13724495,0.957380809
5.70052733,0.911336295
6.02957077,0.887537059
6.35861421,0.865650411
7.05581579,0.824561932
7.66672504,0.793388798
8.4812707,0.757341374
9.23742235,0.728383668
9.99357399,0.702902827
10.8096501,0.678790492
11.4336002,0.662222862
12.3695253,0.639909387
13.6509968,0.613420768
14.3085182,0.601341253
15.853104,0.576243084
17.038551,0.559571716
17.9944549,0.547482348
19.9062628,0.526301579
21.0894309,0.51486936
22.272599,0.504510255
24.6389352,0.48648686
26.9097362,0.471949401
29.0817302,0.460071176
32.3094276,0.444152112
35.9347017,0.429026901
38.7285588,0.419249708
41.4627565,0.41097635
44.968712,0.401934645
47.9794892,0.395356903
51.7528876,0.388417338
54.7912807,0.383737388
60.8128351,0.376465585
65.7416368,0.372157558
69.6329176,0.369667295
75.8391053,0.367147537
81.8606597,0.366213006
88.5962105,0.366738039
97.0930449,0.369554791
107.226162,0.375383149
114.979209,0.381802675
121.000763,0.388062672
129.871349,0.399397979
136.05465,0.408878392
145.086981,0.425274481
154.119313,0.44504818
162.105889,0.465760012
169.046711,0.486595499
172.183976,0.496984596
177.00122,0.514240422
184.227085,0.543431139
189.044328,0.565397274
192.657261,0.583360213
196.270194,0.602732215
199.883126,0.623650141
203.496059,0.645998028
206.923756,0.668923499
209.332378,0.686134633
213.130546,0.715301228
216.743479,0.745581507
220.356412,0.778626992
223.969344,0.814769908
227.582277,0.854394977
231.195209,0.89794962
234.808142,0.945956548
238.421075,0.999029404
242.034007,1.05789232
245.64694,1.12340454
249.259873,1.19659167
252.872805,1.27868567
254.903039,1.32927192
256.554883,1.37305925
258.137583,1.41740796
260.098671,1.47587896
262.507292,1.55354511
264.915914,1.63840376
266.120225,1.68380892
268.528847,1.78120594
270.937469,1.8883539
273.34609,2.00658813
275.152557,2.1034735
277.561179,2.24505628
279.367645,2.36169795
281.776267,2.53313315
282.980578,2.62647158
284.184888,2.72542937
285.389199,2.83046109
286.59351,2.9420675
287.797821,3.06080115
289.002132,3.18727286
290.206443,3.32215901
291.410754,3.46621002
292.615065,3.62026001
293.819375,3.78523791
295.023686,3.96218037
296.227997,4.15224654
297.432308,4.3567353
298.636619,4.57710515
299.84093,4.81499742
300.443085,4.94108391
301.647396,5.20880464
302.851707,5.49913907
303.453863,5.65356255
304.658173,5.98265735
305.862484,6.34134121
