energy [eV],cross section [b]
1e-05,674.062361
1.09019406e-05,645.577167
1.15032343e-05,628.477996
1.2104528e-05,612.669305
1.27781325e-05,596.302116
1.35240479e-05,579.624435
1.4642921e-05,557.03972
1.58514969e-05,535.38336
1.72394784e-05,513.3788
1.862746e-05,493.881952
2.02379975e-05,473.823054
2.13858744e-05,460.931551
2.31076899e-05,443.426514
2.51055898e-05,425.416848
2.65295512e-05,413.84235
2.93774741e-05,393.271635
3.11439231e-05,381.955853
3.29103722e-05,371.563813
3.64432703e-05,353.094616
3.97302367e-05,338.173172
4.30172031e-05,324.99644
4.65676938e-05,312.361343
5.0645233e-05,299.523093
5.47227723e-05,288.147931
5.94541246e-05,276.444848
6.28262972e-05,268.923481
6.7884556e-05,258.710411
7.16622617e-05,251.799055
7.58455007e-05,244.756589
8.00287397e-05,238.273786
8.42119787e-05,232.280241
8.88982887e-05,226.074953
9.40876699e-05,219.751947
9.9277051e-05,213.93143
0.000104466432,208.550188
0.000110279882,202.978834
0.000119936159,194.636245
0.000129592436,187.244403
0.000140797048,179.63947
0.000152775829,172.453128
0.000164754609,166.065521
0.0001746612,161.287208
0.000189521087,154.835022
0.000204380974,149.099972
0.000216670273,144.809811
0.000228959573,140.869867
0.000241248872,137.234946
0.000253538172,133.86762
0.000268783263,130.015739
0.000291650899,124.81452
0.00030689599,121.674897
0.000323974436,118.424353
0.000352342139,113.556962
0.000380709842,109.244272
0.000413626163,104.807254
0.000448816795,100.614455
0.000484007426,96.8876683
0.000513110488,94.0998064
0.000556765082,90.335337
0.000600419675,86.9892718
0.000636522533,84.486212
0.000672625391,82.1874826
0.000708728248,80.0667153
0.000744831106,78.1020724
0.000789617332,75.8547183
0.000834403558,73.7908202
0.000879189785,71.8867037
0.000951755059,69.0917893
0.0010350922,66.2519311
0.00111842935,63.7357069
0.00121512919,61.1469396
0.00131851037,58.7006575
0.00142189156,56.5262653
0.00150738901,54.8996856
0.00159288645,53.4058853
0.00172113262,51.377487
0.00186994242,49.2906071
0.0019760035,47.9494011
0.00218812565,45.5657402
0.00238548158,43.639947
0.0025170522,42.4839214
0.00264862282,41.4151376
0.00279601596,40.3085911
0.00295923161,39.1810484
0.00320405509,37.6541352
0.00346850668,36.1899766
0.00377221449,34.7022653
0.0040759223,33.3840877
0.00430274319,32.4920486
0.00455391309,31.5830813
0.00493066794,30.3521585
0.00533762817,29.1718209
0.00564920882,28.3556912
0.00596078947,27.6044129
0.00627237012,26.9098281
0.00662142107,26.1906981
0.00700794232,25.4579189
0.00758772419,24.4655852
0.00797424544,23.8650339
0.0084537318,23.1780564
0.00917296135,22.250412
0.0098921909,21.4258561
0.0107844077,20.5199288
0.011379219,19.9761053
0.0122714358,19.2357414
0.0130093095,18.6818927
0.0141161201,17.9340093
0.0152229307,17.269231
0.0161382759,16.7719235
0.0170536212,16.3152016
0.0179689664,15.8938282
0.0188843117,15.5034658
0.0200198135,15.0569187
0.0211553153,14.6468122
0.0222908171,14.2684442
0.0234263188,13.9179201
0.0248315797,13.5178554
0.0271803791,12.9197712
0.0290607582,12.4941635
0.0316818658,11.9653314
0.033429271,11.6478641
0.0360503786,11.2156463
0.0382180653,10.8923009
0.0414695952,10.4556548
0.0447211251,10.0675072
0.0474101782,9.77712683
0.0500992314,9.51043224
0.0527882845,9.2643674
0.0554773376,9.03640126
0.0588131551,8.77561069
0.0621489725,8.53608841
0.06548479,8.31509038
0.0688206074,8.11034399
0.0729587473,7.87611228
0.0791659571,7.5597858
0.0853731669,7.27857288
0.0930733192,6.96955998
0.100773471,6.69662504
0.109090964,6.43485584
0.11545908,6.25382662
0.125011253,6.00863003
0.135329249,5.77345367
0.143229007,5.61080824
0.151128766,5.46105878
0.159028525,5.32258386
0.167878299,5.17918725
0.177678088,5.03303696
0.192377772,4.83506325
0.202177561,4.71521716
0.214334371,4.57808932
0.232569585,4.39285812
0.250804799,4.22814373
0.273425902,4.0470923
0.296047004,3.8871271
0.320481697,3.73365532
0.339189612,3.62748857
0.367251485,3.48364493
0.397563149,3.34562651
0.420770645,3.25014139
0.443978141,3.16220152
0.467185638,3.08085936
0.493184038,2.99660127
0.521973343,2.91069762
0.5651573,2.79428627
0.593946605,2.72378711
0.629660241,2.6430947
0.683230695,2.53404729
0.736801149,2.43702871
0.803256234,2.33033073
0.869711319,2.23600793
0.941494274,2.14546737
0.996453404,2.08280745
1.0788921,1.99787574
1.16794011,1.91634718
1.23611787,1.85992395
1.30429563,1.80794662
1.37247339,1.75985948
1.44885013,1.71004078
1.53342583,1.65924349
1.66028939,1.590403
1.798,1.52403462
1.98126783,1.4466322
2.16453566,1.37925306
2.35976392,1.31629351
2.48991609,1.2785099
2.68514434,1.22710077
2.84660038,1.18867911
3.08878444,1.13687331
3.33096851,1.09093101
3.53125755,1.05665354
3.73154659,1.02526269
3.93183563,0.996395417
4.13212468,0.969750603
4.34,0.944177232
4.73298646,0.900817653
5.12597291,0.862944954
5.58,0.824781103
5.77471476,0.809983459
6.16414427,0.782832814
6.62803448,0.75420858
7.16813791,0.72518929
7.70824134,0.700077019
8.06,0.685535814
8.68,0.66293068
9.3,0.643696479
9.78554408,0.630688827
10.397886,0.616564021
10.8965,0.606759061
11.4855,0.596956284
12.1391385,0.588144008
12.5795693,0.583343314
13.33,0.57713026
14.26,0.572655043
15.0588136,0.571503638
15.5,0.571899402
16.43,0.575099369
17.05,0.579012589
17.67,0.58436604
18.3303608,0.591687036
18.9503608,0.600130177
19.53,0.609455563
20.15,0.621037663
20.77,0.634377431
21.39,0.649593336
22.32,0.676251153
22.94,0.696833598
23.4253214,0.714672505
23.9284405,0.734903816
24.49,0.759757229
25.11,0.790260827
25.6525,0.819874396
26.1175,0.847660256
26.815,0.893989349
27.28,0.928339284
27.9775,0.985795958
28.4787284,1.0320596
28.7474567,1.05877986
29.14,1.10044846
29.605,1.15425365
29.915,1.19307859
30.225,1.23449958
30.535,1.27874051
30.845,1.32605058
31.155,1.37670788
31.465,1.43102345
31.775,1.48934608
32.085,1.55206792
32.395,1.61963113
32.86,1.7311653
33.17,1.81316928
33.48,1.90208337
33.79,1.99869628
34.1775,2.1316815
34.565,2.28020161
34.875,2.41186733
35.185,2.55658502
35.34,2.63438261
35.65,2.8021094
35.96,2.98794773
36.115,3.08848452
36.425,3.30672033
36.58,3.4253022
36.8125,3.61641682
36.9675,3.75348894
37.2,3.97520895
37.355,4.13483397
37.51,4.30487012
37.665,4.48624547
37.82,4.67999421
37.975,4.88727156
38.13,5.10937117
38.285,5.34774559
38.5175,5.7394569
38.6725,6.02614458
38.905,6.50007765
39.06,6.84912812
39.1375,7.03470572
39.2925,7.43011233
39.48625,7.97489986
39.56375,8.21030529
39.68,8.58411486
39.7575,8.8481472
39.87375,9.26837137
39.99,9.72019843
40.10625,10.2068896
40.18375,10.5525237
40.3,11.1057754
40.3775,11.4997869
40.49375,12.1323564
40.57125,12.5842445
40.6875,13.312103
40.765,13.8338213
40.88125,14.677177
40.95875,15.2839358
41.075,16.2686582
41.19125,17.353704
41.3075,18.5532147
41.42375,19.8839164
41.54,21.3657073
41.65625,23.0224087
41.695,23.6183106
41.7725,24.8827302
41.81125,25.553904
41.88875,26.9815242
41.9275,27.7412235
42.005,29.3614331
42.04375,30.2259616
42.12125,32.0750742
42.179375,33.5769168
42.2375,35.1879738
42.295625,36.9191064
42.373125,39.4354576
42.43125,41.4971886
42.501,44.194055
42.5785,47.5137093
42.6405,50.4486807
42.7025,53.6664312
42.7335,55.3928357
42.78,58.1440232
42.842,62.1451028
42.873,64.3032678
42.9195,67.758798
42.9505,70.2204071
42.997,74.1734541
43.028,76.9980809
43.0745,81.5487631
43.1055,84.8113038
43.152,90.0861642
43.1985,95.8704602
43.245,102.23178
43.276,106.831763
43.3225,114.33743
43.369,122.663699
43.4155,131.934178
43.462,142.296517
43.4775,146.022951
43.5085,153.928216
43.524,158.123412
43.555,167.044108
43.5705,171.789581
43.6015,181.906122
43.617,187.301756
43.648,198.836114
43.679,211.464807
43.71,225.329531
43.741,240.595429
43.76425,253.079472
43.79525,271.282954
43.82625,291.505815
43.84175,302.46799
43.85725,314.054124
43.87275,326.311829
43.88825,339.293277
43.90375,353.055721
43.91925,367.662092
43.93475,383.181672
43.95025,399.690868
43.96575,417.274083
43.98125,436.024725
43.99675,456.046353
44.02,488.717019
44.0355,512.44823
44.05875,551.348788
44.07425,579.738317
44.0975,626.507931
44.113,660.816634
44.12075,679.007804
44.13625,717.648438
44.15175,759.574685
44.1595,781.883084
44.175,829.443536
44.18275,854.807138
44.19825,909.008953
44.206,937.983175
44.2215,1000.05451
44.237,1068.18831
44.2457453,1109.58995
44.26025,1183.46194
44.268,1225.82058
44.279625,1293.48561
44.295125,1392.1743
44.30675,1473.25133
44.3145,1531.00257
44.32225,1591.94506
44.333875,1689.81574
44.341625,1759.70846
44.349375,1833.61208
44.357125,1911.79848
44.364875,1994.5577
44.372625,2082.19854
44.380375,2175.04887
44.388125,2273.45581
44.395875,2377.78532
44.403625,2488.42149
44.411375,2605.76494
44.419125,2730.23053
44.426875,2862.2438
44.434625,3002.23612
44.44625,3228.12457
44.454,3389.92342
44.465625,3650.38688
44.47725,3933.11291
44.4912,4302.70005
44.5036,4658.95273
44.516,5039.9664
44.5346,5650.58048
44.5687,6816.38681
44.5811,7214.91188
44.5904,7488.34146
44.5966,7653.96348
44.6028,7803.4083
44.609,7934.32881
44.6152,8044.54976
44.6214,8132.15127
44.6276,8195.54799
44.6338,8233.55837
44.64,8245.45844
44.6493,8213.98068
44.6555,8160.68424
44.6617,8082.62836
44.6679,7981.23515
44.6741,7858.29272
44.6803,7715.87953
44.6865,7556.28198
44.6958,7289.95309
44.7082,6897.38411
44.7516,5418.13293
44.764,5015.56144
44.7702,4822.27492
44.7826,4453.87709
44.7888,4279.27236
44.795,4111.23842
44.80275,3910.47826
44.8105,3719.95628
44.81825,3539.48012
44.829875,3286.96892
44.837625,3130.24383
44.845375,2982.34524
44.857,2776.11699
44.868625,2587.33302
44.88025,2414.54839
44.891875,2256.37299
44.899625,2158.38778
44.91125,2021.69254
44.919,1936.91838
44.930625,1818.49591
44.938375,1744.94414
44.95,1642.03241
44.95775,1578.00422
44.969375,1488.25785
44.977125,1432.31742
44.98875,1353.7607
44.9965,1304.70153
45.012,1213.81137
45.0275,1131.60705
45.043,1057.0788
45.0585,989.349338
45.074,927.655539
45.0895,871.332474
45.105,819.799712
45.1205,772.549565
45.12825,750.389203
45.14375,708.745792
45.15925,670.371554
45.17475,634.94328
