energy [eV],cross section [b]
1e-05,26.56
1.090516e-05,25.4338468
1.176413e-05,24.4877084
1.257105e-05,23.6887593
1.332237e-05,23.0110952
1.474673e-05,21.8715804
1.591407e-05,21.0541346
1.684983e-05,20.4611654
1.835751e-05,19.6029362
2e-05,18.7807561
2.181024e-05,17.9844796
2.35281e-05,17.3154839
2.514186e-05,16.7505604
2.664444e-05,16.2713935
2.949314e-05,15.4656275
3.182781e-05,14.8875995
3.369931e-05,14.4683016
3.671479e-05,13.8614135
4e-05,13.28
4.362039e-05,12.7169595
4.705604e-05,12.2439171
5.028349e-05,11.8444624
5.328858e-05,11.5056452
5.898596e-05,10.93588
6.365529e-05,10.5271502
6.739828e-05,10.2306599
7.342935e-05,9.80151513
8e-05,9.39037805
8.724079e-05,8.9922481
9.41123e-05,8.65774671
0.0001005679,8.37526331
0.0001065787,8.13566313
0.0001179737,7.7327755
0.0001273126,7.44375932
0.0001347988,7.23410946
0.0001468603,6.93067986
0.00016,6.64
0.0001744821,6.35847074
0.0001882251,6.12194281
0.0002011354,5.92221052
0.0002131561,5.7527982
0.0002359458,5.46791755
0.0002546232,5.26355438
0.0002695952,5.11531065
0.0002937188,4.90074581
0.00032,4.69518903
0.0003489633,4.4961231
0.0003764486,4.32887654
0.0004022684,4.18764742
0.0004263093,4.067857
0.0004718883,3.8664148
0.000509243,3.72190722
0.000539187,3.61708222
0.0005874353,3.46535752
0.00064,3.32
0.0006767185,3.228673
0.0007461161,3.0748565
0.000802796,2.96432256
0.0008481141,2.88403763
0.0009209316,2.76767046
0.001,2.656
0.001090509,2.54338185
0.001176399,2.44876516
0.001257084,2.36886751
0.00133221,2.30109849
0.001474644,2.18713524
0.001591377,2.10538231
0.001684952,2.04607935
0.00183573,1.96024275
0.002,1.87800766
0.002181016,1.79837782
0.002352796,1.73147639
0.002514165,1.67498245
0.002664417,1.62706439
0.002949285,1.54648305
0.003182751,1.48867702
0.003369901,1.44674496
0.003671458,1.38605123
0.004,1.3279039
0.004362032,1.27159926
0.00470559,1.22429461
0.005028328,1.18434887
0.005328831,1.15046696
0.005898567,1.09348938
0.006365499,1.05261581
0.006739798,1.02296642
0.007342914,0.98005092
0.008,0.938935881
0.008458971,0.913105377
0.009197267,0.875685933
0.01,0.8398
0.01090508,0.80419837
0.01176397,0.774287224
0.01257082,0.749029005
0.01332207,0.727604893
0.01474641,0.69157667
0.01591374,0.665731149
0.01684949,0.646982875
0.01835728,0.619845797
0.02,0.593846974
0.02121058,0.576652772
0.02316523,0.55179041
0.0253,0.528
0.026790941,0.51309515
0.02961461,0.488016938
0.031926,0.470015993
0.03377718,0.456952377
0.03675714,0.438034588
0.04,0.4199
0.04362031,0.402102184
0.04705588,0.387149025
0.05028326,0.374521876
0.05328829,0.363811425
0.058985643,0.345799881
0.06365496,0.332878862
0.06739795,0.323505935
0.07342912,0.309939057
0.08,0.296941135
0.0845897,0.288775131
0.09197266,0.276945255
0.1,0.2656
0.109050774,0.25433815
0.117639701,0.244876448
0.125708147,0.23688665
0.133220712,0.230109718
0.147464103,0.218713261
0.159137392,0.210537874
0.168494868,0.20460751
0.183572802,0.196023698
0.2,0.1878
0.218101547,0.179841453
0.2352794,0.173154883
0.251416292,0.16750839
0.26644142,0.162718959
0.294928202,0.154664609
0.31827478,0.148886575
0.336989732,0.144695154
0.367145602,0.138628222
0.4,0.132815671
0.422948506,0.129163885
0.459863299,0.123873603
0.5,0.1188
0.545253867,0.113762544
0.588198497,0.109530304
0.628540725,0.105956455
0.666103545,0.102925125
0.737320501,0.097827481
0.795686945,0.09417063
0.842474326,0.09151798
0.917864002,0.087678449
1.0,0.084
1.09050774,0.080459897
1.17639701,0.07748491
1.25708147,0.074972171
1.33220712,0.072840458
1.47464103,0.069254771
1.59137392,0.066681823
1.68494868,0.06481504
1.83572802,0.062112396
2.0,0.059522447
2.18101547,0.057013928
2.352794,0.05490585
2.51416292,0.053125322
2.6644142,0.05161479
2.94928202,0.049073969
3.1827478,0.047250777
3.36989732,0.045927973
3.67145602,0.044012878
4.0,0.042177639
4.36203094,0.040400101
4.70558798,0.038906316
5.02832581,0.037644633
5.32882837,0.036574269
5.89856401,0.034773842
6.36549556,0.033481927
6.73979461,0.032544587
7.34291202,0.03118755
8.0,0.029887098
8.45897011,0.029069915
9.19726597,0.027885843
10.0,0.02675
10.9050774,0.025654231
11.7639701,0.024732317
12.5708147,0.023952861
13.3220711,0.023291014
14.7464103,0.022176483
15.9137392,0.021375726
16.8494868,0.02079419
18.3572802,0.019951417
20.0,0.0191428
21.8101547,0.018358647
23.52794,0.017698909
25.1416292,0.017141115
26.644142,0.016667485
29.4928202,0.015869906
31.827478,0.015296869
33.6989732,0.014880712
36.7145602,0.014277607
40.0,0.013698946
42.2948506,0.013334958
45.9863299,0.012807029
50.0,0.0123
54.5253867,0.011833901
58.8198497,0.011440577
62.8540725,0.011107157
66.6103545,0.010823395
73.7320501,0.010344144
79.5686945,0.009998684
84.2474326,0.009747182
91.7864002,0.009381741
100.0,0.00903
110.668193,0.008663256
119.409789,0.008398007
133.833734,0.008015283
150.0,0.00765
161.18549,0.007449775
179.546925,0.007159222
200.0,0.00688
221.336385,0.006667891
238.819577,0.006513112
267.667468,0.006287654
300.0,0.00607
346.410162,0.005882091
400.0,0.0057
500.0,0.00555
599.999994,0.00553
600.000006,0.00559255291
664.862,0.00563544076
729.55044,0.00571593242
777.764,0.00579888718
853.032,0.00596651181
890.666,0.00606779747
954.084909,0.00626557589
1022.385,0.00651852338
1078.836,0.00676124038
1135.287,0.0070372069
1203.10883,0.00741748515
1267.006,0.00783062084
1323.457,0.00824611974
1379.908,0.00871577904
1436.359,0.00924754849
1486.15301,0.00977585197
1517.13002,0.0101361741
1549.261,0.010538414
1568.078,0.0107885505
1605.712,0.0113240647
1624.529,0.011610834
1662.163,0.0122262889
1699.797,0.0129035624
1728.0225,0.013456946
1756.248,0.0140536197
1793.882,0.0149243349
1822.1075,0.0156404478
1859.7415,0.0166908195
1887.967,0.0175593771
1906.784,0.0181813541
1925.601,0.0188408406
1953.8265,0.0199070712
1972.6435,0.0206741859
1991.4605,0.0214907709
2010.2775,0.0223610827
2029.0945,0.0232898387
2047.9115,0.024282277
2066.7285,0.0253442251
2085.5455,0.0264821789
2104.3625,0.027703394
2123.1795,0.029015991
2141.9965,0.0304290779
2160.8135,0.0319528922
2179.6305,0.0335989652
2198.4475,0.0353803149
2207.856,0.0363262474
2226.673,0.0383387324
2245.49,0.0405271056
2264.307,0.0429116133
2283.124,0.0455153365
2292.5325,0.0469075011
2311.3495,0.0498906507
2320.758,0.051489701
2334.87075,0.0540350852
2344.27925,0.055836984
2358.392,0.0587105799
2372.50475,0.0618066184
2386.6175,0.0651468325
2400.13236,0.0685966914
2412.45143,0.0719754579
2424.2515,0.0754398726
2438.36425,0.0799029037
2452.477,0.0847474792
2466.58975,0.0900123942
2480.7025,0.0957402649
2494.81525,0.10197765
2508.928,0.108775037
2523.04075,0.116186613
2532.44925,0.121497092
2541.85775,0.12712356
2551.26625,0.13308383
2560.67475,0.139395676
2570.08325,0.146076476
2579.49175,0.153142745
2588.90025,0.160609535
2598.30875,0.16848969
2607.71725,0.176792916
2617.12575,0.185524655
2625.5934,0.193749596
2636.8836,0.20524649
2644.4104,0.213235301
2659.464,0.2299247
2674.5176,0.247402908
2704.6248,0.28343648
2719.6784,0.30101145
2734.732,0.317410163
2746.0222,0.328461162
2753.549,0.335038938
2761.0758,0.340864972
2768.6026,0.345842118
2776.1294,0.349882298
2783.6562,0.352910041
2791.183,0.354865719
2798.7098,0.355708261
2806.2366,0.355417113
2817.5268,0.352862829
2825.0536,0.349788783
2832.5804,0.345676509
2840.1072,0.340596175
2847.634,0.334632318
2855.1608,0.327880404
2862.6876,0.320443187
2873.9778,0.308235488
2885.268,0.295083294
2930.4288,0.239251027
2953.0092,0.212574406
2968.0628,0.195987397
2983.1164,0.180519018
2998.17,0.166219307
3012.28275,0.153871977
3026.3955,0.142516801
3038.96244,0.133200403
3048.37094,0.126689612
3059.32525,0.119581979
3073.438,0.111127392
3082.8465,0.105900678
3096.95925,0.0986276999
3106.36775,0.0941305591
3115.77625,0.0898943736
3125.18475,0.0859027175
3134.59325,0.0821400355
3144.00175,0.078591653
3153.41025,0.07524377
3162.81875,0.0720834411
3172.22725,0.0690985479
3181.63575,0.0662777643
3195.7485,0.062331365
3205.157,0.0598761543
3214.5655,0.0575510855
3228.67825,0.0542896027
3242.791,0.051277022
3261.608,0.0476082347
3280.425,0.0442936799
3289.8335,0.0427560541
3308.6505,0.0398968277
3318.059,0.0385668549
3336.876,0.0360873371
3346.2845,0.0349309976
3365.1015,0.0327698249
3374.51,0.0317594531
3393.327,0.0298666102
3402.7355,0.0289796023
3421.5525,0.0273141257
3430.961,0.0265319218
3449.778,0.0250600913
3459.1865,0.0243673737
3478.0035,0.0230612889
3496.8205,0.0218525594
3506.229,0.0212818084
3525.046,0.0202023152
3543.863,0.019199214
3562.68,0.0182656769
3590.9055,0.0169826337
3609.7225,0.0161976878
3628.5395,0.0154635782
3647.3565,0.0147761243
3666.1735,0.0141315572
3684.9905,0.013526473
3703.8075,0.0129577922
3722.6245,0.0124227239
3741.4415,0.0119187347
3760.2585,0.0114435207
3779.0755,0.0109949841
3797.8925,0.0105712113
3831.12859,0.00987793503
3863.752,0.00925908943
3901.386,0.00861199387
3939.02,0.00802780555
3976.654,0.00749879118
3995.471,0.00725287396
4033.105,0.0067945536
4051.922,0.00658084247
4080.1475,0.00627792626
4108.373,0.0059946029
4146.007,0.00564454085
4164.824,0.00548041877
4202.458,0.00517207713
4221.275,0.00502716527
4258.909,0.00475429134
4296.543,0.00450214989
4315.36,0.00438321724
4352.994,0.00415848662
4409.445,0.0038511934
4447.079,0.00366410334
4503.53,0.00340701737
4541.164,0.00324975256
4578.798,0.00310267681
4616.432,0.00296494665
4672.883,0.00277423478
4710.517,0.00265670891
4748.151,0.00254618019
4784.57668,0.00244536154
4819.79403,0.00235323153
4861.053,0.00225148842
4898.687,0.00216408514
4936.321,0.00208145638
4973.955,0.00200326817
5011.589,0.00192921491
5068.04,0.00182528165
5143.308,0.00169874906
5213.5,0.00159176012
5296.60976,0.00147713109
5352.01627,0.00140716945
5407.42278,0.00134185423
5462.82929,0.00128079216
5518.2358,0.00122363022
5573.64231,0.00117005083
5629.04882,0.00111976767
5684.45533,0.00107252212
5739.86184,0.00102808012
5795.26835,0.00098622944
5850.67486,0.000946777317
5906.08137,0.000909548363
5961.48788,0.000874382738
6016.89439,0.000841134543
6072.3009,0.000809670401
6128.47903,0.000779464359
6213.90364,0.000736547913
6327.80312,0.000684425974
6441.7026,0.000637450689
6498.65234,0.000615690294
6612.55182,0.00057527311
6669.50156,0.000556492231
6783.40104,0.000521511609
6840.35078,0.000505215371
6954.25026,0.00047480149
7011.2,0.000460613397
7132.36,0.000432538159
7192.94,0.000419548923
7314.1,0.000395826274
7398.912,0.000381751928
7429.68664,0.000377646877
7459.492,0.000374706764
