energy [eV],cross section [b]
1e-05,57.4648177
1.09642693e-05,54.8797568
1.19285387e-05,52.6148574
1.29754583e-05,50.4476173
1.3783605e-05,48.9463821
1.45917518e-05,47.5716575
1.58039719e-05,45.7108047
1.68199242e-05,44.3087977
1.78358766e-05,43.0283554
1.8851829e-05,41.852868
1.98677814e-05,40.7687387
2.17835706e-05,38.9347521
2.30607634e-05,37.8412172
2.43379563e-05,36.8349323
2.6582161e-05,35.2457512
2.89905734e-05,33.7499779
3.13989858e-05,32.4297849
3.34174577e-05,31.4351227
3.64451657e-05,30.101066
3.94728736e-05,28.9236067
4.20103724e-05,28.0364831
4.45478712e-05,27.2262799
4.708537e-05,26.4824871
4.96228688e-05,25.7965015
5.28128562e-05,25.0052899
5.75978373e-05,23.9441045
6.07878248e-05,23.3073749
6.43879464e-05,22.6464092
7.04033304e-05,21.6573339
7.64187143e-05,20.7874725
8.34652894e-05,19.8906304
9.10274601e-05,19.0465022
9.85896308e-05,18.3014614
0.000104927428,17.7401313
0.000114434124,16.9872665
0.00012394082,16.3227761
0.000131908309,15.8221345
0.000139875798,15.3649022
0.000147843286,14.9451483
0.000155810775,14.5580172
0.000165827012,14.1115027
0.000175843249,13.7037043
0.000185859486,13.3293321
0.000202171622,12.780285
0.000221059317,12.2221072
0.000239947013,11.7312068
0.000262072544,11.2250799
0.000285816993,10.7487016
0.000309561442,10.3282425
0.000329461482,10.0114593
0.000349361523,9.7221436
0.000379211584,9.3316524
0.000401670157,9.06701647
0.000426687264,8.79719393
0.000451704371,8.55010952
0.000476721478,8.32273914
0.00052068,7.96366303
0.000552129968,7.73352395
0.000583579936,7.52224874
0.000634798387,7.21239639
0.000694103835,6.89739093
0.000753409284,6.62035304
0.000822881207,6.33472194
0.000872584649,6.15165517
0.00094713981,5.9045687
0.00100323359,5.73711806
0.00106571769,5.56638545
0.0011282018,5.4100405
0.00119068591,5.2661697
0.00126120356,5.1168225
0.00133975474,4.96454812
0.00141830591,4.82510588
0.00149685709,4.69678915
0.00158550754,4.56358805
0.0017336321,4.36426431
0.00188175667,4.18896476
0.00205527358,4.00822745
0.00224148668,3.8381129
0.00242769977,3.68796665
0.00258376353,3.57484288
0.00281785918,3.42311901
0.00305195483,3.28920461
0.00324814859,3.18831023
0.00344434236,3.09616385
0.00364053612,3.01157023
0.00383672989,2.93355091
0.00408337262,2.84356359
0.00433001536,2.76137852
0.00457665809,2.68592966
0.00497833286,2.57527723
0.00544342897,2.46278384
0.00590852509,2.3638486
0.00645335061,2.26184382
0.00703804083,2.1658337
0.00762273106,2.08109283
0.00811275545,2.01724665
0.00860277984,1.95893593
0.00933781643,1.88023284
0.0101988571,1.79908753
0.0108148857,1.74707927
0.0114309142,1.69933351
0.0120469427,1.65529807
0.0132085925,1.58080364
0.0139830256,1.53638479
0.0147574588,1.49550946
0.0161182451,1.43095572
0.0175785998,1.37019486
0.0190389544,1.31656506
0.0208748224,1.25730068
0.0227106904,1.20537464
0.0242759518,1.1658367
0.0264972775,1.11585845
0.027694555,1.09145001
0.03008911,1.0470779
0.0320233771,1.01492993
0.0339576441,0.985568493
0.0358919112,0.958612875
0.0378261783,0.93375143
0.0402578199,0.905075357
0.0439052824,0.866612624
0.0475527448,0.832662751
0.0521381102,0.795144426
0.0567234756,0.762270262
0.0617018656,0.73081109
0.0655448252,0.709017892
0.0713092645,0.679691137
0.0775677903,0.651626117
0.0823989227,0.632183837
0.087230055,0.614378552
0.0944767536,0.590274594
0.100550156,0.572112137
0.106623559,0.555522838
0.112696961,0.540291797
0.118770364,0.526243095
0.130223026,0.502473957
0.141675688,0.481644707
0.15410999,0.461709672
0.168507572,0.441438661
0.182905154,0.423606714
0.199770852,0.405216975
0.211837355,0.393427823
0.22993711,0.377512046
0.243554994,0.366723123
0.25872426,0.355720178
0.281478159,0.340910337
0.296647424,0.331995774
0.315717292,0.321710934
0.33478716,0.312314974
0.353857028,0.303686529
0.384913628,0.291027162
0.420873825,0.278150378
0.456834023,0.266819137
0.498958721,0.255129205
0.544165669,0.244118781
0.589372617,0.234393888
0.627260214,0.227062155
0.66514781,0.220362182
0.721979205,0.21131259
0.788552959,0.201973447
0.836182915,0.195982535
0.88381287,0.190478693
0.931442826,0.185398943
1.021259,0.176796901
1.08113645,0.17166206
1.1410139,0.166932719
1.24622688,0.159454909
1.35913825,0.152405473
1.47204962,0.146173436
1.60375256,0.139741836
1.68602512,0.136106936
1.85057024,0.129567473
1.96953345,0.125350978
2.14797827,0.119684606
2.26694148,0.116278
2.41663616,0.112347365
2.6872754,0.106077134
2.86529585,0.102436295
3.01864057,0.0995561722
3.30065425,0.0947812738
3.58266794,0.0905684055
3.913026,0.0862103267
4.26755626,0.0820936475
4.62208652,0.0784472616
4.98292326,0.0751318781
5.34376,0.0721484921
5.81060287,0.0686969011
6.17714822,0.066257525
6.55068063,0.0639790363
7.0533819,0.0611946716
7.77431451,0.0576696726
