energy [eV],cross section [b]
1e-05,52.3457328
1.08884101e-05,50.1647956
1.20729569e-05,47.6402962
1.31016821e-05,45.7317422
1.42005649e-05,43.9266883
1.52994477e-05,42.3197793
1.66586661e-05,40.5565642
1.75648117e-05,39.4965822
1.89240301e-05,38.0517336
2.004485e-05,36.9725882
2.172608e-05,35.5132622
2.28469e-05,34.6312057
2.41004863e-05,33.7185078
2.5486839e-05,32.788629
2.68731917e-05,31.9316689
2.82595445e-05,31.1385697
2.98101171e-05,30.3179194
3.23823061e-05,29.0889029
3.58118914e-05,27.6609818
3.8993456e-05,26.5085119
4.21750207e-05,25.4890444
4.56078328e-05,24.5110253
4.82313708e-05,23.8350676
5.08549089e-05,23.2121166
5.47902159e-05,22.3629796
5.80352947e-05,21.7287663
6.29029129e-05,20.871121
6.61479916e-05,20.3527367
6.97774652e-05,19.8163445
7.57982676e-05,19.0130365
8.38260042e-05,18.0797208
9.12731912e-05,17.3264451
0.000101202774,16.4545062
0.000109826166,15.7953091
0.000119037661,15.1718599
0.000128249157,14.6168482
0.000139642941,14.0078497
0.000147238798,13.6417415
0.000158632582,13.1427039
0.000168027968,12.7699768
0.000182121047,12.2659388
0.000191516433,11.9612844
0.000202024747,11.6460467
0.000219456608,11.1739427
0.00024269909,10.6254331
0.000264260722,10.1827329
0.000293009565,9.67029433
0.000317976633,9.28288409
0.000344646418,8.91648291
0.000371316203,8.59030236
0.000393308274,8.34668081
0.000415300345,8.12267631
0.000448288452,7.81810388
0.000486486686,7.50489533
0.000513688885,7.30348209
0.000554492183,7.02962631
0.000584916609,6.8443609
0.000618563263,6.65560799
0.000652209917,6.48165655
0.000685856572,6.32066801
0.000723488829,6.15408691
0.000785915622,5.90461284
0.000869151345,5.61476366
0.000946367629,5.38082735
0.00102358391,5.17388869
0.00110689795,4.97536345
0.00117057098,4.8381527
0.00126608052,4.65208402
0.00136913244,4.47358025
0.0014478902,4.35020732
0.00152664797,4.23650892
0.00164478462,4.08152791
0.00174220084,3.96577382
0.00183961706,3.85934052
0.00203444949,3.66988859
0.00221519204,3.51698247
0.00245618211,3.33998891
0.00266547106,3.20617933
0.00288903321,3.07962603
0.00311259536,2.96696463
0.0032969461,2.88281868
0.00357347222,2.76902815
0.00384999834,2.66772851
0.0040780235,2.59206854
0.00430604866,2.52250084
0.0046480864,2.42791151
0.00490312221,2.36392105
0.00518516867,2.29872593
0.00574926159,2.18303765
0.00606471777,2.12550041
0.00641358367,2.06687997
0.00711131548,1.96285835
0.00771726393,1.88421639
0.00836453719,1.80983888
0.00901181044,1.74362572
0.00954555601,1.6941715
0.0103461744,1.62729442
0.0111467927,1.56775832
0.0118069876,1.52329112
0.0124671825,1.48240439
0.0134574748,1.42681165
0.0141958729,1.38920257
0.0150124741,1.35088538
0.0166456766,1.28289148
0.017559008,1.24907475
0.0185690697,1.21462125
0.0200841623,1.16789928
0.022145668,1.11219983
0.024248556,1.06286754
0.0260916432,1.02462953
0.0284096511,0.981926486
0.0307276591,0.944151155
0.0332287196,0.907911168
0.0351401634,0.882863594
0.0370516072,0.859779936
0.039918773,0.828314461
0.0422830557,0.804812816
0.0446473385,0.783203303
0.049375904,0.744737515
0.0523003075,0.723604913
0.0552247109,0.704173649
0.0610735179,0.669585072
0.0664993509,0.641667876
0.071925184,0.616971754
0.0777794939,0.593278959
0.0844907576,0.56920741
0.0912020213,0.547843563
0.0989732591,0.525873067
0.104507409,0.511744102
0.112808634,0.492532625
0.11899833,0.479535399
0.125843572,0.466293033
0.132688814,0.454088635
0.139534055,0.442793285
0.147190148,0.43110508
0.155657092,0.419196325
0.164124036,0.40822091
0.172590979,0.398062911
0.182060872,0.387551519
0.197770135,0.37180844
0.213479398,0.357835546
0.231669775,0.343465121
0.25110071,0.329872599
0.270531644,0.317770874
0.286554514,0.308731321
0.310588819,0.296505829
0.334623123,0.285620937
0.354441961,0.277490134
0.374260799,0.270013247
0.394079636,0.263107001
0.413898474,0.256702251
0.43841258,0.249388251
0.462926685,0.242662314
0.487440791,0.236449557
0.511954897,0.230687801
0.542276624,0.224107906
0.587759214,0.21520816
0.633241805,0.207283468
0.689499647,0.198585633
0.745757488,0.19088934
0.806458,0.183503736
0.852848568,0.178397774
0.922434419,0.171471664
0.99751545,0.164824734
1.05489638,0.160229185
1.1122773,0.155992804
1.16965823,0.152071016
1.2338362,0.14801179
1.3048112,0.143874805
1.37578621,0.140060937
1.44676122,0.136530092
1.52614354,0.132875303
1.61393319,0.129150273
1.74561767,0.124096318
1.88770124,0.119244858
2.050583,0.114312709
2.21346476,0.109932447
2.40207199,0.105424668
2.5363853,0.102523949
2.73785528,0.098577306
2.97114533,0.0945153589
3.13727873,0.0919013077
3.46954552,0.0872441893
3.67503748,0.0846833049
3.88052943,0.0823270501
4.29151334,0.0781289611
4.67277572,0.074736829
4.92695064,0.0726958725
5.18112556,0.0708058308
5.62260436,0.0678306794
6.09419137,0.0650143121
6.56577838,0.06250511
7.14908876,0.0597498894
7.53796236,0.0580927247
8.12127274,0.0558331442
8.81131957,0.0534550631
9.22263914,0.0521664135
9.63395871,0.050961446
10.3427558,0.0490571793
11.2351885,0.0469231799
11.8301436,0.0456386196
12.4250987,0.0444492628
13.5289571,0.0424594887
14.2648626,0.0412676484
15.0007682,0.0401684677
16.3324287,0.0383821497
17.6710718,0.036808699
19.0097148,0.0354205797
20.7448574,0.0338510974
21.6124287,0.0331501175
23.2549707,0.0319552283
24.9059241,0.0309078897
26.298554,0.0301297757
27.6911839,0.0294383803
29.0838138,0.0288266023
30.3267552,0.0283433056
31.9402656,0.027799129
33.5537759,0.0273447749
35.1672863,0.0269775609
36.56,0.0267299878
38.32,0.0265100848
40.08,0.0263975035
41.84,0.0263989511
43.6,0.0265247219
44.4966287,0.0266411207
45.712,0.0268608282
47.23616,0.0272478689
48.64416,0.0277308467
49.936,0.0282965191
51.02016,0.0288756109
52.42816,0.0297937147
53.456,0.0306022315
54.7082683,0.0317748659
55.6551483,0.0328223307
56.272,0.033591025
56.84224,0.0343697387
57.91936,0.0360442222
58.8064,0.03765619
59.39776,0.0388679193
59.94688,0.0401051575
60.496,0.0414634156
60.848,0.0424045147
61.35488,0.0438666458
61.78432,0.0452140612
62.33344,0.0470995848
62.80336,0.0488754989
63.38944,0.0513293647
63.85936,0.0535146022
64.368,0.0561299415
64.89248,0.0591383509
65.33072,0.0619302577
65.86224,0.0657090064
66.34272,0.0695532313
66.55744,0.0714203076
66.9244,0.0748499973
67.16904,0.077319775
67.41368,0.0799509595
67.624,0.0823528444
67.888,0.0855668714
68.2015513,0.0897008043
68.4498852,0.0932449944
68.6982191,0.0970536135
68.946553,0.101153476
69.21504,0.105948829
69.50368,0.11157353
69.7888,0.117667237
70.02816,0.123246951
70.30976,0.130422883
70.6336,0.139606705
70.92224,0.148761017
71.20384,0.158711997
71.3376,0.163836392
71.5488,0.172509653
71.6896,0.178724146
71.8304,0.185317316
71.9712,0.192320586
72.112,0.199768714
72.2528,0.207700227
72.464,0.220598766
72.6048,0.229936766
72.7456,0.239930669
72.8864,0.250643457
73.0976,0.268217703
73.2384,0.281057113
73.4496,0.302240886
73.5904,0.317810342
73.6608,0.326077111
73.8016,0.34366604
73.9424,0.362799511
74.0832,0.383664138
74.224,0.406475631
74.3648,0.431484413
74.488,0.455397986
74.6464,0.489312367
74.752,0.514157974
74.8048,0.527323102
74.9104,0.555273556
74.9632,0.570118742
75.0688,0.60171472
75.1216,0.618538983
75.2272,0.6544443
75.3152,0.686882924
75.3856,0.714653195
75.456,0.744189514
75.5264,0.77564511
75.5968,0.809190205
75.7024,0.863846208
75.7728,0.90349326
75.8784,0.968405778
75.9488,1.01573194
76.0544,1.09364138
76.1248,1.15076858
76.16,1.18105597
76.2304,1.24539619
76.2656,1.27958951
76.336,1.35241184
76.4064,1.43173499
76.4768,1.51835738
76.512,1.56468926
76.5824,1.66404096
76.6528,1.77329737
76.7232,1.89382173
76.7936,2.02722022
76.864,2.1753959
76.9168,2.29757365
76.952,2.38489314
76.9872,2.47733584
77.0224,2.57531086
77.0576,2.67926901
77.0928,2.78970797
77.128,2.90717828
77.1632,3.0322902
77.1984,3.16572171
77.2336,3.30822769
77.2864,3.54087121
77.3392,3.79913249
77.3744,3.98743799
77.4096,4.19019102
77.4448,4.40890909
77.48,4.64531435
77.5152,4.90136759
77.5504,5.17930906
77.5856,5.48170765
77.6208,5.81152048
77.656,6.17216547
77.6736,6.36526562
77.7,6.6724349
77.7352,7.11797596
77.7528,7.35773687
77.7792,7.74083423
77.7968,8.01315972
77.8188,8.37433143
77.8408,8.76056707
77.8606,9.13156524
77.8804,9.52671314
77.8991,9.9240107
77.9189,10.3724679
77.93815,10.8383387
77.95795,11.351131
77.9783,11.9171377
77.9981,12.5095765
78.019,13.1842764
78.0388,13.875216
78.0608,14.7087265
78.0828,15.6198021
78.1048,16.6183697
78.1268,17.7159951
78.151,19.0540246
78.162,19.712915
78.1752,20.5497514
78.1862,21.2885413
78.1994,22.2289459
78.2104,23.0610826
78.2236,24.1228593
78.2324,24.8719988
78.2456,26.0629024
78.2588,27.3414609
78.272,28.716482
78.2852,30.1979063
78.2984,31.7969864
78.31072,33.4068602
78.32392,35.2712073
78.33712,37.2960079
78.35296,39.9644033
78.36704,42.5840399
78.38112,45.4696582
78.3952,48.6584361
78.40928,52.1942629
78.42336,56.1292435
78.4304,58.2654055
78.44096,61.7052395
78.448,64.1701089
78.45504,66.7852916
78.46208,69.5632186
78.47264,74.0657052
78.47968,77.313876
78.49024,82.6004468
78.49728,86.4307515
78.50784,92.6936082
78.51488,97.2531011
78.52544,104.746771
78.53248,110.23172
78.536,113.136315
78.54304,119.298789
78.54656,122.569461
78.5536,129.524984
78.5624,139.078647
78.56768,145.323396
78.57296,151.995123
78.57824,159.133315
78.58352,166.782088
78.5888,174.990846
78.59408,183.815053
78.59936,193.317134
78.60464,203.567538
78.60992,214.645994
78.61696,230.863517
78.62224,244.247949
78.62576,253.81932
78.62928,263.956509
78.63456,280.322371
78.63808,292.079906
78.6416,304.580623
78.64512,317.887334
78.64864,332.069491
78.65216,347.204026
78.65568,363.37631
78.6592,380.681266
78.66272,399.224637
78.66624,419.124458
78.66976,440.512751
78.67328,463.537495
78.6768,488.364906
78.68032,515.182088
78.68208,529.401777
78.6856,559.607866
78.68912,592.384452
78.69088,609.825256
78.6944,647.009995
78.69792,687.561577
78.69968,709.222459
78.7032,755.589744
78.70672,806.431041
78.70848,833.70118
78.712,892.327978
78.71376,923.856679
78.7164,974.185335
78.71904,1028.47264
78.72168,1087.11045
78.72432,1150.53458
78.72696,1219.2296
78.7296,1293.73394
78.73224,1374.64516
78.73488,1462.62517
78.73664,1525.56369
78.7384,1592.20193
78.74104,1699.64617
78.7428,1776.65824
78.74456,1858.30903
78.7472,1990.1454
78.74896,2084.73905
78.75072,2185.07878
78.75248,2291.50161
78.75424,2404.34692
78.756,2523.95039
78.75776,2650.63613
78.75952,2784.70658
78.76216,3000.23118
78.7648,3233.63205
78.767616,3502.57006
78.770432,3791.6415
78.773248,4099.20037
78.776064,4422.02469
78.783808,5337.06147
78.786624,5650.32451
78.788736,5865.48681
78.790144,5995.94907
78.791552,6113.79421
78.79296,6217.17754
78.794368,6304.38699
78.795776,6373.90864
78.797184,6424.48904
78.798592,6455.18979
78.8,6465.43016
78.802112,6442.10685
78.80352,6401.19915
78.804928,6340.84405
78.806336,6262.14552
78.807744,6166.49626
78.809152,6055.51866
78.81056,5931.0003
78.812672,5722.97394
78.815488,5415.98437
78.825344,4257.13843
78.82816,3941.4114
78.829568,3789.78319
78.832384,3500.7236
78.833792,3363.696
78.83696,3074.22147
78.83872,2924.65205
78.84048,2782.95465
78.84224,2648.91145
78.844,2522.25416
78.84576,2402.67995
78.84752,2289.86439
78.85016,2132.57748
78.8528,1988.59802
78.85544,1856.80587
78.85808,1736.13071
78.86072,1625.56792
78.86336,1524.18643
78.866,1431.13137
78.86864,1345.62306
78.8704,1292.45791
78.87304,1217.98878
78.8748,1171.60367
78.87744,1106.51176
78.8792,1065.89087
78.88272,990.698787
78.88448,955.882771
78.888,891.260256
78.89152,832.668313
78.89504,779.418008
78.89856,730.910001
78.90208,686.622048
78.9056,646.09825
78.90912,608.939821
78.91264,574.797197
78.91616,543.363287
78.91968,514.367714
78.9232,487.571887
78.92848,451.04773
78.932,428.879685
78.93552,408.271098
78.9408,379.980787
78.94608,354.478118
78.95136,331.415179
78.95664,310.495682
78.96192,291.466214
78.9672,274.109133
78.97072,263.373095
78.976,248.398938
78.98128,234.650864
78.98656,222.000164
78.99008,214.119891
78.99712,199.554964
79.00064,192.817864
79.00768,180.31874
79.01472,168.986093
79.01824,163.712757
79.02528,153.874567
79.03232,144.890558
79.03584,140.688533
79.04288,132.811036
79.04992,125.572708
79.05696,118.906653
79.064,112.754451
79.07104,107.064908
79.07808,101.793016
79.08512,96.8990825
79.09216,92.3479964
79.0992,88.1086135
79.10976,82.2742135
79.1168,78.6993415
79.12384,75.3515134
79.1344,70.7149775
79.14144,67.8567838
79.14848,65.1677846
79.15904,61.4233173
79.1696,57.9914627
79.18016,54.8384672
79.19424,51.018111
79.20128,49.2554802
79.21536,45.9928406
79.2224,44.4814243
79.23648,41.6732389
