energy [eV],cross section [b]
1e-05,120.73763
1.0647519e-05,117.008776
1.16187974e-05,112.011356
1.25900759e-05,107.604013
1.34053072e-05,104.280776
1.42205385e-05,101.247572
1.54433855e-05,97.1563928
1.63641923e-05,94.3833415
1.73905747e-05,91.555759
1.84169571e-05,88.9679727
1.94433395e-05,86.5878989
2.1248754e-05,82.8277558
2.25409772e-05,80.4185534
2.38332005e-05,78.2080471
2.59388831e-05,74.9664568
2.83792614e-05,71.6707704
3.08196397e-05,68.7747205
3.36814023e-05,65.7881275
3.57297055e-05,63.8745548
3.88021603e-05,61.2935318
4.11157266e-05,59.544083
4.36945559e-05,57.7602318
4.62733851e-05,56.127662
4.88522144e-05,54.6261328
5.17650119e-05,53.0669857
5.50117775e-05,51.4771785
5.82585431e-05,50.0221965
6.15053088e-05,48.6840009
6.51725429e-05,47.2944548
7.13040967e-05,45.2152884
7.74356506e-05,43.3882427
8.46259504e-05,41.5040756
8.9772399e-05,40.2968502
9.74920719e-05,38.6685471
0.000106544714,36.989336
0.000113024132,35.9134303
0.00011950355,34.9262586
0.000125982967,34.0162583
0.000134140604,32.9657011
0.00014229824,32.0068303
0.000150455876,31.1270412
0.000158613512,30.316029
0.000174019301,28.9430083
0.000184289827,28.124945
0.000194560353,27.3725447
0.000212626286,26.1838702
0.000232022291,25.065561
0.000251418296,24.0792976
0.000267698108,23.3356325
0.00028397792,22.6568701
0.000308397638,21.7413566
0.00033703395,20.7972202
0.000357530357,20.1922921
0.000378026763,19.6372547
0.00039852317,19.1256069
0.000424328301,18.534931
0.000450133433,17.9958057
0.000475938564,17.5011441
0.000501743696,17.0451522
0.000550476981,16.2731709
0.000599210265,15.5973948
0.00065215098,14.9509065
0.000713506555,14.2936294
0.000774862131,13.7160539
0.000821063034,13.3245662
0.000872561124,12.9253798
0.000949808259,12.3886261
0.00100130635,12.0658397
0.00106614284,11.6931961
0.00113097932,11.3530746
0.00119581581,11.0410042
0.00126065229,10.7533295
0.00134228192,10.4212211
0.00142391155,10.1180971
0.00150554118,9.83997276
0.00163855697,9.43211803
0.00179271545,9.01745675
0.00194687393,8.6530773
0.00212765123,8.27730553
0.00232173793,7.92377786
0.00251582463,7.61199322
0.00267872905,7.37690034
0.00284163346,7.16232487
0.00308599009,6.87290569
0.00326999125,6.67673369
0.00347508915,6.47670388
0.00368018705,6.29363768
0.00388528495,6.12526543
0.00411694381,5.95043211
0.00437516362,5.77216059
0.00476249334,5.53245303
0.0051832635,5.30313398
0.00567091456,5.06998763
0.00615856562,4.86511234
0.00673042022,4.65383135
0.00713972448,4.51845894
0.00775368086,4.33586857
0.00847365015,4.14756916
0.00898896731,4.02692151
0.00950428448,3.91622391
0.0100196016,3.81417982
0.0106683899,3.69637394
0.0113171781,3.58884921
0.0119659663,3.49019221
0.0126147545,3.39924743
0.0138399985,3.24527997
0.0150652424,3.11049953
0.0163962688,2.98155982
0.0179388603,2.85046764
0.0194814517,2.7352711
0.021290405,2.61647228
0.0225851612,2.54035494
0.0245272955,2.43768741
0.0260993882,2.36311701
0.0276981645,2.29388952
0.0300963289,2.20058249
0.0316951052,2.14435135
0.0337474234,2.07811082
0.0357997416,2.01765103
0.0378520598,1.96217728
0.0411963201,1.88082736
0.0450721464,1.79811906
0.0489479727,1.72543926
0.0534930447,1.65048634
0.0583727394,1.57996952
0.0632524342,1.51777831
0.0673481493,1.4708842
0.0714438644,1.42808231
0.0775874372,1.37035051
0.0847918312,1.31081284
0.0899483676,1.27266527
0.0951049041,1.23766348
0.100261441,1.20539757
0.109999618,1.15077144
0.116491737,1.11822395
0.122983855,1.08828855
0.134403541,1.04099449
0.146663981,0.996499086
0.158924421,0.95725668
0.174360407,0.913863477
0.184651065,0.888008711
0.200087052,0.853032786
0.213043068,0.826659598
0.232477093,0.791313414
0.251911117,0.76014001
0.26822284,0.736634061
0.284534563,0.715179195
0.300846286,0.695493475
0.317158009,0.677346399
0.337694592,0.656396038
0.368499466,0.628317792
0.399304341,0.603554456
0.438087911,0.576172018
0.476871482,0.552201717
0.519003466,0.52927013
0.551556006,0.513382349
0.600384816,0.492019447
0.653429303,0.471582706
0.694413198,0.457423749
0.735397093,0.444465875
0.796872935,0.426937677
0.84847197,0.413721697
0.900071005,0.401659797
0.951670039,0.390593386
1.00326907,0.380392803
1.10071444,0.36312548
1.1981598,0.348012639
1.3040182,0.333557755
1.42670265,0.318865484
1.5493871,0.305958875
1.6932557,0.292653816
1.79622947,0.284132305
1.95069013,0.272643534
2.06699939,0.264832106
2.19664415,0.256845196
2.3911113,0.246104655
2.52075606,0.239645035
2.68397979,0.232187186
