energy [eV],cross section [b]
1e-05,0.00854175
1.090516e-05,0.008179577
1.176413e-05,0.007875297
1.257105e-05,0.007618354
1.332237e-05,0.007400416
1.474673e-05,0.007033945
1.591407e-05,0.006771053
1.684983e-05,0.006580353
1.835751e-05,0.006304345
2e-05,0.00603993
2.181024e-05,0.005783846
2.35281e-05,0.005568696
2.514186e-05,0.005387015
2.664444e-05,0.005232914
2.949314e-05,0.004973779
3.182781e-05,0.004787884
3.369931e-05,0.004653037
3.671479e-05,0.00445786
4e-05,0.004270876
4.362039e-05,0.004089801
4.705604e-05,0.00393767
5.028349e-05,0.003809205
5.328858e-05,0.00370024
5.898596e-05,0.003517003
6.365529e-05,0.003385554
6.739828e-05,0.003290203
7.342935e-05,0.003152189
8e-05,0.003019966
8.458977e-05,0.002936893
9.197275e-05,0.00281655
0.0001,0.00270114
0.0001090516,0.002586611
0.0001176413,0.00249039
0.0001257105,0.002409138
0.0001332237,0.00234022
0.0001474673,0.002224332
0.0001591407,0.002141199
0.0001684983,0.002080894
0.0001835751,0.001993613
0.0002,0.001909998
0.0002181024,0.001829018
0.000235281,0.001760981
0.0002514186,0.001703529
0.0002664444,0.001654798
0.0002949314,0.001572852
0.0003182781,0.001514067
0.0003369931,0.001471425
0.0003671479,0.001409705
0.0004,0.001350575
0.0004362039,0.001293314
0.0004705604,0.001245206
0.0005028349,0.001204582
0.0005328858,0.001170125
0.0005898596,0.00111218
0.0006365529,0.001070612
0.0006739828,0.001040459
0.0007342935,0.0009968154
0.0008,0.0009550029
0.0008458977,0.0009287329
0.0009197275,0.0008906771
0.001,0.0008541811
0.001090509,0.0008179672
0.001176399,0.0007875417
0.001257084,0.0007618493
0.00133221,0.000740057
0.001474644,0.0007034098
0.001591377,0.0006771204
0.001684952,0.0006580502
0.00183573,0.0006304473
0.002,0.0006040024
0.002181016,0.0005783952
0.002352796,0.0005568811
0.002514165,0.0005387137
0.002664417,0.0005233041
0.002949285,0.0004973904
0.003182751,0.0004788008
0.003369901,0.000465316
0.003671458,0.0004457975
0.004,0.0004270979
0.004362032,0.0004089907
0.00470559,0.0003937778
0.005028328,0.0003809315
0.005328831,0.0003700352
0.005898567,0.0003517112
0.006365499,0.0003385663
0.006739798,0.000329031
0.007342914,0.0003152292
0.008,0.0003020064
0.008458971,0.0002936992
0.009197267,0.0002816648
0.01,0.0002701235
0.01090508,0.0002586726
0.01176397,0.000249052
0.01257082,0.0002409279
0.01332207,0.000234037
0.01474641,0.0002224489
0.01591374,0.0002141359
0.01684949,0.0002081056
0.01835728,0.0001993772
0.02,0.0001910148
0.02121058,0.0001854844
0.02316523,0.0001774876
0.0253,0.0001698355
0.02758985,0.0001626393
0.02976285,0.0001565931
0.03180416,0.0001514874
0.03370484,0.0001471567
0.03730842,0.0001398737
0.04026176,0.0001346489
0.0426292,0.0001308589
0.04644392,0.0001253728
0.0506,0.0001201168
0.05509748,0.000115113
0.0593595,0.0001109059
0.06335837,0.0001073511
0.06707775,0.0001043342
0.07411974,9.925717e-05
0.07988227,9.561222e-05
0.08449632,9.296661e-05
0.09192188,8.913483e-05
0.1,8.546098e-05
0.1090508,8.185018e-05
0.1176397,7.881609e-05
0.1257081,7.625367e-05
0.1332207,7.407999e-05
0.1474641,7.042407e-05
0.1591374,6.780104e-05
0.1684949,6.589807e-05
0.1835728,6.31433e-05
0.2,6.050369e-05
0.2181015,5.794736e-05
0.2352794,5.579932e-05
0.2514163,5.398521e-05
0.2664414,5.244631e-05
0.2949282,4.985803e-05
0.3182748,4.800101e-05
0.3369897,4.665377e-05
0.3671456,4.470348e-05
0.4,4.283472e-05
0.4362031,4.102491e-05
0.4705588,3.950417e-05
0.5028326,3.821983e-05
0.5328828,3.713034e-05
0.5898564,3.529792e-05
0.6365496,3.398321e-05
0.6739795,3.30294e-05
0.7342912,3.164866e-05
0.8,3.032563e-05
0.845897,2.949434e-05
0.9197266,2.828993e-05
1.0,2.713471e-05
1.090508,2.602442e-05
1.176397,2.509024e-05
1.257081,2.430039e-05
1.332207,2.362969e-05
1.474641,2.250021e-05
1.591374,2.168866e-05
1.684949,2.109928e-05
1.835728,2.024509e-05
2.0,1.942548e-05
2.181015,1.863063e-05
2.352794,1.796187e-05
2.514163,1.739642e-05
2.664414,1.691627e-05
2.949282,1.610768e-05
3.182748,1.552671e-05
3.369897,1.510477e-05
3.671456,1.449327e-05
4.0,1.390652e-05
4.362031,1.333749e-05
4.705588,1.285873e-05
5.028326,1.245393e-05
5.328828,1.21102e-05
5.898564,1.153134e-05
6.365496,1.111542e-05
6.739795,1.081336e-05
7.342912,1.037559e-05
8.0,9.955544e-06
8.45897,9.691316e-06
9.197266,9.308065e-06
10.0,8.93997e-06
10.90508,8.607716e-06
11.76397,8.32714e-06
12.57081,8.089148e-06
13.32207,7.886491e-06
14.74641,7.543982e-06
15.91374,7.296898e-06
16.84949,7.11691e-06
18.35728,6.855219e-06
20.0,6.60315e-06
21.81015,6.395603e-06
23.52794,6.219358e-06
25.14163,6.069132e-06
28.23645,5.814915e-06
30.80509,5.631265e-06
32.88379,5.497344e-06
36.26778,5.30241e-06
40.0,5.114389e-06
44.72136,4.908328e-06
50.0,4.71057e-06
54.52539,4.609568e-06
63.45255,4.437998e-06
71.09463,4.313524e-06
77.42436,4.222465e-06
87.99111,4.089468e-06
100.0,3.96066e-06
122.4745,3.852914e-06
150.0,3.7481e-06
300.0,3.74139e-06
387.2983,3.880706e-06
500.0,4.02521e-06
591.608,4.186816e-06
700.0,4.35491e-06
793.7254,4.515205e-06
900.0,4.6814e-06
994.9874,4.835755e-06
1100.0,4.9952e-06
1277.327,5.28214e-06
1428.841,5.508112e-06
1690.468,5.865323e-06
2000.0,6.2457e-06
2378.414,6.737525e-06
2708.511,7.131648e-06
2985.815,7.442297e-06
3455.902,7.933825e-06
4000.0,8.457817e-06
4472.136,8.88083e-06
5000.0,9.325e-06
10000.0,1.29713e-05
15000.0,1.58405e-05
35000.0,2.44263e-05
55000.0,3.1096e-05
75000.0,3.695e-05
95000.0,4.236e-05
115000.0,4.752e-05
150000.0,5.635e-05
200000.0,6.935e-05
250000.0,8.446e-05
280000.0,9.591e-05
300000.0,0.00010544
320000.0,0.00011754
340000.0,0.00013393
360000.0,0.00015809
370000.0,0.00017519
380000.0,0.00019769
390000.0,0.00022816
400000.0,0.0002701
405000.0,0.00029625
410000.0,0.0003254
415000.0,0.00035517
420000.0,0.00037958
425000.0,0.00038739
430000.0,0.00036499
435000.0,0.00030775
440000.0,0.00022989
445000.0,0.00015459
450000.0,9.619e-05
455000.0,5.663e-05
460000.0,3.19291e-05
470000.0,9.30893e-06
480000.0,3.75897e-06
490000.0,4.62921e-06
500000.0,7.76984e-06
550000.0,2.49553e-05
600000.0,3.47736e-05
650000.0,3.91e-05
700000.0,3.965e-05
750000.0,3.743e-05
800000.0,3.345e-05
850000.0,2.95876e-05
900000.0,3.06174e-05
920000.0,3.510753e-05
940000.0,4.386e-05
960000.0,5.777e-05
980000.0,7.489e-05
1000000.0,8.19e-05
1020000.0,7.114e-05
1040000.0,5.625e-05
1060000.0,4.551e-05
1080000.0,3.88e-05
1100000.0,3.464e-05
1150000.0,2.946e-05
1200000.0,2.695e-05
1210000.0,2.648e-05
1220000.0,2.598e-05
1230000.0,2.539e-05
1240000.0,2.465e-05
1250000.0,2.369e-05
1260000.0,2.234e-05
1270000.0,2.032e-05
1280000.0,1.717e-05
1290000.0,1.219e-05
1300000.0,5.5552e-06
1310000.0,2.1808e-06
1320000.0,7.8361e-06
1330000.0,1.595e-05
1340000.0,2.127e-05
1350000.0,2.42e-05
1360000.0,2.583e-05
1370000.0,2.679e-05
1380000.0,2.739e-05
1390000.0,2.777e-05
1400000.0,2.804e-05
1420000.0,2.838e-05
1440000.0,2.86e-05
1460000.0,2.875e-05
1480000.0,2.888e-05
1500000.0,2.9e-05
1520000.0,2.913e-05
1540000.0,2.928e-05
1550000.0,2.938e-05
1560000.0,2.95e-05
1570000.0,2.966e-05
1580000.0,2.988e-05
1590000.0,3.02e-05
1600000.0,3.072e-05
1610000.0,3.165e-05
1620000.0,3.359e-05
1630000.0,3.895e-05
1640000.0,6.535e-05
1642000.0,8.324e-05
1644000.0,0.000118
1646000.0,0.00019767
1648000.0,0.00042566
1650000.0,0.00101595
1652000.0,0.00074643
1654000.0,0.00030424
1656000.0,0.00015931
1658000.0,0.00010352
1660000.0,7.729e-05
1670000.0,4.4e-05
1680000.0,4.884e-05
1682000.0,5.759e-05
1684000.0,7.954e-05
1686000.0,0.0001581
1687000.0,0.00030479
1688000.0,0.00101149
1688800.0,0.01196892
1688900.0,0.02483267
1689000.0,0.07565853
1689100.0,0.405124
1689200.0,0.1242751
