energy [eV],cross section [b]
1e-05,278.017146
1.09464803e-05,265.726123
1.18929606e-05,254.933221
1.29190697e-05,244.599585
1.37093144e-05,237.445205
1.4499559e-05,230.883984
1.56849259e-05,221.98819
1.66746241e-05,215.299488
1.76643223e-05,209.181104
1.86540206e-05,203.55634
1.96437188e-05,198.362202
2.1502958e-05,189.592659
2.27424509e-05,184.353711
2.39819437e-05,179.526359
2.61540244e-05,171.909933
2.84825259e-05,164.733068
3.08110274e-05,158.385987
3.27551627e-05,153.613647
3.56713657e-05,147.200597
3.85875687e-05,141.529016
4.10223936e-05,137.264583
4.34572185e-05,133.363758
4.58920434e-05,129.777645
4.83268682e-05,126.46608
5.13762301e-05,122.655496
5.4425592e-05,119.169823
5.74749538e-05,115.965366
6.05243157e-05,113.006239
6.43433205e-05,109.601201
7.00718277e-05,105.025521
7.58003348e-05,100.978875
8.29746871e-05,96.5145258
9.01490394e-05,92.5943192
9.79269812e-05,88.8409231
0.000103917062,86.2422973
0.000112902183,82.7392971
0.000122643236,79.3853535
0.000130145182,77.0632838
0.000137647128,74.9337309
0.000145149073,72.9714832
0.000153597745,70.9360797
0.000162993142,68.8611314
0.000172388539,66.958211
0.000181783936,65.20479
0.000198248381,62.4382978
0.0002158985,59.8314593
0.000233548619,57.5260142
0.000255653536,54.9825897
0.000277758452,52.7491674
0.00030172309,50.610774
0.000320179144,49.130275
0.000338635198,47.7725174
0.000366319279,45.931643
0.000389433544,44.5474925
0.000412547809,43.2813574
0.000435662075,42.1173669
0.00045877634,41.0424859
0.000502198616,39.227695
0.0005311468,38.143527
0.000560094984,37.1445311
0.00061082363,35.5683387
0.00066520546,34.083098
0.00071958729,32.7695664
0.000764992303,31.7819195
0.000833099821,30.4547098
0.00090120734,29.2809361
0.000958072338,28.3983713
0.00101493734,27.5910505
0.00110023484,26.4995231
0.00116427605,25.7600941
0.00123549347,25.0062907
0.0013067109,24.3149748
0.00137792832,23.6779634
0.0014581332,23.0171947
0.00154732553,22.3435786
0.00168111402,21.4355127
0.00182615836,20.5660646
0.00199371436,19.682263
0.00216127037,18.9033182
0.00235701988,18.1006734
0.00249691739,17.5858217
0.00270676365,16.8897099
0.00295191931,16.1724124
0.00312712621,15.7123027
0.00330233311,15.2892999
0.00347754002,14.8986692
0.00369696822,14.449158
0.00391639643,14.0379581
0.00413582463,13.6599176
0.00435525283,13.3108055
0.00476746893,12.7213465
0.00517968503,12.2036957
0.00562658151,11.7080333
0.00614283878,11.2041585
0.00665909605,10.7600371
0.0072622204,10.3023721
0.007693259,10.0087873
0.00833981689,9.61181692
0.00882525142,9.34287525
0.00936508189,9.06868384
0.0101748276,8.69902475
0.0107146581,8.47619697
0.0113907389,8.21976411
0.0120668198,7.9851685
0.0127429006,7.76947432
0.0138423415,7.45301884
0.0151124216,7.13128346
0.0163825018,6.84766754
0.0178662896,6.55536512
0.0194569313,6.27986225
0.0205173591,6.11423762
0.0221106797,5.8881087
0.0242368932,5.62174025
0.0258299349,5.44405592
0.0280231429,5.22461732
0.029686416,5.07463371
0.0313496892,4.93671624
0.0330129623,4.80932643
0.0361375741,4.59417373
0.0382206487,4.46559325
0.0403037232,4.34708051
0.0439540921,4.16002351
0.0478673395,3.98367468
0.0517805868,3.82763788
0.0566815173,3.65540299
0.0599488043,3.55245996
0.0648497348,3.41282499
0.0689416678,3.30778331
0.0750795674,3.16655566
0.0812174669,3.04158286
0.0863421823,2.94756853
0.0914668978,2.86153304
0.0965916132,2.78240637
0.101716329,2.70930947
0.108134495,2.62516379
0.117761745,2.51203174
0.127388995,2.41192547
0.139446112,2.30142882
0.15150323,2.20435409
0.164574731,2.11137453
0.174641578,2.04698427
0.189741849,1.96016937
0.206112528,1.87704053
0.218720195,1.81948884
0.231327861,1.76671478
0.25023936,1.69518112
0.266029134,1.64141708
0.281818909,1.5922607
0.297608684,1.54709596
0.313398459,1.50541646
0.343061005,1.4351229
0.372723551,1.37349843
0.404881654,1.31461072
0.442030871,1.25489705
0.479180089,1.20241853
0.52258015,1.14852293
0.55359714,1.1140648
0.600122624,1.06763861
0.635053876,1.03630863
0.67389939,1.00448244
0.732167662,0.961781836
0.771013177,0.93616991
0.819663095,0.906827183
0.868313013,0.880117825
0.916962931,0.855683887
0.9960773,0.820069938
1.08747065,0.784177329
1.14839955,0.762831785
1.20932846,0.743238458
1.32378901,0.710435704
1.43824956,0.68194433
1.56233987,0.654966681
1.6579064,0.636476137
1.75347293,0.619662927
1.89682273,0.597103267
2.10470568,0.56900106
2.2243927,0.554838302
2.37557081,0.538683282
2.52546621,0.524297458
2.6753616,0.511296797
2.825257,0.49948833
2.97515239,0.488714525
3.2775762,0.469619868
3.58,0.453405187
3.96235261,0.436127305
4.31560612,0.422691823
4.66650449,0.411264822
5.10817994,0.399076377
5.54985539,0.388871264
5.98122927,0.380465486
6.392,0.373657863
6.85568886,0.367160088
7.31937773,0.361739621
7.95266,0.355815629
8.5597051,0.35150616
9.16675019,0.348350226
10.2585,0.345163177
10.95447,0.344598989
11.4803897,0.344860685
