energy [eV],cross section [b]
1e-05,8.29935
1.09051e-05,7.949841
1.1764e-05,7.656122
1.25708e-05,7.408049
1.33221e-05,7.197564
1.47465e-05,6.843509
1.59138e-05,6.589463
1.68495e-05,6.40514
1.83573e-05,6.138264
2e-05,5.882512
2.18102e-05,5.634783
2.3528e-05,5.426597
2.51417e-05,5.250754
2.66442e-05,5.101574
2.94929e-05,4.850632
3.18275e-05,4.670565
3.3699e-05,4.539911
3.67146e-05,4.350751
4e-05,4.169476
4.36203e-05,3.993892
4.70559e-05,3.846332
5.02833e-05,3.721695
5.32883e-05,3.615957
5.89856e-05,3.438094
6.36549e-05,3.310461
6.73979e-05,3.217854
7.34291e-05,3.083779
8e-05,2.955291
8.72406e-05,2.830838
9.41117e-05,2.72625
0.000100566,2.637915
0.000106576,2.562968
0.000117971,2.436895
0.00012731,2.346426
0.000134796,2.280787
0.000146858,2.185759
0.00016,2.094686
0.000174481,2.006476
0.000188223,1.932346
0.000201133,1.869728
0.000213153,1.816607
0.000235942,1.727251
0.000254619,1.663131
0.000269591,1.616606
0.000293716,1.549248
0.00032,1.484696
0.000348962,1.422174
0.000376447,1.369629
0.000402266,1.325248
0.000426306,1.287596
0.000471885,1.22426
0.00050924,1.178811
0.000539184,1.145835
0.000587433,1.098093
0.00064,1.052341
0.000697925,1.008025
0.000752894,0.9707818
0.000804532,0.9393249
0.000852612,0.9126375
0.00094377,0.8677456
0.001018479,0.835532
0.001078367,0.812159
0.001174866,0.7783197
0.00128,0.7458903
0.00139585,0.7144796
0.001505789,0.688082
0.001609065,0.6657856
0.001705226,0.6468697
0.001887541,0.6150509
0.002036959,0.5922181
0.002156735,0.5756515
0.002349732,0.5516666
0.00256,0.528681
0.0027917,0.5064173
0.003011577,0.487707
0.003218129,0.4719034
0.003410451,0.458496
0.003775082,0.435943
0.004073918,0.4197594
0.004313469,0.4080171
0.004699464,0.3910168
0.00512,0.3747247
0.005583399,0.3589444
0.006023152,0.3456828
0.006436256,0.3344814
0.006820899,0.3249783
0.007550161,0.3089929
0.008147834,0.297522
0.008626937,0.2891992
0.009398927,0.2771495
0.01024,0.2656018
0.0111668,0.2544169
0.01204631,0.2450171
0.01287251,0.2370776
0.0136418,0.2303419
0.01510032,0.2190116
0.01629567,0.2108812
0.01725387,0.204982
0.01879786,0.1964413
0.02048,0.1882564
0.02159124,0.1833812
0.02337217,0.176304
0.0253,0.1695
0.02758985,0.1622385
0.02976284,0.1561404
0.03180416,0.1509928
0.03370484,0.1466281
0.03730842,0.1392913
0.04026176,0.1340306
0.0426292,0.1302159
0.04644392,0.1246964
0.0506,0.1194109
0.05517969,0.1142953
0.05952569,0.1099992
0.06360832,0.1063728
0.06740968,0.1032979
0.07461683,0.09812918
0.08052352,0.09442309
0.0852584,0.09173566
0.09288783,0.08784726
0.1012,0.08412366
0.1103594,0.08051976
0.1190514,0.07749322
0.1272166,0.07493847
0.1348194,0.07277224
0.1492337,0.06913093
0.161047,0.06652003
0.1705168,0.06462677
0.1857757,0.06188743
0.2024,0.0592642
0.2207188,0.05672529
0.2381027,0.05459313
0.2544333,0.05279333
0.2696387,0.05126725
0.2984673,0.04870199
0.3220941,0.04686263
0.3410336,0.04552885
0.3715513,0.04359901
0.4048,0.04175098
0.4414375,0.03996234
0.4762055,0.03846026
0.5088665,0.03719232
0.5392774,0.03611721
0.5969347,0.03431002
0.6441882,0.03301421
0.6820672,0.03207457
0.7431027,0.03071503
0.8096,0.02941311
0.8828751,0.02815303
0.952411,0.02709483
1.017733,0.02620158
1.078555,0.02544418
1.193869,0.02417103
1.288376,0.02325815
1.364134,0.02259619
1.486205,0.0216384
1.6192,0.02072121
1.76575,0.0198335
1.904822,0.01908801
2.035466,0.01845873
2.15711,0.01792515
2.387739,0.01702823
2.576753,0.01638511
2.728269,0.01591877
2.972411,0.01524402
3.2384,0.01459787
3.413995,0.01421348
3.6954,0.0136558
4.0,0.01312
4.426728,0.0124709
4.776392,0.01200524
5.056648,0.01166744
5.508166,0.01117847
6.0,0.01071
7.5,0.01051
9.0,0.0103
42.323,0.0098239
69.001,0.009579
111.93,0.0093427
170.18,0.0091428
354.26,0.0088031
644.54,0.0085353
1093.6,0.0083054
1721.7,0.008113
3656.3,0.0078036
7133.3,0.0075389
12409.0,0.0073265
19930.0,0.0071494
30000.0,0.007
300000.0,0.002
3000000.0,0.0007
14000000.0,0.0003
20000000.0,0.0002
20000010.0,0.0
150000000.0,0.0
