energy [eV],cross section [b]
1e-05,12569.6737
1.05719258e-05,12224.8644
1.11438515e-05,11906.9503
1.2287703e-05,11339.0597
1.33418511e-05,10881.7565
1.43959992e-05,10475.6455
1.55305332e-05,10085.6237
1.68258391e-05,9689.49196
1.76893763e-05,9449.93304
1.9083458e-05,9098.07228
2.01445469e-05,8855.10642
2.17361803e-05,8524.57722
2.41011038e-05,8095.31964
2.67087729e-05,7689.75095
2.96147206e-05,7302.48519
3.2818947e-05,6936.58855
3.54053747e-05,6678.21726
3.83583184e-05,6415.79367
4.22955766e-05,6109.59937
4.59240661e-05,5863.02366
4.95525555e-05,5644.04402
5.49439352e-05,5359.64735
6.08887087e-05,5090.93542
6.56872857e-05,4901.18389
6.93396663e-05,4770.15266
7.48182371e-05,4591.89197
7.84706177e-05,4483.56388
8.52025228e-05,4302.45737
9.1934428e-05,4141.61404
0.000101937008,3932.71188
0.000112966295,3735.31992
0.000121869053,3595.92377
0.000128645284,3499.66099
0.000138809629,3368.69506
0.000149749074,3242.90406
0.000162238719,3115.12712
0.00017056515,3037.84627
0.000184007215,2924.32468
0.000194238485,2845.92655
0.000209585391,2739.2604
0.000232388542,2600.70657
0.000257532304,2469.76707
0.000277828162,2377.28569
0.000301000094,2283.33381
0.000331896002,2173.68243
0.000350877989,2113.60335
0.000369859977,2058.19904
0.000407823951,1959.20003
0.000442810705,1879.44798
0.000477797458,1808.59703
0.000529782416,1716.54132
0.000558442872,1671.36021
0.000601433556,1609.7202
0.000633372342,1568.03202
0.000668589459,1525.55793
0.000739023693,1449.86546
0.000799905999,1392.62431
0.000843179747,1355.74481
0.000886453494,1321.58426
0.00095631399,1271.38073
0.00103607423,1220.35171
0.00111583448,1174.85932
0.00120775924,1128.08439
0.00127309725,1097.94073
0.00137110427,1056.79861
0.00144391598,1028.96117
0.00152420139,1000.5879
0.00164462951,961.952184
0.00172491492,938.451876
0.00182356724,911.705722
0.00192221957,887.02306
0.0020208719,864.149652
0.00211952423,842.873133
0.00224074528,818.654419
0.00236196633,796.300743
0.00248318738,775.582506
0.00267888484,745.110893
0.00290231408,714.107693
0.00312574332,686.440405
0.00338324855,657.963679
0.00365779176,630.923619
0.00393233498,606.717853
0.00415723534,588.670242
0.00438213571,572.004436
0.00471948626,549.23374
0.00497011189,533.810487
0.00524646278,518.076583
0.00552281368,503.51498
0.00579916457,489.985721
0.00627691178,468.696982
0.00661648355,454.959774
0.00695605532,442.220379
0.00750425495,423.472099
0.00813013851,404.384445
0.00875602207,387.342632
0.00947736134,369.797782
0.00999007277,358.480531
0.0107591399,343.023113
0.0113304979,332.559156
0.0119605025,321.891441
0.012590507,312.026841
0.0132205116,302.870639
0.0139741707,292.737318
0.0147335612,283.322149
0.0154929517,274.608826
0.0162523423,266.51648
0.0171076521,258.060792
0.0185344957,245.298077
0.0199613393,233.957392
0.0216057958,222.347635
0.0233590589,211.398589
0.0251123219,201.674606
0.0266893189,193.810595
0.0280786377,187.479256
0.0294679566,181.639128
0.0308572755,176.235776
0.0325791618,170.076311
0.0343010481,164.442635
0.0360229344,159.272647
0.0379165037,154.060369
0.0400850463,148.627429
0.04333786,141.40098
0.0465906738,135.110178
0.0505876348,128.438826
0.0545845958,122.733105
0.0584107188,118.022396
0.061895166,114.273913
0.0661206638,110.319929
0.0703461617,106.922992
0.07336658,104.792203
0.0769891318,102.525887
0.0824229595,99.6477988
