energy [eV],cross section [b]
1e-05,1.33379146
1.0650922e-05,1.29239221
1.16273049e-05,1.23693934
1.22782268e-05,1.20370511
1.30138887e-05,1.1691881
1.42444912e-05,1.11754356
1.5064893e-05,1.08668809
1.58852947e-05,1.05825491
1.74363077e-05,1.01009139
1.89873208e-05,0.967957051
2.06729456e-05,0.927655556
2.26277941e-05,0.886679816
2.45826425e-05,0.850694546
2.60555353e-05,0.826300339
2.76980886e-05,0.801425268
3.01619186e-05,0.767995101
3.18044719e-05,0.747900523
3.38746948e-05,0.724686608
3.59449177e-05,0.703508233
3.80151406e-05,0.684084311
4.00853635e-05,0.666185258
4.26946078e-05,0.645507684
4.66084743e-05,0.617810788
5.05223408e-05,0.593398164
5.54552559e-05,0.5663913
6.0388171e-05,0.542765197
6.57492119e-05,0.52016683
6.98940734e-05,0.504507648
7.61113656e-05,0.483462922
8.28682541e-05,0.463333642
8.80923081e-05,0.449385375
9.33163622e-05,0.436625433
9.85404162e-05,0.424894131
0.000104444561,0.412710022
0.000111028795,0.400285736
0.00011761303,0.388919939
0.000124197264,0.378470395
0.000135787945,0.361957282
0.000148235791,0.346426726
0.000160683637,0.332737769
0.000176372513,0.317594136
0.000186831763,0.308576301
0.00020252064,0.296382993
0.000215703153,0.287183628
0.000235476922,0.274861396
0.000255250692,0.264000324
0.00027186552,0.255806077
0.000288480348,0.248330353
0.000305095176,0.24147393
0.000321710004,0.235155769
0.000342650814,0.227856822
0.00037406203,0.218080134
0.00039500284,0.212220732
0.000418669817,0.206135168
0.000458259533,0.197029911
0.000497849249,0.189033592
0.000544310915,0.180785831
0.00057757601,0.175502513
0.000627473651,0.168379867
0.000686032485,0.161033253
0.000727958772,0.156327187
0.000769885058,0.15201098
0.000811811345,0.148033615
0.000864653928,0.143438832
0.000917496511,0.139246949
0.000970339094,0.135402328
0.00102318168,0.131859528
0.00112308339,0.125858308
0.00118968453,0.12228466
0.00125628567,0.118999102
0.00137352824,0.113807029
0.00149944124,0.108923892
0.00162535424,0.104619794
0.00178405106,0.0998583137
0.00188984893,0.097022915
0.00204854575,0.09318908
0.00218189009,0.0902966042
0.00231523443,0.0876577587
0.00244857877,0.0852375196
0.00258192311,0.0830072806
0.00274998615,0.0804308352
0.0029180492,0.0780803086
0.00308611224,0.0759245036
0.00325417529,0.0739379394
0.00357190741,0.0705728581
0.00388963953,0.067629023
0.00423494749,0.0648132446
0.00463540714,0.0619503581
0.00503586679,0.0594361449
0.00550583789,0.0568428732
0.00584232245,0.0551816851
0.00634704929,0.0529421734
0.00672733888,0.0514240213
0.00715143352,0.0498759429
0.00757552815,0.0484597533
0.00799962278,0.0471577295
0.00847892792,0.0458054498
0.00928070137,0.0437821612
0.009815217,0.0425733301
0.0103497326,0.0414593979
0.0113602629,0.0395724855
0.0123707931,0.0379217797
0.0134690268,0.0363428794
0.0147426676,0.034737564
0.0160163084,0.0333277611
0.016975941,0.0323720637
0.0180461123,0.0313975274
0.0196513694,0.030087826
0.0212938482,0.028904142
0.022438463,0.0281572712
0.0241553852,0.0271381395
0.0253,0.0265171443
0.0278167818,0.0252891061
0.03036678,0.0242040174
0.0329167781,0.0232475974
0.0361307161,0.0221895418
0.0393446541,0.021263935
0.0428375286,0.0203785919
0.0455380267,0.0197651071
0.0495887738,0.018940631
0.0539910837,0.0181520194
0.0573947072,0.0176055632
0.0607983307,0.0171056623
0.065903766,0.0164297297
0.0701935868,0.0159197654
0.0744834077,0.0154545177
0.0787732285,0.0150278117
0.0830630493,0.0146346041
0.0911731837,0.0139685413
0.0992833181,0.013385857
0.108097328,0.012828519
0.118319088,0.0122618564
0.128540848,0.0117642076
0.140536893,0.01125091
0.149125685,0.0109221034
0.162008872,0.0104788263
0.17171579,0.0101783311
0.182540835,0.00987191209
0.198778402,0.00946010828
0.209603447,0.00921257638
0.223246996,0.00892661911
0.236890544,0.00866573605
0.250534093,0.00842646473
0.272775593,0.00807560859
0.298569447,0.00771888189
0.324363301,0.00740560057
0.354634431,0.0070824675
0.3871442,0.00677856054
0.419653968,0.00651068988
0.446970167,0.00630859162
0.474286365,0.00612421418
0.515260662,0.00587564715
0.563347244,0.00561926309
0.597775728,0.00545502899
0.632204211,0.0053043999
0.666632695,0.00516559549
0.731721573,0.00493047094
0.775114159,0.00479045672
0.818506745,0.00466172926
0.894893698,0.00445830399
0.976929689,0.00426698157
1.05896568,0.00409834483
1.16236128,0.00391178623
1.23129168,0.00380069223
1.33468728,0.00365047734
1.42156501,0.00353714529
1.5518816,0.00338533954
1.68219819,0.00325153333
1.79169616,0.00315058086
1.90119413,0.00305847969
2.01069211,0.00297400756
2.12019008,0.00289616618
2.25819791,0.00280624033
2.46520965,0.00268578604
2.67222139,0.00257961327
2.93313252,0.00246215563
3.19404366,0.00235939928
3.47759917,0.0022611106
3.69682867,0.00219300158
4.02567292,0.00210146626
4.38305743,0.00201391023
4.65936745,0.00195323805
4.93567747,0.00189773356
5.35014249,0.001822682
5.69839501,0.00176605678
6.04664754,0.00171439532
6.39490006,0.00166701221
6.74315258,0.00162334763
7.40154249,0.00154938026
8.0599324,0.00148466871
8.7754637,0.00142276859
9.60527779,0.00135982886
10.4350919,0.00130455081
11.4089444,0.00124753033
12.1061923,0.00121100183
13.152064,0.00116175284
13.9400827,0.00112836469
14.8188721,0.00109431606
16.1370562,0.00104855323
17.0158457,0.0010210431
18.1234444,0.000989259911
19.2310432,0.00096026104
20.3386419,0.000933662074
22.1442321,0.000894654066
24.2382064,0.000854987164
26.3321808,0.000820145391
28.7896255,0.000784201419
31.4288054,0.000750389208
34.0679853,0.000720580073
36.2855452,0.000698085864
