energy [eV],cross section [b]
1e-05,15.5156192
1.06374074e-05,15.0435802
1.15935186e-05,14.4099163
1.25496297e-05,13.8501226
1.33495525e-05,13.4287537
1.41494752e-05,13.0436424
1.49493979e-05,12.6898704
1.57493207e-05,12.3634055
1.67531941e-05,11.9872676
1.77570675e-05,11.6434953
1.87609409e-05,11.3276982
2.03947263e-05,10.8645067
2.22844622e-05,10.3936442
2.41741982e-05,9.97913406
2.63851426e-05,9.5518862
2.7966175e-05,9.27795587
3.03377237e-05,8.90794048
3.21203085e-05,8.65722931
3.41044456e-05,8.40162411
3.70806514e-05,8.05740181
3.90647885e-05,7.85011339
4.15548072e-05,7.61128519
4.40448259e-05,7.39300745
4.65348445e-05,7.19249255
5.05873038e-05,6.89838972
5.52746257e-05,6.59941616
5.83995069e-05,6.42042509
6.15243881e-05,6.25525003
6.74068035e-05,5.97607953
7.32892189e-05,5.73123345
7.9671567e-05,5.49688142
8.45930427e-05,5.33458512
8.95145183e-05,5.18586441
9.68967318e-05,4.98440382
0.000103073002,4.83276
0.000109249271,4.69416468
0.000115425541,4.56684784
0.000121601811,4.44935836
0.000129352801,4.31399235
0.000137103791,4.19027416
0.00014485478,4.0766238
0.00015260577,3.9717459
0.000167196578,3.79448655
0.000181787386,3.63902144
0.000197618233,3.49021949
0.000209825515,3.38716934
0.000228136439,3.24839213
0.000248003565,3.11556282
0.000263323252,3.02357423
0.00027864294,2.93928017
0.000301622471,2.82509339
0.000320848112,2.73914244
0.000340073752,2.66058728
0.000359299393,2.58842468
0.000378525034,2.52183215
0.000414716234,2.40928074
0.000438843702,2.34211181
0.000462971169,2.28026445
0.00050531398,2.18263384
0.000550732597,2.09069392
0.000596151214,2.0094719
0.000634150336,1.94833423
0.000691149018,1.86626303
0.000748147701,1.79375927
0.000795835192,1.739184
0.000843522682,1.6893047
0.000915053919,1.62192937
0.000968820682,1.57627779
0.00102866672,1.52973499
0.00108851275,1.48708526
0.00114835879,1.44781448
0.00121583408,1.40706294
0.00129093864,1.36551582
0.00140359548,1.30956432
0.00152582676,1.25601068
0.00166720692,1.20156988
0.00180858708,1.15364427
0.00197399838,1.10424566
0.00209228295,1.07257354
0.00226970982,1.02979175
0.00247729488,0.985694999
0.00262573764,0.957422153
0.00277418041,0.931449939
0.00292262317,0.907482353
0.00310891335,0.879867842
0.00329520352,0.854629315
0.00348149369,0.83144448
0.00366778387,0.810049105
0.00401846478,0.773887396
0.00436914568,0.742171436
0.00474963014,0.711814434
0.00518972169,0.68095424
0.00562981325,0.653786947
0.0061447095,0.625784348
0.00651290857,0.607830179
0.00706520718,0.583577936
0.00748034481,0.567145075
0.00794242101,0.550391179
0.00863553532,0.527828334
0.00909761152,0.514240861
0.00967750004,0.498585714
0.0102573886,0.484277357
0.0108372771,0.471133108
0.0117810349,0.45185343
0.0128726429,0.432253762
0.0139642508,0.414999105
0.0152414051,0.397213487
0.0166113327,0.380463805
0.0179812602,0.365666034
0.0191273991,0.354526938
0.020273538,0.344345923
0.0219927464,0.330593085
0.0239329079,0.316888283
0.0253,0.308193031
0.0268096317,0.299374386
0.0283192634,0.291270217
0.0310268997,0.278244513
0.0328319906,0.27047037
0.0346370815,0.263311704
0.0378049492,0.252010273
0.0412029326,0.241366387
0.044600916,0.231962223
0.0488652593,0.22157675
0.0517081549,0.215378104
0.0559724982,0.206980254
0.0595402269,0.200658157
0.0648918199,0.192170103
0.0702434129,0.184670184
0.0747207802,0.179023883
0.0791981476,0.173862643
0.083675515,0.169120691
0.0881528823,0.164744099
0.0937718126,0.159700733
0.102200208,0.152928939
0.110628603,0.146944883
0.121205928,0.140335179
0.131783252,0.134536105
0.143259518,0.128983554
0.152108951,0.12513694
0.165383102,0.119954858
0.179785391,0.114992643
0.190891102,0.111554723
0.201996814,0.108403247
0.218655381,0.104132297
0.232592637,0.100915889
0.246529894,0.0979749482
0.26046715,0.0952721509
0.274404407,0.0927768934
0.300640518,0.0885569436
0.32687663,0.084852868
0.355342487,0.0813046207
0.388267835,0.0776943172
0.421193184,0.0745130161
0.459715029,0.0712305803
0.487261757,0.0691240548
0.528581851,0.0662759156
0.559640277,0.0643441732
0.594210402,0.0623729789
0.646065589,0.0597153615
0.680635714,0.0581131524
0.72401994,0.0562653372
0.767404167,0.0545746954
0.810788393,0.0530199911
0.881395419,0.0507365866
0.963063816,0.0484113178
1.04473221,0.0463606466
1.14028222,0.0442430242
1.24277304,0.0422448834
1.34526385,0.0404762466
1.43101197,0.0391426988
1.51676009,0.0379221198
1.64538226,0.0362705879
1.74206168,0.0351496514
1.84967239,0.0340051967
1.95728311,0.0329549913
2.06489382,0.0319867217
2.18622291,0.0309806505
2.32127037,0.0299535883
2.52384156,0.0285683312
2.7436288,0.0272402704
2.99784815,0.0258882262
3.25206749,0.0246965788
3.54949785,0.0234672757
3.76218843,0.0226787731
4.0812243,0.021613628
4.32102898,0.0208921217
4.58794778,0.0201569468
4.85486658,0.0194838611
5.12178538,0.0188648194
5.42273139,0.0182234093
5.7577046,0.0175707946
6.09267781,0.0169742392
6.42765102,0.0164264727
7.0155166,0.0155654822
7.64608507,0.0147598767
8.27665353,0.0140534719
8.89168971,0.0134431172
9.50672588,0.0128976658
10.1518219,0.0123844546
10.8043903,0.0119174926
11.6393834,0.0113846624
12.5460235,0.0108749646
13.0351671,0.0106254064
13.9065493,0.0102188296
14.7374205,0.00987069364
15.277831,0.00966235939
16.6902615,0.00917546009
17.5837657,0.00890440866
18.47727,0.00865766243
20.0164445,0.00828126591
21.7730702,0.0079140859
23.3353651,0.00763304032
25.3307128,0.00732469926
27.0190639,0.00710041574
29.17792,0.00685373749
31.3330811,0.00664467801
33.1307903,0.00649406612
34.7636593,0.00637337291
37.1392036,0.00622151727
39.9962771,0.00607094278
42.0187,0.00598283704
44.15883,0.00590474316
46.8339925,0.00582814311
49.509155,0.00577616102
51.221259,0.00575851795
53.361389,0.00576125715
55.073493,0.00579650325
56.357571,0.00585928774
57.1066165,0.00592157842
57.7486555,0.00599968795
58.283688,0.00609120597
58.711714,0.00618986886
59.13974,0.00632136568
59.4607595,0.00645042497
59.781779,0.00661623678
59.995792,0.00675424983
60.1027985,0.00683367845
60.3168115,0.0070183063
60.423818,0.00712601723
60.5843277,0.00731130269
60.6913342,0.0074535988
60.7983408,0.00761383656
60.9053473,0.00779513506
61.065857,0.00811518653
61.1728635,0.00836794607
61.27987,0.00865976881
61.3868765,0.00899909256
61.4403798,0.00918984049
61.5206346,0.00950686196
61.6008895,0.00986689787
61.6811444,0.0102780671
61.7613993,0.0107504969
61.8416541,0.0112969497
61.921909,0.0119336901
61.9754123,0.0124184645
62.0021639,0.0126817038
62.0556671,0.0132554183
62.0824188,0.0135684415
62.135922,0.0142541992
62.1626736,0.0146303621
62.2161769,0.0154592754
62.2563043,0.01615736
62.2830559,0.0166643315
62.3098076,0.0172083459
62.349935,0.0181020251
62.3766866,0.0187558475
62.4168141,0.019836186
62.4435657,0.0206314033
62.4836931,0.0219541012
62.5104448,0.022934507
62.5238206,0.023457849
62.5505722,0.0245776575
62.5773238,0.02580537
62.5906996,0.0264640661
62.6174513,0.0278811728
62.6442029,0.029446644
62.6575787,0.030291559
62.6816551,0.0319290514
62.7003813,0.033317188
62.7164323,0.034595713
62.7351584,0.0362016172
62.7565597,0.0382047438
62.7672604,0.0392804081
62.7886617,0.0415967303
62.810063,0.0441588741
62.8314642,0.0470027731
62.8528656,0.0501711526
62.8689165,0.0527907547
62.8796172,0.0546667521
62.8903178,0.0566561472
62.9010185,0.0587682292
62.9117191,0.0610132544
62.9224198,0.063402569
62.9331204,0.0659487508
62.9438211,0.0686657721
62.9545217,0.0715691887
62.9652224,0.0746763588
62.975923,0.0780066989
62.9866237,0.0815819814
62.9973243,0.0854266842
63.008025,0.0895684023
63.0187256,0.0940383329
63.0294263,0.098871851
63.0401269,0.104109194
63.0508276,0.109796279
63.0615282,0.115985688
63.0722289,0.122737848
63.0775792,0.126346336
63.0882798,0.134076694
63.0989805,0.142565405
63.1043308,0.147125203
63.1150315,0.156946925
63.1257321,0.16781421
63.1310825,0.173686366
63.1417831,0.186415341
63.1471334,0.19332117
63.1551589,0.204434475
63.1631844,0.21654844
63.1712099,0.229784847
63.1765602,0.239301224
63.1845857,0.254731477
63.1926112,0.271710418
63.2006367,0.290447823
63.2086622,0.31118931
63.2166877,0.334223718
63.2247131,0.359892253
63.2300635,0.37866496
63.2354138,0.398925331
63.238089,0.409661428
63.2434393,0.432452265
63.2487896,0.45715996
63.2541399,0.483997086
63.2568151,0.49828839
63.2621654,0.528782604
63.2675157,0.562074093
63.2728661,0.598498014
63.2782164,0.63843792
63.2835667,0.682333596
63.288917,0.730690188
63.2942674,0.784088756
63.2996177,0.843198422
63.3022929,0.875131453
63.3063056,0.926302175
63.3089808,0.962767223
63.3116559,1.00126081
63.3143311,1.04191969
63.3183438,1.10729114
63.321019,1.1540267
63.3250317,1.22929471
63.3277069,1.2831898
63.3317196,1.37011243
63.3343948,1.43243056
63.3384075,1.53304075
63.3424203,1.6429482
63.346433,1.7630226
63.3504458,1.89415982
63.3531209,1.98817289
63.3557961,2.08775566
63.3598088,2.24808692
63.362484,2.36257326
63.3651592,2.48331592
63.3675668,2.59740276
63.370777,2.75750007
63.3750573,2.98478142
63.3771974,3.10400446
63.3814777,3.35225811
63.3964586,4.2634729
63.4007388,4.50486989
63.403949,4.66845149
63.4060892,4.76636837
63.4082293,4.85363909
63.4103694,4.92885814
63.4125095,4.99074994
63.4146497,5.03821951
63.4167898,5.07039888
63.42,5.08876114
63.4221401,5.08072645
63.4242803,5.05660537
63.4264204,5.01685452
63.4285605,4.96221174
63.4307006,4.89366256
63.4328408,4.81239726
63.4349809,4.71976189
63.437121,4.61720673
63.4403312,4.44806706
63.4446115,4.20180644
63.4563822,3.48246734
63.4606625,3.22868045
63.4649427,2.98689212
63.4670829,2.87134143
63.4713631,2.65190024
63.4748408,2.48545814
63.4788536,2.30668905
63.4815287,2.19526842
63.4842039,2.0898634
63.4868791,1.99026348
63.4908918,1.85122333
63.493567,1.76506118
63.4962421,1.68381451
63.5002549,1.57057933
63.50293,1.50046507
63.5056052,1.43435664
63.5096179,1.34217833
63.5136307,1.25770028
63.5176434,1.18021063
63.5216562,1.1090573
63.5256689,1.04364665
63.5296817,0.983440621
63.5323568,0.945952626
63.5363696,0.893364401
63.5403823,0.84478866
63.5457326,0.785632483
63.551083,0.73218923
63.5537581,0.707397263
63.5591085,0.661296811
63.5644588,0.619397699
63.5671339,0.599873895
63.5724843,0.563412415
63.5778346,0.530085015
63.5831849,0.499556468
63.5885352,0.471533233
63.5938856,0.445757709
63.5992359,0.422003342
63.6045862,0.40007043
63.6099365,0.379782551
63.6152869,0.360983497
63.6233123,0.335277485
63.6286627,0.319627063
63.634013,0.305043269
63.6420385,0.284967163
63.6473888,0.272664726
63.6527391,0.261143887
63.6607646,0.245190492
63.6687901,0.230664405
63.6768156,0.217402735
63.6848411,0.205264844
63.6928666,0.194128852
63.7035672,0.180658139
63.7089176,0.17445204
63.7196182,0.16298089
63.7249685,0.157674572
63.7356692,0.14782945
63.7410195,0.143258486
63.7517202,0.134748434
63.7624208,0.126997964
63.7677711,0.12337985
63.7811469,0.115007179
63.7945227,0.107491115
63.8052234,0.102018928
63.8159241,0.0969735761
63.8212744,0.0945973027
63.831975,0.0901132033
63.848026,0.0839938144
63.8587267,0.080274507
63.8694273,0.0768125875
63.880128,0.0735849404
63.8908286,0.0705709776
63.9047282,0.0669451087
63.9175802,0.0638549767
63.9282809,0.0614562092
63.9389815,0.0592021056
63.9496822,0.0570812976
63.9603828,0.0550835091
63.9710835,0.0531994322
63.9871344,0.0505682619
64.0085357,0.0473854056
64.0299371,0.0445280117
64.0513384,0.0419532581
64.0727397,0.0396251265
64.0941409,0.0375131477
64.1155423,0.0355914085
64.1315932,0.0342615018
64.1476442,0.0330179168
64.1690455,0.0314815699
64.1957971,0.0297357464
64.2091729,0.0289281808
64.2359246,0.0274297661
64.2493004,0.026733989
64.276052,0.0254383891
64.3028036,0.0242580729
64.3161794,0.0237069214
64.3429311,0.0226752328
64.3830585,0.0212850538
64.4098101,0.0204502237
64.4499376,0.0193172384
64.4766892,0.0186322151
64.5168166,0.0176967031
64.5435683,0.0171276869
64.5703199,0.0165977331
64.6104473,0.0158685039
64.6505748,0.0152091534
64.6773264,0.0148040788
64.7308296,0.0140667764
64.7575813,0.0137307295
64.8110845,0.0131156477
64.8645877,0.0125673876
64.8913394,0.01231533
64.9448426,0.0118502883
64.9983459,0.0114315674
65.0786008,0.0108775648
65.132104,0.0105505664
65.2123589,0.0101136936
65.2658621,0.00985345464
65.346117,0.00950286599
65.3996202,0.00929237128
65.5066268,0.00891875547
65.56013,0.00875253739
65.6671365,0.00845489168
65.7206398,0.00832134583
65.8276463,0.0080803777
65.988156,0.007773643
66.1486657,0.00751925813
66.3091755,0.00730594991
66.5231885,0.00707123792
66.7372015,0.00688035165
66.9512145,0.00672303071
67.1652275,0.00659185521
67.3792405,0.00648135161
67.70026,0.00634564132
68.128286,0.00620615336
68.342299,0.00614972069
68.770325,0.006056677
69.412364,0.00595324256
70.054403,0.00587913052
70.482429,0.00584104473
71.766507,0.00576226529
73.050585,0.00571668598
75.1693137,0.00568021907
77.330845,0.00567049196
80.0060075,0.00568027375
82.68117,0.00570582725
85.891365,0.00575174127
90.171625,0.00583410612
92.9109914,0.00589834726
97.66208,0.00603071304
101.94234,0.00617382565
104.89,0.00628687364
108.374076,0.0064378532
111.223996,0.00657756782
115.127997,0.00679811581
117.821757,0.00697522454
120.222717,0.00715560882
121.959998,0.0073030554
123.911998,0.00749056043
125.863998,0.0077083006
127.318238,0.00789663255
129.089678,0.00816714648
130.743998,0.00847655042
132.051839,0.00877647848
133.271839,0.00911873595
133.867199,0.00931483793
134.335679,0.0094859013
135.233599,0.00986467064
135.828959,0.0101618578
136.404799,0.0104939564
136.990399,0.0108880672
137.380799,0.0111897271
137.771199,0.0115291767
138.161599,0.0119136788
138.551999,0.0123523493
138.942399,0.0128567574
139.332799,0.0134417645
139.527999,0.013770321
139.723199,0.0141267184
140.015999,0.0147211038
140.211199,0.0151631974
140.455199,0.0157760247
140.674799,0.016393735
140.894399,0.0170847408
141.113999,0.0178615203
141.333599,0.0187393344
141.5288,0.0196195523
141.6752,0.0203514568
141.7728,0.0208779675
141.968,0.022036101
142.1144,0.0230095647
142.212,0.0237156221
142.3096,0.0244725386
142.4072,0.025285392
142.5048,0.0261599109
142.6024,0.0271025773
142.7,0.0281207489
142.8464,0.0298082292
142.944,0.0310544955
143.0416,0.0324113015
143.1392,0.0338922376
143.188,0.03468408
143.2856,0.0363815228
143.3344,0.0372920654
143.432,0.0392507132
143.4808,0.0403051024
143.5784,0.0425818168
143.6272,0.0438122295
143.7248,0.0464802329
143.8224,0.049460492
143.8956,0.0519308558
143.9688,0.0546306431
144.0176,0.0565722962
144.0664,0.0586387714
144.1396,0.0619968454
144.1884,0.0644260896
144.2372,0.0670243004
144.3104,0.0712741295
144.3592,0.0743694656
144.408,0.0776992699
144.4812,0.0831877115
144.53,0.0872173876
144.5788,0.0915820762
144.6032,0.0939017915
144.652,0.0988424139
144.6764,0.101475061
144.7252,0.107097695
144.774,0.113246276
144.8106,0.118243218
144.8472,0.123606524
144.896,0.131391646
144.9204,0.135583862
144.9692,0.144638594
145.018,0.154696991
145.0668,0.165913072
145.1034,0.175194628
145.1278,0.1818461
145.1522,0.188903861
145.1766,0.196401678
145.201,0.204376901
145.2254,0.212870922
145.2498,0.221929717
145.2864,0.236690412
145.3108,0.24739824
145.3352,0.258877778
145.3596,0.271204951
145.384,0.284465251
145.4084,0.298755213
145.4328,0.314184173
145.4572,0.330876358
145.4816,0.348973385
145.506,0.368637262
145.5304,0.39005401
145.5548,0.413438063
145.5792,0.439037624
145.6036,0.46714125
145.6158,0.482235256
145.6402,0.514744759
145.6646,0.550714556
145.68168,0.578220725
145.69632,0.603495594
145.71096,0.630487637
145.7256,0.659355672
145.73536,0.679730083
145.75488,0.72345146
145.76464,0.746928372
145.78416,0.797480792
145.80368,0.853394543
145.8232,0.915453122
145.83784,0.966583494
145.8476,1.0031035
145.85736,1.04174549
145.872,1.10405719
145.88176,1.14877217
145.89152,1.1962715
145.90616,1.27326232
145.91592,1.32880732
145.92568,1.38807744
145.93544,1.4514118
145.9452,1.51918882
145.95496,1.59183176
145.96472,1.66981524
145.97448,1.75367289
145.98424,1.84400622
145.994,1.94149529
146.00376,2.04691123
146.01352,2.16113112
146.02328,2.28515587
146.03304,2.42013162
146.03792,2.49213023
146.04768,2.64606394
146.05744,2.8146324
146.06232,2.90498584
146.07208,3.09915886
146.08184,3.31331712
146.08672,3.42874922
146.09648,3.67830079
146.10136,3.81331882
146.10868,4.03007116
146.116,4.26562473
146.12332,4.52218468
146.13064,4.80228352
146.13796,5.10884009
146.14528,5.44523093
146.1526,5.81537714
146.15992,6.22385055
146.16724,6.67600409
146.17456,7.17813262
146.17944,7.54426688
146.18432,7.93842307
146.18676,8.14688559
146.19164,8.58852216
146.19652,9.06598469
146.2014,9.58311647
146.20628,10.144268
146.21116,10.754375
146.21604,11.4190496
146.22092,12.1446874
146.2258,12.9385922
146.23068,13.8091225
146.23556,14.7658623
146.24044,15.8198198
146.24532,16.9836578
146.24776,17.6112558
146.25264,18.9679357
146.25508,19.7015208
146.25874,20.8779344
146.26118,21.7168855
146.26484,23.0647777
146.26728,24.0277526
146.27094,25.5776173
146.27338,26.6867194
146.27704,28.474531
146.2807,30.4248392
146.28436,32.5540286
146.28802,34.8797122
146.29168,37.4205559
146.29534,40.1959503
146.29778,42.1861982
146.30022,44.2950792
146.30388,47.6925267
146.30632,50.1205115
146.30876,52.6833986
146.313152,57.6436152
146.315104,59.991634
146.319008,64.9448085
146.32096,67.5430452
146.324864,72.9532333
146.338528,92.8107401
146.342432,98.0709782
146.34536,101.63534
146.347312,103.76876
146.349264,105.670079
146.351216,107.308659
146.353168,108.656698
146.35512,109.690331
146.357072,110.390645
146.36,110.789178
146.361952,110.612883
146.363904,110.085946
146.365856,109.218336
146.367808,108.026149
146.36976,106.530881
146.371712,104.758491
146.373664,102.738332
146.375616,100.502028
146.378544,96.8140898
146.382448,91.4450814
146.393184,75.7641858
146.397088,70.2325041
146.400992,64.9626165
146.404896,60.0096827
146.4088,55.4018614
146.41246,51.4030223
146.41612,47.7105436
146.41978,44.3129267
146.42344,41.1942232
146.42588,39.261005
146.42832,37.4378332
146.43076,35.7188907
146.4332,34.0984003
146.43564,32.5707019
146.43808,31.1303072
146.44052,29.7719385
146.44296,28.4905537
146.4454,27.2813616
146.44784,26.1398284
146.45028,25.0616791
146.45272,24.0428939
146.45516,23.0797015
146.45882,21.7314872
146.46126,20.8923248
146.4637,20.0973729
146.46736,18.9818112
146.47224,17.6247346
146.47468,16.9969438
