energy [eV],cross section [b]
1e-05,363792.6
1.0662138e-05,352318.015
1.13242761e-05,341865.219
1.19864141e-05,332291.054
1.26485522e-05,323478.952
1.39048153e-05,308524.601
1.51610784e-05,295469.969
1.65282509e-05,282990.244
1.81172418e-05,270300.253
1.97062328e-05,259178.085
2.09058443e-05,251635.528
2.224574e-05,243943.243
2.42555835e-05,233623.203
2.55954792e-05,227429.408
2.72902533e-05,220258.455
2.89850273e-05,213726.138
3.06798014e-05,207742.976
3.34463973e-05,198971.66
3.6661863e-05,190052.71
3.88055068e-05,184733.199
4.09491506e-05,179837.179
4.50162492e-05,171528.714
4.90833478e-05,164275.941
5.35095104e-05,157342.798
5.69390376e-05,152536.512
6.03685649e-05,148146.013
6.55128557e-05,142218.771
6.98507111e-05,137738.606
7.63574942e-05,131748.794
8.06953496e-05,128164.917
8.56076568e-05,124440.234
9.38377954e-05,118868.824
9.93245544e-05,115546.036
0.000104811313,112487.895
0.000115221247,107298.561
0.000125631181,102768.921
0.000136960156,98439.2268
0.000150127215,94037.1187
0.000163294274,90179.3886
0.000173234768,87563.5514
0.000184337717,84896.0667
0.00020099214,81317.8375
0.0002191169,77897.8122
0.000233160523,75527.2669
0.000247204146,73362.0574
0.000261247768,71374.1906
0.000277151154,69308.4675
0.000294914304,67202.1113
0.000321559028,64376.8632
0.000350556083,61676.8533
0.000384257802,58932.2898
0.00041795952,56527.6996
0.000457611955,54047.1116
0.000486030485,52459.9172
0.000528658279,50324.4668
0.000574033772,48319.0931
0.0006052,47074.9361
0.000645924423,45587.5897
0.000686648845,44235.2499
0.000732114477,42861.5475
0.000777580109,41610.8282
0.000823045742,40465.8442
0.000868511374,39412.553
0.000954772537,37626.4496
0.0010410337,36068.8194
0.00113491044,34581.3622
0.00124401832,33070.6568
0.0013531262,31748.3192
0.00148149928,30385.5806
0.00157350306,29514.4784
0.00171150873,28343.6505
0.00181569636,27550.8356
0.00193206782,26743.385
0.00204843929,26006.8391
0.00216481075,25331.5109
0.00229659301,24630.7246
0.00244378606,23917.299
0.00259097912,23266.8126
0.00273817217,22670.6618
0.0029979466,21730.2588
0.00327721345,20849.9516
0.00355648031,20078.4385
0.00390971244,19227.3641
0.00426294458,18488.1208
0.0046146,17841.5102
0.00501782476,17189.0906
0.00542104952,16614.43
0.00568986603,16267.5793
0.0060666137,15823.1053
0.00644336138,15420.6796
0.00682010905,15054.3814
0.00719685673,14719.3936
0.00791042837,14157.1597
0.00826721418,13906.2262
0.00898323633,13453.0657
0.0100070964,12901.0908
0.0109112109,12488.163
0.012073677,12037.4519
0.0131159212,11694.5969
0.0145634848,11293.9881
0.0156031424,11050.1358
0.0170872749,10753.164
0.0184206997,10528.685
0.0200943249,10293.1601
0.0213140295,10148.6877
0.0226376886,10013.9456
0.0246616,9845.78203
0.02614275,9749.34527
0.02782825,9663.09264
0.0310754585,9552.89725
0.03368275,9509.46696
0.0366898,9501.45176
0.0389875686,9522.15997
0.0427039,9599.62505
0.0459286318,9707.21094
0.048718,9828.60517
0.0507227,9931.52592
0.0547321,10175.9458
0.0581865166,10427.6781
0.0607462,10639.1169
0.06375325,10915.3177
0.06776265,11332.2512
0.0707697,11683.4383
0.0741028003,12113.8229
0.07778615,12643.4215
0.0807932,13121.1855
0.08380025,13643.1582
0.0868073,14212.937
0.08981435,14834.5625
0.0928214,15512.5454
0.0961201738,16327.0818
0.09983785,17342.7395
0.1028449,18247.5998
0.1048496,18895.8136
0.1068543,19582.4403
0.108859,20309.6535
0.1108637,21079.6858
0.1128684,21894.8047
0.1148731,22757.2804
0.1168778,23669.3429
0.118778532,24581.8386
0.1208872,25650.5981
0.12389425,27281.1173
0.12589895,28439.4566
0.12790365,29655.5634
0.13211352,32395.2154
0.1369248,35811.1611
0.14975488,45596.0079
0.152641797,47629.1437
0.15536804,49353.6733
0.15777368,50659.09
0.15937744,51391.176
0.1609812,51996.7279
0.16258496,52463.5193
0.16418872,52781.1858
0.16579248,52941.687
0.16739624,52939.6921
0.16940094,52705.4167
0.17060376,52441.9751
0.17220752,51950.9645
0.17461316,50930.058
0.1770188,49599.2806
0.17862256,48561.6706
0.18022632,47421.0345
0.18263196,45551.4192
0.1850376,43539.0903
0.19466016,35013.1379
0.19786768,32273.6778
0.2010752,29677.1225
0.20428272,27250.1603
0.20749024,25005.6056
0.21009635,23318.2822
0.2131034,21520.4449
0.2151081,20407.5431
0.2171128,19360.2028
0.2191175,18375.5295
0.2211222,17450.4478
0.2231269,16581.7947
0.2251316,15766.3921
0.2271363,15001.1011
0.229141,14282.862
0.2311457,13608.7223
0.2331504,12975.8565
0.2351551,12381.5775
0.23816215,11556.9887
0.24016685,11048.3773
0.241928227,10626.601
0.2451786,9905.13416
0.24818565,9297.56657
0.2511927,8741.72942
0.25419975,8232.54293
0.2572068,7765.45906
0.26021385,7336.40954
0.2632209,6941.75665
0.26622795,6578.24767
0.26823265,6351.7608
0.2712397,6033.84529
0.2732444,5835.40011
0.2772538,5467.98936
0.2792585,5297.85056
0.2832679,4982.07144
0.2852726,4835.48415
0.289282,4562.78253
0.2932914,4314.86009
0.2952961,4199.3388
0.2993055,3983.66154
0.3033149,3786.67309
0.30888436,3540.48006
0.3133384,3363.88899
0.3173478,3218.59068
0.3233619,3022.1463
0.3273713,2903.95947
0.3313807,2794.90081
0.3353901,2694.14796
0.3414042,2557.00652
0.3454136,2473.97041
0.349423,2396.98631
0.3534324,2325.55155
0.3574418,2259.21314
0.3614512,2197.56217
0.36947,2086.87826
0.3774888,1990.93722
0.3855076,1907.62327
0.3935264,1835.17871
0.4035499,1757.6937
0.4135734,1692.54979
0.4215922,1648.0195
0.429611,1609.33769
0.4416392,1560.78268
0.449658,1533.88251
0.4616862,1500.53564
0.469705,1482.38748
0.4817332,1460.44441
0.494171336,1443.51828
0.5057896,1432.23527
0.5178178,1424.5147
0.529846,1420.28105
0.5458836,1419.27475
0.5619212,1422.75864
0.5779588,1430.01104
0.5939964,1440.44723
0.6140434,1457.25054
0.6340904,1477.53737
0.6581468,1505.65154
0.6822032,1537.12682
0.7082643,1574.29896
0.7403395,1623.56807
0.810504,1741.20918
0.910739,1924.20555
0.99999999,2095.79453
1.00000001,2099.99999
1.5,1663.4
2.0,1374.9
3.0,1017.3
5.0,751.6
7.0,634.81
10.0,530.7
15.0,432.83
20.0,374.49
30.0,305.3
50.0,235.89
70.0,198.96
100.0,166.04
150.0,135.09
200.0,116.64
300.0,94.762
500.0,72.816
700.0,61.139
1000.0,50.729
1500.0,40.945
2000.0,35.114
3000.0,28.2
5000.0,21.27
7000.0,17.588
10000.0,14.312
15000.0,11.244
20000.0,9.4267
30000.0,7.2925
50000.0,5.2062
70000.0,4.1466
100000.0,3.2679
120000.0,2.8429
150000.0,2.4333
200000.0,2.0491
300000.0,1.3965
500000.0,0.74005
700000.0,0.48126
850000.0,0.37465
1000000.0,0.30176
1250000.0,0.21986
1500000.0,0.16503
1750000.0,0.12602
2000000.0,0.09704
2250000.0,0.074734
2500000.0,0.057407
2697500.0,0.046293
2836300.0,0.039652
3000000.0,0.03292
3154500.0,0.027533
3619200.0,0.015676
3669600.0,0.014717
3747800.0,0.013337
3808400.0,0.012353
3895100.0,0.011058
4009600.0,0.0095464
4083600.0,0.0086789
4178100.0,0.0076851
4225600.0,0.0072299
4311100.0,0.0064788
4406200.0,0.0057373
4454500.0,0.0053947
4700000.0,0.0039916
5000000.0,0.0028119
5500000.0,0.0016719
5794700.0,0.0012973
5909300.0,0.0011928
5959500.0,0.0011519
6038000.0,0.0010948
6100900.0,0.0010537
6226100.0,0.0009854001
6376000.0,0.00092181
6429500.0,0.00090366
6517900.0,0.00087833
7000000.0,0.00081907
7500000.0,0.00085219
8000000.0,0.00093231
8500000.0,0.0010262
9000000.0,0.0011156
9500000.0,0.0011944
10000000.0,0.0012607
10500000.0,0.0013126
11000000.0,0.0013514
13000000.0,0.0014825
13250000.0,0.0014942
13512000.0,0.0015021
14000000.0,0.0015033
14500000.0,0.0014884
15500000.0,0.0014416
16000000.0,0.0014265
16500000.0,0.0014227
17000000.0,0.0014294
18000000.0,0.0014543
18500000.0,0.0014596
19000000.0,0.0014533
19500000.0,0.0014343
20000000.0,0.0014046
