energy [eV],cross section [b]
1e-05,412.515662
1.0647618e-05,399.773695
1.12952361e-05,388.143926
1.19428541e-05,377.473433
1.25904722e-05,367.6372
1.38135447e-05,350.984468
1.50366173e-05,336.407293
1.6365301e-05,322.461957
1.79052071e-05,308.283883
1.94451132e-05,295.825268
2.06046867e-05,287.380638
2.18972297e-05,278.769935
2.38360442e-05,267.191996
2.51285872e-05,260.229488
2.67559598e-05,252.191408
2.83833325e-05,244.854941
3.00107051e-05,238.12362
3.16380778e-05,231.91858
3.36870168e-05,224.754981
3.57359558e-05,218.216665
3.77848948e-05,212.217659
4.11236893e-05,203.420453
4.49932557e-05,194.476427
4.88628221e-05,186.617097
5.34006555e-05,178.51201
5.66486334e-05,173.318945
6.15206003e-05,166.31465
6.5189268e-05,161.567038
6.92786256e-05,156.726058
7.54126619e-05,150.216884
7.95020194e-05,146.302528
8.46507137e-05,141.783481
8.97994079e-05,137.658884
9.49481022e-05,133.874503
0.000103338021,128.32492
0.000113061695,122.682719
0.000122785368,117.724783
0.000134188303,112.611814
0.000146430867,107.801561
0.000158673431,103.559357
0.000168949409,100.360585
0.000179225387,97.4410214
0.000194639354,93.5031774
0.000212715284,89.4421998
0.000225653225,86.8402641
0.000238591166,84.4529485
0.000251529107,82.2522828
0.000275963326,78.5265589
0.000292252804,76.306761
0.000308542283,74.2651615
0.000337196246,71.0397305
0.00036796008,68.0052636
0.000398723915,65.3291412
0.000437457035,62.369987
0.000463279116,60.6069141
0.000502012236,58.2219366
0.000534523454,56.42358
0.000583290282,54.0134583
0.0006158015,52.5683331
0.000652523689,51.0677458
0.000693456848,49.5376487
0.000734390007,48.1373315
0.000775323166,46.8494278
0.000821558135,45.5120961
0.000898863305,43.5110628
0.000950400085,42.3149311
0.00100193687,41.2123184
0.00109926772,39.3455983
0.00119659858,37.7115443
0.00130233387,36.1483199
0.00138402997,35.0652628
0.00146572607,34.0740691
0.00158827022,32.7332442
0.00169112946,31.7222165
0.00184541833,30.3672592
0.00194827757,29.5548188
0.00206445952,28.7111989
0.00219396417,27.8509901
0.00232346881,27.0637435
0.00245297346,26.3396959
0.00259925202,25.5878615
0.00284383071,24.4629031
0.00308840941,23.4743789
0.0033752264,22.4549483
0.00368316253,21.4958779
0.00399109866,20.6500692
0.00424956941,20.0123024
0.00463727553,19.1575837
0.00502498166,18.4038043
0.00535040854,17.835431
0.00567583542,17.3166716
0.0060012623,16.8407042
0.00632668918,16.4019521
0.00673641699,15.8954242
0.0071461448,15.4331122
0.0075558726,15.0089366
0.00822353374,14.3869119
0.00899733373,13.7545133
0.00977113371,13.1988162
0.0106785675,12.6257504
0.0116528182,12.0866211
0.012627069,11.6111655
0.0134448207,11.2526602
0.0142625725,10.9254517
0.0154892002,10.484127
0.0164128701,10.1849957
0.0174424582,9.87998651
0.0184720463,9.60085193
0.0195016344,9.34412953
0.0206645784,9.07755892
0.0219608785,8.80575121
0.0239053285,8.44028824
0.026103755,8.0773381
0.0285150201,7.72857625
0.0309262853,7.42145472
0.033784935,7.10086145
0.0358398296,6.89451543
0.0389221716,6.6162116
0.0425368284,6.32922056
0.0451240378,6.14534973
0.0490048519,5.89736133
0.051927166,5.72928033
0.0551845848,5.55790226
0.0584420037,5.40106816
0.0616994225,5.25683167
0.0653787539,5.10706773
0.0715306201,4.88299495
0.0776824862,4.68611614
0.0848967683,4.4831026
0.0926422582,4.29213134
0.100387748,4.12373291
0.10688904,3.99676904
0.116640977,3.82663644
0.126392915,3.67661841
0.134578348,3.56351581
0.142763782,3.46029905
0.155041932,3.32110519
0.164287572,3.22677397
0.174593419,3.13060271
0.184899266,3.04260306
0.195205113,2.96168115
0.213333584,2.83386528
0.232796906,2.71365326
0.252260228,2.60767059
0.276765469,2.49052052
0.301270711,2.3880126
0.327891957,2.28998858
0.348460794,2.22210024
0.369029632,2.15999092
0.399882888,2.07600832
0.425780025,2.01271207
0.464625731,1.92792854
0.490522868,1.8771191
0.519774297,1.82438368
0.568682875,1.74552698
0.601288594,1.69842204
0.633894312,1.65502361
0.695472522,1.58160756
0.736524661,1.53790415
0.777576801,1.49773703
0.849789453,1.4343393
0.927319326,1.37477131
1.0048492,1.32230791
1.06992505,1.28279768
1.13500089,1.24677707
1.23261467,1.19826213
1.34708615,1.14832375
1.42901972,1.11638386
1.51095328,1.08712175
1.59288685,1.06018756
1.74762419,1.01468568
1.85078241,0.987640668
1.95394064,0.962814721
2.07046029,0.93708934
2.20034137,0.9109196
2.39516299,0.875841415
2.60680727,0.842417389
2.85209689,0.808590515
3.0973865,0.779015146
3.28209345,0.759058956
3.48798092,0.738794752
3.79681213,0.711698772
4.13231062,0.685963047
4.39153267,0.668254479
4.65075472,0.652146758
4.90997677,0.637424658
5.21693,0.621542857
5.49896725,0.608238807
6.06304175,0.584732869
6.75599776,0.560414582
7.37237591,0.542089478
8.12484929,0.523023337
8.91440589,0.506118885
9.67694768,0.49219862
10.5059989,0.479233265
11.4015596,0.467301695
12.2565561,0.457567858
13.2892153,0.447596157
14.5401018,0.437670386
15.554916,0.431055007
16.5786528,0.425481707
18.48175,0.417573692
20.0746103,0.412994478
20.9362826,0.411177608
22.6270063,0.408795009
25.11416,0.40778129
26.8526236,0.408616349
29.2594162,0.411642863
30.9175187,0.414902929
33.4425226,0.421610714
35.8918262,0.430072811
38.37898,0.440627483
40.8804628,0.453279578
43.3532875,0.467882327
45.8404412,0.48480453
48.327595,0.504147309
51.0442297,0.528311975
53.3019025,0.551066286
55.7890563,0.57927457
58.27621,0.611186562
60.7633637,0.647312489
63.2505175,0.688268927
64.210414,0.70552146
65.7376713,0.734801778
66.5667225,0.751703018
68.224825,0.787815429
69.0538763,0.807110444
70.7119788,0.848409658
71.54103,0.870516196
73.1991325,0.917926244
74.0281837,0.943355073
75.6862862,0.998007541
77.3443888,1.05824192
78.5879656,1.10750263
79.8315425,1.16063547
81.108451,1.21961377
82.7332219,1.30184343
83.9767988,1.37081423
85.2203756,1.44558974
86.0494269,1.4989478
86.8784781,1.55532627
87.7075294,1.61492173
88.5365806,1.67794251
89.3656319,1.74460869
90.1946831,1.81515187
91.43826,1.92876927
92.2673113,2.01008734
93.0963625,2.09617124
93.9254137,2.18729005
94.754465,2.28371397
95.5835163,2.38570953
96.4125675,2.49353323
97.2416188,2.60742344
98.4851956,2.79008197
99.7287725,2.9873716
101.03321,3.21023133
102.050116,3.39504728
103.376598,3.6497418
104.70308,3.91768567
108.682526,4.75304719
110.009008,5.01571637
111.00387,5.19624141
111.998731,5.35658031
112.661972,5.44951871
113.325213,5.52944818
113.988454,5.59491681
114.983316,5.66328134
115.646557,5.68754612
116.309798,5.6940085
116.973039,5.68239076
117.63628,5.65276052
118.13371,5.61895255
118.631141,5.57553376
119.294382,5.5033835
120.289243,5.36706516
120.952484,5.2595522
121.615725,5.14060652
122.610587,4.94448878
123.937069,4.65896716
127.916515,3.7513222
129.242997,3.46140066
130.569479,3.1869129
131.895961,2.93042594
133.222443,2.69311696
134.217305,2.52785085
135.377976,2.34854364
136.207028,2.22907561
137.036079,2.11648401
137.86513,2.01047088
138.694181,1.91071933
139.523233,1.81690312
140.352284,1.72869418
141.181335,1.64576809
142.010386,1.56780829
142.839438,1.49450898
143.668489,1.42557714
144.49754,1.36073378
145.741117,1.27056065
146.570168,1.21481513
147.399219,1.16229857
148.642796,1.08911698
149.471847,1.04377332
150.300899,1.00097426
151.544476,0.941185429
152.788052,0.886235169
154.031629,0.835662104
155.275206,0.789052799
156.104257,0.759997484
157.76236,0.706282523
158.591411,0.68144343
160.337885,0.633073071
161.907616,0.593728415
162.736668,0.574373233
164.39477,0.538342103
165.223821,0.521564786
166.881924,0.490258094
168.540026,0.461678162
169.369078,0.448319037
171.02718,0.423299238
172.685282,0.40034989
173.514334,0.389585538
175.172436,0.36935922
176.830539,0.350728054
178.488641,0.333539645
180.146744,0.317658976
181.804846,0.302966169
183.462949,0.289354566
185.121051,0.276729072
186.779154,0.265004743
188.437256,0.25410555
190.095359,0.243963325
191.753461,0.234516836
193.411564,0.225710991
195.069666,0.217496145
197.55682,0.20618517
199.214923,0.199261082
200.873025,0.192789021
203.377027,0.183802617
205.847332,0.175783015
209.163538,0.166198368
212.479742,0.157818132
215.795948,0.150505242
219.112153,0.144146013
220.770255,0.141293932
224.08646,0.136193995
225.744563,0.133928626
229.060767,0.129929574
230.71887,0.128183175
233.507485,0.125607716
236.2961,0.123467971
239.047288,0.121767948
241.798476,0.120464728
245.324283,0.119363666
248.85009,0.11889761
252.375897,0.119072535
255.901704,0.119906201
259.427511,0.12142918
262.953318,0.12368644
266.479125,0.126739605
268.242029,0.128589213
271.767836,0.132996206
274.412191,0.136980368
276.175094,0.139993405
277.937998,0.143316718
280.582353,0.148937552
283.226708,0.155408151
285.871063,0.162844631
288.515419,0.171387793
290.278322,0.177781305
292.041226,0.184802175
294.685581,0.196663462
295.567033,0.20101237
297.329936,0.210373142
298.211388,0.215411661
299.974291,0.226279748
301.737195,0.23831699
303.500099,0.251681623
304.38155,0.258918801
305.968163,0.272984226
307.731067,0.290364588
309.14139,0.305780201
310.904293,0.327221199
312.314616,0.346360382
313.724939,0.367527421
315.135262,0.391010296
316.545584,0.417150325
317.250746,0.431340968
318.243318,0.452724109
318.94848,0.469005058
319.718811,0.487921418
320.423972,0.506359398
321.481714,0.536229717
322.186876,0.557766665
323.244618,0.592795803
323.949779,0.618156587
325.007521,0.659587671
325.712683,0.689721821
326.770425,0.739195384
327.828167,0.794505608
328.885909,0.856598824
329.23849,0.878995181
329.943651,0.926620235
330.296232,0.951955384
331.001393,1.00596587
331.353974,1.03477213
332.059135,1.09635093
332.411716,1.12928585
333.116877,1.19990063
333.469458,1.23778375
334.174619,1.31927243
334.5272,1.36313498
335.232362,1.45782229
335.937523,1.5629117
336.466394,1.64948336
336.995265,1.74354406
337.347846,1.81083957
337.700426,1.88214145
338.229297,1.99731385
338.581878,2.08010056
338.934459,2.16816036
339.28704,2.26194259
339.63962,2.36194451
339.992201,2.46871742
340.344782,2.58287363
340.697362,2.70509457
341.049943,2.83614003
341.402524,2.97685897
341.755104,3.12820185
342.107685,3.29123508
342.460266,3.46715768
342.812847,3.65732079
342.989137,3.75821186
343.341718,3.97265849
343.694298,4.20554705
343.870589,4.32954893
344.223169,4.59410476
344.57575,4.88287883
344.75204,5.03723781
345.104621,5.3679015
345.457202,5.73083339
345.633492,5.92565014
345.986073,6.34480805
346.162363,6.57040282
346.426799,6.93075685
346.691234,7.31976781
346.95567,7.7402915
347.220105,8.19550283
347.484541,8.68892951
347.748976,9.22448705
348.013412,9.80651389
348.277847,10.4398047
348.542283,11.1296392
348.806718,11.8818013
348.983009,12.4209562
349.159299,12.9925857
349.423735,13.9154868
349.600025,14.5775633
349.776315,15.2796996
349.952606,16.0241686
350.128896,16.8132338
