energy [eV],cross section [b]
1e-05,1009.28091
1.06564603e-05,977.699836
1.16411507e-05,935.435877
1.26258412e-05,898.21803
1.34546775e-05,870.112167
1.42835139e-05,844.489621
1.51123502e-05,821.004998
1.59411866e-05,799.37662
1.69876622e-05,774.363554
1.80341378e-05,751.560537
1.90806134e-05,730.660184
2.07877208e-05,700.016192
2.2769616e-05,668.857453
2.40908795e-05,650.256992
2.5412143e-05,633.126727
2.79144524e-05,604.082996
3.04167619e-05,578.701428
3.31380936e-05,554.430544
3.52443444e-05,537.608448
3.73505952e-05,522.230142
4.05099713e-05,501.452237
4.31692901e-05,485.761348
4.58286089e-05,471.456837
4.84879277e-05,458.34588
5.11472465e-05,446.271222
5.45048602e-05,432.306961
5.78624738e-05,419.576521
6.12200875e-05,407.908295
6.45777012e-05,397.162332
7.09366057e-05,378.942943
7.72955103e-05,363.020855
8.42109973e-05,347.795501
8.95634319e-05,337.242838
9.75920838e-05,323.072806
0.000106323468,309.522838
0.000113081367,300.131379
0.000119839266,291.545957
0.000126597165,283.657497
0.000134242322,275.461652
0.000142774738,267.103615
0.000151307154,259.462917
0.00015983957,252.442488
0.000169492224,245.148496
0.000180265117,237.710157
0.000196424456,227.722007
0.000213998191,218.170918
0.000234400716,208.459373
0.000254803241,199.938949
0.000270190717,194.16185
0.000287363986,188.270419
0.000313123891,180.359439
0.000341138509,172.794618
0.000362821206,167.551444
0.000384503903,162.758266
0.0004061866,158.354188
0.000430716064,153.778492
0.000458092293,149.112234
0.000485468522,144.846455
0.000512844751,140.926962
0.000561097658,134.730345
0.000612944847,128.905477
0.000664792035,123.776042
0.000730253472,118.097152
0.00077389443,114.718434
0.000839355866,110.15336
0.000894456247,106.705923
0.000977106817,102.09229
0.0010322072,99.3293941
0.00109454182,96.458821
0.00116411069,93.5314212
0.00123367955,90.8552505
0.00130324842,88.3963133
0.00138195112,85.8415403
0.00151370594,82.0193904
0.00160154248,79.7376986
0.00168937903,77.6363329
0.00185573056,74.0734947
0.0020220821,70.9598411
0.00220299407,67.9823812
0.00234301594,65.918673
0.00248303782,64.0320568
0.00269307063,61.482966
0.00286986002,59.5579224
0.00313504412,56.981633
0.00331183351,55.4387828
0.00351183395,53.8357801
0.00373504543,52.2010167
0.00395825691,50.7065224
0.0041814684,49.3333169
0.00443398578,47.906565
0.00485672069,45.7719711
0.0052794556,43.8990991
0.00577619282,41.9666846
0.00630993121,40.1501044
0.00684366959,38.5503179
0.00729292933,37.3421368
0.00796681894,35.7251637
0.00864070855,34.3011403
0.00920793676,33.2256822
0.00977516497,32.2451839
0.0103423932,31.3464397
0.0109096214,30.5186799
0.0116257947,29.561312
0.0123419681,28.6884624
0.0130581414,27.8883776
0.0142264293,26.7151735
0.0155827729,25.5220924
0.0169391165,24.4751846
0.0185328963,23.3948703
0.0202453942,22.3791833
0.0219578921,21.4845919
0.0236289461,20.7070105
0.0253,20.0076685
0.0271177644,19.3214498
0.0286336608,18.7997943
0.0304536108,18.2256057
0.0322735607,17.7005913
0.0340935106,17.2180998
0.0361524055,16.7166996
0.0384502453,16.2052535
0.0418970051,15.5182707
0.045645453,14.8610885
0.0499972772,14.192569
0.0543491014,13.6057635
0.0594627388,13.0000204
0.0631257682,12.6119511
0.0686203123,12.0889365
0.0750767098,11.5489735
0.0797015925,11.2030049
0.0843264753,10.8857458
0.088951358,10.5934182
0.0947906615,10.2551552
0.100629965,9.94658813
0.106469269,9.66359274
0.112308572,9.40280517
0.12336749,8.96026236
0.134426408,8.5730751
0.146453291,8.20239078
0.160416105,7.82498087
0.174378919,7.49339331
0.190786008,7.15076406
0.202538827,6.93105736
0.220168054,6.63467585
0.234737519,6.41503066
0.249212556,6.21589715
0.263687593,6.03314538
0.278162631,5.86462403
0.294767843,5.68655028
0.322870923,5.4165487
0.34160631,5.25502993
0.360341696,5.1060336
0.395824199,4.85283376
0.431306702,4.63090077
0.469894918,4.4180397
0.514694563,4.20089272
0.559494207,4.00972837
0.593281862,3.87973656
0.630990741,3.74683513
0.668699621,3.62502348
0.706408501,3.51281798
0.749068257,3.39593754
0.79667889,3.27640896
0.844289522,3.16682725
0.891900155,3.06586595
0.945761686,2.96067861
1.03593033,2.80272893
1.12609897,2.6635489
1.23205218,2.51933404
1.30794918,2.42664855
1.42179468,2.30136999
1.54080454,2.18511588
1.63663089,2.10062042
1.70543678,2.04427879
1.84304856,1.94098534
2.02453179,1.82087749
2.14552061,1.74927121
2.26650943,1.68340079
2.40587788,1.61371206
2.48475192,1.57688202
2.71638452,1.47814865
2.93803809,1.39488395
3.13090863,1.32984863
3.32377917,1.27068586
3.61308497,1.19126983
3.85,1.13329865
4.1458375,1.06838895
4.29375625,1.03864633
4.56262817,0.988622798
4.83731061,0.942270613
4.99103987,0.918185976
5.29849839,0.873559308
5.45222765,0.852853633
5.75968617,0.814304745
5.91341543,0.79633927
6.17710386,0.767359221
6.44914375,0.739677523
6.81743125,0.705394074
7.11772735,0.67985951
7.35003206,0.661445931
7.76963831,0.630846076
8.22481916,0.601090457
8.68,0.574457354
9.28375,0.543297624
9.66239389,0.525883889
10.1338099,0.506230056
10.605226,0.48860157
11.076642,0.472798209
11.6071669,0.456989269
12.1022419,0.443958786
12.544,0.433627103
13.1236,0.421797544
13.43755,0.416165728
13.993,0.407478584
14.74165,0.398268322
15.442,0.39221018
16.1665,0.388595803
16.891,0.387845809
17.6155,0.390274829
18.0985,0.393903023
18.34,0.396395422
18.5815,0.399382945
18.9731746,0.405381686
19.306,0.411730046
19.5475,0.417145073
20.0305,0.430321977
20.272,0.438255332
20.5135,0.447223833
20.87575,0.462900132
21.056875,0.471879541
21.3285625,0.486995059
21.5096875,0.498306066
21.781375,0.517400942
21.9625,0.53174252
22.204,0.553183549
22.4455,0.577690854
22.687,0.605817015
22.868125,0.629693601
22.988875,0.647126175
23.109625,0.665909226
23.29075,0.696917984
23.4115,0.719711448
23.53225,0.74441535
23.653,0.771241757
23.77375,0.800433346
23.8945,0.832268864
24.01525,0.86706976
24.136,0.905208289
