energy [eV],cross section [b]
1e-05,6.0351663
1.05889717e-05,5.86492346
1.14724292e-05,5.63458001
1.27197501e-05,5.35118488
1.34474769e-05,5.20437814
1.41752036e-05,5.0690269
1.57163792e-05,4.81407666
1.70651356e-05,4.61991922
1.88634775e-05,4.39418542
2.05299857e-05,4.21206377
2.21964938e-05,4.05085852
2.39938721e-05,3.89618076
2.53666178e-05,3.78929125
2.67393635e-05,3.69074245
2.87984821e-05,3.55634985
3.04946312e-05,3.45603066
3.30388548e-05,3.32029592
3.66309497e-05,3.15329935
3.87266923e-05,3.06679038
4.08224349e-05,2.9870318
4.52607867e-05,2.836797
4.91450004e-05,2.72238563
5.4323952e-05,2.58936722
5.91232425e-05,2.4820482
6.3922533e-05,2.38705461
6.90987096e-05,2.29590748
7.3052009e-05,2.23292059
7.70053083e-05,2.17484863
8.29352573e-05,2.09565496
8.78199091e-05,2.03653977
9.5146887e-05,1.95655522
0.000105491575,1.85814898
0.000111526996,1.80717175
0.000117562416,1.76017234
0.000130344196,1.67164333
0.000141530142,1.60422403
0.000152716087,1.54435491
0.000165658888,1.48279858
0.000179480116,1.42456211
0.000193301344,1.37268898
0.000204686246,1.33396758
0.000221763599,1.28157642
0.000238840952,1.2349099
0.000252908008,1.20007505
0.000266975064,1.16803101
0.00028104212,1.138424
0.000295109176,1.11095999
0.000312490271,1.07962158
0.000329871366,1.05079387
0.000347252462,1.02415858
0.000364633557,0.999451188
0.000386109441,0.971258282
0.000418323267,0.933112475
0.000450537094,0.899134765
0.000490340133,0.861869319
0.000530143172,0.828883757
0.000573071926,0.797233848
0.000605858716,0.775362294
0.0006550389,0.745687569
0.000708081183,0.717214436
0.000748592169,0.697538182
0.000789103155,0.679397291
0.000849869634,0.65465827
0.000899924549,0.636191494
0.000949979465,0.619204199
0.0010500893,0.588949522
0.00114286023,0.56454011
0.0012665548,0.536265184
0.00137389625,0.514890438
0.00148852296,0.494668483
0.00160314967,0.476656138
0.00169757065,0.463210583
0.00183920212,0.445018369
0.00198083358,0.428813982
0.00209749907,0.416718002
0.00221416456,0.405591105
0.0023891628,0.390454853
0.00251957083,0.380216234
0.00266372138,0.369785445
0.0029520225,0.351265033
0.00320220858,0.33726433
0.00338031938,0.328259033
0.00355843018,0.319938617
0.00384657682,0.307722479
0.00417668435,0.295312084
0.00450679188,0.284291524
0.0048887458,0.272960403
0.00516066389,0.265672193
0.00556854101,0.255757831
0.00587248951,0.249051463
0.00620846841,0.242219226
0.00671243677,0.232949451
0.00704841567,0.227329957
0.0074635474,0.220917721
0.00787867913,0.215019215
0.00829381086,0.209569315
0.00870894259,0.204513895
0.00922187466,0.198745309
0.00973480672,0.193438889
0.0102477388,0.188536045
0.0110775574,0.181337643
0.012028217,0.174024792
0.0129788765,0.167530923
0.0140788459,0.160854074
0.0152534701,0.154537352
0.0164280943,0.148910869
0.0173956625,0.144710924
0.0183632308,0.140847477
0.0198145832,0.135591937
0.0208961255,0.132036948
0.0220916418,0.128415251
0.0232871582,0.125076175
0.0250804328,0.120522654
0.027433412,0.115239322
0.0302779614,0.109693936
0.0328142689,0.105370568
0.0355520242,0.101233359
0.0382897795,0.0975482562
0.0416725189,0.0935066296
0.0450552583,0.0899292298
0.0487036428,0.0864967377
0.0514900925,0.0841247593
0.0542765422,0.0819378953
0.0584562167,0.0789556782
0.0618991224,0.0767295983
0.0653420281,0.0746818926
0.0722278395,0.0710349712
0.0764818547,0.0690324497
0.08073587,0.0671903952
0.0892439006,0.0639097515
0.0971282202,0.0612630279
0.10501254,0.0589203563
0.113516012,0.0566726235
0.123257788,0.0543892348
0.132999564,0.0523616448
0.144271375,0.0502770082
0.152295927,0.0489362183
0.164332755,0.0471123795
0.173302554,0.0458787352
0.1832176,0.0446219871
0.193132646,0.0434633543
0.214130673,0.0412810754
0.226381592,0.0401506753
0.23863251,0.039108537
0.264577435,0.0371457057
0.287283079,0.0356510695
0.317557271,0.0339135555
0.345612108,0.0325119106
0.373666944,0.0312713942
0.403924915,0.0300812597
0.427034407,0.0292589177
0.461698645,0.0281433263
0.499085051,0.0270730756
0.527638878,0.0263335899
0.584746531,0.0250208362
0.616663837,0.0243680806
0.651944622,0.023703171
0.722506193,0.0225228591
0.761942855,0.0219359869
0.805535393,0.0213382085
0.870924201,0.0205273529
0.91451674,0.020035917
0.968379187,0.0194752738
1.04917286,0.0187169326
1.12996653,0.018041696
1.22979427,0.0173014192
1.2963461,0.0168563184
1.39617385,0.0162495519
1.47840453,0.0157968085
1.60175057,0.0151845151
1.77589825,0.0144317035
1.87750156,0.0140419721
1.97910486,0.0136828181
2.19427977,0.0130067913
2.38258961,0.0124924414
2.6336694,0.0118950445
2.86634291,0.0114136089
3.17657425,0.0108566367
3.44579125,0.0104361651
3.73328001,0.0100388966
4.02076876,0.00968552481
4.25758066,0.00942208097
4.49439255,0.00918002255
4.8496104,0.00885121827
5.1143174,0.00862914768
5.4069195,0.00840322308
5.9921237,0.00800295817
6.31919267,0.00780435903
6.68072851,0.00760239155
7.40380019,0.00724479169
8.0312777,0.00697543424
8.92469688,0.00664347289
9.64738113,0.00641046579
10.1993304,0.00625003127
11.0272544,0.00603322046
11.9201949,0.0058262445
12.9431684,0.00561719492
13.6251507,0.00549178068
14.7284578,0.00530868748
15.5711075,0.00518297175
16.8350819,0.0050136096
18.7188999,0.00479618906
20.8012366,0.00459410649
23.1288607,0.00440468312
25.7017724,0.00422968331
27.7829933,0.00410889514
30.1672887,0.00398883491
33.3463491,0.00385328824
35.3103547,0.00378105603
37.2743603,0.00371622018
41.2023714,0.0036052349
43.6290744,0.00354717418
48.4824805,0.0034505992
53.9075904,0.00336768771
56.9059971,0.00333115325
62.9028107,0.00327452408
70.3124057,0.00322980513
77.7220007,0.00320807121
82.2996065,0.00320456305
89.1660152,0.00321203918
96.032424,0.00323367498
101.688462,0.0032615654
110.172519,0.00331997512
118.656576,0.00339829437
125.058288,0.00347097351
131.46,0.00355595715
138.242,0.00366034051
145.817361,0.00379601728
152.599361,0.00393651812
158.588,0.0040774342
165.37,0.00425876814
168.761,0.00435918879
174.401637,0.00454258981
181.150547,0.00479293895
187.4115,0.00506130642
192.498,0.00531042318
197.5845,0.00559347254
200.6364,0.00578267337
203.3492,0.00596508017
206.285806,0.00617979622
208.998606,0.00639644577
211.4876,0.00661304734
214.308912,0.0068825495
216.289256,0.00708932201
219.158042,0.00741920286
221.870842,0.00777046616
224.493838,0.0081545922
226.299488,0.0084497132
228.57824,0.00886538852
230.775608,0.00932160099
231.8336,0.00956442109
233.488408,0.00997993317
235.373804,0.010516221
236.655602,0.0109268142
237.408404,0.0111882489
238.6156,0.0116434441
239.2938,0.0119209907
240.636636,0.0125242222
241.660718,0.0130397501
242.6848,0.0136120919
243.512204,0.0141226962
244.454902,0.0147655293
245.56715,0.0156225965
246.0758,0.0160559032
246.645488,0.0165764179
247.50002,0.0174361527
248.354552,0.0184061333
248.910676,0.0191065236
249.4668,0.0198695906
250.00936,0.0206823073
250.389152,0.0212960862
250.741816,0.0219025744
251.36576,0.023071823
251.921884,0.0242317526
252.206728,0.0248745456
252.72216,0.0261321929
253.26472,0.027604801
253.536,0.0284058895
254.07856,0.0301559008
254.62112,0.0321321038
254.8924,0.0332177807
255.16368,0.0343764871
255.5706,0.0362667187
