energy [eV],cross section [b]
1e-05,8572.36262
1.08640958e-05,8224.39151
1.17281916e-05,7915.62257
1.26586573e-05,7619.1552
1.37218628e-05,7318.02936
1.47850684e-05,7049.99906
1.60116004e-05,6774.59607
1.68837305e-05,6597.30567
1.81919258e-05,6355.67275
1.97010821e-05,6107.39327
2.07741733e-05,5947.5636
2.29203558e-05,5662.26746
2.42407146e-05,5505.90103
2.55610735e-05,5361.81246
2.82017912e-05,5104.6142
3.06386961e-05,4897.40737
3.30756011e-05,4713.54434
3.5699681e-05,4537.00657
3.86981111e-05,4357.69484
4.16965411e-05,4198.09058
4.51555811e-05,4034.09613
4.76151444e-05,3928.52488
5.13044893e-05,3784.63957
5.55605804e-05,3636.79647
5.85868899e-05,3541.62264
6.46395089e-05,3371.73729
6.83631574e-05,3278.62578
7.20868059e-05,3192.82537
7.95341029e-05,3039.67161
8.64066113e-05,2916.28628
9.55699557e-05,2772.95819
0.000103498198,2664.63632
0.000111954308,2562.0304
0.000120410418,2470.43252
0.000130815032,2370.15434
0.000137751441,2309.7111
0.000148156054,2227.13458
0.000156690789,2165.63258
0.000169492891,2082.24242
0.000187545671,1979.49428
0.000198047027,1926.3005
0.000208548383,1877.17697
0.000230760985,1784.54847
0.000250142689,1714.02214
0.000275984962,1631.8066
0.000299832707,1565.57136
0.000323680451,1506.79827
0.000349359905,1450.36688
0.000368921821,1411.39324
0.000388483737,1375.4018
0.000417826611,1326.23097
0.000441896092,1289.6092
0.000478000314,1239.95407
0.000514104535,1195.62629
0.00054372024,1162.61158
0.000573335944,1132.18925
0.000602951648,1104.0369
0.000632567352,1077.88559
0.000669007272,1048.12272
0.00072366715,1007.76758
0.000800745333,958.044731
0.000868000243,920.186489
0.000935255154,886.489313
0.00101284156,851.865474
0.00106800967,829.576555
0.00115076183,799.198708
0.00124622613,767.985533
0.00131410638,747.892243
0.00141592675,720.506892
0.00149162767,701.990889
0.00157514926,683.131517
0.00165867086,665.715341
0.00183533679,632.875359
0.00193810389,615.873984
0.00204087099,600.173656
0.00225824527,570.569176
0.00244791617,548.029077
0.00263758706,527.966664
0.00285639464,507.352835
0.00308977055,487.827211
0.00332314647,470.396808
0.00351458093,457.415142
0.00380173261,439.813818
0.0040888843,424.10133
0.00432443015,412.399187
0.004559976,401.616176
0.00479552184,391.637978
0.00503106769,382.369242
0.00532088932,371.820754
0.00561071095,362.100854
0.00590053257,353.106486
0.0061903542,344.75169
0.00654695813,335.243411
0.00708186404,322.351871
0.00783615723,306.468944
0.00849431911,294.376906
0.009152481,283.614761
0.00991174776,272.557603
0.0104516272,265.440187
0.0112614464,255.740593
0.0121956676,245.775397
0.0128599491,239.361046
0.0141885121,227.913067
0.0156054769,217.354722
0.0162229538,213.193262
0.0174579077,205.543936
0.0184635947,199.891363
0.0194692816,194.683506
0.0214806556,185.389871
0.0233903278,177.702704
0.0253,170.905648
0.0271916257,164.893911
0.0294754609,158.424378
0.0317592961,152.668673
0.0334572709,148.778762
0.0353306636,144.818298
0.0381407528,139.437033
0.0423192159,132.455523
0.0469293565,125.869824
0.0520706442,119.591904
0.057743079,113.672791
0.0623241736,109.501776
0.0675588051,105.272463
0.0745383137,100.353329
0.080979138,96.4009852
0.0874199623,92.9036094
0.0965926089,88.5559651
0.101471373,86.4948801
