energy [eV],cross section [b]
1e-05,809400.018
1.09663777e-05,772914.36
1.19327554e-05,740955.933
1.29821452e-05,710377.632
1.41975591e-05,679290.271
1.5412973e-05,651956.716
1.63276533e-05,633431.843
1.7346738e-05,614543.535
1.8875365e-05,589133.298
2.05353014e-05,564820.401
2.18170049e-05,547977.968
2.30987084e-05,532557.574
2.43804118e-05,518369.749
2.58272633e-05,503640.562
2.74392627e-05,488622.404
2.98572618e-05,468418.636
3.24829677e-05,449087.363
3.55240869e-05,429434.261
3.85652061e-05,412154.268
4.21287911e-05,394337.003
4.46786697e-05,382918.625
4.85034875e-05,367510.287
5.29854109e-05,351622.869
5.6192395e-05,341441.251
6.10028711e-05,327701.836
6.46230763e-05,318390.165
6.86565025e-05,308895.804
7.26899287e-05,300203.064
7.6723355e-05,292205.141
8.12764896e-05,283902.037
8.88857542e-05,271477.471
9.64950188e-05,260553.16
0.000105411559,249289.176
0.000114981736,238688.659
0.000124551914,229334.666
0.000132576193,222285.459
0.000144612612,212833.083
0.000156649032,204492.215
0.000166741174,198206.501
0.000176833316,192466.865
0.000186925458,187198.557
0.0001970176,182340.411
0.000209710494,176735.485
0.000222403389,171617.491
0.000235096283,166919.775
0.000255771108,160030.36
0.000279716902,153026.221
0.000295680764,148837.286
0.000311644627,144974.474
0.000341761268,138438.331
0.00037187791,132713.174
0.000404581579,127235.222
0.000429833393,123440.423
0.000455085208,119966.007
0.00049296293,115263.843
0.000524722156,111720.254
0.000556481381,108484.503
0.000588240607,105514.453
0.000619999832,102775.621
0.000679915233,98141.3087
0.000719858834,95378.6443
0.000759802435,92836.782
0.000830011331,88822.0363
0.000905366974,85043.7147
0.000980722617,81709.6428
0.00104390585,79197.0405
0.00113868069,75827.8093
0.00123345554,72854.7153
0.00131292114,70614.1425
0.00139238673,68568.192
0.00151158513,65807.2628
0.00160128989,63936.0469
0.00170123383,62028.0821
0.00180117776,60281.174
0.0019011217,58673.8647
0.00201394345,57005.1887
0.00213964301,55303.7329
0.00232819235,53014.7081
0.00253293813,50824.4449
0.00277007677,48597.6159
0.00300721541,46639.5798
0.00328509459,44620.5567
0.00348392755,43326.5806
0.00378217699,41580.3572
0.00413166583,39779.7194
0.00438173818,38625.69
0.00463181054,37566.3744
0.0048818829,36589.4821
0.00519639908,35462.3618
0.00551091527,34433.0962
0.00582543145,33488.2922
0.00613994764,32616.9902
0.00673329848,31142.5576
0.00732664933,29850.9179
0.00797096916,28614.9003
0.00871722695,27358.1266
0.00946348474,26252.9396
0.01033795,25113.2023
0.0109636626,24382.678
0.0119022316,23396.7292
0.0126085675,22728.4066
0.0133955267,22046.8699
0.0145759656,21129.8259
0.0153629248,20577.9914
0.016352684,19941.2197
0.0173424432,19359.6551
0.0183322024,18825.744
0.019944372,18042.5426
0.0218116033,17246.0322
0.0236788346,16545.4464
0.0253,16001.0134
0.0279318467,15219.9706
0.0299057317,14702.9343
0.0325327648,14088.9569
0.0345018363,13675.3209
0.0374554435,13116.8964
0.0409164818,12540.7751
0.0433929843,12171.3643
0.0458694869,11832.141
0.0483459895,11519.1927
0.0530180381,10989.3425
0.0561327372,10673.2745
0.0592474363,10382.3189
0.0647221451,9922.45398
0.070598184,9489.28351
0.0764742229,9106.70066
0.0838645212,8683.43012
0.0887913868,8430.87849
0.0961816852,8088.79003
0.102378208,7830.75125
0.111672991,7484.39602
0.117869514,7276.41536
0.124596803,7068.26365
0.131854859,6861.63697
0.139112916,6671.24803
0.146370972,6495.06827
0.157042121,6258.36211
0.171744713,5968.77685
0.186447305,5713.85466
0.203675809,5450.71233
0.222167269,5202.81123
0.24065873,4983.8753
0.256163212,4818.78924
0.279419935,4597.33485
0.302676658,4401.89113
0.322176656,4254.63031
0.341676654,4120.22191
0.361176652,3996.93689
0.38067665,3883.35885
0.410338325,3726.62425
0.449694324,3543.64279
0.469082973,3462.34272
0.498082973,3350.06135
0.536694324,3215.60314
0.590618914,3051.70818
0.618138733,2977.1029
0.650099095,2897.0473
0.698039638,2788.6031
0.757335244,2670.96339
0.817,2568.03007
0.875,2480.48163
0.928250541,2409.44406
0.986250541,2340.9497
1.049,2276.02467
1.107,2223.54245
