energy [eV],cross section [b]
1e-05,1366.09368
1.06536521e-05,1323.52219
1.13073041e-05,1284.69769
1.19609562e-05,1249.10092
1.26146082e-05,1216.30808
1.3851443e-05,1160.73469
1.46759994e-05,1127.65599
1.55005559e-05,1097.25314
1.69529798e-05,1049.19798
1.85131983e-05,1004.01393
2.00734169e-05,964.205958
2.20415714e-05,920.151169
2.33536744e-05,893.928628
2.5321829e-05,858.485408
2.69769956e-05,831.732477
2.94597454e-05,795.913647
3.1114912e-05,774.45494
3.29864592e-05,752.16408
3.5074387e-05,729.432974
3.71623147e-05,708.645533
3.92502425e-05,689.53967
4.1611126e-05,669.692894
4.55618846e-05,639.999416
4.95126433e-05,613.934946
5.41520477e-05,587.04712
5.9135775e-05,561.765739
6.41195023e-05,539.492381
6.83106868e-05,522.680206
7.45974635e-05,500.170806
8.08842402e-05,480.339613
8.61712553e-05,465.370811
9.14582703e-05,451.719511
9.67452854e-05,439.203131
0.0001020323,427.672657
0.000108701663,414.345112
0.000115371025,402.19061
0.000122040387,391.04659
0.000132916319,374.706408
0.000145536028,358.092309
0.000158155737,343.508713
0.000172975153,328.464432
0.000183587999,318.82917
0.000199507267,305.844593
0.000218201379,292.449843
0.000231589068,283.87104
0.000244976757,276.005448
0.000258364446,268.759423
0.000275252491,260.384074
0.000292140537,252.745894
0.000309028582,245.742725
0.000325916627,239.29119
0.000357872039,228.357897
0.000379175646,221.850119
0.000400479254,215.868781
0.000438004724,206.414592
0.000478315223,197.525254
0.000518625723,189.693584
0.0005525258,183.782153
0.000603375916,175.867484
0.000654226032,168.894516
0.000696989652,163.631242
0.000739753271,158.831223
0.00078251689,154.430259
0.00082528051,150.375956
0.000879225141,145.689772
0.000960142087,139.415556
0.00101408672,135.656734
0.00107508355,131.752148
0.00117715711,125.910353
0.00127923067,120.782515
0.00139909638,115.492691
0.00152785818,110.518912
0.00165661997,106.136919
0.00176490528,102.829343
0.00192733323,98.4009084
0.00203561854,95.7478762
0.00215806003,92.9919601
0.0022946577,90.1816133
0.00243125537,87.6115692
0.00256785304,85.249425
0.00272230818,82.7956773
0.0029807771,79.1245341
0.00315308971,76.9320831
0.00332540232,74.9123287
0.00365145074,71.4894869
0.00397749915,68.4966549
0.00433196386,65.6343916
0.00474326116,62.7241432
0.00515455846,60.1695692
0.0054646027,58.4376676
0.00581049299,56.6715588
0.00632932842,54.2990277
0.0066752187,52.8734439
0.00711154575,51.2256748
0.0075478728,49.7229344
0.00798419984,48.3451244
0.00842052689,47.0758416
0.00897093637,45.6087334
0.00979655058,43.6444544
0.0106221648,41.9138838
0.0116636448,39.9986854
0.0127051248,38.3240883
0.0138373735,36.722545
0.014713231,35.6126479
0.0160270172,34.121646
0.0174553046,32.6956873
0.0185601645,31.7074724
0.0196650244,30.8037533
0.0207698842,29.9731364
0.0223167356,28.9155582
0.0233111571,28.2919911
0.0243055785,27.7070928
0.026098632,26.7382137
0.0286554092,25.5172656
0.0312926271,24.4181349
0.0339298449,23.4497721
0.0372565918,22.3780909
0.0405833388,21.4410348
0.0442000238,20.5448503
0.0469977311,19.9237742
0.0497954384,19.355799
0.0539919993,18.5880965
0.0575211975,18.0086186
0.0628149948,17.2327584
0.0663441929,16.7679413
0.0703347646,16.2850926
0.0770126825,15.5626723
0.0814646277,15.1312262
0.0859165729,14.7337588
0.0943405047,14.0601638
0.102764436,13.4711758
0.111922544,12.9078675
0.122549004,12.3350969
0.133175464,11.8323096
0.141185905,11.4914289
0.15012248,11.1438058
0.163527343,10.6768036
0.172463918,10.3961855
0.183737058,10.0718207
0.195010198,9.775994
0.206283337,9.50475085
0.217556477,9.25486374
0.231777101,8.9660182
0.253108037,8.57926687
0.274438972,8.23850715
0.301347113,7.86136348
0.328255253,7.53157034
0.357508534,7.21613542
0.380137577,6.99751497
0.414081142,6.70380003
0.45098301,6.42286563
0.479528661,6.2281522
0.508074313,6.05007087
0.55089279,5.80934158
0.58690201,5.62761216
0.622911231,5.46185774
0.658920452,5.30986505
0.694929673,5.16982768
0.763066005,4.9324678
0.831202337,4.72487984
0.905276996,4.52630111
0.991228309,4.32433936
1.07717962,4.14700933
1.17811287,3.96402047
1.25039568,3.84678925
1.3588199,3.68875994
1.44055227,3.58158822
1.5317342,3.47226848
1.6685071,3.32535703
1.75968903,3.23704884
1.87471147,3.13494278
1.98973391,3.0417884
2.10475634,2.9563462
2.29232693,2.83100286
2.50997137,2.70347405
2.72761582,2.59145182
2.98319726,2.47580242
3.25774721,2.36696964
3.53229715,2.27100137
3.80742929,2.18536552
4.03831862,2.12030909
4.31667586,2.04886998
4.6014834,1.98253365
4.89274124,1.92072191
5.18399909,1.86414426
5.47525694,1.81209655
5.80459104,1.75797894
6.1720014,1.70273385
6.72311695,1.62841694
7.3222642,1.55721975
8.01747487,1.48469041
8.71268554,1.42089557
9.52907645,1.35494229
10.1137305,1.31261704
10.9907115,1.25546293
12.0205566,1.19634859
12.7580748,1.15839686
13.4955929,1.1235318
14.233111,1.09135075
15.1634613,1.0540741
16.0938115,1.01999791
17.0241618,0.988682053
17.954512,0.959767095
19.659256,0.912064576
21.364,0.870025832
23.389139,0.826005553
25.6098153,0.783678004
27.8304917,0.746352969
30.4382479,0.707666351
32.3057788,0.682784275
34.1733096,0.659894266
36.0408404,0.638739294
37.6006303,0.622245085
40.7202101,0.592036435
44.6680812,0.558265827
47.4917412,0.536639089
49.5193741,0.522218733
53.57464,0.495778658
57.3511915,0.473625985
62.9743501,0.444275767
68.5975088,0.418487247
73.8169961,0.397151807
78.2291406,0.380758105
84.112,0.360886425
87.6869998,0.349776745
94.5369898,0.330243605
99.9759122,0.316163939
104.303777,0.305747814
110.795573,0.291276327
115.123437,0.282315366
120.533719,0.271801761
125.944,0.261978879
134.41498,0.247824983
145.223706,0.231637023
155.406386,0.218010005
165.589067,0.205716015
175.081644,0.195288761
183.194016,0.187070164
193.921,0.177065592
203.75152,0.168660464
215.98738,0.159091181
225.579037,0.152201764
236.32819,0.145047165
246.211,0.138943523
254.00221,0.134422252
264.46021,0.128720562
272.356,0.124672299
285.12449,0.118550294
291.513599,0.115668722
307.28572,0.109025437
320.35822,0.103980758
337.1956,0.0980330919
349.7452,0.0939666448
366.478,0.0889946563
379.0276,0.0855921149
391.5772,0.082480943
402.0352,0.0801474803
410.4016,0.078506714
418.768,0.0771746087
425.0428,0.076519225
429.226,0.0763670625
433.4092,0.076605269
436.5466,0.0772076408
438.6382,0.0779301163
439.684,0.0784270387
441.2527,0.0793984846
442.2985,0.080237994
443.8672,0.0818843034
444.913,0.0833227836
445.4359,0.0841731867
446.4817,0.0862028285
447.0046,0.0874165313
447.78895,0.0895481016
448.31185,0.0912185426
449.0962,0.0941913887
449.6191,0.0965556005
450.142,0.099298655
450.6649,0.102502051
451.1878,0.106270422
451.7107,0.110739874
451.97215,0.11329151
452.2336,0.116090055
452.625775,0.120822651
453.01795,0.126317012
453.2794,0.130484877
453.48856,0.134157522
453.8023,0.140318093
454.01146,0.144924453
454.22062,0.149991815
454.42978,0.15558304
454.63894,0.161772047
454.8481,0.16864623
455.05726,0.176309497
455.26642,0.184886159
455.47558,0.194525906
455.68474,0.205410262
455.8939,0.217761037
456.05077,0.228148507
456.15535,0.235684001
456.25993,0.243762266
456.36451,0.252436258
456.46909,0.261765519
456.57367,0.27181717
456.67825,0.282667096
456.78283,0.294401344
456.88741,0.307117792
456.99199,0.320928133
457.09657,0.335960272
457.20115,0.352361201
457.30573,0.370300494
457.41031,0.389974551
457.51489,0.411611806
457.61947,0.435479129
457.72405,0.46188975
457.82863,0.491213138
457.93321,0.523887373
457.9855,0.541640481
458.063935,0.570247573
458.116225,0.590759281
458.19466,0.623922785
458.24695,0.647783991
458.325385,0.686504594
458.377675,0.714469598
458.45611,0.760031683
458.5084,0.793073999
458.586835,0.847144908
458.639125,0.88653581
458.71756,0.951306455
458.76985,0.998726948
458.848285,1.07711355
458.87443,1.1053823
458.92672,1.16547724
458.952865,1.19743261
459.005155,1.26551443
459.0313,1.30179737
459.08359,1.37927882
459.109735,1.42066785
459.162025,1.50926917
459.18817,1.5567145
459.24046,1.65854024
459.29275,1.77058445
459.34504,1.89416541
459.371185,1.96074774
459.423475,2.10454962
459.475765,2.26412506
459.50191,2.3504912
459.528055,2.44163589
459.567273,2.58802231
459.593417,2.69257077
459.619563,2.80312676
459.645708,2.92009806
459.671852,3.0439198
459.697998,3.17505532
459.724142,3.31399672
459.750288,3.46126508
459.776433,3.61741001
459.802577,3.78300844
459.828723,3.9586625
459.854868,4.14499593
459.881012,4.34264899
459.907158,4.55227112
459.946375,4.89056204
459.97252,5.13291008
460.011737,5.52310906
460.050955,5.94675669
460.098016,6.50072074
460.139848,7.03488227
460.18168,7.60638907
460.244428,8.522828
460.359466,10.275017
460.401298,10.8751315
460.432672,11.2874309
460.453588,11.5374907
460.474504,11.7634266
460.49542,11.9617044
460.516336,12.129043
460.537252,12.2625399
460.558168,12.3597909
460.579084,12.4189948
460.601046,12.4389988
460.620916,12.4195312
460.641832,12.3608587
460.673206,12.2020297
460.694122,12.0517757
460.715038,11.8690557
460.735954,11.6569736
460.75687,11.41895
460.788244,11.0211988
460.830076,10.4340873
460.955572,8.52909089
461.01832,7.61295697
461.060152,7.04155603
461.081068,6.7696633
461.1229,6.25504813
461.149045,5.95346299
461.17519,5.6672193
461.214407,5.26596501
461.240553,5.01655915
461.266698,4.78100131
461.305915,4.45230285
461.345132,4.15125322
461.38435,3.87566658
461.423567,3.62340024
461.449713,3.46716234
461.48893,3.24927438
461.515075,3.11420449
461.54122,2.98669076
461.567365,2.86625581
461.606583,2.69790177
461.632727,2.59326034
461.658873,2.49424579
461.685018,2.40050169
461.724235,2.26904587
461.75038,2.1870706
461.80267,2.03546165
461.85496,1.89866045
461.90725,1.7749191
461.95954,1.66272025
462.01183,1.56074554
462.06412,1.46784804
462.11641,1.38302832
462.1687,1.30541392
462.194845,1.26906637
462.247135,1.20085891
462.299425,1.13812129
462.351715,1.08030217
462.37786,1.05308288
462.456295,0.977532192
