energy [eV],cross section [b]
1e-05,28.6775612
1.06462239e-05,27.7935754
1.16155597e-05,26.6086073
1.25848955e-05,25.5633289
1.33981615e-05,24.7753393
1.42114274e-05,24.0559972
1.54313264e-05,23.0855691
1.63497028e-05,22.4278315
1.73731895e-05,21.7571716
1.83966762e-05,21.1432883
1.9420163e-05,20.5785978
2.12199537e-05,19.6865674
2.25080011e-05,19.1149757
2.37960484e-05,18.5904453
2.58945929e-05,17.8212298
2.83260841e-05,17.0391899
3.07575753e-05,16.3518226
3.36080765e-05,15.6430122
3.56480807e-05,15.1888236
3.8708087e-05,14.5761007
4.10117511e-05,14.1608088
4.3579075e-05,13.7373578
4.61463989e-05,13.3497553
4.87137229e-05,12.9932128
5.161286e-05,12.6230194
5.48438104e-05,12.245553
5.80747607e-05,11.9000421
6.1305711e-05,11.5822183
6.49542448e-05,11.2522259
7.10534207e-05,10.7584503
7.71525965e-05,10.3244503
8.43028212e-05,9.8769114
8.94199872e-05,9.59013919
9.70957363e-05,9.20326934
0.000106094219,8.80433078
0.000112534119,8.54870052
0.000118974019,8.31411724
0.000125413919,8.09784279
0.000133518466,7.84822678
0.000141623013,7.62035661
0.00014972756,7.41124784
0.000157832106,7.21845965
0.000173131337,6.89214439
0.000183330825,6.69768105
0.000193530312,6.51880079
0.000211466004,6.23622718
0.000230719927,5.97034812
0.000249973849,5.73581212
0.000274204709,5.47652092
0.000290358616,5.3219997
0.000314589476,5.11293308
0.000334918999,4.95532691
0.000365413283,4.74405851
0.000385742806,4.61735519
0.000408699814,4.48580077
0.000434284305,4.35166177
0.000459868797,4.22887869
0.000485453289,4.11593468
0.000514344443,3.99866638
0.000562641167,3.82319494
0.00061093789,3.6689658
0.000667557413,3.50992535
0.000728338334,3.36028107
0.000789119256,3.22827756
0.000840114026,3.12876589
0.000891108796,3.0379234
0.00096760095,2.9153724
0.00102518653,2.83230966
0.00108936291,2.74761504
0.0011535393,2.67009048
0.00121771568,2.59877825
0.00129018653,2.52473569
0.00137095184,2.44923845
0.00145171715,2.38013265
0.00153248246,2.31656455
0.00167450741,2.21614728
0.00182697086,2.1216627
0.0019794343,2.03831641
0.00217130796,1.94617293
0.00236318161,1.86549283
0.00257158771,1.78830444
0.00273256837,1.73482872
0.00289354902,1.68588013
0.00313502001,1.61965288
0.00333761249,1.56972705
0.00354020496,1.52415063
0.00374279744,1.48232667
0.00394538991,1.44376701
0.00432783068,1.37850052
0.0045827912,1.33960581
0.00483775171,1.30382787
0.00528609711,1.24731017
0.00576739482,1.19413155
0.00624869253,1.14722188
0.00685440067,1.0953609
0.00725820609,1.06445503
0.00786391423,1.02263949
0.00837209914,0.991116588
0.0091343765,0.94886067
0.00964256141,0.923518662
0.0102164266,0.897206381
0.0108559719,0.870377157
0.0114955173,0.845819236
0.0121350627,0.823229232
0.012857266,0.799774323
0.0140645578,0.764678164
0.014869419,0.743694728
0.0156742802,0.724349011
0.0171936443,0.69160425
0.0187130084,0.662933192
0.0203632857,0.635502972
0.0216380216,0.616499452
0.0235501255,0.59094191
0.0250624307,0.57283528
0.0267854571,0.554104608
0.0282709143,0.539350785
0.0304991,0.519275286
0.0322512893,0.504972311
0.0342702108,0.489872035
0.0362891323,0.476050115
0.0383080539,0.463335795
0.0418583063,0.443251231
0.0456694937,0.424353263
0.0494806812,0.407683072
0.0542770207,0.389253341
0.0590733603,0.373116407
0.0642829678,0.35767785
0.0683070633,0.346982092
0.0723311587,0.337191811
0.078367302,0.323945592
0.0834315841,0.313959844
0.0910280072,0.300574111
0.0960922893,0.292546323
0.101811103,0.284211173
0.111371123,0.271739075
0.117744469,0.264282201
0.124117815,0.25740732
0.136148999,0.245770818
0.148180183,0.235581978
0.161248012,0.225834087
0.176389132,0.215923668
0.191530251,0.207212978
0.202928938,0.201309032
0.215632232,0.195289088
0.234687172,0.187192949
0.255383947,0.179447187
0.27137091,0.174080954
0.287357872,0.16916901
0.303344834,0.164650671
0.321398028,0.159959333
0.341517453,0.15517582
0.371696591,0.148742534
0.404476059,0.142587656
0.442456188,0.136330147
0.480436317,0.130830145
0.524961424,0.125158548
0.556826487,0.121524313
0.604624083,0.116621537
0.660658464,0.111565793
0.700760314,0.108326182
0.760913088,0.103955769
0.806197892,0.100993574
0.856665651,0.0979731711
0.907133409,0.0952084579
0.957601168,0.0926652814
1.01459162,0.090024723
1.10986134,0.0860735673
1.20513106,0.0826007061
1.31681826,0.0790194771
1.43671421,0.0756497975
1.55661016,0.0726773235
1.65720202,0.0704364859
1.80808982,0.0674326516
1.95897761,0.0647828919
2.08557142,0.0627853321
2.21216523,0.060961776
2.40205594,0.0585016784
2.54501134,0.0568342491
2.70432833,0.0551340404
2.86364531,0.0535777482
3.0229623,0.0521461496
3.30311955,0.0498846428
3.60386769,0.0477566978
3.90461583,0.0458795606
4.28310422,0.0438042367
4.66159262,0.0419870453
5.07269277,0.0402484452
5.3902419,0.0390439172
5.70779102,0.0379413344
6.1841147,0.0364494977
6.58374696,0.0353248284
7.18319533,0.0338171696
7.58282759,0.0329129503
8.03411022,0.0319740798
8.78850974,0.0305691589
9.29144275,0.0297291372
9.79437576,0.0289546472
10.7437797,0.0276436635
11.6931836,0.0264956908
12.7243911,0.0253973154
13.919206,0.0242805305
15.1140209,0.0232988499
16.0135133,0.0226334305
17.0159546,0.0219548874
18.5196167,0.0210422366
20.152839,0.0201689768
21.414401,0.0195639181
22.675963,0.0190100277
23.937525,0.0185004724
25.3621373,0.0179713523
26.9497998,0.0174317736
29.3312937,0.0167059911
31.9179847,0.0160114852
34.9150698,0.0153052475
37.9121549,0.0146843611
41.4257168,0.0140439445
43.9402504,0.0136334844
47.7120507,0.0130796197
52.1338316,0.0125082966
55.2983458,0.0121420986
60.045117,0.01164793
63.6186281,0.0113128843
67.6011361,0.0109711573
71.5836441,0.0106582647
75.5661521,0.0103703578
80.0633785,0.0100713312
87.5812955,0.0096236875
95.0992126,0.00923001015
103.912665,0.00882380163
113.373885,0.00844132906
122.835105,0.00810370443
130.773003,0.0078490179
142.679849,0.00750736454
154.586696,0.00720572085
164.576457,0.00697814071
174.566218,0.00677023441
189.55086,0.00648950462
200.831746,0.00629904891
213.403756,0.00610468447
225.975766,0.00592661388
238.547776,0.00576266571
260.655524,0.00550336455
284.388139,0.00525899008
308.120754,0.00504306733
337.988002,0.00480391561
367.85525,0.00459409082
400.295955,0.00439292804
425.354367,0.00425329699
450.41278,0.00412527744
488.000399,0.00395171964
519.53615,0.00382059324
551.071901,0.00370065354
582.607651,0.00359037436
614.143402,0.0034885069
673.67452,0.00331562005
713.361933,0.003212288
753.049345,0.00311701951
822.839245,0.00296606693
897.758536,0.00282347085
972.677826,0.00269718562
1066.96297,0.00255697104
1129.81973,0.00247308638
1224.10488,0.00235917129
1303.20946,0.00227295468
1382.31403,0.00219397582
1500.9709,0.00208698965
1585.5416,0.00201790086
1707.60308,0.00192703106
1784.64617,0.00187434773
1938.73233,0.00177818841
2126.6606,0.00167480456
2314.58887,0.00158378446
2518.70963,0.00149625397
2676.38014,0.00143535109
2912.8859,0.00135310441
3070.5564,0.0013034498
3268.98308,0.00124597167
3467.40977,0.00119334932
3665.83645,0.00114493978
3864.26313,0.00110021496
4113.98104,0.0010484961
4488.5579,0.000979032957
4863.13476,0.00091767382
5177.40214,0.000871399395
5334.53583,0.000849814766
5648.8032,0.000809401252
5805.93689,0.000790452054
6120.20426,0.000754807713
6515.70647,0.000713759904
6911.20868,0.000676406205
7306.71089,0.000642258308
7702.21309,0.000610913833
