energy [eV],cross section [b]
1e-05,82.0295124
1.0881404e-05,78.6371301
1.20566093e-05,74.7063501
1.30761241e-05,71.734915
1.41646942e-05,68.9233683
1.52532643e-05,66.4184426
1.65976931e-05,63.6716654
1.7493979e-05,62.0191438
1.88384078e-05,59.7651424
1.99453576e-05,58.0830124
2.16057824e-05,55.8065318
2.39497715e-05,53.0053035
2.53169e-05,51.5542814
2.66840285e-05,50.2162516
2.95789512e-05,47.6956289
3.2111641e-05,45.7760899
3.54885608e-05,43.5437393
3.86165367e-05,41.7429587
4.17445126e-05,40.1485777
4.51175561e-05,38.6186467
4.89807348e-05,37.0644153
5.28439135e-05,35.6838974
5.57220345e-05,34.7501163
5.89028241e-05,33.7988294
6.36740084e-05,32.5078751
6.6854798e-05,31.7251264
7.07832037e-05,30.8321997
7.47116094e-05,30.0106595
7.86400151e-05,29.2514741
8.25684208e-05,28.547135
8.74201632e-05,27.7436547
9.22719056e-05,27.0044099
9.7123648e-05,26.3212738
0.000104971441,25.3182539
0.000113959592,24.2993027
0.000122947744,23.3942376
0.000133344286,22.4637308
0.000140744776,21.8651714
0.000151845513,21.0507684
0.000160115713,20.4999069
0.000169255623,19.9387182
0.000182965489,19.1771508
0.000192105399,18.715387
0.000203393563,18.1886262
0.000214681727,17.7039782
0.000225969892,17.2561148
0.000237258056,16.8406066
0.000251199403,16.3666124
0.000265140749,15.9305123
0.000279082096,15.5275121
0.00030163251,14.9358038
0.000327459713,14.334697
0.000353286916,13.8007746
0.000383161088,13.2518432
0.000404426192,12.8987365
0.000436323849,12.4182976
0.00046008804,12.093329
0.000486351317,11.762268
0.000525746232,11.3129978
0.000568227622,10.8818882
0.000600663848,10.5839897
0.000665536299,10.0549227
0.000701784447,9.79179775
0.000741844518,9.52373979
0.000801934624,9.15996846
0.000841994694,8.93940155
0.000891470527,8.68778795
0.000965684275,8.34727078
0.00103989802,8.04388922
0.00113155505,7.71121552
0.00119265974,7.51107143
0.00128431676,7.23807908
0.00135978356,7.03434835
0.00147298375,6.75863251
0.00158618394,6.51298508
0.00167938853,6.32966144
0.00177259312,6.16099361
0.00186579771,6.00512739
0.0019590023,5.86052125
0.0020741138,5.69556036
0.00224678104,5.47231288
0.002490532,5.1976039
0.00270378314,4.98840286
0.00291703428,4.80258307
0.0031637006,4.61153901
0.00333928321,4.48864718
0.00360265712,4.32143927
0.00390730015,4.14953018
0.00412415188,4.03894709
0.00444942948,3.88848642
0.00469176574,3.78671439
0.00495958654,3.68303393
0.00522740733,3.58742665
0.00579452336,3.40731721
0.00612529303,3.31402062
0.00645606271,3.22798856
0.00715647429,3.06591706
0.0077692455,2.9424926
0.0083820167,2.83286176
0.0090908055,2.72014774
0.00984760309,2.61349718
0.0106044007,2.5184763
0.0112275181,2.44756259
0.0121621942,2.35159134
0.0130968703,2.26608496
0.0138664459,2.20227167
0.0146360215,2.14355917
0.0154055971,2.08930214
0.0161751727,2.03896409
0.0171256301,1.98153961
0.0180760875,1.92870506
0.019026545,1.87987975
0.0199770024,1.83458093
0.0211508564,1.78290489
0.0229116374,1.71296808
0.0246724184,1.6506563
0.0265928625,1.58987803
0.0291785874,1.51772279
0.0313667051,1.46376622
0.0331572156,1.42364621
0.0358429813,1.36919857
0.0387391688,1.31694906
0.0409505228,1.28084268
0.0453732308,1.21671384
0.0478444643,1.18481803
0.0505755773,1.15232265
0.0560378033,1.09460647
0.0590898781,1.06589969
0.0624629148,1.03665293
0.0675224699,0.996960103
0.072978426,0.958867931
0.0792271842,0.920166388
0.0854759425,0.885786314
0.0927038439,0.850435247
0.0978488259,0.827692544
0.105566299,0.796744922
0.114493054,0.764922294
0.120847318,0.744449004
0.133555846,0.707970509
0.141403623,0.687939711
0.1492514,0.669507548
0.164946955,0.636664483
0.179485445,0.610163169
0.198870099,0.579446047
0.215686684,0.55621773
0.233642317,0.534232065
0.251597949,0.514637457
0.273773893,0.493142882
0.288557855,0.480206744
0.310733799,0.462556064
0.3289926,0.449378598
0.356380801,0.431537552
0.374639602,0.420741938
0.395044186,0.40957058
0.417594555,0.39818526
0.440144924,0.38768214
0.462695292,0.37795248
0.487895792,0.36788337
0.529671739,0.352793487
0.585373002,0.335228981
0.636968012,0.321046283
0.688563022,0.308477442
0.744200348,0.296405064
0.807922304,0.284127895
0.87164426,0.27321059
0.919117989,0.265818863
0.971584144,0.25828198
1.05028338,0.248042373
1.10274953,0.241826674
1.16754739,0.234728954
1.23234524,0.228191459
1.2971431,0.222143537
1.36194096,0.216526431
1.44196897,0.210110959
1.52199698,0.204200573
1.60202499,0.198731623
1.73147195,0.19068826
1.87972877,0.182499023
2.0279856,0.175208085
2.19947338,0.167693688
2.38257664,0.160564488
2.56567991,0.154195454
2.71643994,0.149430705
2.86719998,0.145037404
3.09334003,0.139044119
3.26181746,0.134979194
3.4480123,0.130828184
3.63420713,0.126991009
3.82040196,0.123429339
4.14345764,0.11781148
4.37341591,0.114185429
4.60337417,0.110825451
4.97533639,0.105875195
5.40134824,0.100824192
5.82736009,0.0963175979
6.32012546,0.0916631339
6.67088688,0.0886570626
7.19702901,0.0845510283
7.58901209,0.0817628306
8.02221685,0.0789129814
8.45542161,0.0762764115
8.88862636,0.0738274398
9.37274157,0.0712863183
10.1752801,0.0674653032
10.7103057,0.065151333
11.2453314,0.0629985702
12.2364994,0.0593774703
13.2276674,0.0561585231
14.2964904,0.0530590219
15.5206236,0.0499006741
16.7447568,0.0470884898
17.6567528,0.0451834937
18.6646559,0.0432411645
19.6725591,0.0414493236
20.6804623,0.0397901443
21.8068147,0.0380746182
23.6740174,0.0355087455
25.5412201,0.0332358598
26.9323117,0.0317034538
27.7010024,0.0309086721
29.2383837,0.0294187428
30.0070744,0.0287194548
32.3131464,0.0267829907
34.2118754,0.0253486558
36.1106045,0.0240387916
38.0093336,0.0228380201
39.9080627,0.0217334631
42.2530711,0.020486035
43.4255752,0.0199056821
45.7705836,0.0188224015
46.9430878,0.0183162305
49.2880962,0.0173677078
50.736187,0.0168209524
53.6323687,0.0158072263
55.0804595,0.0153366655
57.9766411,0.0144603325
60.8728228,0.0136614636
64.4497261,0.0127681337
68.0266293,0.0119644685
71.6035326,0.011238499
75.1804359,0.0105802612
77.3892471,0.0102039117
81.8068695,0.00951236224
84.0156807,0.00919420798
88.4333031,0.00860674672
90.6421143,0.00833521855
94.2149118,0.0079241626
96.9428843,0.00763178054
101.034843,0.00722465693
103.762816,0.00697235683
109.218761,0.00650864757
114.674706,0.00609313358
119.728443,0.0057456066
123.097601,0.0055316478
126.466759,0.00533054766
131.520496,0.00505083091
138.258813,0.00471426487
141.627971,0.00455987214
147.869544,0.00429553341
152.030592,0.00413348431
158.272165,0.00390934173
162.433214,0.00377134464
166.594263,0.00364164721
170.755311,0.00351960404
174.91636,0.00340463128
180.055426,0.00327161033
185.194492,0.00314767401
190.333558,0.00303202454
195.472623,0.00292394972
200.611689,0.00282281218
208.320288,0.00268287835
216.028887,0.00255558635
225.549323,0.00241368175
235.06976,0.00228654325
244.590196,0.00217223367
254.110632,0.00206912319
260.457589,0.00200591474
270.723923,0.00191200935
278.562676,0.00184654641
286.401429,0.00178592126
294.240183,0.00172968702
302.078936,0.00167744749
309.917689,0.00162885048
321.675818,0.00156210735
329.514571,0.00152131543
344.036344,0.00145266963
353.717526,0.00141137354
363.398708,0.00137326225
377.920481,0.00132144214
397.282845,0.00126105791
412.942356,0.00121849095
430.877341,0.00117565358
442.833999,0.00115019272
466.747313,0.00110574512
478.70397,0.00108640344
502.617285,0.00105275758
524.767729,0.00102692306
546.918173,0.00100563785
576.452098,0.000983694416
591.219061,0.000975365033
605.986024,0.000968824665
628.971362,0.000962547319
645.408113,0.000961619719
653.626488,0.000962631833
665.954051,0.000966705551
678.281615,0.000975316409
682.390802,0.000979686447
689.754991,0.000990300397
696.264991,0.00100392301
699.519992,0.00101287776
702.774993,0.00102377151
706.029993,0.00103716439
709.284993,0.00105384046
712.539994,0.00107492426
715.794995,0.00110207482
718.236245,0.00112789334
719.700995,0.0011463194
721.002995,0.00116497464
723.170826,0.00120192099
724.257996,0.00122384923
725.559996,0.00125381369
727.213536,0.00129900939
728.163996,0.00132942876
729.016807,0.00136005775
729.892402,0.00139533789
731.119537,0.00145260726
732.017917,0.00150153808
732.838177,0.00155249397
733.658437,0.00161060194
734.420107,0.00167218516
735.324997,0.00175688808
736.119218,0.00184380566
736.80765,0.00193075656
737.349608,0.00200826145
737.639303,0.00205344441
738.091748,0.0021299165
738.417248,0.00218987364
738.739493,0.00225377539
739.144741,0.00234128936
739.636246,0.00245960417
739.881998,0.00252442631
740.179831,0.00260866774
740.505331,0.00270861018
740.957776,0.00286306755
741.265373,0.0029798674
741.646208,0.00313975863
742.056339,0.00333381905
742.466469,0.00355462521
742.603179,0.00363502665
742.870089,0.00380303451
743.202099,0.00403480456
743.397399,0.0041844874
743.579679,0.00433417816
743.833569,0.0045605119
744.048399,0.00477013541
744.315309,0.00505686987
744.452019,0.00521633672
744.699399,0.00552937022
744.829599,0.0057080866
745.024899,0.0059963423
745.220199,0.00631148998
745.415499,0.00665698076
745.610799,0.00703683758
745.806099,0.00745577275
745.936299,0.00775947337
746.066499,0.00808487431
746.261799,0.0086183664
746.391999,0.00900787045
746.522199,0.00942773353
746.717499,0.010121654
746.847699,0.0106325715
746.977899,0.0111872896
747.108099,0.0117909604
747.238299,0.0124495165
747.368499,0.013169817
747.498699,0.013959827
747.612624,0.0147155361
747.759099,0.0157877434
747.856749,0.0165735531
747.905574,0.0169900362
748.003224,0.0178744745
748.052049,0.0183443361
748.149699,0.0193446209
748.198524,0.0198773844
748.296174,0.0210146604
748.37755,0.0220424441
748.44265,0.0229225362
748.50775,0.0238588074
748.57285,0.0248561417
748.63795,0.025919966
748.7356,0.0276537796
748.8007,0.0289118306
748.89835,0.0309721785
748.96345,0.0324747569
749.0611,0.0349490537
749.1262,0.0367638559
749.15875,0.0377261841
749.22385,0.0397708392
749.2564,0.0408576504
749.3215,0.0431726658
749.3866,0.0456949315
749.4517,0.0484499396
749.48425,0.0499237732
749.54935,0.0530847489
749.61445,0.0565616729
749.67955,0.0603980893
749.74465,0.0646453089
749.80975,0.0693641336
749.858575,0.0732558302
749.891125,0.0760376077
749.923675,0.0789829488
749.956225,0.0821049293
749.988775,0.0854179581
750.021325,0.0889379437
750.053875,0.0926824851
750.086425,0.0966710922
