energy [eV],cross section [b]
1e-05,2134.34319
1.09092093e-05,2043.46656
1.15153488e-05,1988.95779
1.21214883e-05,1938.59053
1.31776596e-05,1859.2801
1.43073119e-05,1784.36969
1.54369642e-05,1717.84039
1.63726596e-05,1668.03076
1.73083549e-05,1622.31689
1.8711898e-05,1560.28717
2.03423059e-05,1496.45348
2.1504866e-05,1455.44177
2.38299863e-05,1382.61446
2.52744159e-05,1342.52474
2.67188455e-05,1305.73151
2.96077047e-05,1240.39525
3.22996647e-05,1187.58093
3.40943046e-05,1155.90233
3.58889446e-05,1126.63062
3.90160253e-05,1080.53813
4.23606666e-05,1037.00276
4.57053078e-05,998.338179
4.8475687e-05,969.390502
5.12460663e-05,942.823128
5.54016352e-05,906.77351
6.02288986e-05,869.67546
6.36709723e-05,845.840784
7.05551199e-05,803.515889
7.48317444e-05,780.217006
7.9108369e-05,758.833931
8.7661618e-05,720.862506
9.56318935e-05,690.168408
0.000103602169,663.088207
0.000112216591,637.127584
0.000122119306,610.747754
0.000132022021,587.394604
0.000139424154,571.588467
0.000147626611,555.481238
0.000159930297,533.685286
0.000173228349,512.790425
0.00018341954,498.339904
0.00019361073,485.045885
0.000203801921,472.761904
0.000215228568,460.040018
0.000227890671,447.075781
0.000246883827,429.532836
0.00025954593,418.923213
0.000275278035,406.775068
0.000298876191,390.384261
0.000322474347,375.827216
0.000351794013,359.823003
0.000381113679,345.703049
0.00041280292,332.166795
0.000437088512,322.805325
0.000473516902,310.137535
0.000497802494,302.476285
0.00052797627,293.704039
0.000558150046,285.653069
0.000588323821,278.229654
0.000618497597,271.356282
0.00065598718,263.486157
0.000693476762,256.263122
0.000730966345,249.603097
0.000791745502,239.828246
0.000861614226,229.895436
0.000931482951,221.102153
0.00101264506,212.053001
0.00109945386,203.505734
0.00118626266,195.914613
0.00125816673,190.231147
0.0013300708,185.014944
0.00143792689,177.936883
0.00156321655,170.652801
0.00165255418,165.972837
0.00183122942,157.662079
0.0019977265,150.94387
0.00210872455,146.9141
0.0022197226,143.190421
0.00234417671,139.333913
0.00248208688,135.403841
0.00268895213,130.085574
0.00291253595,124.986961
0.00316955689,119.805768
0.00342657782,115.2188
0.00361869719,112.114058
0.00383158862,108.950045
0.00415092578,104.668345
0.00449607131,100.563387
0.00476057951,97.7242962
0.00502508771,95.112285
0.00528959591,92.6985985
0.00558616988,90.1987281
0.00591480963,87.6510766
0.00640776925,84.2033652
0.006736409,82.1180863
0.00714472936,79.7302423
0.0077572099,76.5081337
0.00836969044,73.6461578
0.00913067044,70.4992349
0.00989165044,67.722396
0.0107141318,65.0599304
0.0113444545,63.2183432
0.0122899385,60.7259512
0.0133118352,58.3361238
0.0140949833,56.6830573
0.0148781313,55.1620479
0.0156612794,53.7563774
0.0165393669,52.3003535
0.0175123937,50.8163159
0.018971934,48.8076579
0.0199449609,47.5925629
0.0211539037,46.2009612
0.022967318,44.3227874
0.0250403662,42.4301331
0.0273583617,40.5732843
0.0294167235,39.1112858
0.031722085,37.6452513
0.0335883258,36.5702926
0.036387687,35.1150141
0.0394132886,33.7190988
0.0417320103,32.7531986
0.044050732,31.8641979
0.0463694536,31.042369
0.0489692691,30.1908369
0.0518501783,29.3226233
0.0561715421,28.1469643
0.0590524513,27.4354551
0.0626318536,26.6202683
0.0680009571,25.5194561
0.0733700607,24.5408117
0.0800409345,23.4636731
0.0867118083,22.5121795
0.0939218128,21.5988628
0.0994473234,20.966495
0.107735589,20.1097333
0.116693701,19.2871346
0.123558904,18.7174459
0.130424107,18.1927263
0.137289309,17.7073019
0.144986766,17.2039523
0.153516477,16.6903166
0.166311043,15.9940578
0.174840754,15.5722386
0.185438543,15.0885132
0.201335226,14.434499
0.217231909,13.8522328
0.236124461,13.2366261
0.247383323,12.9030436
0.269901046,12.2981977
0.286260815,11.903207
0.310800467,11.3688183
0.33534012,10.892709
0.35566641,10.5352522
0.375992699,10.2063869
0.396318989,9.9024418
0.416645278,9.62037761
0.441899794,9.29661846
0.479781568,8.85837882
0.517663343,8.46773798
0.564729773,8.03662654
0.611796203,7.65478794
0.662666476,7.2873846
0.701651782,7.0325073
0.760129742,6.68658196
0.815825924,6.39139916
0.872618882,6.11926737
0.912700964,5.94233789
0.972824086,5.69730314
1.02295587,5.50941514
1.08313734,5.30104606
1.17340956,5.01870988
1.23359104,4.84781193
1.28524528,4.71076397
1.38855376,4.45998572
1.46332659,4.29538412
1.53268234,4.15372908
1.62558427,3.9786277
1.76493717,3.74302367
1.8578391,3.60140789
1.97608463,3.43645006
2.12740846,3.24684542
2.20693772,3.15562443
2.28646698,3.06956787
2.43838478,2.91804085
2.51077332,2.85119059
2.6555504,2.72667472
2.86862192,2.56294777
3.10143368,2.40645005
3.2632216,2.30935096
3.36051118,2.25500903
3.55509034,2.15448629
3.81626458,2.03461512
4.0987695,1.92148341
4.3266462,1.84090491
4.53792062,1.77360721
4.81207791,1.69563259
5.0862352,1.62696332
5.22421785,1.59556162
5.50018315,1.53850119
5.80784475,1.4830918
