energy [eV],cross section [b]
1e-05,41.3392307
1.06174487e-05,40.1192037
1.15436219e-05,38.4761266
1.21610706e-05,37.4866375
1.2854768e-05,36.4611424
1.36247139e-05,35.4159339
1.43946598e-05,34.4557487
1.51646058e-05,33.5696515
1.60296321e-05,32.6513106
1.74697923e-05,31.2765273
1.84298991e-05,30.4509551
1.93900059e-05,29.6874864
2.11858561e-05,28.4013767
2.29817064e-05,27.269129
2.49254026e-05,26.1843208
2.64183283e-05,25.4337114
2.79112539e-05,24.744161
3.01506423e-05,23.8075182
3.20122899e-05,23.1048972
3.48047614e-05,22.158639
3.6666409e-05,21.5887862
3.87579511e-05,20.9981973
4.10793875e-05,20.3962553
4.34008239e-05,19.8432788
4.57222604e-05,19.33297
4.83303704e-05,18.8040919
5.26725459e-05,18.0123458
5.55673295e-05,17.5368937
5.84621132e-05,17.0972074
6.3876717e-05,16.356529
6.92913208e-05,15.7044607
7.51516899e-05,15.079713
7.96529566e-05,14.6474325
8.41542232e-05,14.2503162
9.09061231e-05,13.7108979
9.65191103e-05,13.3062542
0.000104938591,12.7612984
0.000110551578,12.4331167
0.000116857712,12.092993
0.000123856992,11.746331
0.000130856272,11.4278685
0.000137855552,11.1339786
0.000145719171,10.8293944
0.000158811109,10.3734231
0.000171903047,9.97058765
0.000187150612,9.55579737
0.00020347599,9.16444117
0.000219801368,8.81753907
0.000233372976,8.55731106
0.000253730388,8.20684779
0.0002740878,7.89619359
0.000291011317,7.66315688
0.000307934834,7.44960528
0.000324858351,7.25296648
0.000341781868,7.07111979
0.000362885146,6.86243316
0.000394540064,6.5813835
0.000415643343,6.41213059
0.00043935266,6.23671884
0.000478825694,5.97412231
0.000518298728,5.74212707
0.000564271115,5.50324699
0.000613493179,5.27786274
0.000662715243,5.07807987
0.000703634513,4.92821311
0.000765013417,4.72637937
0.000826392322,4.54747191
0.000877417812,4.41326481
0.000928443303,4.29027929
0.000979468794,4.17703395
0.00103049428,4.07230748
0.00109412202,3.95212375
0.00115774977,3.84198907
0.00122137751,3.74057681
0.00132467649,3.59177166
0.00144369022,3.44054101
0.00156270396,3.30693382
0.00170131366,3.16936163
0.00184972134,3.03956179
0.00199812902,2.92450593
0.00212150325,2.838197
0.00224487748,2.75910471
0.00242993882,2.65196025
0.00264547106,2.54163613
0.00279931619,2.47080829
0.00295316132,2.40558988
0.00310700646,2.34527753
0.00339476904,2.24367772
0.00358661077,2.18284878
0.00377845249,2.12671342
0.0039939847,2.06853541
0.0042332074,2.00923906
0.00459204145,1.92914035
0.00498041705,1.85239772
0.00542787575,1.77440424
0.00587533445,1.70549968
0.00621047796,1.65884476
0.00658245917,1.611293
0.007140431,1.54705917
0.00774433869,1.4855167
0.00820819164,1.44293379
0.0086720446,1.40381486
0.00913589755,1.36771438
0.00965703159,1.33030031
0.0102354467,1.29216706
0.0111030694,1.24065594
0.0116814845,1.20955164
0.0124027563,1.17385651
0.013484664,1.12578401
0.0145665717,1.08317216
0.0159156884,1.03625044
0.0168150996,1.00815793
0.0181642163,0.96999889
0.0192857636,0.941374028
0.0209680845,0.90282348
0.0226504054,0.868652006
0.0239752027,0.844313876
0.0253,0.821913405
0.0267722956,0.798996566
0.0282445911,0.77789587
0.0299885499,0.754941032
0.032604488,0.724026642
0.0343484467,0.705409557
0.0363077665,0.686115102
0.0395697877,0.657230901
0.0428318089,0.631712856
0.0466309317,0.605437719
0.0493427141,0.588569255
0.0534103877,0.565718103
0.0581478159,0.542189028
0.0615293529,0.527083544
0.0666016585,0.50662068
0.0704007807,0.492765504
0.074617488,0.478644108
0.0788341954,0.465671549
0.0830509027,0.453700065
0.0877883302,0.441293077
0.0956755517,0.422719708
0.100933699,0.411566362
0.106191847,0.401252142
0.11602705,0.383877492
0.125862254,0.368581766
0.136507155,0.353927237
0.148771452,0.339034211
0.161035749,0.325877075
0.1753194,0.312329873
0.185514951,0.303632831
0.200808278,0.291851478
0.212262876,0.283874614
0.224976519,0.275744624
0.237690163,0.268276185
0.250403806,0.261384205
0.264687454,0.254241649
0.288467934,0.243549479
0.304321586,0.237129
0.320175239,0.231191709
0.349829009,0.221190478
0.379482779,0.212386312
0.411577841,0.203951606
0.448555484,0.195380072
0.485533128,0.187808035
0.528599251,0.180011981
0.559339493,0.175007346
0.605449856,0.168228266
0.639986203,0.1636386
0.678318655,0.15896109
0.716651107,0.154664449
0.754983559,0.150699682
0.798049676,0.146591023
0.869749348,0.140441036
0.91754913,0.136748411
0.965348911,0.133333937
1.05475693,0.127582945
1.14416495,0.122521011
1.24093363,0.117672211
1.3524236,0.11274557
1.46391357,0.108394186
1.59376069,0.10391494
1.6864445,0.101040037
1.82547021,0.0971465448
1.92959951,0.094511053
2.04517431,0.0918256112
2.16074912,0.0893593127
2.27632392,0.087083958
2.40617103,0.0847265183
2.62235015,0.0811988645
2.76646956,0.0790814325
2.91058897,0.0771239964
3.1801599,0.0738282953
3.44973083,0.0709288881
3.74149459,0.0681529962
4.07764401,0.0653341997
4.41379343,0.0628461425
4.80529086,0.0602867943
5.08473848,0.0586452416
5.50390992,0.0564236531
5.81786646,0.0549210198
6.16633192,0.0533909825
6.51479738,0.0519868624
6.86326284,0.0506924471
7.25476021,0.0493524499
7.90655413,0.0473496821
8.7756127,0.0450404152
9.58838636,0.0431766219
10.40116,0.0415403987
11.2465046,0.0400349206
12.073927,0.038721316
13.121781,0.0372448351
14.0669843,0.0360618166
15.3308131,0.03466074
16.5946419,0.0334297003
17.5412411,0.0326003503
18.5918868,0.0317590207
19.6425325,0.0309900914
20.6931783,0.0302842703
21.873568,0.0295570563
23.1837017,0.028820921
24.4938354,0.0281497487
26.991402,0.0270214366
29.6898438,0.025984012
32.9938754,0.0249148036
36.0496795,0.0240813749
39.1054835,0.0233673719
42.25,0.0227347807
44.5135216,0.0223336155
49.0405647,0.021645084
52.8780647,0.0211612108
56.0260216,0.020821662
60.7875719,0.0203918455
64.5483219,0.0201141268
68.7850482,0.0198579011
72.4485964,0.0196794244
76.1121446,0.0195369839
81.9067696,0.0193781019
88.3,0.0192877786
92.98175,0.0192731326
98.5710768,0.0193086886
104.35899,0.0194032946
109.239327,0.0195271309
114.119663,0.0196904822
120.26196,0.0199518795
126.675,0.0202916862
133.122,0.0207038579
139.569,0.021189681
146.016,0.0217532712
152.463,0.022400027
159.867558,0.0232543352
165.05,0.0239296749
171.19,0.0248205452
175.488,0.0255079696
181.4745,0.0265618965
186.54,0.0275501728
192.889168,0.028928927
198.9735,0.0304152154
204.96,0.0320579028
211.1,0.0339563485
215.705,0.0355425275
218.775,0.0366866846
221.845,0.0379069304
224.915,0.0392097503
227.985,0.0406023654
231.055,0.0420928341
234.125,0.0436901705
237.195,0.0454044829
240.528838,0.047411888
243.784709,0.0495342427
246.405,0.0513703958
249.475,0.0536819245
252.545,0.0561842311
255.615,0.0588986686
257.15,0.060342947
260.22,0.0634225882
263.29,0.0667826465
266.36,0.0704581265
267.895,0.0724266163
270.58125,0.07610285
274.035,0.0813110934
276.3375,0.0851227408
278.64,0.0892399629
280.9425,0.0936964363
283.245,0.0985306395
285.5475,0.103786701
287.85,0.109515427
290.1525,0.115775551
291.6875,0.120277425
293.2225,0.125068477
295.525,0.132853722
297.06,0.138485484
298.497265,0.144113094
300.8975,0.154361877
302.4325,0.161538707
303.9675,0.169259916
305.5025,0.177582334
307.0375,0.186570431
308.5725,0.196297587
310.1075,0.206847616
311.6425,0.218316594
313.1775,0.230815088
314.7125,0.244470855
316.2475,0.259432165
317.015,0.267455327
318.55,0.284708113
319.3175,0.293992539
320.8525,0.314032666
321.62,0.324858836
323.155,0.348324295
324.30625,0.367692836
325.4575,0.388778218
326.60875,0.411790508
327.76,0.436972979
328.91125,0.464608622
329.67875,0.484556339
330.44625,0.505851961
331.5975,0.540599563
332.365,0.565843607
333.1325,0.592941675
334.28375,0.6374802
335.05125,0.670084468
335.81875,0.70531091
336.394375,0.733624444
336.97,0.763712381
337.545625,0.795726626
338.217188,0.835737089
338.88875,0.87890008
339.512344,0.92210025
340.183906,0.972347787
340.855469,1.02688797
341.527031,1.08622542
342.198594,1.15094119
342.894141,1.22435581
343.589687,1.30513056
344.309219,1.39752328
345.02875,1.50022159
345.4125,1.55974649
345.79625,1.62292831
346.18,1.6900734
346.56375,1.76152088
346.851562,1.81815469
347.235313,1.89806162
347.619063,1.98341005
348.002813,2.07470622
348.386562,2.17251666
348.770313,2.27747697
349.154063,2.39030222
349.537812,2.51179915
349.921563,2.64288066
350.305313,2.78458297
350.689062,2.93808617
351.16875,3.1486331
351.5525,3.33392448
352.032188,3.58963778
352.224063,3.70027719
352.511875,3.87613779
352.70375,4.00047657
352.991562,4.19857315
353.183438,4.33896965
353.47125,4.56321444
353.663125,4.72255658
353.93175,4.96010775
354.162,5.17834858
354.39225,5.41137695
354.6225,5.66055863
354.85275,5.9274205
355.083,6.21367393
355.31325,6.52124205
355.5435,6.85229194
355.8505,7.33449814
356.08075,7.7304359
356.38775,8.3103403
356.54125,8.62511288
356.69475,8.95813715
356.84825,9.31084852
357.00175,9.68482589
357.232,10.2895206
357.3855,10.7246771
357.539,11.1880323
357.6925,11.682068
357.846,12.2095438
357.9995,12.7735356
358.153,13.3774794
358.3065,14.025223
358.46,14.7210864
358.6135,15.4699327
358.84375,16.7047492
358.99725,17.6116885
359.15075,18.5942606
359.30425,19.6610581
359.419375,20.5222946
359.5345,21.4410927
359.688,22.7647788
359.803125,23.8391746
359.91825,24.990951
359.995,25.8054788
360.110125,27.1034386
360.22525,28.5010318
360.340375,30.0086095
360.417125,31.0804862
360.53225,32.7981734
360.647375,34.6607224
360.7625,36.684664
360.877625,38.888918
360.99275,41.2952123
361.107875,43.9285883
361.223,46.8180129
361.338125,49.9971236
361.414875,52.2965727
361.491625,54.7552852
361.60675,58.7746161
361.6835,61.6996266
361.76025,64.8433248
361.875375,70.0171832
361.952125,73.8086639
362.028875,77.9075001
362.105625,82.3466519
362.182375,87.163428
362.259125,92.4001539
362.335875,98.1049546
362.412625,104.33267
362.489375,111.145925
362.566125,118.616387
362.6045,122.623293
362.68125,131.23737
362.758,140.737564
362.796375,145.855691
362.853938,154.037987
362.892313,159.855336
362.949875,169.173323
362.98825,175.810686
363.045813,186.462317
363.084187,194.063736
363.14175,206.284758
363.199313,219.578502
363.256875,234.055818
363.314437,249.83845
363.372,267.059293
363.429563,285.862195
363.487125,306.401083
363.544688,328.838044
363.60225,353.339935
363.659813,380.072883
363.698188,399.212584
363.736563,419.455996
363.774938,440.838792
363.8325,475.104812
363.8632,494.467403
363.9246,535.438303
363.9553,557.0096
364.0167,602.140456
364.0781,649.499373
364.24695,783.643353
364.293,818.399221
364.33905,850.856143
364.3851,880.080313
364.4158,897.298775
364.4465,912.389002
364.4772,925.10055
364.5079,935.212278
364.5386,942.541456
364.5693,946.951749
364.598465,948.360994
364.6307,946.7372
364.6614,942.115684
364.6921,934.58179
364.7228,924.274759
364.7535,911.379834
364.7842,896.120206
364.8149,878.747848
364.8456,859.533901
364.89165,827.874873
364.95305,781.825839
365.1219,647.495948
365.214,577.280986
365.2754,533.503152
365.3061,512.675772
365.35215,482.831328
365.386687,461.565717
365.425063,439.060972
365.482625,407.484529
365.540188,378.432519
365.59775,351.767698
365.655313,327.332021
365.693688,312.197712
365.75125,291.106182
365.789625,278.047344
365.828,265.735199
365.866375,254.124563
365.90475,243.172278
365.943125,232.837339
365.9815,223.08095
366.019875,213.866533
366.05825,205.159698
366.096625,196.928183
366.135,189.141778
366.173375,181.77224
366.21175,174.793186
366.250125,168.180003
366.326875,155.960989
366.403625,144.949686
366.480375,135.002432
366.51875,130.388193
366.5955,121.808464
366.633875,117.817774
366.710625,110.377981
366.749,106.90842
366.82575,100.4238
366.864125,97.3920658
366.940875,91.7120359
366.97925,89.0500876
367.056,84.051373
367.094375,81.7033741
367.171125,77.2845655
