energy [eV],cross section [b]
1e-05,23050.2229
1.08504611e-05,22128.5934
1.17009221e-05,21309.3713
1.2963454e-05,20245.3102
1.43545698e-05,19239.5208
1.54767792e-05,18529.0311
1.63300824e-05,18038.549
1.76100371e-05,17370.8004
1.84633403e-05,16964.7559
2.00335755e-05,16286.533
2.16038107e-05,15683.6745
2.39348663e-05,14900.6464
2.52190985e-05,14516.4368
2.77875628e-05,13829.5472
3.01507868e-05,13276.744
3.25140108e-05,12785.3714
3.50558864e-05,12313.3563
3.69886722e-05,11987.5067
3.98878509e-05,11543.8954
4.18206367e-05,11274.147
4.41917582e-05,10967.714
4.65628797e-05,10685.0014
5.13051228e-05,10179.5744
5.42139901e-05,9902.93208
5.71228574e-05,9647.70522
6.29405919e-05,9191.41927
6.82934442e-05,8824.21265
7.36462965e-05,8497.8195
7.94038058e-05,8184.29183
8.37816882e-05,7967.85669
9.03485118e-05,7673.20886
9.74117645e-05,7390.17789
0.000102782505,7194.79702
0.000110838616,6928.81428
0.000122798126,6583.36113
0.000135975663,6256.85396
0.000150647465,5945.02449
0.000166813532,5650.30334
0.000179854656,5442.13349
0.000194728928,5230.74348
0.00021456129,4983.88273
0.000226726358,4848.77769
0.000238891426,4724.1402
0.000263221563,4501.34084
0.000285607532,4322.06232
0.000307993501,4162.73063
0.000341226063,3955.8218
0.000377843229,3760.29421
0.000407382201,3622.20736
0.00042984298,3526.89835
0.000463534149,3397.1702
0.00051354958,3228.72296
0.000541104231,3146.09453
0.000596213532,2998.41596
0.000646919172,2879.61196
0.000697624811,2774.0498
0.000752163621,2672.68577
0.000814368773,2569.7896
0.000855838874,2507.5419
0.00092274652,2416.14287
0.00097362161,2353.07497
0.00104993424,2267.25556
0.00116322237,2155.86947
0.00128804843,2050.68163
0.00142702912,1950.31745
0.00158016444,1855.55984
0.0017036983,1788.69775
0.00184459692,1720.86717
0.00203246173,1641.75059
0.00220531469,1578.17216
0.00237816765,1521.73937
0.00256408769,1467.61035
0.00270545716,1430.29448
0.00291751138,1379.56796
0.00305888085,1348.76914
0.00323231145,1313.82891
0.00340574206,1281.64166
0.00375260327,1224.22717
0.00396536613,1192.88013
0.00417812899,1164.01478
0.00460365472,1112.55769
0.00486466999,1084.48287
0.00512568526,1058.64463
0.00564771581,1012.62163
0.006007454,984.583421
0.00646800656,952.292882
0.00692855911,923.413938
0.00751780608,890.588302
0.00810705306,861.593661
0.00898180575,824.234647
0.00946372713,806.04657
0.0104275699,773.80358
0.0116100022,740.318004
0.0127924345,712.030629
0.0142430301,682.800248
0.0156936258,658.259613
0.0169763853,639.646952
0.0184939799,620.641788
0.0203443596,601.036915
0.0225275246,581.902433
0.0240393303,570.700524
0.025863861,559.021717
0.0277016987,548.984061
0.0302542322,537.443734
0.0325363562,529.10879
0.0345434905,523.091274
0.036637856,517.953995
0.0391903895,513.079293
0.0436087612,507.734094
0.04684799,505.966947
0.051953057,506.375687
0.0552784497,508.543929
0.0596106575,513.454632
0.0638974666,520.544829
0.067268258,527.653784
0.0698207915,533.939516
0.0749258585,548.899116
0.077478392,557.615336
0.082583459,577.674417
