energy [eV],cross section [b]
1e-05,1042.52006
1.0607443e-05,1012.22983
1.15186074e-05,971.369801
1.24297718e-05,935.089341
1.31848096e-05,907.920529
1.39398473e-05,882.990114
1.4694885e-05,860.006701
1.54499227e-05,838.729382
1.63884174e-05,814.360325
1.73269121e-05,791.998997
1.82654068e-05,771.384034
1.97871652e-05,741.128811
2.15369564e-05,710.384558
2.32867476e-05,683.174188
2.53199783e-05,655.170635
2.74949288e-05,628.723981
2.96698794e-05,605.241463
3.14721553e-05,587.656462
3.32744312e-05,571.520266
3.59778451e-05,549.629046
3.7999077e-05,534.811757
4.02392648e-05,519.711941
4.24794526e-05,505.822917
4.47196405e-05,492.991067
4.72319856e-05,479.700724
5.0016488e-05,466.15697
5.28009903e-05,453.699237
5.55854927e-05,442.189735
6.04388168e-05,424.06452
6.56304262e-05,406.947016
7.08220355e-05,391.748051
7.51240702e-05,380.366237
8.15771222e-05,365.012745
8.80301741e-05,351.380083
9.33775051e-05,341.171207
9.8724836e-05,331.803435
0.000106745832,319.094632
0.000112742803,310.492563
0.000119389413,301.726484
0.000126036024,293.663329
0.000132682634,286.213917
0.000140136731,278.498339
0.000148398316,270.635657
0.000160790694,259.998234
0.00017418676,249.801329
0.000189590202,239.439639
0.000204993644,230.269
0.00022289221,220.831071
0.000235656295,214.76796
0.000254802422,206.542451
0.000277049931,198.077208
0.000292915397,192.638975
0.00032464633,182.984149
0.000344366743,177.668431
0.000364087155,172.790691
0.00040352798,164.130954
0.000440296015,157.129943
0.000464808037,152.931584
0.00048932006,149.052809
0.000532043957,142.944542
0.000577745785,137.175934
0.000623447612,132.053927
0.000680253941,126.421799
0.000718124827,123.044345
0.000774931156,118.450328
0.000822003803,115.010118
0.000892612774,110.36951
0.000939685421,107.570839
0.000992476858,104.672203
0.00105098708,101.718337
0.00110949731,99.0013686
0.00116800754,96.4912398
0.00123362609,93.8914608
0.0013427164,89.9989878
0.00148817015,85.4907937
0.00162376693,81.8462143
0.0017593637,78.6316571
0.00190594278,75.5503206
0.00201830524,73.4192733
0.00218684893,70.5362737
0.00236904338,67.7727783
0.00250870736,65.8615646
0.00264837133,64.1036645
0.0028578673,61.7126428
0.00303146643,59.9222004
0.00320506557,58.2793416
0.00355226384,55.3628473
0.00387593348,53.0051702
0.00409171325,51.5914075
