energy [eV],cross section [b]
1e-05,1171.87432
1.05811818e-05,1139.23672
1.14529545e-05,1095.02069
1.23247273e-05,1055.5832
1.3041018e-05,1026.1844
1.37573087e-05,999.112616
1.48317448e-05,962.24376
1.56312946e-05,937.31115
1.65141034e-05,911.913808
1.8279721e-05,866.755445
1.92651443e-05,844.297037
2.0353182e-05,821.420017
2.25292576e-05,780.742974
2.44142533e-05,749.997601
2.64257186e-05,720.88879
2.84371839e-05,694.925839
3.00899013e-05,675.57168
3.25689775e-05,649.351506
3.50480536e-05,625.96501
3.70849827e-05,608.531478
3.91219119e-05,592.477869
4.21773056e-05,570.614588
4.57062298e-05,548.144075
4.82166894e-05,533.683562
5.32376086e-05,507.894425
5.78787181e-05,487.10596
6.40668641e-05,462.984446
6.94272612e-05,444.752426
7.51473021e-05,427.490894
8.08673429e-05,412.094862
8.79171373e-05,395.227623
9.26170002e-05,385.069292
9.96667946e-05,371.201113
0.000105459247,360.863042
0.000114147927,346.857479
0.000122836606,334.365538
0.000129975646,325.053389
0.000137114686,316.478332
0.000144253727,308.547992
0.000151392767,301.18543
0.000160191439,292.797397
0.000173389447,281.433663
0.000192009518,267.440219
0.000208275703,256.784866
0.000224541889,247.309429
0.000243329037,237.570833
0.000263376667,228.350632
0.000283424297,220.126894
0.000299896402,213.996493
0.000324604559,205.691306
0.000359463426,195.464206
0.000379764846,190.168247
0.000410216975,182.974155
0.000430518395,178.608242
0.000455539341,173.634244
0.000480560288,169.053963
0.000505581234,164.818058
0.000546020997,158.597802
0.000592277448,152.279357
0.000653952715,144.921511
0.000710962529,138.990425
0.000767972343,133.732716
0.000829399899,128.685866
0.000876241927,125.199514
0.000923083954,121.982036
0.000993346995,117.589547
0.00105107852,114.315171
0.0011376758,109.879217
0.00125984934,104.41677
0.00136657813,100.257409
0.00150888318,95.4138525
0.0016404235,91.509538
0.00177196382,88.0485165
0.00191369732,84.7263223
0.00207581717,81.3517192
0.00223793703,78.3508408
0.00242518252,75.2666635
0.00255838805,73.2819225
0.00275819635,70.5789595
0.00298897131,67.8009774
0.00315314349,66.0132864
0.00348148787,62.8251553
0.00368382561,61.0765319
0.00388616336,59.4663472
0.00429083885,56.594792
0.00466490247,54.2801302
0.00516365397,51.5944599
0.00559569066,49.5646066
0.00605671388,47.6428795
0.0065177371,45.9289102
0.00708593564,44.0512456
0.00746473467,42.920467
0.00803293321,41.3767913
0.00849979268,40.2261087
0.00920008188,38.6672972
0.0101880669,36.7479038
0.0107634584,35.7540435
0.01133885,34.8368769
0.0125565145,33.1083183
0.0136202462,31.7922414
0.015038555,30.2598378
0.0163495752,29.0247365
0.0176605954,27.9299918
0.0190732077,26.8792835
0.0206890044,25.8121408
0.0217662021,25.1678088
0.0234575499,24.2472733
0.0253,23.3516546
0.0267269337,22.7227314
0.0281538674,22.1423319
0.0297901189,21.5289119
0.0314263705,20.964139
0.0330626221,20.4419148
0.0346988736,19.9571602
0.0367155091,19.4049908
0.0387321445,18.8966332
0.04074878,18.4265951
0.0440081395,17.7365507
0.0477363117,17.0358705
0.0527072081,16.2203031
0.0573020787,15.5632244
0.0618969494,14.9810416
0.0668478807,14.4225066
0.0706232492,14.036865
0.0743986177,13.6811205
0.0800616704,13.1957278
0.0847147091,12.8341166
0.0893677478,12.5013188
0.0986738252,11.9083152
0.104408568,11.5833747
0.110143312,11.2843803
0.121612798,10.7517601
0.132301671,10.3197792
0.142851343,9.94247482
0.154239963,9.58003375
0.162950975,9.32924082
0.176017493,8.98915084
0.190096548,8.6634349
0.206200675,8.333443
0.21693676,8.13465906
0.23428881,7.84352419
0.247520742,7.643019
0.26736864,7.37158019
0.285572429,7.1488649
