energy [eV],cross section [b]
1e-05,10.0592613
1.09112002e-05,9.63007838
1.18224004e-05,9.2515233
1.28074038e-05,8.8886442
1.3562477e-05,8.6376691
1.43175502e-05,8.40681924
1.545016e-05,8.09281421
1.63887059e-05,7.8576689
1.73272518e-05,7.64189748
1.92043437e-05,7.25882466
2.03709439e-05,7.04791177
2.1537544e-05,6.85437625
2.38707443e-05,6.51078024
2.6045847e-05,6.23299477
2.82209497e-05,5.9879778
3.05722262e-05,5.75310698
3.327585e-05,5.51443966
3.59794738e-05,5.30320664
3.91210608e-05,5.08581579
4.13614398e-05,4.94615932
4.47220083e-05,4.75669449
4.72345785e-05,4.62845316
5.00193398e-05,4.49776647
5.41964819e-05,4.32096064
5.69812432e-05,4.21405193
6.04426647e-05,4.09160805
6.39040861e-05,3.97925246
6.73655075e-05,3.87567183
7.29781793e-05,3.72365339
7.94319306e-05,3.56917767
8.58856819e-05,3.43245861
9.33848837e-05,3.29175393
0.000101406811,3.15887215
0.000109428738,3.04088415
0.000116076171,2.95252783
0.000122723603,2.87145128
0.000132694752,2.76145884
0.000140149804,2.68700926
0.000148412474,2.61114004
0.000156675145,2.54135462
0.000164937815,2.47688111
0.000174204346,2.41010376
0.000184474735,2.34205306
0.00019988032,2.24998737
0.00021015071,2.19431824
0.000222916668,2.13055969
0.000242065605,2.04455282
0.000261214542,1.96818584
0.000285016417,1.88421178
0.000308818292,1.81014357
0.000334548013,1.7391425
0.000354271622,1.6900366
0.000383857037,1.62360128
0.000403580646,1.58343
0.000428096831,1.53742133
0.000452613016,1.49520334
0.000477129201,1.45628258
0.000501645385,1.42025103
0.000532118677,1.37898364
0.00056259197,1.3411163
0.000593065262,1.30620639
0.000642477503,1.25497139
0.000699294349,1.20290819
0.000756111196,1.15682952
0.000822131869,1.10940753
0.000892754454,1.06462208
0.00096337704,1.02485628
0.001021899,0.995077307
0.00108042096,0.967751836
0.00116820389,0.930680728
0.00123383588,0.905588722
0.0013065779,0.880018232
0.00137931991,0.856498173
0.00145206193,0.834768389
0.00153364162,0.812262112
0.00162405898,0.789326654
0.00175968502,0.758297267
0.00185010238,0.739534785
0.00196248996,0.718045854
0.00213107133,0.689058395
0.0022996527,0.663319883
0.0025091971,0.63501745
0.00264889337,0.618044977
0.00285843777,0.594958748
0.00303207838,0.577670391
0.00329253929,0.554349267
0.0035530002,0.533641979
0.00376883317,0.518135106
0.00398466614,0.503905826
0.00420049911,0.490787818
0.00441633208,0.478643578
0.0046846096,0.464734587
0.00508702587,0.445972033
0.00535530339,0.434656479
0.00565617484,0.422936547
0.00615637293,0.405388625
0.00665657101,0.389857706
0.00723779676,0.37387393
0.00765228982,0.363605554
0.0082740294,0.349674884
0.00899648529,0.335337994
0.00951169465,0.326127605
0.0102845087,0.313632243
0.0108623126,0.305174552
0.011502711,0.296555525
0.0121431094,0.28862758
0.0127835078,0.281303037
0.0135017103,0.273716703
0.0146957204,0.262357826
0.0162877338,0.2492016
0.0177718725,0.238565051
0.0192560111,0.229183057
0.0208603584,0.220189405
0.0220902015,0.213969093
0.0239349662,0.205553489
0.0260474405,0.197036967
0.0275423214,0.191611764
0.0290372024,0.186611007
0.0312795238,0.179793041
0.0331796511,0.174564981
0.0350797783,0.169767557
0.0388800328,0.161250097
0.0412418658,0.156560364
0.0436036987,0.152256902
0.0483273647,0.144616371
0.0527309552,0.138438928
0.0571345457,0.132989909
0.0618948075,0.127766248
0.067368412,0.122457826
0.0728420166,0.117759289
0.0792022966,0.112923439
0.0837380418,0.109816584
0.0905416596,0.105601387
0.0956284677,0.102748082
0.101266339,0.0998401837
0.10690421,0.0971652841
0.112542081,0.0946938256
0.118864916,0.092133872
0.129376614,0.0883005631
0.143392212,0.0838601273
0.156458113,0.080269609
0.169524015,0.0771021478
0.183648196,0.0740653614
0.199888938,0.070978933
0.21612968,0.0682467568
0.235001279,0.0654343496
0.248459296,0.0636272523
0.268646323,0.0611751712
0.283739401,0.0595151061
0.300467538,0.0578230695
0.317195676,0.0562664077
0.333923813,0.0548279524
0.352684308,0.0533377866
0.383873587,0.0511059661
0.425459293,0.0485199463
0.464227153,0.0464282555
0.502995013,0.044582474
0.544902898,0.0428122984
0.593090833,0.0410125729
0.641278768,0.0394188355
0.697272722,0.0377776572
0.737204032,0.0367227462
0.797100995,0.0352907912
0.841883693,0.0343209761
0.89151778,0.0333321394
0.941151868,0.0324220851
0.990785955,0.0315808315
1.04645025,0.0307090027
1.13899202,0.0294025714
1.20068653,0.028616165
1.26238104,0.027887639
1.37740923,0.0266612532
1.49243742,0.025578173
1.61678238,0.0245385951
1.75976089,0.0234806966
1.9027394,0.0225429726
2.06887917,0.0215763413
2.18735943,0.0209544274
2.36507982,0.0201094242
2.49795464,0.0195365601
2.64522403,0.0189519447
2.79249342,0.0184134135
2.93976281,0.0179151459
3.10492446,0.0173982821
3.3795053,0.0166227627
3.5625592,0.0161553137
3.7456131,0.0157218186
4.08691344,0.0149910291
4.42821379,0.0143444436
4.79715795,0.013722681
5.07997915,0.0132914351
5.50421095,0.0127062696
5.96280365,0.0121432986
6.31434664,0.011752668
6.66588964,0.0113923786
7.19320413,0.0109006905
7.63016741,0.0105311805
8.06713069,0.0101910655
8.50409396,0.00987657336
8.94105724,0.0095845817
9.75576657,0.00909158086
10.5704759,0.00865458581
11.4511731,0.00823366708
12.463846,0.0078037987
13.4765188,0.00742144611
14.6532358,0.00702600862
15.492395,0.00677090426
16.751134,0.00642345882
17.6922456,0.00618739389
18.7353094,0.00594608965
19.7783733,0.00572348738
20.8214372,0.00551729201
21.9912264,0.00530320653
23.9359982,0.00498174072
25.88077,0.0046964139
28.1405776,0.00440214025
30.5579031,0.00412384913
32.9752287,0.00387665721
34.9783643,0.00369163661
36.9815,0.00352204579
38.9846357,0.00336595833
40.9877714,0.00322177138
43.4776425,0.00305712825
45.9675136,0.0029066507
48.4573847,0.00276856374
50.9472557,0.00264138922
52.4946941,0.00256729406
55.5895708,0.00242928131
57.1370091,0.00236491413
60.2318858,0.00224448185
63.3267625,0.00213400711
65.2502078,0.0020698517
69.0970985,0.00195079902
72.9439891,0.00184273706
76.7908798,0.00174428557
81.1051421,0.00164388396
85.8867761,0.00154339774
90.6684101,0.00145278286
93.0592271,0.00141077256
97.8408611,0.00133265702
100.812615,0.00128773355
106.756122,0.00120529959
112.69963,0.00113161937
115.671384,0.00109769582
121.614891,0.0010350613
125.308742,0.000999329584
129.002592,0.000965827024
132.696443,0.000934392021
136.390293,0.00090487911
143.777994,0.000851107563
149.31877,0.000814937509
155.757103,0.000776914104
162.644213,0.00074054836
169.531324,0.000708207765
176.418435,0.000679527988
183.305545,0.000654208463
189.157333,0.000635151353
195.459238,0.000617003099
201.733,0.000601264652
209.239,0.000585362604
212.992,0.000578576335
220.498,0.000567296269
224.251,0.000562798604
229.391354,0.000557881724
233.553417,0.000554967563
238.284709,0.000552840253
243.016,0.000552012467
250.522,0.000553500752
254.275,0.000555610762
261.781,0.000562802219
267.4105,0.000571044098
271.1635,0.00057804339
274.5412,0.00058546766
279.0448,0.0005971808
282.542596,0.000607852588
288.052,0.000627828423
290.303797,0.000637243234
294.0568,0.000654766803
298.042486,0.000676214983
300.872248,0.000693488315
304.204912,0.000716366076
307.897864,0.000745497803
311.230528,0.000775940335
314.405566,0.000809516636
316.5748,0.000835637911
318.076,0.000855544002
319.944994,0.000882814159
321.994132,0.000916543914
323.037466,0.000935574511
324.8314,0.000971890367
326.092408,0.00100070379
327.353416,0.00103287809
328.5844,0.00106826382
329.605216,0.00110127105
330.38584,0.00112922268
331.616824,0.0011791719
332.48752,0.00121985691
333.38824,0.00126783906
334.28896,0.00132332468
335.18968,0.00138838203
335.79016,0.00143844373
336.0904,0.00146587889
336.69088,0.00152639768
337.29136,0.0015958457
337.5916,0.00163455687
338.04196,0.00169850387
338.49232,0.00177069203
338.90515,0.0018454977
339.24292,0.0019139667
339.69328,0.00201739457
340.03105,0.00210578647
340.36882,0.00220528357
340.74412,0.00233138708
341.04436,0.00244635471
341.19448,0.00250929165
341.49472,0.00264774973
341.7199,0.00276418315
341.94508,0.00289319152
342.17026,0.00303671665
342.32038,0.00314159793
342.4705,0.00325476474
342.69568,0.00344209593
342.8458,0.00358029047
343.07098,0.00381077952
343.14604,0.00389455443
343.29616,0.00407384151
343.44628,0.00427048434
343.5964,0.00448683333
343.67146,0.00460324249
343.82158,0.00485448299
343.9717,0.00513331097
344.12182,0.0054439655
344.27194,0.00579153249
344.38453,0.00608008051
344.45959,0.00628738179
344.53465,0.00650781825
344.60971,0.00674253113
344.68477,0.00699278839
344.79736,0.00740045267
344.87242,0.00769611286
344.94748,0.00801302876
345.02254,0.00835329756
345.0976,0.00871928157
345.17266,0.00911364951
345.24772,0.00953942537
345.36031,0.0102446288
345.43537,0.0107650439
345.51043,0.0113312016
345.54796,0.011633132
345.62302,0.0122785468
345.69808,0.012985213
345.77314,0.0137611485
345.81067,0.0141779612
345.88573,0.0150758757
345.96079,0.0160696768
346.03585,0.0171735355
346.11091,0.018404339
346.14844,0.0190735214
346.18597,0.0197823406
346.2235,0.0205339914
346.26103,0.0213319968
346.29856,0.0221802494
346.33609,0.0230830589
346.37362,0.0240452068
346.41115,0.0250720096
346.44868,0.0261693926
346.48621,0.0273439751
346.52374,0.0286031703
346.56127,0.0299553021
346.5988,0.0314097431
346.63633,0.0329770765
346.67386,0.0346692888
346.71139,0.0364999989
346.74892,0.0384847321
346.767685,0.0395403098
346.805215,0.0417901834
346.842745,0.044243564
346.880275,0.0469257287
346.917805,0.0498659988
346.93657,0.0514433856
346.9741,0.0548366544
347.01163,0.0585847628
347.030395,0.0606075232
347.064172,0.0645274462
347.090443,0.0678501632
347.112961,0.0709102985
347.131726,0.0736238911
347.154244,0.0770940406
347.169256,0.0795475147
347.19928,0.0848242348
347.229304,0.0906508627
347.259328,0.0971063331
347.289352,0.104284224
347.31187,0.110208071
347.334388,0.116655681
347.3494,0.121275984
347.364412,0.126178184
347.38693,0.134111715
347.401942,0.139826132
347.416954,0.145915496
347.431966,0.152413196
347.446978,0.159356402
347.46199,0.166786594
347.477002,0.174750166
347.492014,0.183299142
347.507026,0.192492009
347.522038,0.202394701
347.529544,0.207635153
347.544556,0.218745403
347.559568,0.23077104
347.57458,0.24381472
347.593345,0.261731308
347.61211,0.281691157
347.627122,0.299343176
347.634628,0.308795021
347.64964,0.329085181
347.664652,0.351429688
347.672158,0.363459152
347.68717,0.389432474
347.694676,0.403466844
347.705935,0.425971056
347.717194,0.450392118
347.728453,0.476950829
347.739712,0.505900189
347.750971,0.537531097
347.76223,0.572179231
347.773489,0.610233396
347.784748,0.652145697
347.796007,0.698443993
347.807266,0.749747209
347.814772,0.787084622
347.822278,0.827215472
347.833537,0.893266253
347.841043,0.941672084
347.848549,0.994004369
347.856055,1.0506843
347.863561,1.11218865
347.871067,1.17905833
347.878573,1.25190836
347.886079,1.33143961
347.893585,1.41845249
347.901091,1.51386296
347.904844,1.56503969
347.91235,1.6750636
347.919856,1.79641108
347.923609,1.86178798
347.931115,2.00298177
347.938621,2.15965614
347.942374,2.24444931
347.948004,2.38052955
347.951756,2.47764483
347.957386,2.6337851
347.963015,2.8036379
